위도,경도,amenity,name,phone,addr:full,source:date
33.2480512996,126.5632978151,doctors,시원한 이비인후과 의원,064-763-5075,제주특별자치도 서귀포시 중정로 65 ,2020-06-30
33.2489926319,126.5073221055,doctors,신윤석외과의원,064-739-2772,제주특별자치도 서귀포시 월드컵로 8 ,2020-06-30
33.2530924167,126.5620450957,doctors,아름다운 의원,064-733-7975,제주특별자치도 서귀포시 일주동로 8671 ,2020-06-30
33.2539719529,126.5070022729,doctors,아이맘소아청소년과의원,064-739-7535,제주특별자치도 서귀포시 신서귀로97번길 51,2020-06-30
33.2523832969,126.5603874633,doctors,양승지외과의원,064-762-8875,제주특별자치도 서귀포시 서문로 2 ,2020-06-30
33.2473856103,126.5616786799,doctors,양승철소아과의원,064-762-8275,제주특별자치도 서귀포시 중정로 50,2020-06-30
33.2523187143,126.5615038173,doctors,양재식 내과의원,064-732-3800,제주특별자치도 서귀포시 동문로 2,2020-06-30
33.2530190325,126.5616891876,doctors,연세 안과의원,064-762-0727,제주특별자치도 서귀포시 일주동로 8675,2020-06-30
33.2503371795,126.571403242,doctors,우리동홍의원,064-732-7533,제주특별자치도 서귀포시 태평로 505,2020-06-30
33.2478583583,126.5638138396,doctors,우리들소아과의원,064-732-2323,제주특별자치도 서귀포시 중정로 70 ,2020-06-30
33.2540916214,126.5610785882,doctors,우리정형외과,064-733-1418,제주특별자치도 서귀포시 중앙로 106 ,2020-06-30
33.2528304822,126.5603809316,doctors,유 소아과의원,064-732-5418,제주특별자치도 서귀포시 중앙로 93 ,2020-06-30
33.2473593662,126.5603739873,doctors,윤성현 내과의원,064-762-5651,제주특별자치도 서귀포시 중정로 38 ,2020-06-30
33.2488158092,126.5694834452,doctors,의료법인 열린의료재단 서연의원,064-763-4100,제주특별자치도 서귀포시 중정로 123,2020-06-30
33.247829085,126.5636938032,doctors,이내과,064-762-3872,제주특별자치도 서귀포시 중정로 68-1,2020-06-30
33.2478650272,126.5616076115,doctors,이종찬 제통마취과,064-763-7056,제주특별자치도 서귀포시 중앙로 35-1 ,2020-06-30
33.2528304822,126.5603809316,doctors,인혜의원,064-763-7890,제주특별자치도 서귀포시 중앙로 93 ,2020-06-30
33.2530190325,126.5616891876,doctors,전인기 피부과 의원,064-763-2822,제주특별자치도 서귀포시 일주동로 8675,2020-06-30
33.2475101649,126.5622274586,doctors,정안과,064-733-3346,제주특별자치도 서귀포시 중정로 54-1,2020-06-30
33.2501135684,126.5651675935,doctors,제일산부인과,064-733-2312,제주특별자치도 서귀포시 동문로 46,2020-06-30
33.2530190325,126.5616891876,doctors,제일정형외과 의원,064-762-4565,제주특별자치도 서귀포시 일주동로 8675,2020-06-30
33.2523423495,126.5620702996,doctors,제주성모안과의원,064-763-2119,제주특별자치도 서귀포시 동문로 5 ,2020-06-30
33.2520151578,126.4266082779,doctors,중문삼성연합의원,064-738-6300,제주특별자치도 서귀포시 천제연로 207번길 3,2020-06-30
33.2520020483,126.4229941848,doctors,중문신내과의원,064-738-7582,제주특별자치도 서귀포시 중문로 1,2020-06-30
33.2520020483,126.4229941848,doctors,중문의원,064-738-8091,제주특별자치도 서귀포시 중문로 1 ,2020-06-30
33.2550559971,126.5718352158,doctors,킴스연합의원,064-901-9021 ,제주특별자치도 서귀포시 동홍중앙로 49,2020-06-30
33.2489926319,126.5073221055,doctors,투게더피부과의원,064-739-4500,제주특별자치도 서귀포시 월드컵로 8,2020-06-30
33.2517680782,126.4269919119,doctors,파티마 마취통증의학과,064-738-7893,제주특별자치도 서귀포시 천제연로 209 ,2020-06-30
33.2478650272,126.5616076115,doctors,푸른소아청소년과의원,064-763-6500,제주특별자치도 서귀포시 중앙로 35-1 ,2020-06-30
33.2479220146,126.5644831084,doctors,하나의원,064-762-6022,제주특별자치도 서귀포시 중정로 76,2020-06-30
33.2474893417,126.5624593407,doctors,한관지이비인후과의원,064-733-2220,제주특별자치도 서귀포시 중정로 56-1,2020-06-30
33.2530190325,126.5616891876,doctors,한라 이비인후과 의원,064-762-8876,제주특별자치도 서귀포시 일주동로 8675,2020-06-30
33.2530190325,126.5616891876,doctors,한라 힘 내과의원,064-762-7579,제주특별자치도 서귀포시 일주동로 8675,2020-06-30
33.253148016,126.522288039,doctors,허용가정의학과의원,064-739-5075,제주특별자치도 서귀포시 서호남로 91,2020-06-30
33.2493880758,126.5670683757,doctors,현대산부인과,064-763-8889,제주특별자치도 서귀포시 동문로 61,2020-06-30
33.2489926319,126.5073221055,doctors,현혜선산부인과,064-739-0003,제주특별자치도 서귀포시월드컵로8,2020-06-30
33.2523187143,126.5615038173,doctors,황 비뇨기과 의원,064-733-1800,제주특별자치도 서귀포시 동문로 2,2020-06-30
33.2633956454,126.617626329,doctors,효돈중앙의원,064-733-6007,제주특별자치도 서귀포시 하신상로 30 ,2020-06-30
33.4468995109,126.9121997677,doctors,서울의원,,제주특별자치도 서귀포시 성산읍 서성일로 1252,2020-06-30
33.4499061992,126.9158320822,doctors,성산제일정형외과의원,064-900-2456,제주특별자치도 서귀포시 성산읍 동류암로36번길 16,2020-06-30
33.2782778272,126.7165702779,doctors,남원중앙정형외과의원,064-764-8279,제주특별자치도 서귀포시 남원읍 태위로 654,2020-06-30
33.2780521081,126.7140720659,doctors,우리통증의원,064-764-7227,제주특별자치도 서귀포시 남원읍 태위로 629,2020-06-30
33.2796350909,126.7202886092,doctors,남원고려의원,064-764-6988,제주특별자치도 서귀포시 남원읍 태위로 691,2020-06-30
33.3257195513,126.8327926985,doctors,표선하늘의원,064-787-3883,제주특별자치도 서귀포시 표선면 표선동서로 246,2020-06-30
33.4472547077,126.914729016,doctors,마디의원,064-782-7582,제주특별자치도 서귀포시 성산읍 일출로 18,2020-06-30
33.3243356374,126.8308578473,doctors,표선연세의원,064-787-7123,제주특별자치도 서귀포시 표선면 표선관정로 97,2020-06-30
33.3260292359,126.8324398286,doctors,표선삼성의원,064-787-8575,제주특별자치도 서귀포시 표선면 표선중앙로 80번길 1,2020-06-30
33.4496171675,126.9150751798,doctors,우리의원,064-784-5575,제주특별자치도 서귀포시 성산읍 동류암로 36번길 23,2020-06-30
33.2749678067,126.6607174819,doctors,위미가정의원,064-764-5510,제주특별자치도 서귀포시 남원읍 태위로 123,2020-06-30
33.4495807721,126.9145933727,doctors,최선365의원,064-784-6333,제주특별자치도 서귀포시 성산읍 고성오조로 67,2020-06-30
33.32425012,126.831622699,doctors,표선의원,064-787-7805,제주특별자치도 서귀포시 표선면 표선동서로 225,2020-06-30
33.3257163549,126.8330977252,doctors,해비치의원,064-787-6780,제주특별자치도 서귀포시 표선면 표선중앙로 86,2020-06-30
33.4502518189,126.9149540997,doctors,동남의원,064-784-9400,제주특별자치도 서귀포시 성산읍 고성오조로 74,2020-06-30
33.4497790701,126.9145114369,doctors,성산의원,064-782-4472,제주특별자치도 서귀포시 성산읍 고성동서로 56번길 16,2020-06-30
33.2777901,126.7124888,doctors,남원의원,064-764-4156,제주특별자치도 서귀포시 남원읍 태위로 636,2020-06-30
33.2225295602,126.2558596039,doctors,중앙의원,064-794-7274,제주특별자치도 서귀포시 대정읍 상모로 313,2020-06-30
33.2221593687,126.2548672594,doctors,고은의원,064-794-7565,제주특별자치도 서귀포시 대정읍 상모로 323-1,2020-06-30
33.2226752787,126.2542964892,doctors,강남정형외과의원,064-792-3001,제주특별자치도 서귀포시 대정읍 신영로 119,2020-06-30
33.2216715745,126.2517090516,doctors,강문보내과의원,064-794-7085,제주특별자치도 서귀포시 대정읍 하모상가로 27,2020-06-30
33.2218098504,126.2543167043,doctors,하나 신통의원,064-794-0075,제주특별자치도 서귀포시 대정읍 신영로 112-1,2020-06-30
33.2216005625,126.2536963098,doctors,대정연합의원,064-792-3238,제주특별자치도 서귀포시 대정읍 하모상가로 46,2020-06-30
33.2216005625,126.2536963098,doctors,대정의원,064-792-7588,제주특별자치도 서귀포시 대정읍 하모상가로 46,2020-06-30
33.2213908789,126.2518101302,doctors,조재익신경외과의원,064-792-1224,제주특별자치도 서귀포시 대정읍 하모중앙로 76,2020-06-30
33.2482037259,126.3361069222,doctors,송악의원,064-792-7585,제주특별자치도 서귀포시 안덕면 화순중앙로 45,2020-06-30
33.2465825931,126.3344152235,doctors,안덕의원,064-794-0906,제주특별자치도 서귀포시 안덕면 화순로 112,2020-06-30
33.2775150673,126.2794116396,doctors,카멜리아의원,064-794-2047,제주특별자치도 서귀포시 대정읍 영어도시로 60,2020-06-30
33.2864911,126.2788987,doctors,이스톤의원,064-792-3536,제주특별자치도 서귀포시 대정읍 에듀시티로 102 ,2020-06-30
33.222107139,126.2539752047,doctors,서울삼성재활의학과의원,064-792-8887,제주특별자치도 서귀포시 대정읍 하모상가로49,2020-06-30
33.3049739532,126.3163541636,doctors, 비포앤애프터의원 ,064-901-0101, 제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 ,2020-06-30
