위도,경도,name,phone,addr:full,source:date,amenity
33.2500867414,126.5657471892,참사랑 치과의원,064-763-2875,제주특별자치도 서귀포시 중앙로48번길 42 ,2020-06-30,dentist
33.2520980847,126.5613246379,한용환 치과의원,064-762-5090,제주특별자치도 서귀포시 중앙로 84 ,2020-06-30,dentist
33.2502055443,126.509431408,해맑은치과의원,064-739-2875,제주특별자치도 서귀포시 신서귀로 9,2020-06-30,dentist
33.2483899974,126.5673351232,형제치과의원의원,064-763-9800,제주특별자치도 서귀포시 중정로 104 ,2020-06-30,dentist
33.4502518189,126.9149540997,신성산치과의원,064-782-6235,제주특별자치도 서귀포시 성산읍 고성오조로 74,2020-06-30,dentist
33.2749678067,126.6607174819,위미연세치과의원,064-764-2299,제주특별자치도 서귀포시 남원읍 태위로 123,2020-06-30,dentist
33.2791539171,126.7196203159,돌담치과의원,064-764-2275,제주특별자치도 서귀포시 남원읍 태위로 684,2020-06-30,dentist
33.4502902734,126.9131987641,고성치과의원,064-783-2772,제주특별자치도 서귀포시 성산읍 고성동서로 56번길 2,2020-06-30,dentist
33.2794970867,126.7198639646,우리들치과의원,064-764-7528,제주특별자치도 서귀포시 남원읍 태위로 687,2020-06-30,dentist
33.4462535018,126.9115594203,조은치과의원,064-784-7528,제주특별자치도 서귀포시 성산읍 일주동로 4282,2020-06-30,dentist
33.4501996,126.9111133,동남치과의원,064-784-2875,제주특별자치도 서귀포시 성산읍 고성오로조 71-1,2020-06-30,dentist
33.3257195513,126.8327926985,서울리더스치과의원,064-787-2875,제주특별자치도 서귀포시 표선면 표선동서로 246,2020-06-30,dentist
33.3260292359,126.8324398286,서울치과의원,064-787-2829,제주특별자치도 서귀포시 표선면 표선중앙로 80번길 1,2020-06-30,dentist
33.2789224808,126.7177532715,김의신치과의원,064-764-2820,제주특별자치도 서귀포시 남원읍 태위로 665-1,2020-06-30,dentist
33.3262892111,126.8326670239,강성백치과의원,064-787-7999,제주특별자치도 서귀포시 표선면 표선중앙로 79,2020-06-30,dentist
33.2793590228,126.7194135589,남원치과의원,064-764-2823,제주특별자치도 서귀포시 남원읍 태위로 683,2020-06-30,dentist
33.2214040708,126.2522047732,강부협치과의원,064-794-4744,제주특별자치도 서귀포시 대정읍 하모중앙로 75,2020-06-30,dentist
33.2216005625,126.2536963098,이승훈치과의원,064-792-2804,제주특별자치도 서귀포시 대정읍 하모상가로 46,2020-06-30,dentist
33.2213908789,126.2518101302,포도나무치과의원,064-794-7528,제주특별자치도 서귀포시 대정읍 하모중앙로 76 ,2020-06-30,dentist
33.2260414283,126.2527145679,강승우치과의원,064-794-2833,제주특별자치도 서귀포시 대정읍 동일하모로 201,2020-06-30,dentist
33.2216071532,126.25419399,서울i치과의원,064-792-7525,제주특별자치도 서귀포시 대정읍 신영로 108,2020-06-30,dentist
33.246553391,126.3356987762,안덕치과의원,064-792-8275,제주특별자치도 서귀포시 안덕면 화순로 101,2020-06-30,dentist
33.2840884496,126.2742564784,더치과의원,064-792-2874,제주특별자치도 서귀포시 대정읍 에듀시티로 148,2020-06-30,dentist
