위도,경도,amenity,name,phone,addr:full,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.2796350909,126.7202886092,doctors,남원고려의원,064-764-6988,,2020-06-30,,태위로,691,남원읍,,,
33.3257195513,126.8327926985,doctors,표선하늘의원,064-787-3883,,2020-06-30,,표선동서로,246,표선면,,,
33.4472547077,126.914729016,doctors,마디의원,064-782-7582,,2020-06-30,,일출로,18,성산읍,,,
33.3243356374,126.8308578473,doctors,표선연세의원,064-787-7123,,2020-06-30,,표선관정로,97,표선면,,,
33.3260292359,126.8324398286,doctors,표선삼성의원,064-787-8575,제주특별자치도 서귀포시 표선면 표선중앙로 80번길 1,2020-06-30,,표선중앙로,1,표선면,,,
33.4496171675,126.9150751798,doctors,우리의원,064-784-5575,제주특별자치도 서귀포시 성산읍 동류암로 36번길 23,2020-06-30,,동류암로,23,성산읍,,,
33.2749678067,126.6607174819,doctors,위미가정의원,064-764-5510,,2020-06-30,,태위로,123,남원읍,,,
33.4495807721,126.9145933727,doctors,최선365의원,064-784-6333,,2020-06-30,,고성오조로,67,성산읍,,,
33.32425012,126.831622699,doctors,표선의원,064-787-7805,,2020-06-30,,표선동서로,225,표선면,,,
33.3257163549,126.8330977252,doctors,해비치의원,064-787-6780,,2020-06-30,,표선중앙로,86,표선면,,,
33.4502518189,126.9149540997,doctors,동남의원,064-784-9400,,2020-06-30,,고성오조로,74,성산읍,,,
33.4497790701,126.9145114369,doctors,성산의원,064-782-4472,제주특별자치도 서귀포시 성산읍 고성동서로 56번길 16,2020-06-30,,고성동서로,16,성산읍,,,
33.2777901,126.7124888,doctors,남원의원,064-764-4156,,2020-06-30,,태위로,636,남원읍,,,
33.2225295602,126.2558596039,doctors,중앙의원,064-794-7274,,2020-06-30,,상모로,313,대정읍,,,
33.2221593687,126.2548672594,doctors,고은의원,064-794-7565,,2020-06-30,,상모로,323-1,대정읍,,,
33.2226752787,126.2542964892,doctors,강남정형외과의원,064-792-3001,,2020-06-30,,신영로,119,대정읍,,,
33.2216715745,126.2517090516,doctors,강문보내과의원,064-794-7085,,2020-06-30,,하모상가로,27,대정읍,,,
33.2218098504,126.2543167043,doctors,하나 신통의원,064-794-0075,,2020-06-30,,신영로,112-1,대정읍,,,
33.2216005625,126.2536963098,doctors,대정연합의원,064-792-3238,,2020-06-30,,하모상가로,46,대정읍,,,
33.2216005625,126.2536963098,doctors,대정의원,064-792-7588,,2020-06-30,,하모상가로,46,대정읍,,,
33.2213908789,126.2518101302,doctors,조재익신경외과의원,064-792-1224,,2020-06-30,,하모중앙로,76,대정읍,,,
33.2482037259,126.3361069222,doctors,송악의원,064-792-7585,,2020-06-30,,화순중앙로,45,안덕면,,,
33.2465825931,126.3344152235,doctors,안덕의원,064-794-0906,,2020-06-30,,화순로,112,안덕면,,,
33.2775150673,126.2794116396,doctors,카멜리아의원,064-794-2047,,2020-06-30,,영어도시로,60,대정읍,,,
33.2864911,126.2788987,doctors,이스톤의원,064-792-3536,,2020-06-30,,에듀시티로,102,대정읍,,,
33.222107139,126.2539752047,doctors,서울삼성재활의학과의원,064-792-8887,제주특별자치도 서귀포시 대정읍 하모상가로49,2020-06-30,,,,대정읍,,,
33.3049739532,126.3163541636,doctors, 비포앤애프터의원 ,064-901-0101,,2020-06-30,,신화역사로304번길,38,안덕면,,,
