용천수 명칭,위치,경도,위도,요약,세부내용
조반물,조천읍 신촌리,126°37′13″,33°32′18″,"중동마을 사람들이 주로 이용했던 조바물, 조배물","‘조반물’은 크게 두 군데 나뉘어져 있는데 용출 지점에 담을 쌓고 또 그 옆 해안가 쪽으로 다시 크게 길쭉하게 담을 쌓아 물통을 개보수 했다. 용출 지점의 물통에서는 식수로 사용했고, 바깥쪽은 물 흐르는 데를 일자형으로 만들어 채소를 씻거나 빨래를 하는 곳으로 만들었다. 이곳 역시 물이 좋았다고 한다. 지금은 낚시꾼들이 잡은 물고기를 가져와서 손질하고 씻는 곳으로 주로 이용한다. 올레길 18코스가 지나는 바닷가에 접해 있고 옆으로는 조간대가 펼쳐져 있다. 길에서 살짝 내려간 구조로 담을 높이 쌓아도 길에서 보면 안을 훤히 들여다 볼 수 있다. 그래서인지 청결하게 유지되고 있다. 물통은 특이하게 크게 두 군데로 나눠져 있으며, 바닷가에 접해있어 경관적 가치가 크다 하겠다."
조반물2,조천읍 신촌리 2061-1,126°37′14″,33°32′17″,,"‘조반물’의 한 구역이다. ‘조바(배)물’이라고 하지만 ‘셋물’이라고도 한다. ‘셋물’이라면 첫째, 둘째 할 때 둘째를 지칭할 때 사용하는 의미가 담긴 것이다. 주로 빨래를 할 때 이용하였고, 바다에서 헤엄치고 와서 몸을 씻었던 곳이었지만, 길을 내면서 말라버렸다. 물통 모습은 조금 남아있는데, 자세히 보지 않으면 지나치기 쉽다. 도로 아래쪽에 물통 형태가 조금 남아 있어 옛날 물통이 있었던 자리라는 것을 추측하게 하지만 멸실되었다고 볼 수 있다."
조반물3,조천읍 신촌리,126°37′12″,33°32′18″,바다에서 목욕을 한 후 몸을 씻는데 사용했던 물통,"해변 현무암 빌레 쪽에 동그란 욕탕 모양이며 자연석으로 이루어져 있다. 바다로 이어진 곳에 돌만 있고 안내판이 없어 인근에 거주하고 있는 주민 말고는 정확한 위치를 찾을 수 없다. 주민이 위치를 알려줘 손으로 물을 찍어 맛을 보니 단물이 확실했다. 바로 옆에는 ‘조반물(조바물)’ 이라는 물통이 잘 조성되어 있는데, 그 조반물의 한 줄기라 여겨진다. 마을 사람들은 크게 개보수한 ‘조반물’은 알고 있지만 바닷가 바위에 자연적으로 생긴 이 ‘둥근 조반물’은 기억을 못하고 있었다."
감언물,조천읍 신촌리 2052-2,126°37′18″,33°32′17″,동동 마을 사람들이 주로 먹었던 물통,"‘조반물’에서 200여 미터 떨어진 곳에 있으며, 크게 세 곳으로 나뉘어져 있다. 맨 위는 식수로 사용하고 나머지 두 곳에서는 채소를 씻고, 목욕과 빨래를 했다. 특이한 것은 식수통 위쪽에 동그란 우물통이 하나 더 있는데, 바닷물이 들어오면 물이 짜기 때문에 단물이 있는 곳을 하나 더 만들어 몸을 헹구었다고 한다. 동동 사람들이 먹는 물로 길러왔던 곳이지만 ‘조반물’보다는 물맛이 안 좋았다고 기억하고 있다. 옛날 동동 주민들은 한여름 밭에서 일하다가 더위를 식히러 이 물통을 찾았고, 주위에서 헤엄도 치고 놀았다. 물통 진입구 쪽에는 좌우로 나누는 담을 쌓았고, 또 더 가면 가로질러 담이 또 있다. 물통 수변공간을 크게 두 곳으로 나눈 것처럼 보이지만 입구 쪽 공간은 물통으로 쓰이지는 않았고, 입구일 뿐이다. 안에는 ‘물팡’도 있었지만 개보수를 하면서 없앴고, 담장은 외담이었는데 개보수하면서 방파제용 담으로 만들었다. 물통으로 들어가는 입구가 분명치 않고, 담도 허물어진 곳이 있어서 이곳이 물통인지 가늠하기 어렵다. 들어가는 바깥 입구 쪽은 돌들이 널브러져 있고, 안에는 작은 돌맹이들로 채워져 있다. 이 물통은 밀물 때가 되면 바닷물이 담장 높이 반쯤 까지 차 올라온다. 바닷가 쪽 담장은 물통의 경계담이면서 밀물 때 파도가 치면 방파제 역할도 한다."
큰물 - 동카름 여탕,조천읍 신촌리 2202-17,126°37′10″,33°32′16″,"신촌리에서 제일 큰 물, 주민·관광객들이 지금도 많이 이용하는 용천수","신촌 마을 해안가를 보면 옛날 식수로 사용했던 물통이 여럿 보이는데 단연 '큰물' 이 돋보인다. 큰물 중 가장 동쪽에 있는 물 이라고 해서 ‘동카름물’, ‘동펜(편)물’이라고도 한다. ‘큰물’은 세 개의 물통으로 이루어졌는데 큰물 중 양쪽 두 곳은 여탕이고, 가운데 한 곳은 남탕이다. 가장 동쪽(대수동 경로당 옆)에 있는 이 ‘큰물’의 물맛이 최고였다고 어르신들은 말한다. 예전에는 물통에 물이 가득 고일 때는 허벅 채로 첨벙 들여놓아서 물을 길어갔다. 지금도 지역 주민들이 이용하고 있고, 특히 여름철이면 관광객들도 몸을 씻으러 들리곤 한다. 신촌마을 사람들이 거의 이 큰물을 먹고 살았다고 하며 이 일대는 ‘물(담수) 바당’ 이라고 할 정도로 물이 좋았다고 한다. 이 ‘큰물’이 여탕이어서인지 담장을 높이 올려 쌓았다(약 50여 년 전). 예전에는 경계담이 외담으로 지금보다는 낮게 쌓아 있었는데 포구를 만들면서 시멘트로 더 올렸고, 물통 면적은 많이 축소되었다. 그때 바닥을 퍼내어서 물이 거의 말라버렸다고 주민들은 생각하고 있다. 옛날에는 ‘4H’에서 관리를 하였는데 그 후 청년회와 부녀회 회원들이 한 번씩 하고 있다. 정기적으로 관리는 하지 않는다. 들어가는 입구 담장 밖으로 ‘여’, ‘WOMEN’S SHOWER ROOM’이라고 쓴 작은 타일을 붙여 모양을 내고 있지만 정작 물통이름 간판은 없다. 입구는 터져있어 내부가 훤히 보이기 때문에 시멘트벽을 ‘ㅡ’자로 가로 막아 세워 놓았다. 물통 들어가는 입구에 화장실이 있어 위생상 우려가 되고, 보기에도 좋지 않다."
큰물2 - 남탕,조천읍 신촌리 2201-4,126°37′09″,33°32′15″,말이나 소에게 물을 먹이거나 씻기는 물이기도 해서 큰물이라고도 불렸던 물통,"‘큰물’ 세 군데 중 하나로 중간에 위치하며 보통 남자들이 목욕하는 물통이다. 예전에는 회천, 와흘, 대흘에서도 마소를 끌고 내려와 이물을 먹였다. 지금은 한여름이 되면 주민과 관광객들이 몸을 씻는 곳으로 이용하고 있다. 물통은 구분되지 않고 단순한 구조로 목욕만 하게 되어 있고, 경계담장을 2단으로 올려 쌓고, 한쪽 면이 담장으로 막혀있어서 안을 쉽게 들여다 볼 수 없게 되어 있다. 영어로 ‘남 MAN SHOWER ROOM’이라고 붙어 있고, 청결하게 관리하고 있다. 물통 담 넘어서도 물이 솟고 있음을 볼 수 있다. 이는 용출이 어느 한 지점만이 아니라 여러 군데라는 것과 용출량이 풍부하다는 사실을 말해 주는 것이다."
큰물3 - 서카름물,조천읍 신촌리,126°37′9″,33°32′14″,"큰물 세 군데 중 가장 서쪽에 있는 서카름물, 서펜물, 물통 잘 닦으민(청소하면) 곤(고운) 애기 난다.","물통은 세 칸으로 나뉘어져 있는데 맨 처음 나오는 물은 식수로 사용하고 다음은 채소를 씻고, 그 다음 물은 빨래를 했다. 날이 저물면 여자들이 몸을 씻는 곳으로 이용하기도 했다. 둥그렇게 담을 쌓았고, 동쪽은 지붕이 없고, 서쪽 담장 위로만 지붕을 설치해 놓았다. 담장과 입구 벽을 엇갈리게 쌓아서 안을 들여다보지 못하게 만들었으며, ‘큰물여탕’이라는 간판이 입구 벽에 붙어 있다. 이런 믿음이 있어서인지 청소를 자주 했고, 물이 세지 않을 때 아기 기저귀를 빨면 오물들이 물통에 떠다녀 특히 젊은 여자들이 청소를 열심히 할 수밖에 없었다. 오물을 내려야 하니 여러 사람이 물통 안으로 들어가 팔로 내저으며 더러운 물을 멀리 흘려보냈다. “어디 가는 디 빈 허벅 진 사름이 가로 질르민 재수까리 엇나” “늙은 사름(여자)은 될 수 이시민(있으면) 아척이(아침에) 나상(나서서) 댕기지(다니지) 말아”라고 해서 여자들은 거리를 다닐 때도 조심해야 했고, 아침에 고기잡이를 가거나 장사하러 나가는데 빈 허벅 진 여자를 만나면 그날 재수가 없다고 믿었다. 물허벅을 여자만 지는 것으로 알았던 고된 나날을 살았는데 왜 이런 여성차별적인 제약이 따랐는지 모를 일이다."
남당물,조천읍 신촌리,126°37′06″,33°32′15″,남성들만 주로 이용한 용천수,"주민들은 오래전부터 ‘남당물’을 ‘큰물’의 줄기라고 여긴다. 나이 많은 여러 주민들에게 물어도 왜 ‘남당물’인지는 정확히 알 수 없었다. 『섬의 산물 샘, SPRING(고병련, 2016)』에는 어선과 해녀의 일을 관장했다는 ‘남하르방당’을 모셨던 당의 물이라고 했지만, 그런 사실을 기억하는 주민은 찾을 수 없었다. 담장은 3단으로 쌓았는데 맨 아래 담장을 보면 주민들의 말처럼 예전부터 이 물통은 식수 보다는 남자들이 목욕탕 전용으로 사용했음을 알 수 있다. 주 용출지점의 정반대 쪽인 바닷가 쪽으로는 물이 내려가는 구멍을 만들어 놓았고 그 물도 바로 바다로 흘러가지 않도록 담장 너머에 또 다른 작은 물통을 만들어 놓았다. 그만큼 수량이 풍부함을 알 수 있다. 지금도 수심이 깊어 주로 성인 남자들이 목욕하는 곳으로 이용되고 있다. 맨 아래 용출부분도 자연석이고, 한쪽 바닥면으로는 자연바위를 그대로 둔 채 개보수를 하여 옛 모습을 추측할 수 있다. 물이 나오는 바닥 주위를 1단으로 사람들이 걸어 다닐 수 있게 시멘트로 정리했고, 또 그 위 2단은 다시 네모난 돌을 깔아 한 바퀴 빙 돌 수도 있게 했다. 물통 입구 바로 옆에 정자가 있어 오가는 사람들이 휴식처가 되고 있고, 잠시 쉬어가는 가운데 ‘남당물’ 있음을 느끼게 하고 있다. 수량도 풍부하고 들릴 때마다 깨끗이 관리되고 있었다."
엉창(엉)물,조천읍 신촌리,126°37′22″,33°32′17″,뱃사람들이 주로 이용한 성창가 빌레 위에서 솟아나는 물,"‘감언물’ 동쪽 가까이에 있는 ‘돌코지성창’에 있으며, ‘엉물’, ‘엉창물’이라고도 부른다. 예전의 돌코지성창은 지금의 신촌포구보다 많은 배들이 왕래 했는데 뱃사람들인 남자들이 주로 이용했고, 겨울에는 여자들도 이 물통에서 빨래를 했다. 아마 남자들이 목욕을 하지 않은 때라 이용을 했다고 보여진다. 주민들은 식수로는 적당하지 않다고 생각하고 있다. 지붕으로 반쯤 가려져 있고, 청결하게 관리되고 있으며, 바로 옆에 설치한 정자는 이 물통과 어울린다."
두말치물,조천읍 조천리 2680-2,126°38′11″,33°32′23″,주변 동네 사람들이 가장 많이 이용한 물,"물허벅을 지고 와서 물을 길어다가 물항에 채워 두었다가 식수나 생활용수로 사용했고, 채소를 씻거나 빨래를 하는 곳으로 이용하기도 했으며, 지대가 낮아서 목욕을 하는 곳으로도 사용했었다. 입구에 김숙사 치수기념비가 있다. 여성인 김숙사가 암반으로 이루어져 있던 두말치물 바닥을 돌로 정비하여 마을 여인들의 이용을 편하게 만들었는데, 이를 기리기 위하여 일제강점기 때 유인회(부인회)에서 치수비를 만들어 세워 둔 것이다. 조천리에서 안내판도 설치하여 관리하고 있으며, 현무암과 시멘트를 사용하여 담장 울타리가 둘러져 있고, 물 안에 쓰레기도 없이 아주 깨끗하게 관리가 되고 있다."
상동 두말치,조천읍 조천리 3086-1(동쪽 10m 바다),126°38′4″,33°32′10″,한 번을 뜨면 두 말을 뜰 수 있다하여 붙여진 두말치물,"상동 두말치물은 초등학교 뒤편에 있는 물로서, 옛날에는 물이 좋아서 동네사람들이 쓸 수 있도록 돌팡과 빨래팡도 만들어서 사용했다. 물허벅을 지고 와서 물팡에 올려놓고 제일 안쪽의 물을 길어다가 물항에 채워두면서 식수나 생활용수로 사용하기도 하고, 채소를 씻거나 빨래를 하는 장소로 사용했었다. 알새물보다 물 맛이 달아서 동네 사람들은 두말치물을 더 많이 사용하였다고 한다. 조천리에서 안내판을 설치하여 관리하고 있고, 현무암으로 돌담 울타리를 만들어서 관리하고 있으나 상수도가 보급되면서 이용도가 낮아서인지 파래 등 해조류가 생장하고, 흙과 뻘 등으로 덮여 있는 것을 볼 수 있다."
장수물,조천읍 조천리 2689(남쪽 30m 도로 아래),126°38′12″,33°32′12″,조천진성을 지키는 장수들이 먹었던 물,"장수물은 비석거리에서 연북정으로 가는 길에 솟아나던 물이었는데, 새로운 도로를 만들면서 다리가 설치되어 있다. 물이 좋고, 수량이 많아서 돌팡과 빨래팡도 만들어서 사용했으며, 흘러가는 곳을 칸을 나누어서 제일 위 칸의 물은 동네사람들이 물허벅을 지고 와서 물팡에 올려놓고 물을 길었고, 물항에 채워두면서 식수나 생활용수로 사용했다. 가운데 칸은 채소를 씻는 곳으로, 제일 아래 칸에서는 빨래를 하였으며, 목욕을 하는 용도로도 사용했다. 지역 주민 중 일부는 제사 때 항상 이 물을 받아서 사용했다고 하며, 연북정 동쪽에 사는 사람들은 장수물까지만 이용하고 건너에 있는 두말치물은 사용하지 않았다고 한다. 비석거리에서 연북정으로 가는 길에 새 도로를 만들면서 다리를 설치하고, 장수물을 메워버렸더니 어떤 할머니가 이 물을 막으면 조천사람 다 죽는다고 그 물을 흐르게 하라고 해서 4ㆍ3사건때 물을 텄고 현재도 물이 흐르고 있고, 지금도 빨래를 하곤 한다. 용천수는 지금도 흘러나오고 있지만 도로개설 및 교량 설치 이후로 용출량이 많이 줄어 가끔 채소를 씻거나 빨래를 하는 곳으로 이용되고 있다."
빌레물(양진사물),조천읍 조천리 2430,126°38′9″,33°32′22″,"절에 다닐 때는 빌레물(양진사물)로는 쌀을 씻고 밥하는 물로 사용했고, 족박물은 법당에 올리는 물 로 사용했지. 이제는 절에서 청소헐 때나 쓰고,...","사찰 내에 있는 용천수로 식수 및 생활전반에 걸쳐 사용하였으며, 특히 이곳은 2중 구조로 되어 있어 스님들이 수련을 하다가 심신의 피로를 달래며 목욕을 했던 곳이다. 용천수의 용출량이 많아서 절이 들어서지 않았을 때는 동내 주민들이 식수, 빨래 등 다용도로 사용했으나, 후에 절(양진사)이 들어선 뒤에는 주민들은 물만 길러다 먹었다고 한다. 물통으로 가는 길이 없어서 절 안으로 다녀야 하므로 주민들이 많이 이용하지 않았으나, 상수도가 없던 때는 절에서 음식을 만들었다고 한다. 물 정면에는 돌담이 있고 계단 우측에는 철제울타리가 되어있으나, 사용빈도가 적어서인지 물 위에 쓰레기가 있는 등 청결상태는 양호한 편이 아니다."
족박물,조천읍 조천리 2430,126°38′8″,33°32′21″,땅 밑 1m 정도에서 솟아나는 크기가 작은 용천수,"수량은 적었으나 족박물을 법당에 올리는 물로 사용했다. 빌레물은 어린 아이들이 놀던 곳이었지만 족박물은 깊고 가둬지는 형상이라 어른들이 목욕하는 용도로 이용했다. 안내판을 설치하여 관리하고 있으나 보호시설은 없으며, 상수도 보급으로 이용도가 낮아서인지 물통 주변에 쓰레기 등이 방치되어 있다."
