농장명,구분명,소재지도로명주소,소재지지번주소,위도,경도,사육마리수(마리)
농업회사법인 (주)봉골농장,산란계,,"경기도 김포시 월곶면 군하리 323번지 2호 ,323-70번지 ",37.7075202520,126.5535918318,25000
농업회사법인 (주)제일영농,육계,,경기도 김포시 하성면 석탄리 734번지 7호  ,37.7204533762,126.6521694527,80000
농업회사법인 가농 주식회사,산란계,경기도 김포시 대곶면 삭시갈마로 139,경기도 김포시 대곶면 대능리 733번지  ,37.6274314299,126.5975014579,300
농업회사법인 주안 주식회사,산란계,경기도 김포시 통진읍 율마로276번길 45-2,경기도 김포시 통진읍 가현리 798번지  ,37.6758593416,126.6010768499,55000
담안에 농원,육계,경기도 김포시 하성면 하성로 1197-10,경기도 김포시 하성면 시암리 140번지 2호  ,37.7667518280,126.6453469576,150
대고산농장,육계,,경기도 김포시 대곶면 대명리 615번지 1호  ,37.6532649512,126.5528213541,150
대명농장,육계,경기도 김포시 대곶면 대곶로20번길 207,경기도 김포시 대곶면 대명리 57번지  ,37.6534145431,126.5591989649,6000
대명농장Ⅱ,육계,경기도 김포시 대곶면 학의동로34번길 42,경기도 김포시 대곶면 대명리 583번지  ,37.6550636529,126.5580331619,67
대박축산,메추리,경기도 김포시 대곶면 고음달로 13-56,경기도 김포시 대곶면 대능리 886번지  ,37.6240283127,126.5980072136,12000
도담농원,산란계,경기도 김포시 하성면 평화공원로70번길 284-120,경기도 김포시 하성면 가금리 311번지  ,37.7378423486,126.6070238915,40000
도수농장,산란계,경기도 김포시 통진읍 마송2로104번길 58-25,경기도 김포시 통진읍 마송리 399번지 3호  ,37.6844219410,126.5893489103,24000
말무리농장,산란계,경기도 김포시 통진읍 애기봉로571번길 128-70,경기도 김포시 통진읍 귀전리 84번지  ,37.7326313145,126.6068254671,45000
명석농장,육계,경기도 김포시 월곶면 고척로 7,"경기도 김포시 월곶면 갈산리 19번지 , 19-1, 19-2, 20, 20-2 ",37.7147942666,126.5786867279,200
미혜농장,산란계,,경기도 김포시 대곶면 대능리 622번지 23호  ,37.6212458738,126.5927044521,11952
미화농장,산란계,,경기도 김포시 통진읍 가현리 625번지 8호  ,37.6779556025,126.5858630985,10000
밤농장,육계,,경기도 김포시 양촌읍 구래리 118번지  ,37.6474796,126.614941,5000
방글농장,산란계,,경기도 김포시 하성면 봉성리 258번지 2호  ,37.6932938038,126.6475807852,18000
방씨농장,육계,경기도 김포시 대곶면 약암로 522-24,경기도 김포시 대곶면 대벽리 803번지  ,37.6055575133,126.5618186536,60000
백산농원,육계,,경기도 김포시 양촌읍 구래리 산 37번지  ,37.6499864,126.6194132,14
백세농장,육계,경기도 김포시 통진읍 서암로 282-33,경기도 김포시 통진읍 동을산리 159번지 1호  ,37.7039451690,126.6131141177,990
봉성농장,산란계,경기도 김포시 통진읍 동을산로106번길 172-107,경기도 김포시 통진읍 동을산리 496번지  ,37.6932678933,126.6195590551,20000
부부농장,육계,경기도 김포시 대곶면 약암로 522-108,경기도 김포시 대곶면 대벽리 831번지  ,37.6052406612,126.5673285360,100
부부농장,육계,,경기도 김포시 양촌읍 석모리 690번지 1호  ,37.6587180758,126.6412244895,100
산천농장,육계,,경기도 김포시 대곶면 신안리 247번지 2호  ,37.6503500151,126.5399324052,70000
상권 농장,산란계,경기도 김포시 통진읍 애기봉로523번길 155,경기도 김포시 통진읍 귀전리 103번지 1호  ,37.7333718829,126.6022771503,300
상림,산란계,,경기도 김포시 통진읍 가현리 809번지 1호  ,37.6685143761,126.5835584074,38000
샘농원,육계,경기도 김포시 양촌읍 금포로1491번길 248,경기도 김포시 양촌읍 누산리 1035번지 6호  ,37.6720220063,126.6638743879,25000
샘재 양계장,육계,,경기도 김포시 운양동 119번지 8호  ,37.6484871515,126.6985015796,140000
서암리농장,산란계,경기도 김포시 통진읍 서암고정로 112,경기도 김포시 통진읍 서암리 593번지 2호  ,37.6943742171,126.6108461902,300
서울양계장,육계,경기도 김포시 대곶면 쇄암로89번길 35,경기도 김포시 대곶면 쇄암리 391번지  ,37.6754348221,126.5447803995,21
선풍농장,육계,"경기도 김포시 대곶면 대곶북로305번길 182, (석정리 112, 112-2)",경기도 김포시 대곶면 석정리 112번지  ,37.6707976576,126.5678806388,10000
성수농장,육계,경기도 김포시 통진읍 하성로 141-32,경기도 김포시 통진읍 수참리 67번지 1호  ,37.6891479358,126.6303598152,25000
성호농장,산란계,경기도 김포시 하성면 하성로242번길 58-6,경기도 김포시 하성면 하사리 202번지  ,37.6980362926,126.6366875789,50000
세명농장,산란계,경기도 김포시 통진읍 율마로211번길 100-13,경기도 김포시 통진읍 가현리 521번지 3호  ,37.6709090421,126.5925642690,370000
쇄암축산,메추리,경기도 김포시 대곶면 쇄암로 156-30,경기도 김포시 대곶면 쇄암리 56번지 1호  ,37.6825889836,126.5422844190,227880
수현2농장,육계,경기도 김포시 월곶면 포내로 102-39,경기도 김포시 월곶면 포내리 251번지 6호  ,37.7242479690,126.5291529365,20
수현농장,육계,경기도 김포시 월곶면 포내로 124,경기도 김포시 월곶면 포내리 252번지 4호  ,37.7258739107,126.5284962596,100000
순이농장,산란계,경기도 김포시 양촌읍 구래로 130,경기도 김포시 양촌읍 구래리 12번지 2호  ,37.6547072695,126.6144143236,3000
시암청정농원,육계,,경기도 김포시 하성면 시암리 396번지  ,37.7614721242,126.6339432192,45000
써니농장,산란계,경기도 김포시 통진읍 율마로275번길 200,경기도 김포시 통진읍 가현리 162번지 3호  ,37.6724170856,126.5882596686,50000
안골농원,산란계,,경기도 김포시 월곶면 조강리 107번지 109호  ,37.7473935506,126.5862566680,150
애기봉농장,산란계,"경기도 김포시 하성면 평화공원로70번길 284-127, (가금리 310-1, 310-2)",경기도 김포시 하성면 가금리 310번지 1호  ,37.7375420350,126.6078332915,50000
약산농장,산란계,경기도 김포시 대곶면 대곶서로89번길 81-26,경기도 김포시 대곶면 약암리 산 47번지 1호  ,37.6344641782,126.5699667364,80000
에스에프농장,산란계,경기도 김포시 고촌읍 금파로 261,경기도 김포시 고촌읍 향산리 906번지 2통  ,37.6215805442,126.7350808849,30000
영경농장,산란계,,경기도 김포시 고촌읍 신곡리 183번지 3호  ,37.6032779975,126.7846605955,120000
영창농장,육계,,경기도 김포시 대곶면 대벽리 185번지  ,37.6341256470,126.5788122670,40
영철농장,육계,,경기도 김포시 양촌읍 구래리 652번지 1호  ,37.6324963,126.6385808,4
오비농장,육계,경기도 김포시 양촌읍 유현삭시로 25-35,경기도 김포시 양촌읍 학운리 876번지  ,37.6220450978,126.6050681001,100
용농장,육계,,경기도 김포시 고촌읍 향산리 906번지 1호  ,37.6214110326,126.7348248313,24000
우리집토종닭,육계,,경기도 김포시 하성면 석탄리 491번지 32호  ,37.7252300328,126.6320813425,120000
우정농장,산란계,,경기도 김포시 대곶면 석정리 산 44번지  ,37.6701211714,126.5597582902,83000
운호농장,육계,,경기도 김포시 양촌읍 누산리 1089번지 75호  ,37.6712065036,126.6612197170,250
원기농장,산란계,,경기도 김포시 대곶면 약암리 930번지  ,37.6198835,126.5769223,12000
유성농장,산란계,경기도 김포시 대곶면 대곶북로 367-46,경기도 김포시 대곶면 석정리 46번지 2호  ,37.6757943978,126.5740436480,32000
은상농장,산란계,경기도 김포시 대곶면 율마로256번길 146-10,경기도 김포시 대곶면 거물대리 77번지  ,37.6705973825,126.6036689221,18000
은혜농장,산란계,,경기도 김포시 통진읍 가현리 산 50번지 3호  ,37.6784346127,126.5843530530,40000
인집농장,산란계,,경기도 김포시 하성면 시암리 453번지 2호  ,37.76172302,126.6389987,30000
일진농장,산란계,경기도 김포시 통진읍 가현로230번길 76,경기도 김포시 통진읍 가현리 324번지  ,37.6788688330,126.5962436164,61000
장락농장,산란계,경기도 김포시 대곶면 대곶로321번길 104,경기도 김포시 대곶면 쇄암리 445번지 4호  ,37.6708614482,126.5498962111,30000
정윤농장,육계,경기도 김포시 양촌읍 양곡로130번길 143,경기도 김포시 양촌읍 누산리 1036번지 158호  ,37.6718779346,126.6537841005,1400
젖가락이 행복한 농장,산란계,경기도 김포시 대곶면 대곶서로 190-28,경기도 김포시 대곶면 대벽리 174번지 1호  ,37.6354276917,126.5790442810,520
종훈농장,산란계,,경기도 김포시 통진읍 옹정리 산 58번지  ,37.6876399,126.5780315,20000
좋아좋아 토종닭 농장,육계,,경기도 김포시 하성면 시암리 218번지  ,37.7706970657,126.6365873022,1000
주일농장,산란계,,경기도 김포시 양촌읍 학운리 산 20번지  ,37.6151056,126.618086,2000
준희농장,산란계,"경기도 김포시 통진읍 가현로149번길 71, (가현리 622-3, 622-9)",경기도 김포시 통진읍 가현리 622번지 3호  ,37.6778419125,126.5869572137,35000
진영농장,산란계,경기도 김포시 고촌읍 금포로549번길 241,경기도 김포시 고촌읍 향산리 321번지 2호  ,37.6232695974,126.7481845093,120000
천풍농장,산란계,"경기도 김포시 대곶면 천호로116번길 7-56, (대곶면 대벽리 1039-1번지)",경기도 김포시 대곶면 대벽리 1039번지  ,37.6176925548,126.5679208467,9000
청계농장,산란계,,경기도 김포시 고촌읍 신곡리 439번지 18호  ,37.6087501117,126.7721302387,120
청솔산업,육계,경기도 김포시 통진읍 서암로 281-22,경기도 김포시 통진읍 귀전리 1008번지  ,37.7070618688,126.6104790761,50000
청암농장,메추리,경기도 김포시 대곶면 대곶서로89번길 166,경기도 김포시 대곶면 약암리 267번지  ,37.6368160950,126.5687587026,40000
초롱농장,산란계,,경기도 김포시 대곶면 송마리 178번지  ,37.663015,126.5701252,3000
태경농장,산란계,경기도 김포시 월곶면 김포대로2659번길 71-88,경기도 김포시 월곶면 군하리 323번지 30호  ,37.7058863162,126.5521491939,19000
태원농장,육계,"경기도 김포시 양촌읍 석모1로 100-16, (누산리 437-5, 437-6)",경기도 김포시 양촌읍 누산리 437번지 5호  ,37.6595423536,126.6567811533,400
푸른농장,산란계,"경기도 김포시 통진읍 가현로149번길 151-13, (가현리 633, 633-1)",경기도 김포시 통진읍 가현리 산 50번지 3호  ,37.6784346127,126.5843530530,9000
하나농장,육계,경기도 김포시 대곶면 대곶로119번길 365,"경기도 김포시 대곶면 대명리 210번지 , 208-1, 208-2, 209 ",37.6533729049,126.5472736824,147
하림농장,산란계,경기도 김포시 대곶면 약암로 598-50,경기도 김포시 대곶면 대벽리 1164번지  ,37.6123970804,126.5582430599,12000
하성농장,메추리,경기도 김포시 하성면 하성로1032번길 92-75,경기도 김포시 하성면 시암리 624번지 2호  ,37.7615996480,126.6470410631,25000
하성축산,메추리,경기도 김포시 하성면 마조로 97,경기도 김포시 하성면 마조리 709번지  ,37.7460912064,126.6240980904,12000
향산리농장,산란계,경기도 김포시 고촌읍 금파로319번길 81,경기도 김포시 고촌읍 향산리 810번지  ,37.6257487313,126.7357067746,12000
호은농장,육계,경기도 김포시 하성면 하성로 873-95,경기도 김포시 하성면 마조리 325번지  ,37.7498006773,126.6284358809,1000
효운농장,육계,경기도 김포시 양촌읍 듬박로20번길 12,"경기도 김포시 양촌읍 유현리 444번지 , 444-1 , 453 ",37.6345002665,126.6156855572,100
