표찰번호,설치개수,등수,소재지지번주소,리,지번,등주재질,위도,경도,관리기관전화번호,관리기관명,데이터기준일자
10월 05일,1,1,통진읍,마송리,612,전용주(강관),37.68378208,126.6051058,031-980-2796,김포시 도로관리과,2021-02-20
10월 06일,1,1,통진읍,마송리,612,전용주(강관),37.68420339,126.6051376,031-980-2796,김포시 도로관리과,2021-02-20
10월 07일,1,1,통진읍,마송리,612,전용주(강관),37.68449355,126.605017,031-980-2796,김포시 도로관리과,2021-02-20
10월 08일,1,1,통진읍,마송리,612,전용주(강관),37.68489161,126.6048335,031-980-2796,김포시 도로관리과,2021-02-20
10월 09일,1,2,통진읍,마송리,551,전용주(강관),37.68523841,126.6048119,031-980-2796,김포시 도로관리과,2021-02-20
100-1,1,1,고촌읍,신곡리,548-32,전용주(테파),37.60352524,126.7656882,031-980-2796,김포시 도로관리과,2021-02-20
100-10,1,2,고촌읍,신곡리,564-11,전용주(테파),37.60249329,126.7686691,031-980-2796,김포시 도로관리과,2021-02-20
100-11,1,2,고촌읍,신곡리,564-12,전용주(테파),37.60236359,126.768898,031-980-2796,김포시 도로관리과,2021-02-20
100-12,1,2,고촌읍,신곡리,564-12,전용주(테파),37.60224915,126.7691269,031-980-2796,김포시 도로관리과,2021-02-20
100-13,1,2,고촌읍,신곡리,281-48,전용주(테파),37.60209274,126.7693176,031-980-2796,김포시 도로관리과,2021-02-20
100-14,1,2,고촌읍,신곡리,564-5,전용주(테파),37.60193634,126.7695084,031-980-2796,김포시 도로관리과,2021-02-20
100-15,1,2,고촌읍,신곡리,1090,전용주(테파),37.60173035,126.7696915,031-980-2796,김포시 도로관리과,2021-02-20
100-16,1,1,고촌읍,신곡리,569-3,전용주(테파),37.60067749,126.7705536,031-980-2796,김포시 도로관리과,2021-02-20
100-17,1,1,고촌읍,신곡리,573-4,전용주(테파),37.60053635,126.7706757,031-980-2796,김포시 도로관리과,2021-02-20
100-18,1,1,고촌읍,신곡리,573-2,전용주(테파),37.60039139,126.770813,031-980-2796,김포시 도로관리과,2021-02-20
100-19,1,1,고촌읍,신곡리,573-1,전용주(테파),37.60023499,126.7709808,031-980-2796,김포시 도로관리과,2021-02-20
100-2,1,1,고촌읍,신곡리,561-1,전용주(테파),37.60344716,126.7660678,031-980-2796,김포시 도로관리과,2021-02-20
100-20,1,1,고촌읍,신곡리,574-3,전용주(테파),37.60007858,126.7711258,031-980-2796,김포시 도로관리과,2021-02-20
100-21,1,1,고촌읍,신곡리,575-4,전용주(테파),37.59996796,126.7712784,031-980-2796,김포시 도로관리과,2021-02-20
100-22,1,1,고촌읍,신곡리,575-18,전용주(테파),37.59982681,126.7714386,031-980-2796,김포시 도로관리과,2021-02-20
100-23,1,1,고촌읍,신곡리,1090,전용주(강관),37.60152054,126.7698746,031-980-2796,김포시 도로관리과,2021-02-20
100-24,1,1,고촌읍,신곡리,568-3,전용주(강관),37.60129166,126.7700577,031-980-2796,김포시 도로관리과,2021-02-20
100-25,1,1,고촌읍,신곡리,569-3,전용주(강관),37.60103989,126.770256,031-980-2796,김포시 도로관리과,2021-02-20
100-26,1,1,고촌읍,신곡리,569-3,전용주(강관),37.60084152,126.7704163,031-980-2796,김포시 도로관리과,2021-02-20
100-3,1,1,고촌읍,신곡리,550-2,전용주(테파),37.60335159,126.7663574,031-980-2796,김포시 도로관리과,2021-02-20
100-4,1,1,고촌읍,신곡리,550-2,전용주(테파),37.60324478,126.7666092,031-980-2796,김포시 도로관리과,2021-02-20
100-5,1,1,고촌읍,신곡리,550-2,전용주(테파),37.60317612,126.7668381,031-980-2796,김포시 도로관리과,2021-02-20
100-6,1,1,고촌읍,신곡리,550-2,전용주(테파),37.60308203,126.767091,031-980-2796,김포시 도로관리과,2021-02-20
100-7,1,1,고촌읍,신곡리,564-13,전용주(테파),37.60286247,126.7676919,031-980-2796,김포시 도로관리과,2021-02-20
100-8,1,2,고촌읍,신곡리,564-13,전용주(테파),37.60276031,126.7678909,031-980-2796,김포시 도로관리과,2021-02-20
100-9,1,2,고촌읍,신곡리,564-13,전용주(테파),37.60257339,126.7684174,031-980-2796,김포시 도로관리과,2021-02-20
101-1,1,1,고촌읍,신곡리,582-18,전용주(테파),37.5994072,126.772049,031-980-2796,김포시 도로관리과,2021-02-20
101-10,1,1,고촌읍,신곡리,218-14,전용주(강관),37.59770584,126.7747574,031-980-2796,김포시 도로관리과,2021-02-20
101-11,1,1,고촌읍,신곡리,1047-2,전용주(강관),37.59751511,126.7750778,031-980-2796,김포시 도로관리과,2021-02-20
101-12,1,1,고촌읍,신곡리,741-3,전용주(강관),37.59729767,126.7753448,031-980-2796,김포시 도로관리과,2021-02-20
101-13,1,1,고촌읍,신곡리,281-77,전용주(강관),37.59704971,126.775795,031-980-2796,김포시 도로관리과,2021-02-20
101-2,1,1,고촌읍,신곡리,582-7,전용주(테파),37.59919739,126.7723465,031-980-2796,김포시 도로관리과,2021-02-20
101-3,1,1,고촌읍,신곡리,218-14,전용주(테파),37.5990448,126.7726135,031-980-2796,김포시 도로관리과,2021-02-20
101-4,1,1,고촌읍,신곡리,218-14,전용주(테파),37.59889984,126.77285,031-980-2796,김포시 도로관리과,2021-02-20
101-5,1,1,고촌읍,신곡리,583-4,전용주(테파),37.59877396,126.7730255,031-980-2796,김포시 도로관리과,2021-02-20
101-6,1,1,고촌읍,신곡리,584-18,전용주(테파),37.59843445,126.7735672,031-980-2796,김포시 도로관리과,2021-02-20
101-7,1,1,고촌읍,신곡리,583-5,전용주(테파),37.59820557,126.7739487,031-980-2796,김포시 도로관리과,2021-02-20
101-8,1,1,고촌읍,신곡리,583-5,전용주(강관),37.59803391,126.774231,031-980-2796,김포시 도로관리과,2021-02-20
101-9,1,1,고촌읍,신곡리,583-5,전용주(강관),37.59787369,126.7745132,031-980-2796,김포시 도로관리과,2021-02-20
102-1,1,1,고촌읍,신곡리,806-2,전용주(기타),37.59472275,126.7691498,031-980-2796,김포시 도로관리과,2021-02-20
102-10,1,1,고촌읍,신곡리,806-5,전용주(기타),37.59374237,126.7675247,031-980-2796,김포시 도로관리과,2021-02-20
102-11,1,1,고촌읍,신곡리,806-5,전용주(기타),37.5935936,126.7672653,031-980-2796,김포시 도로관리과,2021-02-20
102-12,1,1,고촌읍,신곡리,806-5,전용주(기타),37.59343338,126.7669907,031-980-2796,김포시 도로관리과,2021-02-20
102-13,1,1,고촌읍,신곡리,806-5,전용주(기타),37.59325409,126.7667084,031-980-2796,김포시 도로관리과,2021-02-20
102-14,1,1,고촌읍,신곡리,806-5,전용주(기타),37.5930748,126.7665024,031-980-2796,김포시 도로관리과,2021-02-20
102-15,1,1,고촌읍,신곡리,806-5,전용주(기타),37.59287643,126.7663116,031-980-2796,김포시 도로관리과,2021-02-20
102-16,1,1,고촌읍,신곡리,806-5,전용주(기타),37.5926857,126.7661209,031-980-2796,김포시 도로관리과,2021-02-20
102-17,1,1,고촌읍,신곡리,806-5,전용주(기타),37.59250641,126.7659988,031-980-2796,김포시 도로관리과,2021-02-20
102-18,1,1,고촌읍,신곡리,806-5,전용주(기타),37.59228897,126.765831,031-980-2796,김포시 도로관리과,2021-02-20
102-19,1,1,고촌읍,신곡리,806-5,전용주(기타),37.59204483,126.7657013,031-980-2796,김포시 도로관리과,2021-02-20
102-2,1,1,고촌읍,신곡리,806-2,전용주(기타),37.59462357,126.7689972,031-980-2796,김포시 도로관리과,2021-02-20
102-3,1,1,고촌읍,신곡리,806-2,전용주(기타),37.59458923,126.7688217,031-980-2796,김포시 도로관리과,2021-02-20
102-4,1,1,고촌읍,신곡리,806-2,전용주(기타),37.59447098,126.7686615,031-980-2796,김포시 도로관리과,2021-02-20
102-5,1,1,고촌읍,신곡리,806-2,전용주(기타),37.59447861,126.7688217,031-980-2796,김포시 도로관리과,2021-02-20
102-6,1,1,고촌읍,신곡리,806-2,전용주(기타),37.59437943,126.7685928,031-980-2796,김포시 도로관리과,2021-02-20
102-7,1,1,고촌읍,신곡리,806-5,전용주(기타),37.59423828,126.7683258,031-980-2796,김포시 도로관리과,2021-02-20
102-8,1,1,고촌읍,신곡리,806-5,전용주(기타),37.59409714,126.7680893,031-980-2796,김포시 도로관리과,2021-02-20
102-9,1,1,고촌읍,신곡리,806-5,전용주(기타),37.59393692,126.7678146,031-980-2796,김포시 도로관리과,2021-02-20
103-1,1,1,고촌읍,신곡리,19,전용주(기타),37.58490372,126.7581635,031-980-2796,김포시 도로관리과,2021-02-20
103-10,1,1,고촌읍,신곡리,1007-2,전용주(기타),37.58778763,126.7612839,031-980-2796,김포시 도로관리과,2021-02-20
103-11,1,1,고촌읍,신곡리,1007-2,전용주(기타),37.58820724,126.761734,031-980-2796,김포시 도로관리과,2021-02-20
103-12,1,1,고촌읍,신곡리,1007-2,전용주(기타),37.58850861,126.7621002,031-980-2796,김포시 도로관리과,2021-02-20
103-13,1,1,고촌읍,신곡리,1007-2,전용주(기타),37.58883667,126.7624664,031-980-2796,김포시 도로관리과,2021-02-20
103-14,1,1,고촌읍,신곡리,1007-2,전용주(기타),37.58905792,126.7627182,031-980-2796,김포시 도로관리과,2021-02-20
103-15,1,1,고촌읍,신곡리,1007-2,전용주(기타),37.58937454,126.7630692,031-980-2796,김포시 도로관리과,2021-02-20
103-16,1,1,고촌읍,신곡리,1007-2,전용주(기타),37.58959579,126.7633209,031-980-2796,김포시 도로관리과,2021-02-20
103-17,1,1,고촌읍,신곡리,1007-2,전용주(기타),37.58985519,126.7635803,031-980-2796,김포시 도로관리과,2021-02-20
103-18,1,1,고촌읍,신곡리,1007-2,전용주(기타),37.59013367,126.7638931,031-980-2796,김포시 도로관리과,2021-02-20
103-19,1,1,고촌읍,신곡리,1007-2,전용주(기타),37.59037018,126.7641296,031-980-2796,김포시 도로관리과,2021-02-20
103-2,1,1,고촌읍,태리,903-2,전용주(기타),37.58527374,126.7585602,031-980-2796,김포시 도로관리과,2021-02-20
103-20,1,1,고촌읍,신곡리,1007-2,전용주(기타),37.59068298,126.7644424,031-980-2796,김포시 도로관리과,2021-02-20
103-21,1,1,고촌읍,신곡리,1007-3,전용주(기타),37.59098816,126.7647858,031-980-2796,김포시 도로관리과,2021-02-20
103-22,1,1,고촌읍,신곡리,1007-3,전용주(기타),37.59123611,126.7650528,031-980-2796,김포시 도로관리과,2021-02-20
103-23,1,1,고촌읍,신곡리,806-5,전용주(기타),37.5915451,126.7652893,031-980-2796,김포시 도로관리과,2021-02-20
103-24,1,1,고촌읍,신곡리,806-5,전용주(기타),37.59183502,126.7655029,031-980-2796,김포시 도로관리과,2021-02-20
103-3,1,1,고촌읍,태리,903-2,전용주(기타),37.58554077,126.7588959,031-980-2796,김포시 도로관리과,2021-02-20
103-4,1,1,고촌읍,태리,886-2,전용주(기타),37.58590317,126.7592697,031-980-2796,김포시 도로관리과,2021-02-20
103-5,1,1,고촌읍,태리,886-2,전용주(기타),37.58623505,126.759613,031-980-2796,김포시 도로관리과,2021-02-20
103-6,1,1,고촌읍,태리,886-2,전용주(기타),37.58653641,126.7599792,031-980-2796,김포시 도로관리과,2021-02-20
103-7,1,1,고촌읍,태리,886-2,전용주(기타),37.58687592,126.7603302,031-980-2796,김포시 도로관리과,2021-02-20
103-8,1,1,고촌읍,신곡리,1007-2,전용주(기타),37.58720016,126.7606964,031-980-2796,김포시 도로관리과,2021-02-20
103-9,1,1,고촌읍,신곡리,1007-2,전용주(기타),37.58745575,126.7609787,031-980-2796,김포시 도로관리과,2021-02-20
104-1,1,1,고촌읍,신곡리,584-7,전용주(기타),37.59853745,126.7715683,031-980-2796,김포시 도로관리과,2021-02-20
104-10,1,1,고촌읍,신곡리,590-2,전용주(기타),37.59648132,126.7709579,031-980-2796,김포시 도로관리과,2021-02-20
104-11,1,1,고촌읍,신곡리,590-2,전용주(기타),37.59629059,126.7708893,031-980-2796,김포시 도로관리과,2021-02-20
104-12,1,1,고촌읍,신곡리,590-2,전용주(기타),37.59614944,126.7708359,031-980-2796,김포시 도로관리과,2021-02-20
104-13,1,1,고촌읍,신곡리,590-2,전용주(기타),37.59596634,126.7707825,031-980-2796,김포시 도로관리과,2021-02-20
104-14,1,1,고촌읍,신곡리,631-3,전용주(기타),37.5958252,126.7707062,031-980-2796,김포시 도로관리과,2021-02-20
104-15,1,1,고촌읍,신곡리,806-2,전용주(기타),37.59565568,126.770565,031-980-2796,김포시 도로관리과,2021-02-20
104-16,1,1,고촌읍,신곡리,806-2,전용주(기타),37.59545517,126.7703171,031-980-2796,김포시 도로관리과,2021-02-20
104-17,1,1,고촌읍,신곡리,806-2,전용주(기타),37.59528351,126.77005,031-980-2796,김포시 도로관리과,2021-02-20
104-18,1,1,고촌읍,신곡리,806-2,전용주(기타),37.59514236,126.7698059,031-980-2796,김포시 도로관리과,2021-02-20
104-19,1,1,고촌읍,신곡리,806-2,전용주(기타),37.59497452,126.7695313,031-980-2796,김포시 도로관리과,2021-02-20
104-2,1,1,고촌읍,신곡리,584-7,전용주(기타),37.59838486,126.771553,031-980-2796,김포시 도로관리과,2021-02-20
104-20,1,1,고촌읍,신곡리,806-2,전용주(기타),37.59480286,126.7692642,031-980-2796,김포시 도로관리과,2021-02-20
104-3,1,1,고촌읍,신곡리,590-2,전용주(기타),37.59818268,126.771492,031-980-2796,김포시 도로관리과,2021-02-20
104-4,1,1,고촌읍,신곡리,590-2,전용주(기타),37.59800339,126.771431,031-980-2796,김포시 도로관리과,2021-02-20
104-5,1,1,고촌읍,신곡리,590-2,전용주(기타),37.59784317,126.7713928,031-980-2796,김포시 도로관리과,2021-02-20
104-6,1,1,고촌읍,신곡리,590-2,전용주(기타),37.59761429,126.7713242,031-980-2796,김포시 도로관리과,2021-02-20
104-7,1,1,고촌읍,신곡리,590-2,전용주(기타),37.59740067,126.7712555,031-980-2796,김포시 도로관리과,2021-02-20
104-8,1,1,고촌읍,신곡리,590-2,전용주(기타),37.59716034,126.7711792,031-980-2796,김포시 도로관리과,2021-02-20
104-9,1,1,고촌읍,신곡리,590-2,전용주(기타),37.5967865,126.7710648,031-980-2796,김포시 도로관리과,2021-02-20
105-1,1,2,고촌읍,신곡리,1061,전용주(스텐),37.60292435,126.7671661,031-980-2796,김포시 도로관리과,2021-02-20
105-10,1,2,고촌읍,신곡리,1195,전용주(스텐),37.60060883,126.7656479,031-980-2796,김포시 도로관리과,2021-02-20
105-11,1,2,고촌읍,신곡리,1195,전용주(스텐),37.60029963,126.7656502,031-980-2796,김포시 도로관리과,2021-02-20
105-12,1,2,고촌읍,신곡리,1274,전용주(스텐),37.60061322,126.7659012,031-980-2796,김포시 도로관리과,2021-02-20
105-13,1,2,고촌읍,신곡리,1274,전용주(스텐),37.60091954,126.7658946,031-980-2796,김포시 도로관리과,2021-02-20
105-14,1,2,고촌읍,신곡리,1274,전용주(스텐),37.6012281,126.7658766,031-980-2796,김포시 도로관리과,2021-02-20
105-15,1,2,고촌읍,신곡리,1274,전용주(스텐),37.60153017,126.7659974,031-980-2796,김포시 도로관리과,2021-02-20
105-16,1,2,고촌읍,신곡리,1274,전용주(스텐),37.60177612,126.7662146,031-980-2796,김포시 도로관리과,2021-02-20
105-17,1,1,고촌읍,신곡리,1274,전용주(스텐),37.60197929,126.7664405,031-980-2796,김포시 도로관리과,2021-02-20
105-18,1,2,고촌읍,신곡리,1274,전용주(스텐),37.6021847,126.7666635,031-980-2796,김포시 도로관리과,2021-02-20
105-19,1,2,고촌읍,신곡리,1274,전용주(스텐),37.60235851,126.7668498,031-980-2796,김포시 도로관리과,2021-02-20
105-2,1,2,고촌읍,신곡리,1061,전용주(스텐),37.60276031,126.766983,031-980-2796,김포시 도로관리과,2021-02-20
105-20,1,2,고촌읍,신곡리,1274,전용주(스텐),37.60249854,126.767039,031-980-2796,김포시 도로관리과,2021-02-20
105-21,1,2,고촌읍,신곡리,1274,전용주(스텐),37.60267685,126.7672253,031-980-2796,김포시 도로관리과,2021-02-20
105-22,1,2,고촌읍,신곡리,1274,전용주(스텐),37.60284167,126.767423,031-980-2796,김포시 도로관리과,2021-02-20
105-3,1,2,고촌읍,신곡리,1061,전용주(스텐),37.60255814,126.7667542,031-980-2796,김포시 도로관리과,2021-02-20
105-4,1,2,고촌읍,신곡리,1193,전용주(스텐),37.60232176,126.7664875,031-980-2796,김포시 도로관리과,2021-02-20
105-5,1,2,고촌읍,신곡리,1193,전용주(스텐),37.602078,126.7662392,031-980-2796,김포시 도로관리과,2021-02-20
105-6,1,2,고촌읍,신곡리,1195,전용주(스텐),37.60185904,126.7660049,031-980-2796,김포시 도로관리과,2021-02-20
105-7,1,2,고촌읍,신곡리,1195,전용주(스텐),37.60158152,126.7657679,031-980-2796,김포시 도로관리과,2021-02-20
105-8,1,2,고촌읍,신곡리,1195,전용주(스텐),37.60126145,126.7656557,031-980-2796,김포시 도로관리과,2021-02-20
105-9,1,2,고촌읍,신곡리,1195,전용주(스텐),37.60091782,126.7656479,031-980-2796,김포시 도로관리과,2021-02-20
106-1,1,2,고촌읍,신곡리,1195,전용주(스텐),37.59986115,126.7656708,031-980-2796,김포시 도로관리과,2021-02-20
106-10,1,2,고촌읍,신곡리,1199,전용주(스텐),37.59733582,126.7655106,031-980-2796,김포시 도로관리과,2021-02-20
106-11,1,1,고촌읍,신곡리,1198,전용주(스텐),37.59754181,126.765358,031-980-2796,김포시 도로관리과,2021-02-20
106-12,1,1,고촌읍,신곡리,1197,전용주(스텐),37.59775543,126.7653503,031-980-2796,김포시 도로관리과,2021-02-20
106-13,1,1,고촌읍,신곡리,1199,전용주(스텐),37.59737396,126.7652817,031-980-2796,김포시 도로관리과,2021-02-20
106-14,1,1,고촌읍,신곡리,1199,전용주(스텐),37.59708786,126.7652359,031-980-2796,김포시 도로관리과,2021-02-20
106-15,1,2,고촌읍,신곡리,1274,전용주(스텐),37.59727478,126.7658234,031-980-2796,김포시 도로관리과,2021-02-20
106-16,1,2,고촌읍,신곡리,1252,전용주(스텐),37.59757614,126.765892,031-980-2796,김포시 도로관리과,2021-02-20
106-17,1,2,고촌읍,신곡리,1274,전용주(스텐),37.59785461,126.7659225,031-980-2796,김포시 도로관리과,2021-02-20
106-18,1,2,고촌읍,신곡리,1250,전용주(스텐),37.59818268,126.7659225,031-980-2796,김포시 도로관리과,2021-02-20
106-19,1,2,고촌읍,신곡리,1274,전용주(스텐),37.59840012,126.765892,031-980-2796,김포시 도로관리과,2021-02-20
106-2,1,2,고촌읍,신곡리,1195,전용주(스텐),37.59963226,126.7656784,031-980-2796,김포시 도로관리과,2021-02-20
106-20,1,2,고촌읍,신곡리,1250,전용주(스텐),37.59880829,126.7659073,031-980-2796,김포시 도로관리과,2021-02-20
106-21,1,2,고촌읍,신곡리,1274,전용주(스텐),37.5991745,126.7659225,031-980-2796,김포시 도로관리과,2021-02-20
106-22,1,2,고촌읍,신곡리,1250,전용주(스텐),37.5994339,126.7659912,031-980-2796,김포시 도로관리과,2021-02-20
106-23,1,2,고촌읍,신곡리,1274,전용주(스텐),37.59968948,126.7659683,031-980-2796,김포시 도로관리과,2021-02-20
106-24,1,2,고촌읍,신곡리,1247,전용주(스텐),37.59994125,126.7659607,031-980-2796,김포시 도로관리과,2021-02-20
106-25,1,1,고촌읍,신곡리,1274,전용주(스텐),37.60029565,126.7659163,031-980-2796,김포시 도로관리과,2021-02-20
106-3,1,2,고촌읍,신곡리,1195,전용주(스텐),37.59937286,126.7656784,031-980-2796,김포시 도로관리과,2021-02-20
106-4,1,2,고촌읍,신곡리,1195,전용주(스텐),37.59914398,126.7656708,031-980-2796,김포시 도로관리과,2021-02-20
106-5,1,2,고촌읍,신곡리,1195,전용주(스텐),37.59877396,126.7656555,031-980-2796,김포시 도로관리과,2021-02-20
106-6,1,2,고촌읍,신곡리,281-64,전용주(스텐),37.5983696,126.7656479,031-980-2796,김포시 도로관리과,2021-02-20
106-7,1,2,고촌읍,신곡리,834-2,전용주(스텐),37.59812546,126.7656326,031-980-2796,김포시 도로관리과,2021-02-20
106-8,1,2,고촌읍,신곡리,1197,전용주(스텐),37.5978241,126.7656174,031-980-2796,김포시 도로관리과,2021-02-20
106-9,1,2,고촌읍,신곡리,1199,전용주(스텐),37.59751511,126.7655258,031-980-2796,김포시 도로관리과,2021-02-20
107-1,1,2,고촌읍,신곡리,1241,전용주(스텐),37.5969429,126.7654648,031-980-2796,김포시 도로관리과,2021-02-20
107-10,1,2,고촌읍,신곡리,864-11,전용주(스텐),37.59463882,126.7639999,031-980-2796,김포시 도로관리과,2021-02-20
107-11,1,2,고촌읍,신곡리,878-5,전용주(스텐),37.59432602,126.7637558,031-980-2796,김포시 도로관리과,2021-02-20
107-12,1,2,고촌읍,신곡리,1274,전용주(스텐),37.5942955,126.7640457,031-980-2796,김포시 도로관리과,2021-02-20
107-13,1,2,고촌읍,신곡리,1274,전용주(스텐),37.59456635,126.7642593,031-980-2796,김포시 도로관리과,2021-02-20
107-14,1,2,고촌읍,신곡리,1274,전용주(스텐),37.59477997,126.7644882,031-980-2796,김포시 도로관리과,2021-02-20
107-15,1,2,고촌읍,신곡리,1274,전용주(스텐),37.59506607,126.764679,031-980-2796,김포시 도로관리과,2021-02-20
107-16,1,2,고촌읍,신곡리,1274,전용주(스텐),37.59534454,126.7649155,031-980-2796,김포시 도로관리과,2021-02-20
107-17,1,2,고촌읍,신곡리,1274,전용주(스텐),37.59562302,126.7651062,031-980-2796,김포시 도로관리과,2021-02-20
107-18,1,2,고촌읍,신곡리,1274,전용주(스텐),37.59587097,126.7652664,031-980-2796,김포시 도로관리과,2021-02-20
107-19,1,2,고촌읍,신곡리,1274,전용주(스텐),37.59618378,126.7654343,031-980-2796,김포시 도로관리과,2021-02-20
107-2,1,2,고촌읍,신곡리,1241,전용주(스텐),37.59671021,126.7653732,031-980-2796,김포시 도로관리과,2021-02-20
107-20,1,2,고촌읍,신곡리,1274,전용주(스텐),37.59646988,126.7655563,031-980-2796,김포시 도로관리과,2021-02-20
107-21,1,2,고촌읍,신곡리,1274,전용주(스텐),37.59675598,126.7656708,031-980-2796,김포시 도로관리과,2021-02-20
107-22,1,2,고촌읍,신곡리,1274,전용주(스텐),37.59702682,126.7657623,031-980-2796,김포시 도로관리과,2021-02-20
107-3,1,2,고촌읍,신곡리,1241,전용주(스텐),37.59647369,126.7652893,031-980-2796,김포시 도로관리과,2021-02-20
107-4,1,2,고촌읍,신곡리,1243,전용주(스텐),37.59616852,126.7651901,031-980-2796,김포시 도로관리과,2021-02-20
107-5,1,2,고촌읍,신곡리,1243,전용주(스텐),37.59586716,126.7650299,031-980-2796,김포시 도로관리과,2021-02-20
107-6,1,2,고촌읍,신곡리,1240,전용주(스텐),37.59564972,126.7648697,031-980-2796,김포시 도로관리과,2021-02-20
