시도명,시군구명,업체명,대표자명,종류,연락처,소재지주소
강원도,동해시,행정사이용호사무소,이용호,일반,033-535-2231,강원도 동해시 천곡로 71 (천곡동)
강원도,동해시,플러스행정사사무소,장성균,일반,033-535-5718,강원도 동해시 평원로 78 (평릉동)
강원도,삼척시,김학철행정사사무소,김학철,일반,033-572-3055,강원도 삼척시 근덕면 삼척로 3658-25
강원도,삼척시,행정대서심원수사무소,심원수,일반,033-573-3572,강원도 삼척시 진주로 21(남양동) 
강원도,삼척시,김순홍행정사사무소,김순홍,일반,033-573-7681,강원도 삼척시 원덕읍 삼척로 1232
강원도,삼척시,박종길행정사사무소,박종길,일반,033-574-3761,강원도 삼척시 정상로 91-40(교동)
강원도,삼척시,한마음행정사사무소,김동숙,일반,033-574-9989,강원도 삼척시 교동로 21(당저동) 1층 1호
강원도,삼척시,금강행정사사무소,김신우,일반,033-575-1800,강원도 삼척시 정상안길 97(정상동) 금강프라자 202호
강원도,속초시,해운행정사사무소,김찬욱,기술,,강원도 속초시 동해대로 3938-1 (조양동)
강원도,속초시,해운행정사사무소,김찬욱,일반,,강원도 속초시 동해대로 3938-1 (조양동)
강원도,속초시,콜미행정법률사무소,이상백,일반,,"강원도 속초시 청대로 207 상가동201-202호(조양동, 삼성쉐르빌)"
강원도,속초시,행정사고성덕사무소,고성덕,일반,033-633-5539,강원도 속초시 중앙로 76-1(청학동)
강원도,속초시,김만수행정사사무소,김만수,일반,033-636-2530,강원도 속초시 장안로 34(동명동)
강원도,속초시,행정사서일교사무소,서일교,일반,033-636-7115,강원도 속초시 청봉로 173(설악동)
강원도,속초시,설악녹취전문행정사사무소,지만춘,일반,033-638-2302,강원도 속초시 중앙로 223(중앙동)
강원도,속초시,설악공증대행행정사무소,김광수,일반,033-638-6002,강원도 속초시 중앙로 223 (동명동)
강원도,속초시,행정사안성학사무소,안성학,일반,033-638-9100,"강원도 속초시 중앙로 207-1, 1층(중앙동)"
강원도,속초시,이영복행정사사무소,이영복,일반,033-638-9360,강원도 속초시 중앙로 209(동명동)
강원도,양구군,행정사 이태균 사무실,이태균,일반,033-481-0647,강원도 양구군 남면 삼팔선로 12(영광여관)
강원도,양구군,명인행정사,고명호,일반,033-481-0892,강원도 양구군 양구읍 양록길 14
강원도,양양군,유기호 행정사 사무소,유기호,일반,033-672-0628,강원도 양양군 양양읍 군청길 6
강원도,양양군,이재민 행정사 사무소,이재민,일반,033-672-2845,강원도 양양군 양양읍 양양로 84
강원도,양양군,김기철 행정사 사무소,김기철,일반,033-672-4565,강원도 양양군 양양읍 임천1길 38-1
강원도,양양군,심호진 행정사 사무소,심호진,일반,033-672-8720,강원도 양양군 양양읍 복개길 10
강원도,영월군,동네방네 행정사 사무소,이효식,일반,033-373-2483,강원도 영월군 영월읍 중앙1로 32-2
강원도,영월군,영월행정사사무소,이보완,일반,033-374-0757,강원도 영월군 영월읍 영월향교1길 9
강원도,영월군,114행정사사무소,신석,일반,033-374-8855,강원도 영월군 영월읍 하송로 149
강원도,영월군,김종식행정사사무소,김종식,일반,033-378-0036,강원도 영월군 중동면 태백산로 338-29 
강원도,원주시,김동규 행복이 꽃피는 행정사,김동규,일반,,강원도 원주시 남산로 225 (학성동)
강원도,원주시,호정 여민구 행정사사무소,여민구,일반,,강원도 원주시 우산로 72 (우산동)
강원도,원주시,행정사김태형사무소,김태형,일반,,강원도 원주시 북원로 1829 (무실동)
강원도,원주시,전용락 행정사 사무소,전용락,일반,,"강원도 원주시 섬밭들1길 40,401호 (무실동)"
강원도,원주시,삼오행정사사무소,박창덕,일반,,강원도 원주시 흥업면 매남동길 1
강원도,원주시,이남순행정사사무소,이남순,일반,,"강원도 원주시 반곡길 47, 상가동 104호 (반곡동, 반곡벽산블루밍2차아파트 상가)"
강원도,원주시,명규용사무소,명규용,일반,,강원도 원주시 천사로 171 (일산동)
강원도,원주시,굿모닝행정사사무소,이철호,일반,,강원도 원주시 학성안길 47 (학성동)
강원도,원주시,바른 행정사 사무소,임인섭,일반,,"강원도 원주시 흥업면 울업1길 2, 2층"
강원도,원주시,원주서재원행정사사무소,서재원,일반,,강원도 원주시 지정면 신지정로 187
강원도,원주시,송재성 행정사 사무소,송재성,일반,,강원도 원주시 단구로 66 (단계동)
강원도,원주시,김영학행정사사무소,김영학,일반,,강원도 원주시 무실본동길 45 (무실동)
강원도,원주시,대현행정사무소,최경식,일반,,강원도 원주시 소초면 북원로 3006
강원도,원주시,박흥배행정사사무소,박흥배,일반,,강원도 원주시 무실새골길 8 (무실동)
강원도,원주시,행정사이상우사무소,이상우,일반,,강원도 원주시 남산로 210-1 (학성동)
강원도,원주시,한온행정사무소,이완중,일반,033 762 8424,"강원도 원주시 학성길 46 (학성동, 삼천리1차아파트)"
강원도,원주시,이룸 행정사 사무소,윤용현,일반,033 900 8835,"강원도 원주시 북원로 2235-12, 108호 (단계동, 이룸레지던스)"
강원도,원주시,김종득 행정사 사무소,김종득,일반,033-700-8000,"강원도 원주시 행구로 80, 상가동 105호 (봉산동, 삼익아파트 상가)"
강원도,원주시,태양행정사사무소,홍기영,일반,033-731-0059,강원도 원주시 북원로 2451-7 (우산동)
강원도,원주시,치악행정사사무소,이일종,일반,033-731-5779,강원도 원주시 원일로 182-1 (학성동)
강원도,원주시,행정사차상길사무소,차상길,일반,033-732-7700,강원도 원주시 남산로 184 (학성동)
강원도,원주시,하나행정사사무소,원금상,일반,033-734-5115,강원도 원주시 원일로 8 (인동)
강원도,원주시,박용선행정사사무소,박용선,일반,033-734-8999,강원도 원주시 문막읍 원문로 1802
강원도,원주시,고재석행정사사무소,고재석,일반,033-735-3403,"강원도 원주시 흥양로51번길 18, 203동 1202호 (태장동, 태장주공2단지아파트)"
강원도,원주시,진우행정사사무소,이명정,일반,033-742-1030,"강원도 원주시 흥양로51번길 20, 406동 1201호 (태장동, 태장주공4단지아파트)"
강원도,원주시,행정사맹재성사무소,맹재성,일반,033-742-5300,강원도 원주시 남산로 206 (학성동)
강원도,원주시,신승표행정사사무소,신승표,일반,033-743-4259,강원도 원주시 한지공원길 184 (단계동)
강원도,원주시,나봉문행정사사무소,나봉문,일반,033-743-4402,강원도 원주시 남산로 210-1 (학성동)
강원도,원주시,인도움행정사사무소,이창승,일반,033-744-2292,"강원도 원주시 중앙로 215, 2층 (학성동)"
강원도,원주시,행정사박광문사무소,박광문,일반,033-744-9910,강원도 원주시 남산로 211 (학성동)
강원도,원주시,행정사 이상환 사무소,이상환,일반,033-745-2248,강원도 원주시 갈머리2길 11-5 (일산동)
강원도,원주시,박장호행정사사무소,박장호,일반,033-745-9357,강원도 원주시 남산로 202 (학성동)
강원도,원주시,행정사 김용철사무소,김용철,일반,033-746-3222,강원도 원주시 무실본동길 45 (무실동)
강원도,원주시,이경묵행정사사무소,이경묵,일반,033-746-5119,강원도 원주시 치악로 1878-8 (봉산동)
강원도,원주시,행정사김재성사무소,김재성,일반,033-747-8700,강원도 원주시 무실새골길 12 (무실동)
강원도,원주시,행정사,조석범,일반,033-749-8487,"강원도 원주시 북원로 2235-12, 3층 306호 (단계동)"
강원도,원주시,행정사안흥청사무소,안흥청,일반,033-761-4983,강원도 원주시 치악로 1339 (관설동)
강원도,원주시,윤도경행정사,윤도경,일반,033-761-5470,강원도 원주시 섭재삼보길 33 (관설동)
강원도,원주시,태성행정사사무소,호태성,일반,033-761-6827,강원도 원주시 무실로 242 (단계동)
강원도,원주시,행정사김동준사무소,김동준,일반,033-761-7566,강원도 원주시 단구초교길 39 (단구동)
강원도,원주시,행정사진기창사무소,진기창,일반,033-761-9055,강원도 원주시 치악로 1754-2 (개운동)
강원도,원주시,원주행정사,송영복,일반,033-762-0515,강원도 원주시 남산로 220 (학성동)
강원도,원주시,이강식사무소,이강식,일반,033-762-0610,강원도 원주시 원일로 24 (인동)
강원도,원주시,행정사김학길사무소,김학길,일반,033-763-1077,"강원도 원주시 무실로 117, 1층 1호 (원동)"
강원도,원주시,세일행정사,김남규,일반,033-763-2763,강원도 원주시 남원로527번길 8-36 (명륜동)
강원도,원주시,행정사김복길사무소,김복길,일반,033-763-8678,"강원도 원주시 원일로 3, 1층 좌호 (명륜동)"
강원도,원주시,정재일행정사사무소,정재일,일반,033-764-0384,강원도 원주시 나비허리길 96 (관설동)
강원도,원주시,황재성행정사사무소,황재성,일반,033-765-9232,"강원도 원주시 만대로 53, 401호 (무실동)"
강원도,원주시,행정사김도형사무소,김도형,일반,033-766-4140,강원도 원주시 무실로 195 (명륜동)
강원도,원주시,최명숙 행정사 사무소,최명숙,일반,033-766-9914,강원도 원주시 늘품로 189 (반곡동)
강원도,인제군,인제더베스트행정사사무소,장국환,일반,,강원도 인제군 인제읍 인제로228번길 6
강원도,인제군,박행순행정사사무소,박행순,일반,033-461-2427,강원도 인제군 인제읍 인제로 188
강원도,인제군,손덕성행정사사무소,손덕성,일반,033-461-2719,강원도 인제군 인제읍 인제로 219-8
강원도,인제군,원종문행정사사무소,원종문,일반,033-461-2954,강원도 인제군 인제읍 비봉로 44-12
강원도,인제군,인제행정사사무소,박남규,일반,033-461-7740,강원도 인제군 인제읍 비봉로5번길 11
강원도,인제군,이천석행정사사무소,이천석,일반,033-462-2887,강원도 인제군 인제읍 인제로 177
강원도,인제군,양정우법무사사무소,양정우,일반,033-462-7799,강원도 인제군 인제읍 인제로 186
강원도,인제군,곽재윤행정사사무소,곽재윤,일반,033-462-9425,강원도 인제군 인제읍 인제로 215-1
강원도,인제군,이승실행정사사무소,이승실,일반,033-463-1318,강원도 인제군 인제읍 인제로 221
강원도,정선군,공인중개사행정사 인광선사무소,인광선,일반,033-562-2010,강원도 정선군 화암면 소금강로 1135
강원도,정선군,행정사이창하사무소,이창하,일반,033-562-2728,강원도 정선군 임계면 송계3길 9
강원도,철원군,동송일반행정사,장종영,일반,,강원도 철원군 동송읍 이평로 123번길 33
강원도,철원군,행복을 주는 행정사,고종협,일반,,강원도 철원군 갈말읍 명성로 139번길 명품ESA 아파트 104동 1002호
강원도,철원군,길행정사,김병국,일반,033-452-1340,강원도 철원군 갈말읍 명성로 202-14 성우빌라 205호
강원도,철원군,황응렬사무소,황응렬,일반,033-452-2563,강원도 철원군 갈말읍 명성로 174번길 3
강원도,철원군,철원이평 행정사사무소,이충균,일반,033-455-9020,강원도 철원군 동송읍 금학로 199번길 1층
강원도,춘천시,한광호행정사,한광호,일반,,강원도 춘천시 세실로 173 (후평동)
강원도,춘천시,종합행정사사무소,최진우,일반,,강원도 춘천시 전원길 10-5 (효자동)
강원도,춘천시,영문번역행정사사무소,최예근,번역(영어),,"강원도 춘천시 행촌로 14, 206동 504호 (퇴계동, 현대2차아파트)"
강원도,춘천시,행정사이희춘사무소,이희춘,일반,,강원도 춘천시 동내면 춘천순환로72번길 34-8
강원도,춘천시,행정사차태환사무소,차태환,일반,,강원도 춘천시 동내면 영서로 1715
강원도,춘천시,서대석행정사사무소,서대석,일반,,"강원도 춘천시 서부대성로 216 (효자동, 지하1층)"
강원도,춘천시,김택희행정사무소,김택희,일반,,"강원도 춘천시 퇴계공단1길 41 (퇴계동, (주)춘천,우일물류2층)"
강원도,춘천시,에리트행정사무소,박응재,일반,,강원도 춘천시 춘천로 312 (후평동)
강원도,춘천시,행정사이순열사무소,이순열,일반,,강원도 춘천시 후만로 15 (후평동)
강원도,춘천시,민행정사사무소,민병은,일반,,강원도 춘천시 공지로 277 (효자동)
강원도,춘천시,김삼기 행정사 사무소,김삼기,일반,,"강원도 춘천시 삭주로 125, 301동 911호 (교동)"
강원도,춘천시,행정사최광택사무소,최광택,일반,033-241-0081,강원도 춘천시 칠전동2길 14-2 (칠전동)
강원도,춘천시,심우석행정사사무소,심우석,일반,033-241-9833,강원도 춘천시 영서로 2333 (온의동)
강원도,춘천시,행정사오웅철사무소,오웅철,일반,033-242-8802,"강원도 춘천시 공지로 293, 1층 (효자동, 화남빌딩)"
강원도,춘천시,전석근행정사사무소,전석근,일반,033-243-1800,강원도 춘천시 동내면 영서로 1781
강원도,춘천시,김용기행정사사무소,김용기,일반,033-243-3777,강원도 춘천시 공지로 276 (효자동)
강원도,춘천시,손행정사사무소,손종현,일반,033-243-7288,강원도 춘천시 영서로 2333 (온의동)
강원도,춘천시,정연선행정사사무소,정연선,일반,033-244-0896,강원도 춘천시 춘천로 180 (효자동)
강원도,춘천시,조장형행정사사무소,조장형,일반,033-244-2221,강원도 춘천시 춘천로 118 (효자동)
강원도,춘천시,행정사 정영환 사무소,정영환,일반,033-244-5050,강원도 춘천시 시청길12번길 5 (조양동)
강원도,춘천시,행정사이기연사무소,이기연,일반,033-244-5301,강원도 춘천시 공지로 280 (효자동)
강원도,춘천시,김영적행정사사무소,김영적,일반,033-251-3436,강원도 춘천시 공지로 280 (효자동)
강원도,춘천시,최호성행정사사무소,최호성,일반,033-252-4831,강원도 춘천시 공지로441번길 12-1 (근화동)
강원도,춘천시,일오삼행정사사무소,함영일,일반,033-252-5666,강원도 춘천시 춘천로282번길 21 (후평동)
강원도,춘천시,박광용행정사사무소,박광용,일반,033-252-6976,강원도 춘천시 춘천로44번길 16 (퇴계동)
강원도,춘천시,한근식행정사사무소,한근식,일반,033-252-7555,강원도 춘천시 공지로 295 (효자동)
강원도,춘천시,정경철행정사사무소,정경철,일반,033-253-8924,강원도 춘천시 공지로 277 (효자동)
강원도,춘천시,한상욱행정사사무소,한상욱,일반,033-254-3875,강원도 춘천시 남춘로55번길 3 (효자동)
강원도,춘천시,행정사신천호사무소,신천호,일반,033-254-5237,"강원도 춘천시 약사고개길 19, 6층 604호 (죽림동, 호수마을아파트)"
강원도,춘천시,행정사김형운사무소,김형운,일반,033-254-7262,강원도 춘천시 남춘로 57 (효자동)
강원도,춘천시,이원근행정사사무소,이원근,일반,033-254-9035,강원도 춘천시 춘천로64번길 17 (효자동)
강원도,춘천시,행정사 신원사무소,박만종,일반,033-255-5151,강원도 춘천시 동면 장학길 48 (한림성심대학)
강원도,춘천시,심상설행정사사무소,심상설,일반,033-255-7507,강원도 춘천시 후석로 289 (후평동)
강원도,춘천시,구본규행정사사무소,구본규,일반,033-256-2999,강원도 춘천시 공지로 297 (효자동)
강원도,춘천시,박종희행정사사무소,박종희,일반,033-256-8855,"강원도 춘천시 행촌로 11, 1층 112호 (퇴계동, 한성한진아파트상가)"
강원도,춘천시,NS 행정사 사무소,윤중기,일반,033-257-0601,"강원도 춘천시 서부대성로 12, 2층 18호 (소양로2가, 신동아아파트)"
강원도,춘천시,장재준행정사사무소,장재준,일반,033-257-5111,강원도 춘천시 공지로 332 (효자동)
강원도,춘천시,삼성행정사,어효용,일반,033-261-0014,강원도 춘천시 남산면 한치로 114
강원도,춘천시,행정사사무소,김석범,일반,033-261-8373,강원도 춘천시 우석로 44 (석사동)
강원도,춘천시,남궁표행정사사무소,남궁표,일반,033-262-0452,강원도 춘천시 신동면 정족길 106
강원도,춘천시,세종행정사무소,김용희,일반,033-262-6200,"강원도 춘천시 금강로 24, 2층 (소양로3가, 서울전기냉동)"
강원도,춘천시,서한직행정사사무소,서한직,일반,033-262-7935,"강원도 춘천시 퇴계로 108 (퇴계동, 11지구 27블럭 6롯트)"
강원도,춘천시,조영구행정사사무소,조영구,일반,033-262-7990,강원도 춘천시 공단로 64 (후평동)
강원도,춘천시,봄내행정사사무소,박준행,일반,033-263-7529,강원도 춘천시 남춘로 64 (효자동)
강원도,춘천시,길성표행정사사무소,길성표,일반,033-263-7871,강원도 춘천시 승지골길 5 (퇴계동)
강원도,춘천시,천주영행정사무소,천주영,일반,033-264-1070,"강원도 춘천시 퇴계로 220-20, 305동 1층 106호 (석사동, 현대아파트)"
강원도,춘천시,장연행정사사무소,조장연,일반,070-4114-7712,"강원도 춘천시 마장길 60, 1층 102호 (사농동, 롯데캐슬아파트단지상가)"
강원도,춘천시,안승규행정사,안승규,일반,070-4201-1231,강원도 춘천시 남산면 김유정로 427-49
강원도,평창군,새평창행정사,안영은,일반,,강원도 평창군 평창읍 노성로 35
강원도,평창군,Haooy행정사사무소,강희도,일반,,강원도 평창군 봉평면 흥정계곡길 20-5
강원도,평창군,평창행정사사무소,신종해,일반,,강원도 평창군 대화면 해뜰마을길 65-28
강원도,평창군,방림행정사,고재용,일반,033-332-1279,강원도 평창군 방림면 서동로 1283-38
강원도,평창군,인섭 행정사무소,김인섭,일반,033-332-2097,강원도 평창군 평창읍 노성로 213-4
강원도,평창군,신영선 행정사무소,신영선,일반,033-332-2335,강원도 평창군 평창읍 노성산길 9
강원도,평창군,산사모행정사사무소,안창화,일반,033-334-2524,강원도 평창군 평창읍 백오로 19
강원도,평창군,행정사 권순영사무소,권순영,일반,033-336-3100,강원도 평창군 진부면 진부중앙로 66
강원도,홍천군,심주형행정사,심주형,일반,,강원도 홍천군 홍천읍 송학로 14
강원도,홍천군,홍천종합행정사 사무소,최근우,일반,,강원도 홍천군 홍천읍 홍천로 487
강원도,홍천군,홍순영행정사,홍순영,일반,033-432-5501,강원도 홍천군 홍천읍 남산마을길 13-1
강원도,홍천군,금동행정사사무소,이춘자,일반,033-432-6258,강원도 홍천군 홍천읍 남산마을길 13-1
강원도,홍천군,도우미행정사,정재덕,일반,033-433-6969,강원도 홍천군 홍천읍 석화로 130
강원도,홍천군,심중근행정사,심중근,일반,033-433-6969,강원도 홍천군 홍천읍 석화로 130
강원도,홍천군,무궁화행정사,이연균외1,일반,033-434-0434,강원도 홍천군 홍천읍 홍천로 483-1
강원도,홍천군,심부름행정사,한영희,일반,033-434-4851,강원도 홍천군 홍천읍 공작산로 120-6
강원도,홍천군,권영석행정사사무소,권영석,일반,033-434-5863,강원도 홍천군 홍천읍 갈마로 26
강원도,홍천군,상우공인 중개사사무소,한치경,일반,033-436-8945,강원도 홍천군 홍천읍 홍천로 388
강원도,화천군,최종원행정사무소,최종원,일반,,강원도 화천군 사내면 포화로 787
강원도,화천군,정인행정사무소,김인규,일반,,강원도 화천군 화천읍 중앙로4길 10(2층)
강원도,횡성군,김철호행정사,김철호,일반,,강원도 횡성군 공근면 학오로 181
강원도,횡성군,선의행정사사무소,정선교,일반,,강원도 횡성군 갑천면 청정로 273-1
강원도,횡성군,박희구행정사,박희구,일반,,강원도 횡성군 횡성읍 삼일로 22
강원도,횡성군,고치용행정사,고치용,일반,,강원도 횡성군 횡성읍 읍상로 8
강원도,횡성군,김준구행정사,김준구,일반,033-343-3169,강원도 횡성군 횡성읍 한우로235번길 15
강원도,횡성군,행정사김순철사무소,김순철,일반,033-343-3634,강원도 횡성군 둔내면 둔내로 63
강원도,횡성군,고만수행정사,고만수,일반,033-343-3754,강원도 횡성군 횡성읍 문정로 16
강원도,횡성군,오후행정사,이재호,일반,033-343-5789,강원도 횡성군 횡성읍 섬강로 92
강원도,횡성군,이관형행정사,이원근,일반,033-345-0505,강원도 횡성군 횡성읍 화성로 45
