연번,업종명,업소명,주소,영업자,연락처,홈페이지,위도,경도,객실수
49,모텔/여관,헤라모텔,경상남도 산청군 신안면 원지강변로 49,최동복,055-973-3242,,35.300975,127.968813,18
50,모텔/여관,호텔홍천궁,경상남도 산청군 신안면 지리산대로 3657-13,이성근,055-972-0399,,35.314217,127.983691,15
51,모텔/여관,휴엔조이,경상남도 산청군 산청읍 중앙로 130,양호경,055-974-8883,,35.415278,127.876579,20
52,모텔/여관,루다펜션&식당,경상남도 산청군 단성면 백운로51번길 228,이장호,055-973-4637,,35.295282,127.883555,7
53,모텔/여관,봉쥬르,경상남도 산청군 단성면 지리산대로 2316,이남필,,,35.270546,127.886788,12
54,모텔/여관,부엉이 무인텔,경상남도 산청군 신안면 지리산대로 3694,천민정,055-974-3353,,35.315261,127.987909,19
55,모텔/여관,하나로 숙박,"경상남도 산청군 시천면 지리산대로 629, 하나로리포스",하하봉,,,35.2860376,127.7513347,11
56,온천/찜질방,덕진동의보감약초탕,경상남도 산청군 금서면 동의보감로555번길 58,곽기업,055-972-2828,,35.442256,127.828787,
57,온천/찜질방,산청한방리조트_찜질방,경상남도 산청군 산청읍 웅석봉로151번길 68,권일현,055-972-9989,,35.402794,127.884157,
58,온천/찜질방,삼정㈜산청온천,경상남도 산청군 산청읍 꽃봉산로162번길 14,김정식,055-972-8233,http://www.sjtown.co.kr,35.413174,127.882949,
59,콘도/연수원,산청한방가족호텔,경상남도 산청군 금서면 동의보감로479번길 43,심재범,055-972-7000,,35.438712,127.827708,108
60,콘도/연수원,지리산리조트,경상남도 산청군 금서면 친환경로 1715,최상근,055-973-8890,,35.394246,127.844842,62
61,콘도/연수원,휴롬산청빌리지,경상남도 산청군 금서면 동의보감로 645-40 (주)휴롬 산청빌리지 외 1필지(645-59),김재원,055-720-9000,,35.4417243,127.824986,70
62,관광펜션업,참조은펜션,경상남도 산청군 신안면 산청대로 1212번길 112-5,박동순,055-974-0344,,35.37092,127.9268,4
63,관광펜션업,별빛펜션,경상남도 산청군 삼장면 내하내원로 451,김태산,,,35.308614,127.797789,2
64,관광펜션업,라움펜션,경상남도 산청군 단성면 호암로701번길 155-14,이미연,,,35.334134,127.894296,9
65,가족호텔업,산청한방가족호텔,경상남도 산청군 금서면 동의보감로479번길 43,심재범,055-972-7000,,35.438712,127.827708,108
66,휴양콘도미니엄업,신세계리조트,경상남도 산청군 금서면 친환경로 1715,최상근,055-973-8890,,35.394246,127.844842,62
