시군명,시설구분,시설명,소재지도로명주소,소재지지번주소,전화번호,연면적,객석수또는관람석수또는병상수,위도,경도,데이터기준일자
양주시,노인요양시설,서울실버케어스,경기도 양주시 장흥면 호국로 407-6,,031-879-5553,3083.74,,37.713411,126.964071,2020-07-15
양주시,노인요양시설,성빈첸시오집,경기도 양주시 은현면 은현로55번길 224,,031-864-0927,1656.12,,37.878237,127.013758,2020-07-15
양주시,노인요양시설,양주대진요양원,경기도 양주시 남면 휴암로284번길 426-59,,031-868-8871,5093.78,,37.872165,126.975677,2020-07-15
양주시,노인요양시설,염광의집,경기도 양주시 장흥면 권율로 156-23,,031-878-8006,217362,,37.728983,126.951224,2020-07-15
양주시,노인요양시설,해오름요양원,경기도 양주시 백석읍 기산로440번길 91,,031-873-2513,1061.17,,37.773011,126.938816,2020-07-15
양주시,노인요양시설,행복한노인요양원,경기도 양주시 백석읍 부흥로397번길 21,,031-837-7175,134782,,37.817704,126.945818,2020-07-15
양주시,노인요양시설,양주실버케어센터,경기도 양주시 광적면 그루고개로32번길 17,,031-836-9803,1385.6,,37.820083,126.989903,2020-07-15
양주시,노인요양시설,해와달요양원,"경기도 양주시 평화로1426(덕계동,영토빌딩 6,7층)",,031-864-0011,1172.9,,37.814592,127.059553,2020-07-15
양주시,노인요양시설,삶과돌봄요양원,경기도 양주시 권율로309번길 317-59,,02-356-2121,1850.86,,37.749559,126.944149,2020-07-15
양주시,노인요양시설,서울양주요양원,경기도 양주시 천보산로71번길 123(회암동),,031-866-5622,1061.12,,37.843844,127.092543,2020-07-15
양주시,노인요양시설,서울스마트 효 요양원,경기도 양주시 장흥면 가마골로 246-43,,031-829-8556,1967.3,,37.741722,126.982489,2020-07-15
양주시,노인요양시설,보훈케어노인전문요양원,경기도 양주시 은현면 은현로 13,,031-858-9112,2861.96,,37.870579,127.021229,2020-07-15
양주시,노인요양시설,온누리요양원,경기도 양주시 장흥면 가마골로 246-54,,031-877-7711,2397.93,,37.744704,126.979301,2020-07-15
양주시,노인요양시설,은혜요양원,경기도 양주시 남면 화합로387번길 325,,031-868-5628,1033.15,,37.870192,126.965899,2020-07-15
양주시,노인요양시설,더편한 요양원,경기도 양주시 백석읍 기산로 423-50,,031-871-8180,1349.74,,37.778546,126.937474,2020-07-15
양주시,노인요양시설,송추푸른요양원,경기도 양주시 장흥면 가마골로 246-16,,031-855-2005,1227.31,,37.732529,126.974657,2020-07-15
양주시,노인요양시설,스마일요양원,경기도 양주시 장흥면 호국로 95-22,,031-836-1900,2472.89,,37.7152289,126.933924,2020-07-15
양주시,노인요양시설,위너스요양원,경기도 양주시 장흥면 호국로 95-14,,031-855-1112,1595.2,,37.716275,126.933934,2020-07-15
양주시,노인요양시설,더해피케어요양원,경기도 양주시 장흥면 가마골로 246-58,,031-877-1004,2414.3,,37.741099,126.9770213,2020-07-15
양주시,노인요양시설,송추VIP요양원,경기도 양주시 장흥면 가마골로 246-45,,031-855-6699,1957.05,,37.741023,126.979146,2020-07-15
양주시,노인요양시설,양주보금자리요양원,경기도 양주시 백석읍 중앙로223번길 123-21,,031-836-7788,1878.91,,37.792554,126.982499,2020-07-15
양주시,노인요양시설,이레실버케어,경기도 양주시 장흥면 가마골로 246-20,,031-878-0998,1267.69,,37.733208,126.974743,2020-07-15
양주시,노인요양시설,자스민요양원,경기도 양주시 백석읍 기산로471번길 1-1,,031-877-7600,1717.8,,37.776537,126.941376,2020-07-15
양주시,노인요양시설,성신요양원,경기도 양주시 양주산성로 73-12(남방동),,031-843-3388,1983.83,,37.768167,127.036483,2020-07-15
양주시,노인요양시설,보아스의 집,경기도 양주시 장흥면 호국로 95-10,,031-829-9957,2112.79,,37.715826,126.933891,2020-07-15
양주시,노인요양시설,제일케어요양원,경기도 양주시 장흥면 권율로 103,,031-879-6768,1768.17,,37.7241608,126.948596,2020-07-15
양주시,노인요양시설,더클래식요양원,경기도 양주시 장흥면 호국로 95-12,,031-878-8005,2101.66,,37.716207,126.933913,2020-07-15
양주시,노인요양시설,이화실버케어요양원,경기도 양주시 장흥면 가마골로 246-24,,031-877-7807,1318.7,,37.741074,126.979242,2020-07-15
양주시,노인요양시설,사랑사랑요양원,경기도 양주시 장흥면 가마골로 246-35,,031-878-8833,1999.26,,37.741048,126.979221,2020-07-15
양주시,노인요양시설,참좋은요양원,경기도 양주시 백석읍 권율로847번길 10-19,,031-871-1302,1473.88,,37.774621,126.959757,2020-07-15
양주시,노인요양시설,연세요양원,경기도 양주시 장흥면 가마골로 246-25,,031-876-3600,1789.37,,37.741091,126.9770213,2020-07-15
양주시,노인요양시설,실버트리요양원,"경기도 양주시 회정로 134, 6층 (덕정동, 두리테크)",,031-865-8400,1361.68,,37.837249,127.068321,2020-07-15
양주시,노인요양시설,베스트케어요양원,경기도 양주시 장흥면 호국로 439-10,,031-873-3388,2150,,37.712886,126.964644,2020-07-15
양주시,노인요양시설,연세요양원2관,경기도 양주시 장흥면 가마골로 246-31,,031-877-3600,1860.38,,37.741023,126.979207,2020-07-15
양주시,노인요양시설,실버랜드요양원,경기도 양주시 장흥면 권율로 101-12,,031-877-5070,1528.45,,37.7243526,126.948693,2020-07-15
양주시,노인요양시설,프라임요양원,경기도 양주시 장흥면 가마골로 246-57,,031-837-3000,2485,,37.740937,126.980019,2020-07-15
양주시,어린이집,예인어린이집,경기도 양주시 화합로1597번길 40 (회암동),,031-862-6644,1952.65,,37.840406,127.084393,2020-07-15
양주시,어린이집,예인어린이집,경기도 양주시 화합로1597번길 40 (회암동),,031-862-6644,853.2,,37.840406,127.084393,2020-07-15
양주시,어린이집,옥정숲속어린이집,경기도 양주시 천보산로100번길 66-21 (회암동),,031-866-0180,957,,37.849387,127.101484,2020-07-15
양주시,어린이집,미예뜰어린이집,경기도 양주시 율정로247번길 79-45 (율정동),,031-866-3700,1320.13,,37.821116,127.105571,2020-07-15
양주시,어린이집,중앙어린이집,경기도 양주시 평화로1454번길 34 (덕계동),,031-857-4578,1792,,37.819391,127.049263,2020-07-15
양주시,어린이집,키즈팜어린이집,경기도 양주시 만송로 417-19 (만송동),,031-821-2220,1017.8,,37.795419,127.099301,2020-07-15
양주시,어린이집,두언예들어린이집,경기도 양주시 화합로1327번길 57 (덕정동),,031-857-1212,927.93,,37.847202,127.065283,2020-07-15
양주시,어린이집,유니어린이집,경기도 양주시 부흥로1907번길 117 (광사동),,031-856-6711,493,,37.790592,127.074917,2020-07-15
양주시,어린이집,이튼스쿨어린이집,경기도 양주시 평화로1435번길 45 (덕계동),,031-866-5609,594,,37.820796,127.045147,2020-07-15
양주시,어린이집,행전어린이집,경기도 양주시 화합로1426번길 9 (덕정동),,031-857-1004,610,,37.840866,127.0647203,2020-07-15
양주시,어린이집,사랑나무어린이집,경기도 양주시 어하고개로132번길 139 (삼숭동),,031-844-1007,1068,,37.810636,127.110623,2020-07-15
양주시,어린이집,푸른솔어린이집,경기도 양주시 장흥면 가마골로 46,,031-826-5005,471.7,,37.722226,126.976158,2020-07-15
양주시,어린이집,송암어린이집,경기도 양주시 만송로 195-9 (만송동),,031-840-1133,793,,37.782882,127.081765,2020-07-15
양주시,어린이집,캐슬아이어린이집,경기도 양주시 고삼로 90,,031-847-2626,1141,,37.797114,127.093564,2020-07-15
양주시,어린이집,꾸러기어린이집,경기도 양주시 은현면 운하로 316-10,,031-863-9664,430,,37.888123,127.026245,2020-07-15
양주시,어린이집,숲속자연어린이집,경기도 양주시 고덕로355번길 62-12,,031-821-2781,457,,37.806046,127.063405,2020-07-15
양주시,어린이집,어깨동무어린이집,경기도 양주시 꿈나무로 23 ,,031-879-3570,532,,37.803956,126.999813,2020-07-15
양주시,어린이집,팅커벨어린이집,경기도 양주시 덕정5길 2-6,,031-866-0015,441,,37.844146,127.064617,2020-07-15
양주시,어린이집,해와달어린이집,경기도 양주시 백석읍 부흥로 1071-41(26사단 관사 내 어린이집),,031-836-2888,774.2,,37.803301,127.003193,2020-07-15
양주시,어린이집,키즈웰어린이집,경기도 양주시 삼숭로129번길 201,,031-848-8179,1624.33,,37.804822,126.7333463,2020-07-15
양주시,어린이집,핑크블루어린이집,경기도 양주시 독바위로300번길 12 A동,,031-858-4177,510,,37.840262,127.068892,2020-07-15
양주시,어린이집,예인프리스쿨어린이집,경기도 양주시 화합로1597번길 40,,031-862-6691,647,,37.840346,127.084414,2020-07-15
양주시,어린이집,예원어린이집,경기도 양주시 백석읍 양주산성로 625-3,,031-878-4243,650,,37.785589,126.985258,2020-07-15
양주시,어린이집,해맑음어린이집,경기도 양주시 옥정서로 130 푸르지오 910동 1층,,031-858-7200,847,,37.8217494,127.087609,2020-07-15
양주시,어린이집,양주시청감동어린이집,경기도 양주시 부흥로 1533,,031-928-0914,1228,,37.785159,127.045852,2020-07-15
양주시,어린이집,황토어린이집,경기도 양주시 만송로330번길 23,,031-846-1130,559.91,,37.788905,127.093493,2020-07-15
양주시,어린이집,백석어린이집,경기도 양주시 백석읍 꿈나무로 193,,031-879-2313,572.4,,37.793871,126.986426,2020-07-15
양주시,어린이집,덕계어린이집,경기도 양주시 평화로1435번길 56 (덕계동),,031-865-5913,471.48,,37.820898,127.046664,2020-07-15
양주시,어린이집,회천어린이집,경기도 양주시 덕정9길 30 (덕정동),,031-858-1869,696.1,,37.844851,127.066648,2020-07-15
양주시,어린이집,행복플러스어린이집,"경기도 양주시 옥정서로254, 행복주택 단지 내 관리동",,031-825-7980,449,,37.8353476,127.104435,2020-07-15
양주시,어린이집,곰두리어린이집,경기도 양주시 고삼로43번길 30,,031-864-0984,719.95,,37.801865,127.089897,2020-07-15
양주시,실내주차장,양주자이프라자1차,경기도 양주시 삼숭로38번길 80 (삼숭동),,031-841-3823,3194,,37.796065,127.105907,2020-07-15
양주시,실내주차장,두리테크,경기도 양주시 고암길 306-53 (덕정동),,031-858-1884,3296.29,,37.836742,127.068003,2020-07-15
양주시,실내주차장,양주농협주차장,경기도 양주시 고읍로 76 (광사동),,031-847-0125,2775,,37.796382,127.079708,2020-07-15
양주시,실내주차장,힘찬프라자주차장,경기도 양주시 고읍남로 1 (광사동),,031-821-0215,2077,,37.7956083,127.0788102,2020-07-15
양주시,실내주차장,경기섬유종합지원센터,경기도 양주시 평화로 1215(산북동),,031-850-3626,3610.45,,37.800729,127.045343,2020-07-15
양주시,산후조리원,그라티아산후조리원,경기도 양주시 고읍남로 6-6 해동센트럴타워 6층,,031-843-4848,906.99,,37.796252,127.080094,2020-07-15
양주시,산후조리원,더올리비에르산후조리원,"경기도 양주시 평화로1489번길 13, 2,3층",,031-859-8866,1299.76,,37.823425,127.0399454,2020-07-15
양주시,대규모점포,리치마트,경기도 양주시 평화로 1413번길 48 (덕계동),,031-864-7200,3398.59,,37.817463,127.042594,2020-07-15
양주시,대규모점포,신세계이마트,경기도 양주시 평화로 1713 (회정동),,031-860-0200,20853,,37.841967,127.053864,2020-07-15
양주시,대규모점포,신세계이마트,경기도 양주시 평화로 1713 (회정동),,031-860-0200,5244,,37.841967,127.053864,2020-07-15
양주시,대규모점포,롯데마트,경기도 양주시 평화로 1547 (회정동),,031-870-2581,27029,,37.827664,127.052507,2020-07-15
양주시,대규모점포,LF네트웍스,경기도 양주시 평화로 1593  (회정동) ,,031-894-2505,15217.53,,37.826726,127.052781,2020-07-15
양주시,목욕장업의 영업시설,신인아24시불가마사우나,경기도 양주시 고암길 358 (덕정동),,031-862-0606,2130.69,,37.834796,127.065683,2020-07-15
양주시,목욕장업의 영업시설,양주스파월드,"경기도 양주시 화합로1402번길 25-5 (덕정동 2,3층)",,031-862-8500,3054.26,,37.839807,127.066637,2020-07-15
양주시,목욕장업의 영업시설,무지개사우나,"경기도 양주시 부흥로 2118 (삼숭동, 지하1층) ",,031-845-2255,1205.4,,37.806862,127.089622,2020-07-15
양주시,목욕장업의 영업시설,참숯가마골랜드,"경기도 양주시 장흥면 가마골로 188-53 (A동, B동)",,031-829-5522,1322.38,,37.736094,126.981294,2020-07-15
양주시,목욕장업의 영업시설,황토참숯가마,경기도 양주시 장흥면 권율로 156-102 ,,031-878-1020,1153.77,,37.728312,126.951568,2020-07-15
양주시,목욕장업의 영업시설,오션스파24시,"경기도 양주시 부흥로 1938 (광사동, 오션타워 주건축물 제1동 5층,6층)",,031-843-7200,1271.58,,37.795265,127.055844,2020-07-15
양주시,목욕장업의 영업시설,옥정스파24시사우나,"경기도 양주시 옥정동로7다길 62, 대길프라자 7층일부, 8,9층전체(옥정동)",,031-868-6653,2069.44,,37.832982,127.091201,2020-07-15
양주시,의료기관,양주예쓰병원,경기도 양주시 회정로 103 (덕정동),,031-825-5000,5797.85,,37.837786,127.064529,2020-07-15
양주시,의료기관,양주소망병원,경기도 양주시 평화로 1741 (회정동),,031-859-7997,2240.58,114,37.844344,127.054118,2020-07-15
양주시,의료기관,송추효사랑요양병원,경기도 양주시 장흥면 호국로 439-22,,031-829-7700,5564.72,,37.712911,126.964633,2020-07-15
양주시,의료기관,송추정신병원,경기도 양주시 장흥면 가마골로 258번길 12,,031-826-1300,4680.29,,37.741096,126.983793,2020-07-15
양주시,의료기관,실로암노인전문병원,경기도 양주시 남면 감악산로 514번길 229-34,,031-867-3131,3254.26,175,37.916545,126.965448,2020-07-15
양주시,의료기관,나무정원여성병원,경기도 양주시 평화로 1497 (덕계동),,031-859-1231,3334.54,,37.823778,127.0463464,2020-07-15
양주시,의료기관,송추효요양병원,경기도 양주시 장흥면 가마골로258번길 100 ,,031-837-0100,4595.55,,37.741398,126.982381,2020-07-15
양주시,의료기관,양주큰길요양병원,경기도 양주시 광적면 부흥로 955-13,,031-836-4488,3876.92,,37.810226,126.995491,2020-07-15
양주시,의료기관,청지기요양병원,경기도 양주시 장흥면 권율로 512,,031-855-2110,2052.83,,37.750528,126.968319,2020-07-15
양주시,의료기관,서울 대효 요양병원,"경기도 양주시 고읍남로 36, 골든스퀘어 3~6층",,031-894-1000,3553.52,,37.794194,127.078673,2020-07-15
양주시,의료기관,경기웰니스요양병원,경기도 양주시 평화로1479번길 45(덕계동),,031-828-1800,9293.54,,37.822179,127.045409,2020-07-15
양주시,학원,세종기숙학원,경기도 양주시 장흥면 권율로185번길 122,,031-837-0050,2507.21,,37.734105,126.944266,2020-07-15
양주시,학원,월드비전학원,경기도 양주시 광적면 화합로 135  ,,031-871-8740,1184.35,,37.8574386,126.952522,2020-07-15
양주시,학원,양주메가스터디학원,"경기도 양주시 고읍남로 24, 레드프라자 4층, 5층  (광사동)",,031-928-4848,1243.8,,37.794823,127.0768078,2020-07-15
양주시,박물관,회암사지박물관,경기도 양주시 회암사길 11 (율정동),,031-8082-4175,3561.8,,37.841195,127.1007301,2020-07-15
