업종,상호,도로명주소,지번주소,위도,경도,시설전화번호,데이터기준일자
체육도장업,천지태권도체육관,제주특별자치도 서귀포시 서문로 34,제주특별자치도 서귀포시 서귀동 326-22,33.2501147647,126.5583428021,064-732-1366,2020-02-06
체육도장업,동홍 이글태권도체육관,제주특별자치도 서귀포시 동홍서로112번길 7,제주특별자치도 서귀포시 동홍동 60-8,33.2588955361,126.5703827084,064-739-4947,2020-02-06
체육도장업,국성유도체육관,제주특별자치도 서귀포시 성산읍 산성효자로114번길 155,제주특별자치도 서귀포시 성산읍 오조리 1040,33.4543276442,126.9106003943,-,2020-02-06
체육도장업,남원영웅태권도체육관,제주특별자치도 서귀포시 남원읍 남조로 5,제주특별자치도 서귀포시 남원읍 남원리 207-7,33.280241,126.7186327,064-764-0897,2020-02-06
체육도장업,쌍용체육관,제주특별자치도 서귀포시 동홍남로 48,제주특별자치도 서귀포시 동홍동 413-4,33.2567601270,126.5734237677,064-763-0577,2020-02-06
체육도장업,정무관서귀포수련원,제주특별자치도 서귀포시 마소물로8번길 10-1,제주특별자치도 서귀포시 보목동 875,33.2440610906,126.6004308114,064-763-9210,2020-02-06
체육도장업,정의체육관,제주특별자치도 서귀포시 동홍중앙로 3,제주특별자치도 서귀포시 동홍동 176,33.2509952409,126.5718893590,064-733-0880,2020-02-06
체육도장업,정도태권도장,제주특별자치도 서귀포시 남원읍 태위로43번길 11,제주특별자치도 서귀포시 남원읍 위미리 4140-1,33.2740847350,126.6517775163,064-764-5673,2020-02-06
체육도장업,예광 호랑이 태권도장,제주특별자치도 서귀포시 성산읍 고성동서로45번길 8-1,제주특별자치도 서귀포시 성산읍 고성리 1180-11,33.4511770169,126.9125697529,064-782-8738,2020-02-06
체육도장업,천지태권도체육관,제주특별자치도 서귀포시 신서귀로 11,제주특별자치도 서귀포시 법환동 748,33.2510876800,126.5090616291,064-739-4343,2020-02-06
체육도장업,화순합기도창민관,제주특별자치도 서귀포시 안덕면 화순중앙로 41,제주특별자치도 서귀포시 안덕면 화순리 311-5,33.2484808169,126.3359932306,-,2020-02-06
체육도장업,엘리트 에듀짐,제주특별자치도 서귀포시 동홍북로 16-1,제주특별자치도 서귀포시 동홍동 60-3,33.2590712733,126.5700985262,-,2020-02-06
체육도장업,성심태권도아카데미,제주특별자치도 서귀포시 신서귀로 3,제주특별자치도 서귀포시 법환동 748-1,33.2495900295,126.5097353066,-,2020-02-06
체육도장업,경무태권도체육관,제주특별자치도 서귀포시 성산읍 동류암로 40,제주특별자치도 서귀포시 성산읍 고성리 298-29,33.4490408656,126.9161469742,-,2020-02-06
체육도장업,강치유도관,제주특별자치도 서귀포시 신효중앙로4번길 1,제주특별자치도 서귀포시 신효동 700-2,33.2645972645,126.6143326260,-,2020-02-06
체육도장업,서귀포 유도관,제주특별자치도 서귀포시 중동로48번길 5,제주특별자치도 서귀포시 서귀동 254-3,33.2500697416,126.5670778915,-,2020-02-06
체육도장업,서홍이글태권도,제주특별자치도 서귀포시 중산간동로 8037,제주특별자치도 서귀포시 서홍동 256-2,33.2638972799,126.5578956657,-,2020-02-06
체육도장업,경희대 비전 태권도장,제주특별자치도 서귀포시 서호남로 91,제주특별자치도 서귀포시 서호동 1534,33.2531480160,126.5222880390,-,2020-02-06
체육도장업,용인대 아이엘 태권스쿨,제주특별자치도 서귀포시 대정읍 에듀시티로 148,제주특별자치도 서귀포시 대정읍 보성리 2424,33.2840884496,126.2742564784,-,2020-02-06
체육도장업,경희대 최강 태권도,제주특별자치도 서귀포시 중앙로195번길 14,제주특별자치도 서귀포시 서홍동 290-3,33.2620561742,126.5573940856,-,2020-02-06
체육도장업,뉴 복싱 앤 휘트니스,제주특별자치도 서귀포시 동부로 23,제주특별자치도 서귀포시 서귀동 223-3,33.2467036498,126.5688070563,070-8800-8988,2020-02-06
체육도장업,김재훈 태권도장,제주특별자치도 서귀포시 대정읍 영어도시로 5,제주특별자치도 서귀포시 대정읍 보성리 463,33.2729744310,126.2787662985,064-792-4108,2020-02-06
체육도장업,I can 덕인태권도장,제주특별자치도 서귀포시 동홍중앙로66번길 18-4,제주특별자치도 서귀포시 동홍동 424-10,33.2562462134,126.5739542574,064-762-7767,2020-02-06
체육도장업,용인대석사 아이사랑 태권도,제주특별자치도 서귀포시 대청로 29,제주특별자치도 서귀포시 강정동 208-2,33.2527906564,126.5028838768,-,2020-02-06
체육도장업,플라이 유도센터,제주특별자치도 서귀포시 성산읍 일주동로4098번길 23,제주특별자치도 서귀포시 성산읍 오조리 1232,33.4623317621,126.9076275530,-,2020-02-06
체육도장업,경희대 비전 태권도장,제주특별자치도 서귀포시 대청로25번길 4,제주특별자치도 서귀포시 강정동 208-1,33.2528005661,126.5026563216,064-735-5850,2020-02-06
체육도장업,점핑클럽 태권도,제주특별자치도 서귀포시 신서귀로 49,제주특별자치도 서귀포시 법환동 735-2,33.2534181852,126.5110703486,-,2020-02-06
,우리볼링센타,제주특별자치도 서귀포시 중앙로 172,제주특별자치도 서귀포시 동홍동 1557-1,33.2598981430,126.5600665020,064-763-1133,2020-02-06
,원남볼링장,제주특별자치도 서귀포시 명동로 14,제주특별자치도 서귀포시 서귀동 418-5,33.2468841324,126.5636813298,064-763-0294,2020-02-06
골프연습장업,한라골프연습장,제주특별자치도 서귀포시 동홍로 176,제주특별자치도 서귀포시 동홍동 1186-1,33.2639223389,126.5681042781,064-733-3230,2020-02-06
골프연습장업,중문골프연습장,제주특별자치도 서귀포시 중문관광로72번길 60,제주특별자치도 서귀포시 색달동 2101,33.2500183121,126.4061042485,-,2020-02-06
골프연습장업,대정골프연습장,제주특별자치도 서귀포시 대정읍 상모와우로 71-31,제주특별자치도 서귀포시 대정읍 상모리 2156-3,33.2256003823,126.2732337218,-,2020-02-06
골프연습장업,에스케이핀크스 주식회사,제주특별자치도 서귀포시 안덕면 산록남로 863,제주특별자치도 서귀포시 안덕면 상천리 산 62-3,33.3143190551,126.3928897410,-,2020-02-06
골프연습장업,청남골프연습장,제주특별자치도 서귀포시 남원읍 중산간동로 6286,제주특별자치도 서귀포시 남원읍 한남리 215,33.3214551805,126.6997412608,064-764-9500,2020-02-06
골프연습장업,서귀중앙골프연습장,제주특별자치도 서귀포시 동홍로303번길 30,제주특별자치도 서귀포시 동홍동 1901,33.2744208548,126.5639608815,064-733-8777,2020-02-06
골프연습장업,샤인빌리조트골프연습장,제주특별자치도 서귀포시 표선면 일주동로 6347-17,제주특별자치도 서귀포시 표선면 토산리 17,33.3060111460,126.7928945218,064-780-7000,2020-02-06
골프연습장업,그랜드골프연습장,제주특별자치도 서귀포시 토평서로 26,제주특별자치도 서귀포시 토평동 2008-1,33.2761340280,126.5829042868,064-732-0900,2020-02-06
골프연습장업,동부골프연습장,제주특별자치도 서귀포시 성산읍 일주동로4098번길 62,제주특별자치도 서귀포시 성산읍 오조리 1540,33.4623758401,126.9039357059,064-782-0832,2020-02-06
골프연습장업,크라운골프클럽,제주특별자치도 서귀포시 표선면 가시로 219,제주특별자치도 서귀포시 표선면 세화리 743,33.3392855904,126.8022170399,064-787-5360,2020-02-06
골프연습장업,오션스크린골프아카데미,제주특별자치도 서귀포시 중앙로48번길 28-8,제주특별자치도 서귀포시 서귀동 272-3,33.2493251377,126.5645362407,064-762-6203,2020-02-06
골프연습장업,해비치골프연습장,제주특별자치도 서귀포시 남원읍 원님로399번길 319,제주특별자치도 서귀포시 남원읍 신흥리 산 30,33.3623106143,126.7218982516,064-766-6221,2020-02-06
골프연습장업,골프 플렉스,제주특별자치도 서귀포시 안덕면 한창로 365,제주특별자치도 서귀포시 안덕면 상창리 2893,33.2926109955,126.3485636107,064-793-1000,2020-02-06
골프연습장업,뉴월드골프타운,제주특별자치도 서귀포시 중산간서로 30,제주특별자치도 서귀포시 강정동 1531,33.2625119658,126.5069543034,064-739-0600,2020-02-06
골프연습장업,중문골프아카데미,제주특별자치도 서귀포시 중문로 7,제주특별자치도 서귀포시 중문동 2108-1,33.2526946521,126.4230282644,064-739-0020,2020-02-06
골프연습장업,에이스 골프존 스크린골프,제주특별자치도 서귀포시 일주동로 8545,제주특별자치도 서귀포시 동홍동 130-1,33.2545551570,126.5751257425,064-733-1231,2020-02-06
골프연습장업,프로스크린골프클럽,제주특별자치도 서귀포시 태평로439번길 31,제주특별자치도 서귀포시 서귀동 523-1,33.2462458190,126.5636930857,064-733-2311,2020-02-06
골프연습장업,테디베어 골프,제주특별자치도 서귀포시 안덕면 한창로 365,제주특별자치도 서귀포시 안덕면 상창리 2893,33.2926109955,126.3485636107,064-793-1239,2020-02-06
골프연습장업,골프존파크인제주,제주특별자치도 서귀포시 중앙로 163,제주특별자치도 서귀포시 서홍동 311-3,33.2592993991,126.5590306536,-,2020-02-06
골프연습장업,중문골프존클럽,제주특별자치도 서귀포시 천제연로 244,제주특별자치도 서귀포시 중문동 1923-4,33.2510099931,126.4307612300,064-738-9737,2020-02-06
골프연습장업,남원골프존,제주특별자치도 서귀포시 남원읍 태위로495번길 4,제주특별자치도 서귀포시 남원읍 남원리 2447-2,33.2754122903,126.7003583785,064-764-7533,2020-02-06
골프연습장업,영화골프연습장,제주특별자치도 서귀포시 일주동로 8486,제주특별자치도 서귀포시 토평동 854-1,33.2562994472,126.5811312663,064-763-6594,2020-02-06
골프연습장업,(주)레이크힐스 스크린골프연습장,제주특별자치도 서귀포시 산록남로 1391,제주특별자치도 서귀포시 중문동 산 49,33.2971182777,126.4353878274,064-738-8858,2020-02-06
골프연습장업,성산스크린골프,제주특별자치도 서귀포시 성산읍 동류암로36번길 5,제주특별자치도 서귀포시 성산읍 고성리 298-1,33.4493942825,126.9161251233,-,2020-02-06
골프연습장업,스마트골프존,제주특별자치도 서귀포시 신중남로 1,제주특별자치도 서귀포시 강정동 175-2,33.2518984753,126.5079797048,064-739-3770,2020-02-06
골프연습장업,S.H Golf Laboratory,제주특별자치도 서귀포시 중앙로 163,제주특별자치도 서귀포시 서홍동 311-3,33.2592993991,126.5590306536,-,2020-02-06
골프연습장업,최남단 스크린 골프,제주특별자치도 서귀포시 대정읍 하모중앙로 45,제주특별자치도 서귀포시 대정읍 하모리 1518,33.2242118896,126.2525370320,-,2020-02-06
골프연습장업,동부스크린골프,제주특별자치도 서귀포시 성산읍 일주동로4098번길 62,제주특별자치도 서귀포시 성산읍 오조리 1540,33.4623758401,126.9039357059,-,2020-02-06
골프연습장업,야자수 풀빌라,제주특별자치도 서귀포시 표선면 일주동로5661번길 33,제주특별자치도 서귀포시 표선면 하천리 59-1,33.3373755954,126.8466141945,-,2020-02-06
골프연습장업,강정스크린골프,제주특별자치도 서귀포시 이어도로 640,제주특별자치도 서귀포시 강정동 2790-1,33.2316131,126.4800286,-,2020-02-06
골프연습장업,M골프 아카데미,제주특별자치도 서귀포시 천제연로208번길 3,제주특별자치도 서귀포시 중문동 2035-5,33.2512522471,126.4269695245,064-738-9001,2020-02-06
골프연습장업,오션팰리스스크린골프,제주특별자치도 서귀포시 중앙로 14,제주특별자치도 서귀포시 서귀동 494,33.2459561434,126.5623382166,064-763-5599,2020-02-06
골프연습장업,산방산 스크린 골프,제주특별자치도 서귀포시 안덕면 일주서로 2019,제주특별자치도 서귀포시 안덕면 사계리 1005-4,33.2503139656,126.3019417750,-,2020-02-06
골프연습장업,핀크스비오토피아 콘도미니엄,제주특별자치도 서귀포시 안덕면 산록남로762번길 71,제주특별자치도 서귀포시 안덕면 상천리 380-7,33.3032687010,126.3921116384,064-792-5200,2020-02-06
골프연습장업,놀멍쉬멍스크린골프연습장,제주특별자치도 서귀포시 표선면 일주동로 6337,제주특별자치도 서귀포시 표선면 세화리 1564,33.3056247785,126.7947852679,-,2020-02-06
골프연습장업,버디클럽 스크린 골프,제주특별자치도 서귀포시 대청로 41,제주특별자치도 서귀포시 강정동 208-8,33.2527347788,126.5042448940,064-739-0030,2020-02-06
골프연습장업,제주영어교육도시 골프아카데미,제주특별자치도 서귀포시 대정읍 글로벌에듀로 390,제주특별자치도 서귀포시 대정읍 보성리 2476-10,33.2796887824,126.2767617544,-,2020-02-06
골프연습장업,JJP골프클럽,제주특별자치도 서귀포시 중문상로 140,제주특별자치도 서귀포시 중문동 1324,33.2599392826,126.4298919905,064-739-9349,2020-02-06
골프연습장업,최남단스크린골프,제주특별자치도 서귀포시 대정읍 하모중앙로 45,제주특별자치도 서귀포시 대정읍 하모리 1518,33.2242118896,126.2525370320,-,2020-02-06
골프연습장업,제주국제골프아카데미,제주특별자치도 서귀포시 대정읍 글로벌에듀로145번길 40,제주특별자치도 서귀포시 대정읍 구억리 1060,33.2957826897,126.2896197452,064-792-1102,2020-02-06
골프연습장업,골프존스카이,제주특별자치도 서귀포시 일주동로 8493,제주특별자치도 서귀포시 토평동 842-2,33.2556563252,126.5807866350,-,2020-02-06
골프연습장업,SG 스크린골프 중문점,제주특별자치도 서귀포시 천제연로 200,제주특별자치도 서귀포시 중문동 2028-3,33.2515077500,126.4260664634,064-739-4255,2020-02-06
골프연습장업,SG스크린골프연습장,제주특별자치도 서귀포시 대정읍 중산간서로 2353-1,제주특별자치도 서귀포시 대정읍 구억리 894-3,33.2745632181,126.2815954847,064-792-1003,2020-02-06
골프연습장업,다움 스크린골프,제주특별자치도 서귀포시 표선면 가시로 13,제주특별자치도 서귀포시 표선면 표선리 2041-4,33.3300955574,126.8207977234,-,2020-02-06
골프연습장업,MC스크린골프,제주특별자치도 서귀포시 대정읍 중산간서로2262번길 34,제주특별자치도 서귀포시 대정읍 구억리 772,33.2808652511,126.2837465495,-,2020-02-06
골프연습장업,명진스크린골프,제주특별자치도 서귀포시 대정읍 상모대서로 38,제주특별자치도 서귀포시 대정읍 상모리 3882-5,33.2261501320,126.2582233538,064-792-7337,2020-02-06
골프연습장업,아지트골프존,제주특별자치도 서귀포시 성산읍 오조로 9,제주특별자치도 서귀포시 성산읍 오조리 1031-1,33.4553720402,126.9136110390,-,2020-02-06
골프연습장업,수모루골프클럽,제주특별자치도 서귀포시 이어도로1027번길 29,제주특별자치도 서귀포시 법환동 30-3,33.2463791881,126.5215050696,064-739-0753,2020-02-06
골프연습장업,수모루골프클럽,제주특별자치도 서귀포시 이어도로1027번길 29,제주특별자치도 서귀포시 법환동 30-3,33.2463791881,126.5215050696,064-739-0753,2020-02-06
골프연습장업,유빈골프존,제주특별자치도 서귀포시 홍중로 109,제주특별자치도 서귀포시 서홍동 1599,33.2622910224,126.5554911410,-,2020-02-06
체력단련장업,그린헬스크럽,제주특별자치도 서귀포시 이중섭로 11,제주특별자치도 서귀포시 서귀동 416-2,33.2470816042,126.5644572314,064-762-6460,2020-02-06
체력단련장업,락무헬스체육관,제주특별자치도 서귀포시 솔동산로 2,제주특별자치도 서귀포시 서귀동 580-3,33.2445957001,126.5641691174,-,2020-02-06
체력단련장업,동양헬스클럽,제주특별자치도 서귀포시 대정읍 상모로 288,제주특별자치도 서귀포시 대정읍 상모리 3986-3,33.2233647068,126.2586201738,-,2020-02-06
체력단련장업,드림 휘트니스,제주특별자치도 서귀포시 일주동로 8558,제주특별자치도 서귀포시 동홍동 498-2,33.2550593057,126.5738484114,-,2020-02-06
체력단련장업,우주헬스타운,제주특별자치도 서귀포시 중앙로 163,제주특별자치도 서귀포시 서홍동 311-3,33.2592993991,126.5590306536,-,2020-02-06
체력단련장업,모슬포헬스클럽,제주특별자치도 서귀포시 대정읍 하모중앙로 75,제주특별자치도 서귀포시 대정읍 하모리 931-8,33.2214040708,126.2522047732,-,2020-02-06
체력단련장업,MONSTER GYM 스포츠클럽,제주특별자치도 서귀포시 명동로 14,제주특별자치도 서귀포시 서귀동 418-5,33.2468841324,126.5636813298,064-733-9682,2020-02-06
체력단련장업,호텔 빠레브 휘트니스,제주특별자치도 서귀포시 김정문화로 15,제주특별자치도 서귀포시 강정동 173,33.2523837291,126.5066592137,064-735-8899,2020-02-06
체력단련장업,we 아카데미,제주특별자치도 서귀포시 중정로 53,제주특별자치도 서귀포시 서귀동 293-9,33.2478123821,126.5620199260,-,2020-02-06
체력단련장업,비에프 크로스핏,제주특별자치도 서귀포시 중앙로48번길 14,제주특별자치도 서귀포시 서귀동 275-12,33.2490784470,126.5630952622,-,2020-02-06
체력단련장업,에스휘트니스,제주특별자치도 서귀포시 신서로48번길 31,제주특별자치도 서귀포시 강정동 161-1,33.2535780949,126.5086356249,-,2020-02-06
체력단련장업,스타스튜디오,제주특별자치도 서귀포시 대정읍 에듀시티로 36,제주특별자치도 서귀포시 대정읍 보성리 2372,33.2918210971,126.2842883007,-,2020-02-06
체력단련장업,스타스튜디오,제주특별자치도 서귀포시 대정읍 에듀시티로 36,제주특별자치도 서귀포시 대정읍 보성리 2372,33.2918210971,126.2842883007,-,2020-02-06
체력단련장업,마인드휘트니스,제주특별자치도 서귀포시 대청로25번길 4,제주특별자치도 서귀포시 강정동 208-1,33.2528005661,126.5026563216,-,2020-02-06
체력단련장업,MOVE&FIT(무브앤핏),제주특별자치도 서귀포시 대정읍 에듀시티로 102,제주특별자치도 서귀포시 대정읍 보성리 2417,33.2869152165,126.2803434879,-,2020-02-06
체력단련장업,마인드휘트니스,제주특별자치도 서귀포시 중앙로 54,제주특별자치도 서귀포시 서귀동 291-69,33.2493515384,126.5617847577,064-805-0790,2020-02-06
체력단련장업,퍼스트짐,제주특별자치도 서귀포시 일주동로 8545,제주특별자치도 서귀포시 동홍동 130-1,33.2545551570,126.5751257425,064-763-2244,2020-02-06
체력단련장업,마인드휘트니스 영어교육도시점,제주특별자치도 서귀포시 대정읍 글로벌에듀로 396,제주특별자치도 서귀포시 대정읍 보성리 2476-9,33.2794039706,126.2761586966,064-805-0792,2020-02-06
체력단련장업,휴메이크 휘트니스,제주특별자치도 서귀포시 대정읍 에듀시티로50번길 6,제주특별자치도 서귀포시 대정읍 보성리 2377,33.2910521916,126.2835344986,-,2020-02-06
체력단련장업,TRX GYM,제주특별자치도 서귀포시 남원읍 남태해안로 259,제주특별자치도 서귀포시 남원읍 태흥리 1789,33.2801130517,126.7309529245,-,2020-02-06
체력단련장업,모슬피아짐,제주특별자치도 서귀포시 대정읍 신영로94번길 23,제주특별자치도 서귀포시 대정읍 하모리 767-1,33.2182801651,126.2532868532,-,2020-02-06
,무지개에어로빅,제주특별자치도 서귀포시 일주동로 8642,제주특별자치도 서귀포시 동홍동 1539-5,33.2543075484,126.5650523851,064-762-2334,2020-02-06
,건강에어로빅체조교실,제주특별자치도 서귀포시 중앙로71번길 4,제주특별자치도 서귀포시 서귀동 297-12,33.2510758368,126.5608704625,064-762-4888,2020-02-06
,리코재즈댄스에어로빅,제주특별자치도 서귀포시 일주동로 8614,제주특별자치도 서귀포시 동홍동 463-3,33.2548546825,126.5678527099,-,2020-02-06
당구장업,녹원당구장,제주특별자치도 서귀포시 중정로61번길 1,제주특별자치도 서귀포시 서귀동 293-6,33.2480315181,126.5628000163,064-732-8566,2020-02-06
당구장업,유림당구클럽,제주특별자치도 서귀포시 중앙로 82,제주특별자치도 서귀포시 서귀동 287-5,33.2519394915,126.5613511847,-,2020-02-06
당구장업,신례당구장,-,제주특별자치도 서귀포시 남원읍 신례리 1081-2 ,33.2916634,126.6221263,-,2020-02-06
당구장업,오공당구회관,제주특별자치도 서귀포시 남원읍 태위로 685-1,제주특별자치도 서귀포시 남원읍 남원리 100-3,33.2794715798,126.7197481139,-,2020-02-06
당구장업,명성당구장,제주특별자치도 서귀포시 표선면 표선중앙로90번길 5,제주특별자치도 서귀포시 표선면 표선리 634-13,33.3252585885,126.8332919197,-,2020-02-06
당구장업,하이런 당구클럽,제주특별자치도 서귀포시 천제연로208번길 3,제주특별자치도 서귀포시 중문동 2035-5,33.2512522471,126.4269695245,064-738-8587,2020-02-06
당구장업,오공팔당구장,제주특별자치도 서귀포시 이어도로 579,제주특별자치도 서귀포시 강정동 4405,33.2361985403,126.4785713475,064-739-2027,2020-02-06
당구장업,프린스당구장,-,제주특별자치도 서귀포시 서귀동 270-3 ,33.2504535,126.56436,064-733-0301,2020-02-06
당구장업,켄싱턴 당구장,제주특별자치도 서귀포시 이어도로 684,제주특별자치도 서귀포시 강정동 2677,33.2336777527,126.4890403912,064-739-9001,2020-02-06
당구장업,오일육당구장,제주특별자치도 서귀포시 토평로 72,제주특별자치도 서귀포시 토평동 1484-5,33.2723454286,126.5899634946,064-732-5169,2020-02-06
당구장업,표선아카데미당구클럽,제주특별자치도 서귀포시 표선면 표선동서로 246,제주특별자치도 서귀포시 표선면 표선리 629-2,33.3257195513,126.8327926985,064-787-1863,2020-02-06
당구장업,세원당구장,제주특별자치도 서귀포시 하신상로 23,제주특별자치도 서귀포시 하효동 146-3,33.2627925849,126.6173756725,064-767-3303,2020-02-06
당구장업,정당구장,제주특별자치도 서귀포시 성산읍 고성동서로56번길 2,제주특별자치도 서귀포시 성산읍 고성리 1132-22,33.4502902734,126.9131987641,064-784-5353,2020-02-06
당구장업,부두당구장,제주특별자치도 서귀포시 부두로 55,제주특별자치도 서귀포시 서귀동 786-3,33.2400560502,126.5644448622,064-732-3821,2020-02-06
당구장업,주공당구장,제주특별자치도 서귀포시 태평로512번길 4,제주특별자치도 서귀포시 동홍동 357-1,33.2503262700,126.5724248699,064-732-0929,2020-02-06
당구장업,챔피언당구장,-,제주특별자치도 서귀포시 대정읍 하모리 873-1,33.2236477,126.2503307,-,2020-02-06
