시도명,시군구명,시설명,구분,연락처,소재지지번주소
강원도,강릉시,강릉교육문화관(평생교육정보관),기타,033-640-9911,강원도 강릉시 노암동 351-2 외1필지
강원도,강릉시,빌라드로체,식품접객업,033-641-0115,강원도 강릉시 교동 1234  
강원도,강릉시,빌라드로체,기타,033-641-0115,강원도 강릉시 교동 1234  
강원도,강릉시,한국은행,기타,033-641-0120,강원도 강릉시 성내동 3 외1필지
강원도,강릉시,문호모텔,숙박업,033-641-0191,강원도 강릉시 옥천동 279  
강원도,강릉시,상아어린이집,보육시설,033-641-0991,강원도 강릉시 구정면 여찬리 541-2
강원도,강릉시,관동대학교,학교,033-641-1011,강원도 강릉시 내곡동 522
강원도,강릉시,노암초등학교,학교,033-641-1412,강원도 강릉시 노암동 415-2
강원도,강릉시,노암초등학교,기타,033-641-1413,강원도 강릉시 노암동 415-2  
강원도,강릉시,모텔카프리,숙박업,033-641-1884,강원도 강릉시 안현동 864-3   
강원도,강릉시,중앙어린이집,보육시설,033-641-2001,강원도 강릉시 임당동 178-1
강원도,강릉시,현대하이빌아파트,공동주택,033-641-2082,강원도 강릉시 교동 1759
강원도,강릉시,영진관(엔젤클럽),기타,033-641-2128,강원도 강릉시 성남동 113-6
강원도,강릉시,성덕초등학교,기타,033-641-2231,강원도 강릉시 입암동 625-1  
강원도,강릉시,옥천초등학교,기타,033-641-2301,강원도 강릉시 옥천동 111
강원도,강릉시,카리브모텔,숙박업,033-641-2355,강원도 강릉시 강동면 정동진리 46   
강원도,강릉시,노암양우내안애아파트,공동주택,033-641-2382,강원도 강릉시 노암동 844
강원도,강릉시,CGV 강릉,기타,033-641-2746,강원도 강릉시 옥천동 189
강원도,강릉시,파인힐모텔,숙박업,033-641-2849,강원도 강릉시 교동 1886-9
강원도,강릉시,동부익스프레스(강릉고속버스터미널),운송업,033-641-3180,강원도 강릉시 홍제동 992-2
강원도,강릉시,동부고속(강릉고속버스터미널),운송업,033-641-3181,강원도 강릉시 홍제동 992-2
강원도,강릉시,강릉고속버스터미널,기타,033-641-3184,강원도 강릉시 홍제동 992
강원도,강릉시,비쥬모텔,숙박업,033-641-3380,강원도 강릉시 강동면 산성우리 69  
강원도,강릉시,강릉링컨스쿨,기타,033-641-3382,강원도 강릉시 교동 622
강원도,강릉시,모텔시즌,숙박업,033-641-3434,강원도 강릉시 강문동 304-2   
강원도,강릉시,덕영산업㈜,기타,033-641-3513,강원도 강릉시 포남동 1117-12
강원도,강릉시,프렌비숲유치원,보육시설,033-641-3562,강원도 강릉시 죽헌동 257
강원도,강릉시,작은천국,식품접객업,033-641-3603,강원도 강릉시 금학동 78
강원도,강릉시,노암한라1차아파트,공동주택,033-641-3762,강원도 강릉시 노암동 390
강원도,강릉시,동국장여관,숙박업,033-641-3996,강원도 강릉시 교동 156-16   
강원도,강릉시,강릉시보건소,기타,033-641-4000,강원도 강릉시 내곡동 413
강원도,강릉시,남산초등학교,기타,033-641-4711,강원도 강릉시 내곡동 125  
강원도,강릉시,노암신화아파트,공동주택,033-641-4758,강원도 강릉시 노암동 711
강원도,강릉시,하슬라유치원,보육시설,033-641-5080,강원도 강릉시 입암동 677-5
강원도,강릉시,솔올마돈나,식품접객업,033-641-5115,강원도 강릉시 교동 1868-6
강원도,강릉시,대일모텔(대일장),숙박업,033-641-5131,강원도 강릉시 옥천동 329-4   
강원도,강릉시,성원빌딩,기타,033-641-5225,강원도 강릉시 교동 1868-6
강원도,강릉시,보람어린이집,기타,033-641-5516,강원도 강릉시 학동 356-1
강원도,강릉시,보람어린이집,보육시설,033-641-5516,강원도 강릉시 학동 356-1
강원도,강릉시,동신모텔,숙박업,033-641-5557,강원도 강릉시 임당동 148-14   
강원도,강릉시,리베라모텔,숙박업,033-641-5611,강원도 강릉시 옥천동 321  
강원도,강릉시,대덕호수텔,숙박업,033-641-6005,강원도 강릉시 안현동 22
강원도,강릉시,경포초등학교,기타,033-641-6355,강원도 강릉시 교동 1797
강원도,강릉시,경포초등학교,학교,033-641-6355,강원도 강릉시 교동 1797
강원도,강릉시,올림피아모텔,숙박업,033-641-6635,강원도 강릉시 포남동 1142  
강원도,강릉시,어린왕자어린이집,보육시설,033-641-7014,강원도 강릉시 교동 551-50
강원도,강릉시,마운틴모텔,숙박업,033-641-7020,강원도 강릉시 포남동 1005-225   
강원도,강릉시,강릉아나병원장례식장,식품접객업,033-641-7100,강원도 강릉시 옥천동 326  
강원도,강릉시,내곡현대아파트,공동주택,033-641-7282,강원도 강릉시 내곡동 469
강원도,강릉시,푸른솔어린이집,보육시설,033-641-7385,강원도 강릉시 교동 1139-18
강원도,강릉시,대륙사우나,기타,033-641-7411,강원도 강릉시 교동 1890-1
강원도,강릉시,쉬자무인텔,숙박업,033-641-7441,강원도 강릉시 옥천동 367-2   
강원도,강릉시,HONG-C HOTEL(홍씨호텔),숙박업,033-641-8100,강원도 강릉시 옥천동 273  
강원도,강릉시,구라미온천장,숙박업,033-641-8321,강원도 강릉시 사천면 판교리 629-9   
강원도,강릉시,강원도립강릉요양병원,기타,033-641-8402,강원도 강릉시 남문동 164-1
강원도,강릉시,송정해변신도브래뉴,공동주택,033-641-8641,"강원도 강릉시 견소동 289, 290"
강원도,강릉시,텐프로,식품접객업,033-641-8797,강원도 강릉시 교동 1869-2
강원도,강릉시,화원산업㈜강릉지점(송원웨딩파크),식품접객업,033-641-8818,강원도 강릉시 난곡동 460-2
강원도,강릉시,화원산업㈜강릉지점(송원웨딩파크),기타,033-641-8818,강원도 강릉시 난곡동 460-2 외4필지
강원도,강릉시,비치힐모텔,숙박업,033-641-8871,강원도 강릉시 강동면 정동진리 50-6  
강원도,강릉시,교동부영3차아파트,공동주택,033-641-8972,강원도 강릉시 교동 1780
강원도,강릉시,성산초등학교,학교,033-641-9007,강원도 강릉시 성산면 구산리 153  
강원도,강릉시,길목민속촌식당,식품접객업,033-641-9018,강원도 강릉시 성산면 구산리 304-1
강원도,강릉시,성원유치원,기타,033-642-0143,강원도 강릉시 회산동 4-5
강원도,강릉시,성원유치원,보육시설,033-642-0143,강원도 강릉시 회산동 4-5
강원도,강릉시,쿠켄,식품접객업,033-642-0330,강원도 강릉시 홍제동 90  
강원도,강릉시,유암빌딩(유암메디컬센터건물),기타,033-642-0619 ,강원도 강릉시 임당동 142-3
강원도,강릉시,한국폴리텍Ⅲ대학 강릉캠퍼스,학교,033-642-0811,강원도 강릉시 노암동 779
강원도,강릉시,이만구교동짬뽕,식품접객업,033-642-0955,강원도 강릉시 교동 162-163  
강원도,강릉시,한국빌딩,기타,033-642-1005,강원도 강릉시 포남동 1117-13
강원도,강릉시,애슐리강릉옥천점,식품접객업,033-642-1031,강원도 강릉시 옥천동 189
강원도,강릉시,서일오피스텔,기타,033-642-1093,강원도 강릉시 옥천동 332-1
강원도,강릉시,강릉아나병원,기타,033-642-1100,강원도 강릉시 옥천동 326
강원도,강릉시,강릉아나병원,기타,033-642-1100,강원도 강릉시 옥천동 326  
강원도,강릉시,샤인텔,숙박업,033-642-1152,강원도 강릉시 성내동 11-1   
강원도,강릉시,한정식좋구먼,식품접객업,033-642-1707,강원도 강릉시 구정면 학산리 500-3 
강원도,강릉시,강릉고려병원,기타,033-642-1988,강원도 강릉시 옥천동 284-5  
강원도,강릉시,강릉고려병원,기타,033-642-1988,강원도 강릉시 옥천동 284-5
강원도,강릉시,본테이블,식품접객업,033-642-2120,강원도 강릉시 교동 1881-4
강원도,강릉시,요남자 강릉교동점,식품접객업,033-642-2120,강원도 강릉시 교동 1881-4
강원도,강릉시,몽뜨레셰프인더키친강릉점,식품접객업,033-642-2120,강원도 강릉시 교동 1881-4
강원도,강릉시,강원양돈축산업협동조합,기타,033-642-2212,강원도 강릉시 교동 1888-3
강원도,강릉시,강원양돈축산업협동조합(유통물류창고),기타,033-642-2213,강원도 강릉시 교동 1888-3
강원도,강릉시,동인빌딩,기타,033-642-2492,강원도 강릉시 금학동 53-2
강원도,강릉시,파파야모텔,숙박업,033-642-2571,강원도 강릉시 교동 207-3   
강원도,강릉시,서울랜드장여관,숙박업,033-642-2985,강원도 강릉시 교동 216-36   
강원도,강릉시,강릉이안타운아파트,공동주택,033-642-3278,강원도 강릉시 입암동 210
강원도,강릉시,강릉자비아동복지센터,기타,033-642-3335,강원도 강릉시 포남동 1156
강원도,강릉시,에이스모텔,숙박업,033-642-3633,강원도 강릉시 교동 124-35   
강원도,강릉시,고은유아스쿨어린이집 ,기타,033-642-3822,강원도 강릉시 노암동 374  
강원도,강릉시,고은유아스쿨어린이집 ,보육시설,033-642-3822,강원도 강릉시 노암동 374
강원도,강릉시,삼교리동치미막국수,식품접객업,033-642-3935,강원도 강릉시 지변동 671-1  
강원도,강릉시,타워모텔여관,숙박업,033-642-5331,강원도 강릉시 포남동 1005-237   
강원도,강릉시,늘사랑어린이집,기타,033-642-5343,강원도 강릉시 입암동 445-5  
강원도,강릉시,늘사랑어린이집,보육시설,033-642-5343,강원도 강릉시 입암동 445-5
강원도,강릉시,좋은유치원,기타,033-642-6197,강원도 강릉시 노암동 569-3  
강원도,강릉시,좋은유치원,보육시설,033-642-6197,강원도 강릉시 노암동 569-3
강원도,강릉시,크리스탈모텔,숙박업,033-642-6377,강원도 강릉시 옥천동 273-4
강원도,강릉시,동아프라자,기타,033-642-6661,강원도 강릉시 임당동 114-2 외4필지
강원도,강릉시,보헤미안박이추커피,식품접객업,033-642-6688,강원도 강릉시 사천면 사천진리 285-11
강원도,강릉시,강릉원주대학교,학교,033-642-7001,강원도 강릉시 지변동 123
강원도,강릉시,강릉중학교,기타,033-642-7046,강원도 강릉시 입암동 662-3  
강원도,강릉시,향기모텔,숙박업,033-642-7512,강원도 강릉시 강동면 정동진리 50-3
강원도,강릉시,태백가든,식품접객업,033-642-7708,강원도 강릉시 교동 1855-1
강원도,강릉시,회산막국수,식품접객업,033-642-8190,강원도 강릉시 회산동 159-1  
강원도,강릉시,발리모텔(홍제동),숙박업,033-642-8202,강원도 강릉시 홍제동 997 외 1필지 
강원도,강릉시,SM호텔(에스엠),숙박업,033-642-8813,강원도 강릉시 교동 1891-7   
강원도,강릉시,성호맨션,기타,033-642-8838,강원도 강릉시 임당동 74-4
강원도,강릉시,(합)유니온투어라인,운송업,033-642-8888,강원도 강릉시 교동 146-3
강원도,강릉시,강릉여자고등학교,학교,033-642-8891,강원도 강릉시 옥천동 237-1
강원도,강릉시,모텔힐,숙박업,033-642-8985,강원도 강릉시 사천면 방동리 산35-4
강원도,강릉시,학마을한우촌,식품접객업,033-642-9192,강원도 강릉시 노암동 762-8
강원도,강릉시,경포니스모텔,숙박업,033-642-9566,강원도 강릉시 강문동 262-12   
강원도,강릉시,현대모비스㈜강릉부품센터,기타,033-642-9630,강원도 강릉시 강동면 모전리 19-1  
강원도,강릉시,금천유치원,보육시설,033-642-9976 ,강원도 강릉시 금학동 29
강원도,강릉시,용평관광㈜,운송업,033-643-0062,강원도 강릉시 옥천동 154-9
강원도,강릉시,에쿠스모텔,숙박업,033-643-0114,강원도 강릉시 홍제동 999-3   
강원도,강릉시,탑스빌모텔A,숙박업,033-643-1054,강원도 강릉시 강동면 정동진리 27-3
강원도,강릉시,탑스빌모텔B,숙박업,033-643-1054,강원도 강릉시 강동면 정동진리 27-3
강원도,강릉시,입암1주공아파트,공동주택,033-643-1180,강원도 강릉시 입암동 641
강원도,강릉시,경일프라자,기타,033-643-1199,강원도 강릉시 임당동 117-2 외3필지
강원도,강릉시,효경빌딩,기타,033-643-1212,강원도 강릉시 옥천동 135
강원도,강릉시,크라운모텔,숙박업,033-643-1220,강원도 강릉시 옥천동 141-2   
강원도,강릉시,강릉시장애인종합복지관,기타,033-643-1801,강원도 강릉시 사천면 방동리 산40-4
강원도,강릉시,강릉시장애인종합복지관,기타,033-643-1801,강원도 강릉시 사천면 방동리 산40-4
강원도,강릉시,황실장여관,숙박업,033-643-2216,강원도 강릉시 교동 138-8   
강원도,강릉시,모나리자,숙박업,033-643-2237,강원도 강릉시 교동 138-14   
강원도,강릉시,모텔포시즌,숙박업,033-643-2504,강원도 강릉시 옥천동 211-2   
강원도,강릉시,휠모텔,숙박업,033-643-2639,강원도 강릉시 옥천동 149  
강원도,강릉시,율곡중학교,기타,033-643-2960,강원도 강릉시 교동 695  
강원도,강릉시,소화유치원,기타,033-643-3191,강원도 강릉시 임당동 159  
강원도,강릉시,춘천지방법원강릉지원,기타,033-643-3191,강원도 강릉시 난곡동 117-1
강원도,강릉시,소화유치원,보육시설,033-643-3191,강원도 강릉시 임당동 159
강원도,강릉시,강릉고용센터(강릉신용협동조합),기타,033-643-3251,강원도 강릉시 교동 1003-18
강원도,강릉시,뉴동방관광㈜,운송업,033-643-3300,강원도 강릉시 포남동 1138-2
강원도,강릉시,현대자동차(주)강릉지점,기타,033-643-3390,강원도 강릉시 옥천동 159
강원도,강릉시,(합)탑항공여행사,운송업,033-643-3443,강원도 강릉시 포남동 1294
강원도,강릉시,강원여객자동차㈜,운송업,033-643-3836,강원도 강릉시 홍제동 992-1
강원도,강릉시,하나로식당(강릉농협하나로마트성남점),식품접객업,033-643-3859,강원도 강릉시 성남동 26-1
강원도,강릉시,강릉농협하나로마트성남점,기타,033-643-3859,강원도 강릉시 성남동 26-1
강원도,강릉시,강원흥업㈜,운송업,033-643-3887,강원도 강릉시 홍제동 992-1
강원도,강릉시,명품여행협동조합,운송업,033-643-4334,강원도 강릉시 교동 949-20
강원도,강릉시,동해식품㈜,기타,033-643-4392,강원도 강릉시 담산동 338-1 외1필지
강원도,강릉시,강릉상공회의소,기타,033-643-4411,강원도 강릉시 교동 349-2
강원도,강릉시,노암복지회,기타,033-643-4687,강원도 강릉시 옥천동 200-6
강원도,강릉시,교동부영6차아파트,공동주택,033-643-4734,강원도 강릉시 교동 1775
강원도,강릉시,이레파크여관,숙박업,033-643-5454,강원도 강릉시 포남동 1005-268   
강원도,강릉시,백세사랑요양원,기타,033-643-5500,강원도 강릉시 안현동 796
강원도,강릉시,썸모텔,숙박업,033-643-5530,강원도 강릉시 교동 1891-16
강원도,강릉시,강릉시외버스터미널,기타,033-643-6092,강원도 강릉시 홍제동 992
강원도,강릉시,경포비치호텔,숙박업,033-643-6699,강원도 강릉시 강문동 303-4   
강원도,강릉시,라브리(LABRI)(경포비치호텔),식품접객업,033-643-6699,강원도 강릉시 강문동 303-4
강원도,강릉시,강릉삼성어린이집,기타,033-643-6707,강원도 강릉시 포남동 916-외4필지 
강원도,강릉시,강릉삼성어린이집,보육시설,033-643-6707,강원도 강릉시 포남동 916-7
강원도,강릉시,강릉삼성어린이집,기타,033-643-6707,강원도 강릉시 포남동 916-외4필지 
강원도,강릉시,삼포유통(장의운송사),운송업,033-643-6849,강원도 강릉시 포남동 1180-9
강원도,강릉시,관동중학교,기타,033-643-7332,강원도 강릉시 교동 1427  
강원도,강릉시,스카이모텔(임당동),숙박업,033-643-7413,강원도 강릉시 임당동 95-1   
강원도,강릉시,내곡한라아파트,공동주택,033-643-7530,강원도 강릉시 내곡동 476
강원도,강릉시,동양빌딩,기타,033-643-7575,강원도 강릉시 금학동 95-1
강원도,강릉시,로커스텔,숙박업,033-643-7722,강원도 강릉시 교동 1870-1   
강원도,강릉시,사파리모텔,숙박업,033-643-8081/033-645-6318,강원도 강릉시 포남동 1005-224   
강원도,강릉시,"세가온산부인과, 산후조리원",기타,033-643-8114,강원도 강릉시 교동 723-7
강원도,강릉시,이화모텔,숙박업,033-643-8484,강원도 강릉시 임당동 96-5   
강원도,강릉시,LH강릉회산주공아파트,공동주택,033-643-8563,강원도 강릉시 회산동 3-1외 17필지
강원도,강릉시,백운장모텔,숙박업,033-643-8840,강원도 강릉시 교동 156-20   
강원도,강릉시,내곡주공아파트,공동주택,033-643-8956,강원도 강릉시 내곡동 623
강원도,강릉시,일양장여관,숙박업,033-643-9751,강원도 강릉시 옥천동 141  
강원도,강릉시,엠모텔(M펜션모텔),숙박업,033-644 -5400,강원도 강릉시 강동면 산성우리 24-2   
강원도,강릉시,사천초등학교,학교,033-644-0006,강원도 강릉시 사천면 미노리 407  
강원도,강릉시,꿈의궁전모텔,숙박업,033-644-0032,강원도 강릉시 사천면 방동리 415-3 
강원도,강릉시,리츠파크,숙박업,033-644-0122,강원도 강릉시 안현동 860-1   
강원도,강릉시,심순네,식품접객업,033-644-0262,강원도 강릉시 남항진동 1 
강원도,강릉시,강릉예술창작인촌(동양자수박물관),기타,033-644-0600,강원도 강릉시 죽헌동 149 외6필지
강원도,강릉시,후아유게스트하우스,숙박업,033-644-0811,강원도 강릉시 안현동 858-5
강원도,강릉시,강릉커피공원,식품접객업,033-644-1120,강원도 강릉시 회산동 572-3
