위도,경도,amenity,sport,name,addr:full,phone,source:date
33.2436009114,126.5887071425,pitch,archery,백록정,제주특별자치도 서귀포시 검은여로 2-72,+82 64 760 3637,2020-08-03
33.2541303395,126.3222876435,pitch,archery,산방정,제주특별자치도 서귀포시 안덕면 일주서로 1836,+82 64 760 4315,2020-08-03
33.3003864395,126.683935578,pitch,archery,삼다정,제주특별자치도 서귀포시 남원읍 중산간동로 6575-17,+82 64 760 3652,2020-08-03
33.2592301515,126.4979665522,pitch,archery,서귀포 궁도장 (천지정),제주특별자치도 서귀포시 중산간서로 97-40,+82 64 760 3637,2020-08-03
33.467204,126.9027628,pitch,tennis,성산국민체육센터 테니스장,제주특별자치도 서귀포시 성산읍 오조리 1365-1,+82 64 784 2274,2020-08-03
33.3544931,126.8124756,pitch,tennis,표선생활체육 테니스장,제주특별자치도 서귀포시 표선면 하천리 1832-1,+82 64 760 3657,2020-08-03
33.2771222,126.6391669,pitch,tennis,제주공천포 전지훈련센터 테니스장,제주특별자치도 서귀포시 신례로 96,+82 64 760 3665,2020-08-03
33.2575973566,126.5642118886,pitch,tennis,서귀포 테니스장,제주특별자치도 서귀포시 동홍로 99번길 36,+82 64 763 2662,2020-08-03
33.2572533164,126.5005362793,pitch,running,동아마라톤센터,제주특별자치도 서귀포시 중산간서로 95-1,+82 64 760 3626,2020-08-03
33.259873,126.5017748636,pitch,running,전천후실내육상연습장,제주특별자치도 서귀포시 중산간서로 95,+82 64 739 4781,2020-08-03
33.247066917,126.5073629555,pitch,climbing,서귀포시 실내암장,제주특별자치도 서귀포시 월드컵로 31,+82 64 760 3638,2020-08-03
33.2665345,126.6053556,pitch,golf,월라봉 파크골프장,제주특별자치도 서귀포시 신효동 1188-5,+82 64 760 4626,2020-08-03
33.247229,126.553626,pitch,golf,칠십리 파크골프장,제주특별자치도 서귀포시 서홍동 576-9 ,+82 64 760 3637,2020-08-03
33.25714,126.498757,pitch,golf,강창학 파크골프장,제주특별자치도 서귀포시 강정동 1353,+82 64 760 3637,2020-08-03
33.354264141,126.8143922654,sport_centre,multi,표선생활 체육관 주경기장,제주특별자치도 서귀포시 표선면 한마음초등로 399,+82 64 760 3657,2020-08-03
33.254976361,126.3266594478,sport_centre,multi,안덕생활 체육관 주경기장,제주특별자치도 서귀포시 안덕면 화순문화로 22번길 15-1,+82 64 760 4315,2020-08-03
33.466758403,126.9048990496,sport_centre,multi,성산국민 체육센터 주경기장,제주특별자치도 서귀포시 성산읍 일주동로 4024,+82 64 784 2274,2020-08-03
33.2639271166,126.2355124387,sport_centre,multi,대정문화 체육센터 주경기장,제주특별자치도 서귀포시 대정읍 암반수마농로 419,+82 64 760 3651,2020-08-03
33.2778828598,126.7034070554,sport_centre,multi,남원생활 체육관 주경기장,제주특별자치도 서귀포시 남원읍 태위로 551-27,+82 64 760 3652,2020-08-03
33.2771222,126.6391669,sport_centre,multi,제주공천포전지훈련 센터 주경기장,제주특별자치도 서귀포시 신례로 96,+82 64 760 3665,2020-08-03
33.259873,126.5017748636,sport_centre,multi,강창학 종합B구장,제주특별자치도 서귀포시 중산간서로 95,+82 64 739 4781,2020-08-03
33.259873,126.5017748636,sport_centre,multi,강창학 종합A구장,제주특별자치도 서귀포시 중산간서로 95,+82 64 739 4781,2020-08-03
