순번,여행지명,사진파일,위도,경도,연락처,주소,여행일,설명
20,삼송마을,http://www.welchon.com/upload/travelsub/20180522202235593.jpg,37.2633708,128.1925988,033-765-3381,강원 원주시 신림면 송계로 17,1,"- 체험 : 쌀찐빵 만들기, 전통놀이 체험, 단종 유배길 걷기, 맨손 송어잡기(송어구이, 송어회) 등 - 주변 관광지 : 사계절 식물원, 신림용소막성당, 한반도지형선암마을 등 - 숙박 : 황토방(7~8인실 2, 20인실 1) / 전화예약가능 T. 033-765-3381"
21,방태산자연휴양림,http://www.welchon.com/upload/travelsub/20180628193752208.jpg,37.9222343,128.3996816,033-463-8590,강원 인제군 기린면 방태산길 377,2,"이단폭포, 마당바위, 방동약수"
22,인제빙어축제,http://www.welchon.com/upload/travelsub/20171219103745117.JPG,37.9984887,128.1002053,033-460-8900,강원 인제군 남면 빙어마을길 172,1,2018년 1월 27일 ~ 2월 4일까지
23,용소폭포,http://www.welchon.com/upload/travelsub/20180628193715823.jpg,38.1918996,128.3302196,033-460-2170,강원 인제군 북면 만해로,1,여름 명소에서 아름다운 장관 즐기기
24,백담마을,http://www.welchon.com/upload/travelsub/20201026132607225.jpg,,,033-462-4608,강원 인제군 북면 만해로 410-17,1,설악산의 아름다움이 가득한 마을
25,만해문학박물관,http://www.welchon.com/upload/travelsub/20171219103818453.jpg,38.1862381,128.3166442,033-462-2303,강원 인제군 북면 만해로 91,2,*사진 : 한국관광공사
26,달빛소리마을,http://www.welchon.com/upload/travelsub/20200914145519080.jpg,,,,강원 인제군 북면 사현동길 6,1,한적한 시골에서의 건강한 휴식이 있는 마을
27,국립용대자연휴양림,http://www.welchon.com/upload/travelsub/20171219103546412.jpg,38.238659,128.342334,033-462-5031,강원 인제군 북면 연화동길 251,1,*사진 : 한국관광공사
28,매바위,http://www.welchon.com/upload/travelsub/20171219103629998.jpg,38.220794,128.3686403,033-460-2170,강원 인제군 북면 진부령로 65,1,*사진 : 한국관광공사
29,마의태자권역마을,http://www.welchon.com/upload/travelsub/20180628193741866.jpg,37.8811098,128.2572339,033-461-0228,강원 인제군 상남면 김부대왕로 2390,1,"손두부만들기, 찰떡만들기(떡메치기), 황토염색하기, 산야초화분만들기, 나무 꿈이름표만들기,수제 비누 만들기 등"
30,고로쇠마을,http://www.welchon.com/upload/travelsub/20200810154743419.jpg,,,033-463-9036,강원 인제군 상남면 내린천로 1477,1,모험과 스릴을 즐기는 레포츠로 체험객들의 만족도가 높으며 같은  기에 운영되는 견지낚시 체험은 가족이 함께 자연을 즐기는 프로그램으로 각광받고 있습니다. 
31,미산마을 리버버깅,http://www.welchon.com/upload/travelsub/20180628193725925.jpg,37.8640253,128.3292315,033-463-9036,강원 인제군 상남면 내린천로 1477,1,아름다운 미산계곡의 급류를 자유롭게 다니며 스릴 즐기기
32,인제 원대리 자작나무숲,http://www.welchon.com/upload/travelsub/20180628193801480.jpg,38.0086809,128.1958018,033-460-8036,강원 인제군 인제읍 자작나무숲길 784,2,이국적인 풍경의 자작나무숲 감상
33,개미들마을,http://www.welchon.com/upload/travelsub/20180118094759308.jpg,37.319053,128.6927289,070-8876-9991,강원 정선군 남면 광락로 354,1,"* 추천 체험거리 : 난타체험, 타임캡슐 만들기, 떡메치기 등 * 숙박 : 마을 내 숙박 시설 이용 가능 * 소재지 : 강원도 정선군 남면 광락로 354 * 문의 : 070-8876-9991"
34,민둥산(억새꽃축제),http://www.welchon.com/upload/travelsub/20180919163941192.jpg,37.2544992,128.781169,,강원 정선군 남면 민둥산로 12,1,축제기간 : ‘18.9.21~11.4 민둥산은 산이 험하지 않고 둥그스름하다. 억새꽃이 피면 평지를 연상케 하는 억새 꽃밭이 장관을 이룬다. 전국 5대 억새풀 군락지 중 하나로 억새꽃축제가 열릴 때면 많은 방문객들이 찾는다. 민둥산을 덮은 억새꽃이 바람에 흔들리는 모습을 보고 있으면 등산의 피로감은 한 번에 사라진다.
35,정선알파인경기장,http://www.welchon.com/upload/travelsub/20180117152520925.jpg,37.4700752,128.6175157,1544-9053,강원 정선군 북평면 오대천로 549-6,1,"ㅇ자가용 이용시 - 내비게이션에 ‘정선 주차장/정선 아라리 공원’을 검색 정선 주차장에선 TS 13에, 정선 아라리 공원에선 TS 14에 탑승하여 정선 알파인 경기장까지 이동 ㅇ버스 이용시 - 진부 버스터미널 하차, 관중 셔틀버스 TS 2에 탑승하여 진부역에서 하차 후, 승차장에서 관중 셔틀버스 TS 1에 탑승 ㅇ기차 이용시 -  '진부역(KTX)'에서 하차, 진부역 승차장에서 관중 셔틀버스 TS 1에 탑승, 정선 알파인 경기장까지 이동"
36,정선레일바이크,http://www.welchon.com/upload/travelsub/20180919163327169.jpg,37.5163084,128.727805,033-563-8787,강원 정선군 여량면 노추산로 749,1,"2인승 : 25천원, 4인승 : 35천원 레일바이크를 타고 정선의 구절리역에서 아우라지역까지 시속 7.2km의 속도로 15~20km 정도의 코스를 달린다. 송천 강변을 따라 달리며 정선의 자연풍경을 제대로 느낄 수 있다."
37,병방치스카이워크,http://www.welchon.com/upload/travelsub/20180117142638610.gif,37.3602761,128.6235301,033-563-4100,강원 정선군 정선읍 동강로 2908,1,"운영시간 : 하절기 09:00~18:00 / 동절기 09:00~17:00 * 당일 기상여건에 따라 관람제한이 있을 수 있음 입장료 : 2,000원 (전망대)"
38,덕우리체험마을,http://www.welchon.com/upload/travelsub/20180919163700495.jpg,37.3597181,128.7140361,,강원 정선군 정선읍 백오담길 27,1,"덕우리체험마을은 최근 tvN 삼시세끼, MBC 아빠어디가, 원빈과 이나영의 결혼식으로 유명세를 타고 있는 마을로, 산수가 수려하고 어천이 마을을 휘감아 돌고 우뚝 솟아있는 층암절벽과 깎아 세운 듯한 100m이상의 석봉 등 경치가 매우 빼어나다. 맷돌커피 바리스타 체험, 맨손 송어잡기 체험 등 다양한 체험도 할 수 있고, 숙박도 가능하다."
39,덕우리마을,http://www.welchon.com/upload/travelsub/20200811174942995.jpg,,,033-562-9001,강원 정선군 정선읍 백오담길 27,1,청정자연 속에서 커피향 가득한 체험들과 함께 여유를 만끽할 수 있습니다
40,아리랑시장,http://www.welchon.com/upload/travelsub/20180919163441775.jpg,37.3803874,128.6651583,033-563-6200,강원 정선군 정선읍 봉양7길 39,1,"5일장(매월 2, 7일, 매주 토요일) 정선에서 열리는 전통 5일장으로서 강원도에서 나는 다양한 특산품과 먹을거리들을 맛볼 수 있는 곳이다. 다양한 문화공연이나 축제도 열린다. 5일장을 방문하여 정선의 토속적인 맛을 가장 가깝게 느껴보자."
41,정선아리랑시장,http://www.welchon.com/upload/travelsub/20180115145802707.bmp,37.3803874,128.6651583,033-563-6200,강원 정선군 정선읍 봉양7길 39,1,"전화 : 1544-9053 (정선군종합관광안내소)           033-563-6200 (정선시장상인회) 장서는 날 : 매월 2,7,12,17,22,27일"
42,아라리촌,http://www.welchon.com/upload/travelsub/20180117142612698.jpg,37.3741849,128.6715243,033-560-3435,강원 정선군 정선읍 애산로 37,1,"ㅇ관람시간 : 09:00 ~ 18:00 (입장은 17:00까지) ㅇ입장료 : 3,000원 (정선아리란 상품권 3,000원으로 교환)"
43,화암동굴,http://www.welchon.com/upload/travelsub/20180919163555854.jpg,37.3502599,128.7898864,033-560-3410,강원 정선군 화암면 화암동굴길 12-8,1,"어른 5천원, 중/고등/사병 3.5천원, 어린이 2천원 화암동굴은 금을 캐던 금광이었다. 금을 채광하던 천포광산에 상부갱도 515m 구간에는 금광맥의 발견에서부터 금광석의 채취까지의 전 과정을 생생하게 재연하여 놓았다. 산 고도가 높아 1,803m라는 긴 동굴이 만들어 졌고 그 안에 다양한 동굴생명체들과 종유석들이 자리 잡고 있다. 길이가 길어 탐방시간이 1시간 30분 정도 소요되며 계단이 많아 여유있게 동굴 절경을 감상 하는 것을 추천한다."
44,두루미자는버들골,http://www.welchon.com,38.283125,127.3214875,033-452-3377,강원 철원군 동송읍 금강산로 1556,2,"[체험프로그램] 두루미탐조, 휴전선 2km 트레킹, 쥐불놀이, 얼음빙판놀이 등"
45,뚜루뚜루철새교실,http://www.welchon.com,38.2683693,127.2830703,033-452-4252,강원 철원군 동송읍 양지3길 3-33,1,농장체험 등 매년 겨울이면 우리나라를 찾는 철새에 대해 알아볼 수 있음
46,고석정,http://www.welchon.com,38.2034248,127.2700132,033-450-5559,강원 철원군 동송읍 한탄강길 208,1,"지정번호 : 강원기념물 제8호 (1971년 12월 16일 지정) 소 장 : 국유 및 사유 소 재 지 : 강원 철원군 동송읍 장흥리 725,갈말읍 군탄리 산61 시 대 : 신라시대, 조선시대 면 적 : 약 33㎡(고석정), 약 66㎡(순담) 분 류 : 누(정)각"
47,달아실박물관,http://www.welchon.com/upload/travelsub/20171219102226431.jpg,37.920094,127.8052257,033-242-1042,강원 춘천시 동면 금옥길 228,1,"입장료 : 성인 10000원, 어린이& 청소년 5000원, 특별요금 8000원 (*옥산가 입장고객 영수증 지참 시 할인) 이용시간 : 10:00~18:00"
48,춘천 옥광산,http://www.welchon.com/upload/travelsub/20171219102203550.jpg,37.920094,127.8052257,033-242-1042,강원 춘천시 동면 금옥길 228,1,입장료 : 5000원  이용시간 : 09:00~18:00/ 오후 5시까지 입장
49,누리삼마을,http://www.welchon.com/upload/travelsub/20180726144623244.jpg,37.9399585,127.9434793,,강원 춘천시 북산면 원동조교로 601-45,1,"- 체험: 낭만뱃길여행, 산골 작은음악회, 찰떡 만들기, 도토리묵 만들기, 목공예 등 - 식사: 시골밥상, 산채정식, 산채비빔밥, 장뇌산백숙, 닭볶음탕 등 - 숙박: 큰방 2개(10~15인실), 작은방 4개(4~5인실), 펜션 3동(5~7인실) / 전화예약가능 T. 010-6382-7350 "
50,해피초원목장,http://www.welchon.com/upload/travelsub/20171219102337720.jpg,37.9792583,127.6957763,033-244-2122,강원 춘천시 사북면 춘화로 330-48,1,"입장료 : 성인 & 어린이 : 5,000원 (체험용 건초가격), 경로 2,000원  체험 프로그램 : 동물 먹이주기, 한우버거 만들기, 눈썰매타기, 목공체험 등  "
51,소양강스카이워크,http://www.welchon.com/upload/travelsub/20171219102257186.jpg,37.8932774,127.7236633,033-240-1695,강원 춘천시 영서로 2663 (근화동),1,"입장료 : 2,000원 이용시간 : 매일 10:00 - 17:00"
52,하늘목장,http://www.welchon.com/upload/travelsub/20180115141215311.bmp,37.7117393,128.7321554,033-332-8061,강원 평창군 대관령면 꽃밭양지길 458-23,1,"운영시간 : 하계 09:00~18:00 (입장 마감 17:00)                  동계 09:00~17:30 (입장 마감 16:00) 이용요금 : 입장료 6,000원(어린이 5,000원), 양떼체험 2,000원                  체험 승마 10,000원"
53,알펜시아 스타디움,http://www.welchon.com/upload/travelsub/20180115141258739.bmp,37.6646464,128.6915434,,강원 평창군 대관령면 솔봉로 325,1,"ㅇ전화 : 1330(올림픽 특별 콜센터) ㅇ자가용 이용시 - 내비게이션에 ‘대관령주차장’을 검색 셔틀버스 승차장에서 TS 14에 탑승하여 알펜시아 올림픽파크(북문)까지 이동 ㅇ버스 이용시 - 횡계 버스터미널 하차, 횡계 버스 터미널에서 평창 올림픽 플라자 승하차장까지 도보로 0.58km 이동, 평창 올림픽 플라자 승차장에서 관중 셔틀버스 TS 7에 탑승하여 알펜시아 올림픽파크(북문)까지 이동"
54,눈꽃마을,http://www.welchon.com/upload/travelsub/20190121162710390.jpg,37.6880269,128.6939281,033-333-3301,강원 평창군 대관령면 차항길 11,1,"▶ 체험  봅슬레이 눈썰매 등 ▶ 식사  산채비빔밥, 된장찌개, 황태해장국 등, 간식 아메리카노, 복숭아 아이스티, 김밥, 어묵, 사발면, 꿀대추차 등 ▶ 숙박  복층 4개동, 단층 4개동 / 홈페이지 예약"
55,봉황마을,http://www.welchon.com/upload/travelsub/20190403152818579.jpg,37.4864007,128.3909609,,강원 평창군 대화면 금당계곡로 824,1,
56,어름치마을,http://www.welchon.com/upload/travelsub/20181130103347822.JPG,37.2923687,128.5412838,033-332-1260,강원 평창군 미탄면 마하길 42-5,1,"▶ 체험  백룡동굴탐사, 스카이라인/점프, 칠족령트레킹, 평창민물고기생태관 견학, 야생동물 및 민물고기 탐사 등 ▶ 식사  제육볶음, 곤드레나물정식, 올갱이해장국, 황태해장국, 된장찌개, 육개장, 막국수, 토종 닭백숙 등 ▶ 숙박  공동민박(최대 15명 2동, 최대 10명 2동), 카라반(4명 5동, 6명 1동, 겨울 운영 안 함) / 전화예약가능 T.033-332-1260"
57,정강원,http://www.welchon.com/upload/travelsub/20180115141809888.bmp,37.5708302,128.408073,033-333-1011,강원 평창군 용평면 금당계곡로 2010-13,1,"* 추천 체험 거리 : 전통음식 만들기 체험(비빔밥, 고추장, 김치 등), 전통한옥 체험 * 연계관광지 : 판관대, 봉평장터, 이효석 문학관, 월정사, 허브나라 * 소재지 : 강원도 평창군 용평면 백옥포리 21번지 * 숙박 : 정강원 전통한옥 * 예약 및 홈페이지 : 033-333-1011 / http://www.jeonggangwon.com"
58,황토구들마을,http://www.welchon.com/upload/travelsub/20190219085720927.jpg,37.5748012,128.4024112,033-334-7442,강원 평창군 용평면 의풍포길 23-10,1,"▶ 체험  미니구들 만들기, 힐링 요가 명상, 국궁, 별자리 체험, 꽃차 체험 등 ▶ 식사  제철 식재료 활용 시골밥상(별도 주문 시 메뉴, 단가 맞춤 제공 가능) ▶ 숙박  구들방 4개 동(2인실 2, 4일실 1), 보일러 1개 동(7인실) / 예약 T. 033-334-7442"
59,파로호느릅마을,http://www.welchon.com/upload/travelsub/20190426151948252.jpeg,38.055892,127.7899015,,강원 화천군 간동면 파로호로 923-15,1,
60,토고미마을,http://www.welchon.com/upload/travelsub/20180222151503850.jpg,38.1339418,127.6767375,033-441-7254,강원 화천군 상서면 토고미길 22-8,1,"* 추천 체험거리 : 토고미 자연학교체험 (떡메치기, 풀잎손수건 만들기, 두부 만들기, 나무목걸이 만들기, 트랙터열차타기, 토고미 올림픽, 농산물 파종 체험 등 일정에 따라 당일, 1박 2일, 2박 3일로 구성)"
61,화천목재문화체험장,http://www.welchon.com/upload/travelsub/20180219105833319.jpg,38.0670365,127.6455582,033-441-9928,강원 화천군 하남면 영서로 5289-11,1,
62,낭천산림욕장,http://www.welchon.com/upload/travelsub/20180219105902694.jpg,38.1128942,127.7100732,033-440-2557,강원 화천군 화천읍 산천어길 128,1,
63,국립횡성숲체원,http://www.welchon.com/upload/travelsub/20180115141833619.bmp,37.5372203,128.286688,033-340-6300,강원 횡성군 둔내면 청태산로 777,2,
64,사재산마을,http://www.welchon.com/upload/travelsub/20201203150504123.jpg,,,033-344-5787,강원 횡성군 안흥면 서동로상안8길 9-14,1,"미래의 귀농, 귀촌을 실현하고자 노력하는 마을입니다."
65,고라데이마을,http://www.welchon.com/upload/travelsub/20200810152435042.JPG,,,033-344-1004,강원 횡성군 청일면 봉명로 375-1,1,"살아 숨쉬는 청정자연과 함께 화전민의 문화가 잘 보전되어 있는 시골인심 넘치는 횡성 고라데이마을은 해발998m의 발교산 등이 병풍처럼 둘러 쌓여 있으며, 힐링의 명소이기도 한 산골마을입니다."
66,덕고마을,http://www.welchon.com/upload/travelsub/20180816174607393.jpg,37.4734906,128.0208525,033-342-8583,강원 횡성군 횡성읍 덕고로 410,1,"▶ 체험  전통혼례, 오미자청 담그기, 감자전 만들기, 목화 바느질, 제철 재료로 와플 만들기 등 ▶ 식사  시골 밥상 뷔페식 ▶ 숙박  10인실 2개, 8인실 2개, 15~20인실 1개, 캠핑장(데크 10개) / 전화예약 가능 T.033-342-8583"
67,두타연,http://www.welchon.com/upload/travelsub/20191008135319759.jpg,38.272206,127.993427,033-480-2251,강원도 양구군 방산면 고방산리 1024,1,"산양과 열목어가 서식하는 청정지대인 양구 두타연은 한국전쟁 후 출입이 금지됐다가 2004년에 민간인에게 개방되었다. 그렇기 때문에 한국전쟁 후 60여 년 동안 인간의 손때를 타지 않은 순수한 자연의 신비와 아름다움을 품고 있다. 여러 코스 중에 전망대에서 폭포를 본 다음 징검다리, 출렁다리를 건너는 코스가 길지 않아 트레킹하기 좋고 풍경도 수려해서 산책하기 좋은 코스이다. 특히 가을이면 붉게 물드는 숲길을 구경하며 자연이 빚어낸 보물을 찾으러 길을 나서보자. "
68,양구 오미마을,http://www.welchon.com/upload/travelsub/20191008135112997.jpg,38.1874492,127.9267683,033-481-6403,강원도 양구군 방산면 평화로 4818,1,"오미마을은 친환경 농법을 고수하여 청정 쌀을 생산하기로 유명한 마을이다. 산에 감싸여 오밀조밀 시골냄새가 구수하게 풍겨오는 오미마을은 초등학교를 리모델링해서 지어진 마을 체험관을 운영한다. 가마솥체험을 대표로 민들레 찐빵 만들기 체험 등을 할 수 있다. 종류별로 8개의 펜션 숙박시설을 운영하고 있으며, 인근의 평화의 댐에 들러보는 것도 좋다.  "
69,한반도 섬,http://www.welchon.com/upload/travelsub/20191008135005535.jpg,38.130848,127.981038,033-480-2251,강원도 양구군 양구읍 고대리 647-1,1,"파로호 한반도 섬은 호수 한가운데에 한반도 모습으로 만들어진 인공 섬으로 섬까지 나무 데크길로 연결이 되어 있어 강변 바람을 맞으며 걷기에 좋은 산책로가 조성 되어있다. 우리국토의 축소판인 이곳 한반도 섬에는 제주도, 울릉도, 독도는 물론 지리산, 한라산 모형물까지 전시되어 있다. 가을 풍경 조망과 드라이브를 즐기기에 적합한 곳이다. "
70,박수근미술관,http://www.welchon.com/upload/travelsub/20191008134857527.jpg,38.0963831,127.9792878,033-480-2655,강원도 양구군 양구읍 박수근로 265-15,1,"화가 박수근은 우리 민족적 정서를 한국적인 미의 전형을 이루어 표현해냄으로써 20세기 가장 한국적인 화가로 평가 받고 있다. 2002년 10월 25일 박수근 선생의 생가에 건립된 박수근 미술관은 작품세계와 예술혼을 기리는 동시에 지역의 대표 문화공간이 되고자 노력하고 있다. 구체적으로 유화, 수채화, 드로잉, 판화, 삽화 등 여러 작품을 소장하고 있으며 이를 선별하여 상설전시 하고 있다. 담쟁이덩굴도 단풍이 들 때 쯤, 내부에서 유리창을 통해 바라보는 풍경이 인상적이다. "
71,동막용수골마을,http://www.welchon.com/upload/travelsub/20200102181134960.jpg,37.2937538,127.943485,033-764-4443,강원도 원주시 판부면 내동막길 35-12,1,"자연이 만든 겨울풍경 속에서  즐기는 동막용수골얼음축제! 눈·얼음썰매도 타고  양귀비꽃으로 만드는 쿠키, 감자떡을 만들고 맛볼 수 있는 곳 ※ 동막용수골얼음축제(20.1.1~20.1.31)"
72,스카이라인 짚와이어,http://www.welchon.com/upload/travelsub/20191004142749463.JPG,37.804029,127.525457,031-582-8091,경기 가평군 가평읍 북한강변로 1024,1,"가평에서 가장 짜릿하게 즐길 수 있는 레포츠는 바로 ‘짚와이어’이다. 푸른자연이 선사하는 신선하고 맑은 공기로 심폐를 정화하고, 주변의 자연경관은 눈의 피로를, 산새들의 지저귐은 귀를 씻겨준다. 고공낙하 하듯 아래로 하강하면서 느껴지는 스피드의 쾌감과 하늘을 나는 성취감의 짜릿함은 온몸을 전율케 할 것이다. 짚와이어의 코스는 약 1분 30초만에  남이섬으로 들어가는 패밀리 코스와 자라섬으로 들어간 후 전용선박을 이용해 남이섬으로 이동하는 어드벤처 코스가 있다.    - 주소 : 경기도 가평군 가평읍 북한강변로 1024  - 문의 : 031-582-8091 / www.skylinezipwire.co.kr  - 요금 : 44,000원(경기도주민 3,000원 할인)  - 연중무휴(동절기 : 09:00~18:00, 하절기 : 09:00~19:00)"
73,아홉마지기마을,http://www.welchon.com/upload/travelsub/20190829102017805.jpg,37.848401,127.487489,031-582-3115,경기 가평군 가평읍 용추로 238,1,"아홉마지기마을은 가평 팔경중 제3경인 용추구곡이 있는 곳이다. 해발 1068m의 연인산을 발원지로 형성된 용추구곡은 용이 하늘로 날아오르며 아홉굽이의 그림같은 경치를 수놓았다는데서 유래되었으며, 생태계가 훼손되지 않은 수도권내 유일무이한 계곡으로 이곳의 흐르는 물이 맑아 바위가 흐르는 듯한 신비감을 주는 곳이다.    - 주소 : 경기도 가평군 가평읍 용추로 238  - 문의 :  031-582-3115, 010-4580-8308               www.9majigi.kr "
