사업장명,전화번호,소재지면적,지번주소,도로명주소,위생업태명,시설총규모,영업상태명,폐업일자,위도,경도
근대화통닭 김해내외점,070-8845-3657,44.6,경상남도 김해시 내동 1122-4 동화선프라자 101호 일부,"경상남도 김해시 내외중앙로 81, 동화선프라자 101호 일부 1층 (내동)",한식,44.6,영업/정상,,35.2372534800 ,128.8668387000 
새벽국밥,,14,경상남도 김해시 부원동 627-12번지 1층,"경상남도 김해시 활천로15번길 15, 1층 (부원동)",한식,14,영업/정상,,35.2287039900 ,128.8921902000 
오르새피자 장유점,055-328-4777,48.61,경상남도 김해시 관동동 1114-4번지,"경상남도 김해시 관동로 133, 1층 (관동동)",경양식,48.61,영업/정상,,35.1783923000 ,128.8175980000 
율하상회,,60.48,경상남도 김해시 율하동 1347-1번지 명도빌딩 1층 107호,"경상남도 김해시 율하3로 22, 명도빌딩 1층 107호 (율하동)",한식,60.48,영업/정상,,35.1701738100 ,128.8132343000 
해운대제면소,055-323-1467,62,경상남도 김해시 내동 1117-1번지 경보스포츠프라자 110호 일부,"경상남도 김해시 내외로77번길 12, 경보스포츠프라자 110호 일부 1층 (내동)",기타,62,영업/정상,,35.2356092400 ,128.8660961000 
알통떡강정 진영점,,51,경상남도 김해시 진영읍 진영리 1630-12번지,"경상남도 김해시 진영읍 장등로10번길 16, 1층",기타,51,영업/정상,,35.3083156500 ,128.7356625000 
라곤,,82.4,경상남도 김해시 진영읍 진영리 1595-14 1층,"경상남도 김해시 진영읍 진산대로26번길 8, 1층",기타,82.4,영업/정상,,35.3085213000 ,128.7255146000 
바이젠스토리,055-322-6056,125.51,경상남도 김해시 부곡동 801-11번지 2동 204호,"경상남도 김해시 월산로 162, 네오푸드앤조이 2동 2층 204호 (부곡동)",호프/통닭,125.51,영업/정상,,35.2088764000 ,128.7989584000 
비율카페,055-311-1919,149.01,경상남도 김해시 관동동 1094-8번지,"경상남도 김해시 율하카페길 73, 1층 (관동동)",경양식,149.01,영업/정상,,35.1764439600 ,128.8124405000 
이춘희가 조리하는 작은밥집,,181.96,"경상남도 김해시 주촌면 양동리 244-7번지 1,2층","경상남도 김해시 주촌면 서부로1341번길 6, 1,2층",한식,181.96,영업/정상,,35.2214849000 ,128.8114619000 
뿅가네돼지국밥,055-328-3334,170.31,경상남도 김해시 어방동 1131-4,"경상남도 김해시 분성로529번길 19, 1층 (어방동)",한식,170.31,영업/정상,,35.2373179400 ,128.9035681000 
안집갈비찜,055-312-8777,67.32,경상남도 김해시 안동 160-1번지 1층,"경상남도 김해시 삼안로77번길 11, 1층 (안동)",한식,67.32,영업/정상,,35.2364585300 ,128.9159514000 
이조초밥,050-7881-6139,83.52,경상남도 김해시 진영읍 진영리 1628-2 1층,"경상남도 김해시 진영읍 장등로10번길 6, 1층",한식,83.52,영업/정상,,35.3074688500 ,128.7355779000 
차차푸드,,41.29,경상남도 김해시 삼정동 68-2 1층,"경상남도 김해시 분성로 482, 1층 (삼정동)",기타,41.29,영업/정상,,35.2350106300 ,128.8986974000 
자담치킨북부점&뚜러콜북부점,,52.67,경상남도 김해시 삼계동 1447-7번지 1층,"경상남도 김해시 가야로157번길 11, 1층 (삼계동)",경양식,52.67,영업/정상,,35.2636733200 ,128.8731102000 
오리가돼지,055-326-3392,72.26,경상남도 김해시 외동 1210-11번지 1층,"경상남도 김해시 함박로 5-1, 1층 (외동)",식육(숯불구이),72.26,영업/정상,,35.2341536600 ,128.8553140000 
BHC 율하2점,,32.32,경상남도 김해시 장유동 101번지 원메이저 힐스테이트 231동 108호,"경상남도 김해시 율하5로 99-1, 원메이저 힐스테이트 231동 108호 (장유동)",호프/통닭,32.32,영업/정상,,35.1670535700 ,128.8280445000 
종일식당,070-7785-4848,51.31,경상남도 김해시 어방동 831번지 2층,"경상남도 김해시 활천로154번길 28, 2층 (어방동)",한식,51.31,영업/정상,,35.2375326400 ,128.9013731000 
본죽&비빔밥카페 김해율하점,055-339-9200,47,경상남도 김해시 율하동 1336-2 1층 101호,"경상남도 김해시 율하3로 37, 1층 101호 (율하동)",한식,47,영업/정상,,35.1716396900 ,128.8137429000 
서정수산 고성왕새우(안녕하새우),055-329-3713,447.04,경상남도 김해시 대청동 68-3번지 2층 201호,"경상남도 김해시 번화1로76번길 8, 2층 201호 (대청동)",회집,447.04,영업/정상,,35.1940914200 ,128.8006033000 
중덕마을,055-322-3934,68.9,경상남도 김해시 외동 1259-2번지 힐튼상가 102호,"경상남도 김해시 함박로119번길 23, 힐튼상가 1층 102호 (외동)",한식,68.9,영업/정상,,35.2340770100 ,128.8673322000 
건어물 연구소 삼방점,,170.2,경상남도 김해시 삼방동 157-10번지 1층,"경상남도 김해시 활천로255번길 64, 1층 (삼방동)",기타,170.2,영업/정상,,35.2478877900 ,128.9064435000 
수아포차,,35.75,경상남도 김해시 진례면 송정리 243-9번지 1층,"경상남도 김해시 진례면 송현로 7-1, 1층",기타,35.75,영업/정상,,35.2489835400 ,128.7491574000 
김미개이24할매국밥,055-338-8882,267.15,경상남도 김해시 부곡동 653-9번지,"경상남도 김해시 장유로 111, 1층 (부곡동)",한식,267.15,영업/정상,,35.2115878600 ,128.8005886000 
옥순항아리수제비,055-346-2255,145.27,경상남도 김해시 진영읍 진영리 1695-4번지 1층,"경상남도 김해시 진영읍 장등로122번길 24, 1층",한식,145.27,영업/정상,,35.3136320700 ,128.7300252000 
미소분식,,21.7,경상남도 김해시 진영읍 진영리 235-16번지 1층,"경상남도 김해시 진영읍 진영산복로115번길 9, 1층",분식,21.7,영업/정상,,35.3023158800 ,128.7306271000 
모두가 꿈꾸던 몽,055-322-5166,52,경상남도 김해시 동상동 1120-16,"경상남도 김해시 구지로211번길 20, 1층 (동상동)",한식,52,영업/정상,,35.2396987500 ,128.8851473000 
오뎅에빠지다,,42.95,경상남도 김해시 대청동 68-12번지 유토피아 109호,"경상남도 김해시 번화1로 70, 유토피아 109호 (대청동)",정종/대포집/소주방,42.95,영업/정상,,35.1937337900 ,128.8001605000 
김부순 뼈다귀 그리고 육개장,055-724-0244,34,경상남도 김해시 대성동 90-1 1층,"경상남도 김해시 구지로 120-8, 1층 (대성동)",한식,34,영업/정상,,35.2388168900 ,128.8762822000 
요풍각,055-333-8251,115.62,경상남도 김해시 율하동 1384-6번지,"경상남도 김해시 율하2로236번길 11, 1층 (율하동)",중국식,115.62,영업/정상,,35.1748730300 ,128.8221407000 
순수한돼지,055-339-8392,20,경상남도 김해시 외동 1186-2번지 1층,"경상남도 김해시 우암로43번길 3-1, 1층 (외동)",식육(숯불구이),20,영업/정상,,35.2344333300 ,128.8603597000 
명가한식뷔페,055-343-3199,135,"경상남도 김해시 진례면 담안리 1522-5번지 107,1호","경상남도 김해시 진례면 테크노밸리로 25-7, 1층 107,108호",뷔페식,135,영업/정상,,35.2665121900 ,128.7655524000 
얼크니손칼국수,055-314-8288,142.06,경상남도 김해시 관동동 1075-6,"경상남도 김해시 관동로 63, 1층 (관동동)",분식,142.06,영업/정상,,35.1774871900 ,128.8101124000 
카페J(제이),,41.47,경상남도 김해시 삼계동 404-2번지 오션플라자 1층 103호,"경상남도 김해시 김해대로 1784-7, 오션플라자 1층 103호 (삼계동)",기타,41.47,영업/정상,,35.2664951000 ,128.8617542000 
레드바,,99.63,경상남도 김해시 대청동 56-8번지 남명프라자 504호,"경상남도 김해시 번화1로67번길 2, 남명프라자 504호 (대청동)",기타,99.63,영업/정상,,35.1935660200 ,128.7996318000 
비에이치시(BHC) 김해주촌점,055-338-9266,50.04,경상남도 김해시 주촌면 천곡리 1149-9번지,경상남도 김해시 주촌면 천곡로157번길 16,호프/통닭,50.04,영업/정상,,35.2284290800 ,128.8438728000 
치요남장유점,055-314-2414,78.77,경상남도 김해시 대청동 278-5번지,"경상남도 김해시 계동로159번길 21, 1층 (대청동)",호프/통닭,78.77,영업/정상,,35.1902888300 ,128.7949329000 
카페고무신,070-341-5512,116.74,경상남도 김해시 관동동 1111-11번지,"경상남도 김해시 율하카페길 105-13, 1층 (관동동)",한식,116.74,영업/정상,,35.1763044600 ,128.8157547000 
효식당,,28,경상남도 김해시 동상동 807-17 1층,"경상남도 김해시 호계로 518-10, 1층 (동상동)",냉면집,28,영업/정상,,35.2366096200 ,128.8847840000 
왕도설렁탕,055-326-0117,90.03,경상남도 김해시 풍유동 860번지 1층,"경상남도 김해시 금관대로1073번길 6-7, 1층 (풍유동)",한식,90.03,영업/정상,,35.2244238900 ,128.8481593000 
11번길,055-311-1122,226.1,경상남도 김해시 관동동 1081-1번지 채원당,"경상남도 김해시 율하카페길 31-6, 채원당 1층 (관동동)",정종/대포집/소주방,226.1,영업/정상,,35.1764271900 ,128.8095640000 
폴수제돈까스 (삼정점),055-325-0153,46.7,경상남도 김해시 삼정동 200-101번지,"경상남도 김해시 활천로52번길 26, 1층 (삼정동)",경양식,46.7,영업/정상,,35.2333281700 ,128.8958444000 
제타(ZETA),,92.3,경상남도 김해시 전하동 26-7번지 1층,"경상남도 김해시 전하로208번길 59, 1층 (전하동)",기타,92.3,영업/정상,,35.2252347700 ,128.8735215000 
국가대표 진짜배기 외동점,055-902-8283,96.6,경상남도 김해시 외동 1196-2번지 1층,"경상남도 김해시 함박로11번길 34, 1층 (외동)",식육(숯불구이),96.6,영업/정상,,35.2357634200 ,128.8583852000 
분자하노이쌀국수,,124.92,경상남도 김해시 동상동 965-7번지 1층,"경상남도 김해시 분성로 345-22, 1층 (동상동)",기타,124.92,영업/정상,,35.2346341800 ,128.8837408000 
153해물생아구찜,,63.56,경상남도 김해시 관동동 1060-2,"경상남도 김해시 관동로27번길 4-23, 1층 (관동동)",분식,63.56,영업/정상,,35.1776390600 ,128.8076218000 
삼성관,055-346-0420,168.3,경상남도 김해시 진례면 고모리 1566-9 1층,"경상남도 김해시 진례면 테크노밸리로 151-8, 1층",기타,168.3,영업/정상,,35.2773819700 ,128.7713928000 
소양당,,78.8,경상남도 김해시 내동 1141-2번지,"경상남도 김해시 경원로73번길 7, 태성레스파빌딩 1층 104호 (내동)",한식,78.8,영업/정상,,35.2374705300 ,128.8679947000 
이푸드,,25.35,경상남도 김해시 내동 201-6 1층,"경상남도 김해시 금관대로 1257-1, 1층 (내동)",호프/통닭,25.35,영업/정상,,35.2377029200 ,128.8581749000 
오빠막창 김해장유점,055-313-5882,33,경상남도 김해시 대청동 278-15번지,"경상남도 김해시 계동로129번길 46-5, 1층 (대청동)",식육(숯불구이),33,영업/정상,,35.1904435800 ,128.7947039000 
세대차이 삼계점,055-335-1008,58.75,경상남도 김해시 삼계동 1487-4번지 다이너스티빌딩 102호,"경상남도 김해시 해반천로144번길 36, 다이너스티빌딩 1층 102호 (삼계동)",기타,58.75,영업/정상,,35.2612070500 ,128.8713693000 
황금마차,,26.88,경상남도 김해시 진영읍 여래리 701-65,"경상남도 김해시 진영읍 진영로 176, 1층",분식,26.88,영업/정상,,35.3028649800 ,128.7322374000 
미락한식뷔페,,100,경상남도 김해시 한림면 명동리 1159-6번지 1층 주1동,"경상남도 김해시 한림면 김해대로 1131, 주1동 1층",한식,100,영업/정상,,35.2961715400 ,128.8065787000 
멕시카나치킨 김해상동점,055-339-2977,45,경상남도 김해시 상동면 매리 95-1 1층,"경상남도 김해시 상동면 동북로 477-15, 1층",호프/통닭,45,영업/정상,,35.3155771800 ,128.9674753000 
명가해물아구찜,,153.52,경상남도 김해시 내동 1121-4,"경상남도 김해시 경원로55번길 2, 2층 203호 (내동)",식육(숯불구이),153.52,영업/정상,,35.2372924400 ,128.8664326000 
면만드는사람들,,72.73,경상남도 김해시 대청동 311-11번지,"경상남도 김해시 번화1로20번길 33, 1층 (대청동)",한식,72.73,영업/정상,,35.1906583600 ,128.8044786000 
토종생오리농원 내덕동점,055-312-1368,137.82,경상남도 김해시 내덕동 217-9번지,"경상남도 김해시 내덕로56번길 14, 1층 (내덕동)",한식,137.82,영업/정상,,35.2048931100 ,128.8150196000 
춘계춘천닭갈비,,132.37,경상남도 김해시 관동동 1104-9번지,경상남도 김해시 율하카페길 93-21 (관동동),기타,132.37,영업/정상,,35.1767547800 ,128.8144747000 
양꼬치샤슬릭&빵,,60,경상남도 김해시 진영읍 여래리 701-55번지,경상남도 김해시 진영읍 여래로 42,기타,60,영업/정상,,35.3025641300 ,128.7342799000 
파플레이골프장휴게점식당,,98,경상남도 김해시 삼계동 936-1 2층,"경상남도 김해시 생림대로 174, 2층 (삼계동)",한식,98,영업/정상,,35.2850492200 ,128.8675686000 
쟁이,055-329-3338,95.43,경상남도 김해시 율하동 1383-8,"경상남도 김해시 율하2로236번길 12, 1층 (율하동)",한식,95.43,영업/정상,,35.1746211000 ,128.8220723000 
대장어,055-902-5292,136,경상남도 김해시 흥동 30-2,경상남도 김해시 흥동로 40 (흥동),한식,136,영업/정상,,35.2220284500 ,128.8529566000 
본아뻬띠,055-336-3244,197.25,"경상남도 김해시 내동 1133-3번지 102,103호","경상남도 김해시 구지로 58, 102,103호 (내동)",기타,197.25,영업/정상,,35.2392622100 ,128.8695410000 
내동참숯뒤통구이,,22.23,경상남도 김해시 내동 129-7번지,"경상남도 김해시 평전로 204, 1층 (내동)",식육(숯불구이),22.23,영업/정상,,35.2453887000 ,128.8649366000 
현풍닭칼국수 진영점,055-343-5500,162.45,경상남도 김해시 진영읍 여래리 700-189번지,"경상남도 김해시 진영읍 여래로20번길 10, 1층",한식,162.45,영업/정상,,35.3050196100 ,128.7336753000 
이열치열 옛날양푼이동태찌개,055-338-5545,132.3,경상남도 김해시 주촌면 선지리 0번지,"경상남도 김해시 주촌면 천곡로15번길 47-6, 1층 103,104호",한식,132.3,영업/정상,,35.2263586000 ,128.8486299000 
스시봉,055-314-0103,28,경상남도 김해시 대청동 52-1번지 118호,"경상남도 김해시 번화1로79번길 26, 1층 118호 (대청동)",일식,28,영업/정상,,35.1935861700 ,128.7965793000 
고구려짬뽕10101 김해한림점,055-343-7800,71.4,경상남도 김해시 한림면 신천리 391-21번지 1층,"경상남도 김해시 한림면 김해대로 1464, 1층",중국식,71.4,영업/정상,,35.2769778900 ,128.8322526000 
로또식당,055-327-5568,81.6,경상남도 김해시 어방동 1069-1번지 1층,"경상남도 김해시 분성로 560, 1층 (어방동)",한식,81.6,영업/정상,,35.2355516400 ,128.9071190000 
명륜진사갈비 율하점,055-336-2019,256.1,경상남도 김해시 관동동 1124-2번지,경상남도 김해시 율하2로 276 (관동동),식육(숯불구이),256.1,영업/정상,,35.1784339000 ,128.8207714000 
큰집게장정식,055-336-9112,162.62,경상남도 김해시 진영읍 진영리 1709-6번지 1층,"경상남도 김해시 진영읍 장등로 80, 1층",한식,162.62,영업/정상,,35.3129212900 ,128.7342637000 
깨비3대갈비,,318,경상남도 김해시 외동 1082-1 1층,"경상남도 김해시 금관대로1134번길 29, 1층 (외동)",식육(숯불구이),318,영업/정상,,35.2311693500 ,128.8515804000 
쿠킹스튜디오 And,,75.46,경상남도 김해시 율하동 1358-9번지,경상남도 김해시 율하3로8번길 8-27 (율하동),한식,75.46,영업/정상,,35.1688536200 ,128.8138469000 
봉리단 식당,,23.69,경상남도 김해시 봉황동 14-1번지,"경상남도 김해시 가락로37번길 15, 1층 (봉황동)",기타,23.69,영업/정상,,35.2296187700 ,128.8805335000 
구르만,,15.6,경상남도 김해시 서상동 183-4번지,경상남도 김해시 가락로 112 (서상동),기타,15.6,영업/정상,,35.2366259700 ,128.8813124000 
물고기잡스,055-314-3010,215.35,경상남도 김해시 내동 1120-3번지,"경상남도 김해시 내외로77번길 20, 1층 101,102,104,105호 (내동)",기타,215.35,영업/정상,,35.2364463800 ,128.8662588000 
팔공차이나,055-335-8945,143.19,경상남도 김해시 흥동 6-2 1층,"경상남도 김해시 전하로 197, 1층 (흥동)",중국식,143.19,영업/정상,,35.2227875500 ,128.8691342000 
사행초,,150.3,경상남도 김해시 내덕동 358-9번지 대한예수교장로회 열방교회,"경상남도 김해시 금관대로 642, 대한예수교장로회 열방교회 2층 (내덕동)",한식,150.3,영업/정상,,35.2035751600 ,128.8193005000 
군자대한곱창김해율하점,055-322-1800,131.63,경상남도 김해시 율하동 1326-4번지,"경상남도 김해시 율하1로81번길 24-1, 1층 (율하동)",식육(숯불구이),131.63,영업/정상,,35.1748979800 ,128.8157955000 
착한소,055-332-0090,585,경상남도 김해시 삼정동 13-5번지 1층,"경상남도 김해시 분성로 441, 1층 (삼정동)",식육(숯불구이),585,영업/정상,,35.2351554500 ,128.8937551000 
제주두루치기,,49.55,경상남도 김해시 율하동 1357-8번지,"경상남도 김해시 율하2로 120, 1층 (율하동)",한식,49.55,영업/정상,,35.1693221000 ,128.8138845000 
일본라멘식당 마제루,070-4964-1082,115.36,경상남도 김해시 진영읍 진영리 1632-14번지 1층,"경상남도 김해시 진영읍 장등로6번길 47, 1층",일식,115.36,영업/정상,,35.3105305500 ,128.7360785000 
테그.42(TEgg.42),055-312-6283,82.4,경상남도 김해시 외동 1257-3번지 쌍둥이빌딩메트로타워I 115호,"경상남도 김해시 내외중앙로 30, 쌍둥이빌딩메트로타워I 1층 115호 (외동)",기타,82.4,영업/정상,,35.2325767500 ,128.8666241000 
냉동수산물포차,055-343-9461,90,경상남도 김해시 진영읍 진영리 326-62번지,"경상남도 김해시 진영읍 김해대로334번길 22, 1층",기타,90,영업/정상,,35.3049381700 ,128.7262743000 
안동집,055-335-0257,62.1,경상남도 김해시 지내동 324-1번지 2층,"경상남도 김해시 김해대로 2669, 2층 (지내동)",한식,62.1,영업/정상,,35.2293276200 ,128.9184418000 
은진식당&호프,,76.5,경상남도 김해시 대성동 487-9번지 1층,"경상남도 김해시 가락로164번길 32-26, 1층 (대성동)",한식,76.5,영업/정상,,35.2411537900 ,128.8821636000 
이돈,,53,경상남도 김해시 진영읍 진영리 1702-1번지 1층,"경상남도 김해시 진영읍 장등로122번길 11, 1층",한식,53,영업/정상,,35.3125870300 ,128.7299278000 
장유고기꾼,055-328-9242,99.68,경상남도 김해시 삼문동 89-5번지 101호,"경상남도 김해시 번화1로 120, 1층 101호 (삼문동)",식육(숯불구이),99.68,영업/정상,,35.1977405700 ,128.7981134000 
39족발,,73.32,경상남도 김해시 대청동 318-14번지 장유피닉스빌딩 107호,"경상남도 김해시 번화1로56번길 19, 장유피닉스빌딩 107호 (대청동)",식육(숯불구이),73.32,영업/정상,,35.1932852000 ,128.8025609000 
블루샥 김해시청점,055-322-9090,170.52,경상남도 김해시 부원동 620-4,"경상남도 김해시 호계로422번길 14, 1층 (부원동)",기타,170.52,영업/정상,,35.2281224200 ,128.8867021000 
마루이참치,055-334-2009,66,경상남도 김해시 삼계동 1472-1번지 1층,"경상남도 김해시 해반천로144번길 9-18, 1층 (삼계동)",회집,66,영업/정상,,35.2618769800 ,128.8684641000 
예향정 진영점,055-346-8832,127.36,경상남도 김해시 진영읍 진영리 1725-1번지 1층,"경상남도 김해시 진영읍 장등1로 42, 1층",한식,127.36,영업/정상,,35.3139993400 ,128.7392882000 
김충기꽃삼겹,055-337-4060,30.8,경상남도 김해시 내동 130-10번지 1층,"경상남도 김해시 금관대로1365번길 10-19, 1층 (내동)",식육(숯불구이),30.8,영업/정상,,35.2456890200 ,128.8657969000 
범프리카 인생치킨,055-902-0099,61.76,경상남도 김해시 삼방동 165-5번지,"경상남도 김해시 인제로200번길 15, 1층 (삼방동)",호프/통닭,61.76,영업/정상,,35.2465510000 ,128.9056045000 
형제횟집,,121.5,경상남도 김해시 관동동 1071-2번지,"경상남도 김해시 관동로 46, 1층 (관동동)",일식,121.5,영업/정상,,35.1771577500 ,128.8081550000 
햇살머믄꼬마김밥,055-905-9984,47.3,경상남도 김해시 율하동 1300-2번지,"경상남도 김해시 율하2로 62, 1층 (율하동)",분식,47.3,영업/정상,,35.1723772000 ,128.8086126000 
투게더투겟헐,,77,경상남도 김해시 봉황동 22-31번지,"경상남도 김해시 가락로15번길 26, 1층 (봉황동)",기타,77,영업/정상,,35.2277240900 ,128.8795352000 
달달토끼,055-335-0101,72.35,경상남도 김해시 장유동 511-1 1층,"경상남도 김해시 율하로 414-14, 1층 (장유동)",한식,72.35,영업/정상,,35.1661039500 ,128.8205704000 
미미휴게소,,207.65,경상남도 김해시 외동 1029-11번지 1층,"경상남도 김해시 분성로 52, 1층 (외동)",기타,207.65,영업/정상,,35.2317837600 ,128.8526524000 
옥이네,,75,경상남도 김해시 한림면 신천리 4-12번지 1층,"경상남도 김해시 한림면 용덕로114번길 2, 1층",한식,75,영업/정상,,35.2871124100 ,128.8331480000 
60계치킨 어방점,055-321-7492,113.56,경상남도 김해시 어방동 351-6 1층,"경상남도 김해시 인제로 149, 1층 (어방동)",호프/통닭,113.56,영업/정상,,35.2420128300 ,128.9037521000 
명품 산수정,055-343-3002,350.72,경상남도 김해시 진영읍 죽곡리 169번지,"경상남도 김해시 진영읍 서부로 165, A동 2층",한식,350.72,영업/정상,,35.2826133200 ,128.7694748000 
신신불닭발,055-333-8933,35.28,경상남도 김해시 삼계동 1428-2번지 분성마을2단지부영아파트상가 111호,"경상남도 김해시 삼계로 250, 분성마을2단지부영아파트상가 111층 (삼계동)",호프/통닭,35.28,영업/정상,,35.2678863400 ,128.8663631000 
꼬치이치,,38.33,경상남도 김해시 삼계동 1505-4번지 코아루센텀 오피스텔 117호,"경상남도 김해시 해반천로130번길 39, 코아루센텀 오피스텔 117호 (삼계동)",기타,38.33,영업/정상,,35.2603669200 ,128.8716240000 
온기와,055-334-6070,48.85,경상남도 김해시 삼계동 1505-4번지 코아루센텀 오피스텔 104호,"경상남도 김해시 해반천로130번길 39, 코아루센텀 오피스텔 104호 (삼계동)",기타,48.85,영업/정상,,35.2603669200 ,128.8716240000 
진아향어,,25,경상남도 김해시 진영읍 여래리 378-1번지 1층,"경상남도 김해시 진영읍 진영로 251, 1층",회집,25,영업/정상,,35.3024086000 ,128.7405570000 
사랑으로 오천냥뷔페,,223.14,경상남도 김해시 주촌면 농소리 634-3번지 1층,"경상남도 김해시 주촌면 골든루트로 67, 1층",한식,223.14,영업/정상,,35.2124369100 ,128.8297360000 
용스토스트&떡볶이,055-323-1222,27.74,경상남도 김해시 부원동 613-1번지,경상남도 김해시 가락로24번길 14 (부원동),기타,27.74,영업/정상,,35.2285940800 ,128.8838400000 
옥이뒷고기,055-337-3964,46,경상남도 김해시 흥동 48-4번지,"경상남도 김해시 흥동로 78, 1층 (흥동)",정종/대포집/소주방,46,영업/정상,,35.2218095600 ,128.8571395000 
정성숯불갈비,055-338-9120,55.38,경상남도 김해시 관동동 1058-1,"경상남도 김해시 관동로24번길 9, 1층 (관동동)",식육(숯불구이),55.38,영업/정상,,35.1762791100 ,128.8060933000 
샤브향 진영점,055-343-4849,358.11,경상남도 김해시 진영읍 여래리 967-4번지 루이스빌딩,"경상남도 김해시 진영읍 본산로 17, 루이스빌딩 2층",한식,358.11,영업/정상,,35.3071659200 ,128.7379503000 
