amenity,shop,name,name:ko,addr:full,phone,brand,cuisine
restaurant,,청송회관,청송회관,광주광역시 북구 밤실로169번길 2 (두암동),062-263-1571,,
restaurant,,대림나주곰탕,대림나주곰탕,광주광역시,062-522-6644,,
restaurant,,청옥골계곡가든,청옥골계곡가든,광주광역시,062-266-6450,,
restaurant,,현대반점,현대반점,광주광역시,062-523-2758,,
restaurant,,빅토리아통닭,빅토리아통닭,"광주광역시 북구 문산로 7-1, 1층 102,104호 (문흥동, 라인상가)",062-267-9925,,chicken
restaurant,,맛띠네,맛띠네,광주광역시 북구 안산로 15 (오치동),062-268-3131,,
restaurant,,간이음식점,간이음식점,광주광역시 북구 동문대로 260 (각화동),062-264-7574,,
restaurant,,바우정,바우정,광주광역시 북구 삼소로 157-4 (대촌동),062-971-3003,,
restaurant,,페리카나치킨,페리카나치킨,"광주광역시 북구 군왕로207번길 16, 각화 영구임대아파트 1층 107호 (각화동)",062-264-8529,,chicken
restaurant,,중화관,중화관,광주광역시 북구 대천로157번길 6 (문흥동),062-237-5011,,
restaurant,,세상살이,세상살이,광주광역시 북구 면앙로121번길 84 (문흥동),062-265-6009,,
restaurant,,모밀하우스,모밀하우스,광주광역시,062-573-7033,,
restaurant,,해송,해송,광주광역시 북구 서양로41번길 9 (신안동),062-523-0204,,
restaurant,,성화식당,성화식당,광주광역시 북구 경양로147번길 3 (중흥동),062-522-9667,,
restaurant,,청죽골한우,청죽골한우,광주광역시 북구 반룡로27번길 20 (용봉동),062-511-5566,,
restaurant,,까치밥홍시,까치밥홍시,광주광역시 북구 자미로 61 (신안동),062-527-4778,,
restaurant,,두암골설렁탕,두암골설렁탕,광주광역시 북구 서방로107번길 88 (두암동),062-262-0786,,
restaurant,,아주커치킨,아주커치킨,광주광역시 북구 면앙로121번길 81 (문흥동),062-263-5961,,chicken
restaurant,,한우방,한우방,광주광역시 북구 금호로 55 (운암동),062-525-9631,,
restaurant,,나주식당,나주식당,광주광역시 북구 서림로100번길 16 (임동),062-521-9597,,
restaurant,,전남도교육청구내식당,전남도교육청구내식당,광주광역시 북구 서하로 48 (매곡동),062-571-6092,,
restaurant,,청해정,청해정,광주광역시 북구 장운길 6 (문흥동),062-267-6606,,
restaurant,,원조보양탕,원조보양탕,광주광역시 북구 동운로213번길 26 (운암동),062-529-8068,,
restaurant,,담양식당,담양식당,광주광역시 북구 면앙로165번길 51 (두암동),062-261-3020,,
restaurant,,제주통도야지,제주통도야지,"광주광역시 북구 서하로214번길 25 (오치동, 1층)",062-262-7237,,
restaurant,,에덴식당,에덴식당,광주광역시 북구 용봉로 42 (신안동),062-522-7608,,
restaurant,,비비큐치킨,비비큐치킨,"광주광역시 북구 자미로66번길 8 (신안동, 1층)",062-513-1166,,chicken
restaurant,,구구통닭,구구통닭,광주광역시 북구 자미로66번길 8-10 (신안동),062-514-8892,,chicken
restaurant,,전통순대,전통순대,광주광역시 북구 우치로27번길 54 (중흥동),062-525-7627,,
restaurant,,아서원,아서원,광주광역시 북구 동운로 185 (운암동),062-521-4781,,
restaurant,,가마솥나주곰탕,가마솥나주곰탕,광주광역시 북구 서방로 82 (우산동),062-525-7096,,
restaurant,,양지식당,양지식당,광주광역시 북구 하서로 374 (양산동),062-571-6373,,
restaurant,,고향옛날순대,고향옛날순대,"광주광역시 북구 서방로 152 (두암동,(1층))",062-524-9097,,
restaurant,,오룡,오룡,광주광역시 북구 우치로238번길 10 (오치동),062-269-1182,,
restaurant,,함평천지,함평천지,광주광역시,062-571-1865,,
restaurant,,여수한방오리구이,여수한방오리구이,"광주광역시 북구 본촌택지로 6, 1층 (본촌동)",062-366-3090,,
restaurant,,엄마손맛,엄마손맛,광주광역시 북구 삼정로3번길 53 (두암동),062-267-0825,,
restaurant,,멕시카나치킨,멕시카나치킨,"광주광역시 북구 신임로 3, 1층 (임동)",062-525-6361,,chicken
restaurant,,초유지,초유지,광주광역시 북구 하서로523번길 11 (용두동),062-571-1137,,
restaurant,,제주토담도야지,제주토담도야지,광주광역시 북구 서하로 249-7 (오치동),062-261-6024,,
restaurant,,자금성,자금성,"광주광역시 북구 운신남길 156-1 (운암동,(1층))",062-529-8950,,
restaurant,,다도댐메기탕,다도댐메기탕,광주광역시 북구 서림로 24-3 (임동),062-511-5949,,
restaurant,,무전여행,무전여행,광주광역시 북구 북문대로 105 (운암동),062-252-8011,,
restaurant,,옛날짜장,옛날짜장,광주광역시 북구 양일로343번길 26 (일곡동),062-572-9283,,
restaurant,,대촌국밥,대촌국밥,광주광역시 북구 서방로 73 (우산동),062-268-3350,,korean
restaurant,,곱창마당,곱창마당,광주광역시 북구 서하로194번길 3 (오치동),062-268-9242,,
restaurant,,옴팡골콩나물국밥,옴팡골콩나물국밥,광주광역시 북구 호동로 9-7 (용봉동),062-262-9885,,korean
restaurant,,한국별관,한국별관,광주광역시 북구 중흥로 82 (신안동),062-522-1477,,
restaurant,,해피데이,해피데이,광주광역시 북구 연양로 36 (양산동),062-571-4755,,
restaurant,,터,터,광주광역시 북구 중가로 77 (중흥동),062-527-0124,,
restaurant,,운암골숯불갈비,운암골숯불갈비,광주광역시 북구 서강로 127 (운암동),062-526-3149,,
restaurant,,청솔가든,청솔가든,"광주광역시 북구 석곡로 578 (망월동,1층)",,,
restaurant,,솔밭식당,솔밭식당,광주광역시 북구 송해로39번길 18-17 (삼각동),062-575-3382,,
restaurant,,무등기사식당,무등기사식당,광주광역시 북구 월동로 71 (각화동),062-266-9328,,
restaurant,,문예식당,문예식당,"광주광역시 북구 북문대로33번길 14-9, 1층 (운암동)",062-524-9495,,
restaurant,,남원추어탕,남원추어탕,광주광역시 북구 송해로 68 (일곡동),062-575-3577,,
restaurant,,용호가든,용호가든,광주광역시 북구 배재길 64 (금곡동),062-265-5325,,
restaurant,,스마일 김서방네,스마일 김서방네,광주광역시 북구 천변우로257번길 20 (누문동),062-529-9555,,
restaurant,,시골집,시골집,광주광역시 북구 하백로29번길 7 (매곡동),062-266-4416,,
restaurant,,무등산장,무등산장,"광주광역시 북구 무등로 1550 (금곡동,제4동 5호, 4호)",062-265-1494,,
restaurant,,반야산장,반야산장,광주광역시,062-266-3034,,
restaurant,,만평산장,만평산장,광주광역시,062-266-4477,,
restaurant,,송도산장,송도산장,광주광역시,062-266-7513,,
restaurant,,홍보석중화요리,홍보석중화요리,광주광역시 북구 설죽로320번길 18 (오치동),062-251-9111,,
restaurant,,그때그산장,그때그산장,"광주광역시 북구 무등로 1550 (금곡동,제4동 2호, 3호)",062-266-4181,,
restaurant,,전주영양돌솥밥,전주영양돌솥밥,광주광역시 북구 설죽로 517-6 (일곡동),062-571-8998,,
restaurant,,수원회관,수원회관,광주광역시 북구 중가로51번길 23-1 (유동),062-514-2580,,
restaurant,,자매아구찜,자매아구찜,광주광역시 북구 동문대로112번길 37 (두암동),062-251-5677,,
restaurant,,우산칼국수식당,우산칼국수식당,광주광역시 북구 문화소통로 256-1 (우산동),062-267-5444,,
restaurant,,다도바다,다도바다,광주광역시 북구 중흥로 183 (중흥동),062-522-7372,,
restaurant,,에디슨치킨,에디슨치킨,광주광역시 북구 북문대로49번길 13-4 (운암동),062-529-0432,,chicken
restaurant,,금성칡냉면,금성칡냉면,광주광역시 북구 송해로 77 (일곡동),062-574-2354,,
restaurant,,홍주식당,홍주식당,광주광역시 북구 참판로 236-2 (각화동),062-269-3247,,
restaurant,,본가왕손반점,본가왕손반점,광주광역시 북구 자미로 68-6 (신안동),062-522-9452,,
restaurant,,투다리(경신점),투다리(경신점),광주광역시 북구 금호로 47-2 (운암동),062-512-6098,,
restaurant,,영양왕족발,영양왕족발,광주광역시 북구 설죽로202번길 53 (용봉동),062-524-9989,,
restaurant,,호수짱뚱어탕,호수짱뚱어탕,"광주광역시 북구 자미로66번길 17-1, 1층 (중흥동)",062-521-1622,,
restaurant,,광은식당,광은식당,광주광역시 북구 금재로9번길 3 (유동),062-512-3555,,
restaurant,,통일각,통일각,광주광역시 북구 서방로 157 (두암동),062-527-2924,,
restaurant,,나폴리&자연애임실,나폴리&자연애임실,광주광역시 북구 서방로 42-1 (중흥동),062-512-8488,,
restaurant,,운암골낙지골,운암골낙지골,광주광역시,062-525-1903,,
restaurant,,전어랑숭어랑,전어랑숭어랑,광주광역시 북구 경열로 166 (유동),062-514-3208,,
restaurant,,버섯농장칼국수수제비잔치,버섯농장칼국수수제비잔치,광주광역시 북구 북문대로232번길 9-5 (동림동),062-513-0867,,
restaurant,,갯마을,갯마을,"광주광역시 북구 참판로 95 (두암동,1층)",062-251-2937,,
restaurant,,장승골,장승골,광주광역시 북구 반룡로 21 (용봉동),062-523-7326,,
restaurant,,까동,까동,광주광역시 북구 설죽로214번길 129 (용봉동),062-523-9050,,
restaurant,,삼정솥뚜껑삼겹살,삼정솥뚜껑삼겹살,광주광역시,062-524-6977,,
restaurant,,황제호프,황제호프,광주광역시 북구 금호로40번길 2 (운암동),062-521-5766,,
restaurant,,차이나궁,차이나궁,광주광역시 북구 호동로43번길 45 (용봉동),062-267-9771,,
restaurant,,천하왕족발보쌈,천하왕족발보쌈,"광주광역시 북구 면앙로139번길 31 (우산동,(1층))",062-251-9904,,
restaurant,,길목,길목,광주광역시 북구 안산로 21 (오치동),062-263-0816,,
restaurant,,각화식당,각화식당,광주광역시 북구 군왕로208번길 16 (각화동),062-262-5594,,
restaurant,,한국,한국,광주광역시 북구 반룡로28번길 27 (용봉동),062-527-5595,,
restaurant,,하래회관,하래회관,광주광역시 북구 양일로343번길 30 (일곡동),062-572-7878,,
restaurant,,장군,장군,"광주광역시 북구 청계로 81, 1층 (용봉동)",062-575-8885,,
restaurant,,자연정,자연정,광주광역시 북구 석곡로529번길 21-12 (망월동),062-266-3575,,
restaurant,,연화식당,연화식당,"광주광역시 북구 천변우로257번길 28 (누문동,(1층))",062-526-0894,,
restaurant,,두리둥실보리밥,두리둥실보리밥,"광주광역시 북구 대자로 87 (운암동, 1층 라동2호  )",,,
restaurant,,금곡정,금곡정,광주광역시 북구 송강로 240 (금곡동),062-265-6402,,
restaurant,,딱한잔만,딱한잔만,광주광역시 북구 호동로75번길 16 (문흥동),062-267-3578,,
restaurant,,두림낙지,두림낙지,광주광역시 북구 북문대로 96-1 (운암동),062-514-6868,,
restaurant,,민속마당,민속마당,광주광역시 북구 서하로 213-5 (오치동),062-262-6237,,
restaurant,,무진장,무진장,광주광역시 북구 대천로 15 (오치동),062-267-1782,,
restaurant,,현대반점,현대반점,"광주광역시 북구 청계로 81 (용봉동,1동)",062-252-2081,,
restaurant,,전통만두,전통만두,"광주광역시 북구 참판로 223, 1층 (두암동)",062-514-0527,,
restaurant,,월출가든,월출가든,광주광역시,062-571-5967,,
restaurant,,수현식당,수현식당,광주광역시 북구 중가로65번길 2 (중흥동),,,
restaurant,,수현식당,수현식당,"광주광역시 북구 무등로80번길 31 (임동,1층)",062-524-8751,,
restaurant,,엄마손분식,엄마손분식,광주광역시,062-571-1609,,
restaurant,,우리네만두,우리네만두,광주광역시 북구 우치로228번길 5 (오치동),,,
restaurant,,참숯통갈비,참숯통갈비,광주광역시 북구 군왕로 185-1 (두암동),062-263-1281,,
restaurant,,일신김밥,일신김밥,광주광역시 북구 북문대로 159 (운암동),,,
restaurant,,매일팥죽,매일팥죽,"광주광역시 북구 동문대로85번길 49 (우산동,(1층))",062-266-0911,,
restaurant,,골목대장,골목대장,광주광역시 북구 호동로 9-10 (용봉동),062-265-7136,,
restaurant,,마포주먹구이,마포주먹구이,광주광역시 북구 서하로 215-1 (오치동),062-262-6466,,
restaurant,,오비(OB)스카이,오비(OB)스카이,광주광역시 북구 북문대로 92 (운암동),062-527-4435,,
restaurant,,연지분식,연지분식,광주광역시 북구 당뫼로 9 (중흥동),062-512-0395,,
restaurant,,자금성,자금성,광주광역시 북구 북문대로 246 (동림동),062-513-2993,,
restaurant,,첫사랑,첫사랑,"광주광역시 북구 서암대로315번길 29, 1층 (우산동)",,,
restaurant,,24시통닭생맥주나라,24시통닭생맥주나라,광주광역시 북구 독립로 403-1 (우산동),062-528-5963,,chicken
restaurant,,이가아구찜,이가아구찜,광주광역시 북구 비엔날레로 1 (운암동),062-523-3367,,
restaurant,,우정식당,우정식당,광주광역시 북구 중문로84번길 16 (우산동),062-265-8868,,
restaurant,,고향국밥,고향국밥,광주광역시 북구 천지인로 127 (오치동),062-268-5688,,korean
restaurant,,메밀꽃,메밀꽃,"광주광역시 북구 평교로18번길 53-1 (우산동, 1층)",,,
restaurant,,운암통닭,운암통닭,광주광역시 북구 동운로201번길 57-3 (운암동),062-525-6519,,chicken
restaurant,,왕자관,왕자관,광주광역시,062-264-7070,,
restaurant,,청진동국밥,청진동국밥,"광주광역시 북구 신임로 12-1 (임동,(1층))",,,korean
restaurant,,무등식당,무등식당,광주광역시 북구 버들로 26 (중흥동),,,
restaurant,,풍성식당,풍성식당,"광주광역시 북구 무등로 55 (운암동, 2층)",062-522-2347,,
restaurant,,비비큐치킨,비비큐치킨,"광주광역시 북구 서강로 100 (운암동,(지상1층))",062-524-8292,,chicken
restaurant,,더조은,더조은,"광주광역시 북구 북문대로 101-9 (운암동,외1필지)",062-529-4521,,
restaurant,,처갓집양념치킨(일곡점),처갓집양념치킨(일곡점),"광주광역시 북구 설죽로 585-1 (일곡동, 쌍용아파트 상가동 B04호)",,,chicken
restaurant,,대명가든,대명가든,광주광역시 북구 독립로255번길 19 (북동),062-525-2728,,
restaurant,,풀코스,풀코스,광주광역시 북구 동문대로134번길 7 (두암동),,,
restaurant,,가정식백반,가정식백반,"광주광역시 북구 천변우로257번길 25 (유동,외1필지)",062-526-5234,,
restaurant,,다모아치킨엔피자비엔나,다모아치킨엔피자비엔나,광주광역시 북구 상촌로31번길 13 (양산동),062-571-6112,,chicken
restaurant,,로얄뷔페,로얄뷔페,"광주광역시 북구 일곡마을로116번길 38-6 (일곡동,(1층))",062-573-1245,,
restaurant,,우리식당,우리식당,"광주광역시 북구 우치로241번길 11, 1층 (오치동)",062-255-3494,,
restaurant,,운암골포장마차,운암골포장마차,광주광역시,,,
restaurant,,하림멕시칸,하림멕시칸,"광주광역시 북구 설죽로315번길 9 (매곡동, 상가동 1층 4호)",062-573-8420,,
restaurant,,손가네,손가네,"광주광역시 북구 반룡로18번길 38 (용봉동,1,2층)",062-522-2444,,
restaurant,,천하왕김밥,천하왕김밥,광주광역시 북구 서림로 107 (임동),,,
restaurant,,미리내김밥,미리내김밥,"광주광역시 북구 설죽로214번길 121 (용봉동, 1층)",,,
restaurant,,남원원조추어탕,남원원조추어탕,광주광역시 북구 동문대로186번길 46 (두암동),,,
restaurant,,"장충동,뚱땡이할머니족발보쌈","장충동,뚱땡이할머니족발보쌈",광주광역시 북구 우치로383번길 8 (삼각동),,,
restaurant,,홍길동즉석왕족발,홍길동즉석왕족발,"광주광역시 북구 안산로 15-1, 1층 (오치동)",,,
restaurant,,두암숯불갈비,두암숯불갈비,광주광역시 북구 참판로 80 (두암동),062-267-5648,,
restaurant,,영희네밥집,영희네밥집,광주광역시 북구 삼정로120번길 3-1 (두암동),,,
restaurant,,전통시골손두부,전통시골손두부,광주광역시 북구 군왕로 256 (각화동),,,
restaurant,,남이바지락손칼국수,남이바지락손칼국수,광주광역시 북구 설죽로202번길 30 (용봉동),062-525-0941,,
restaurant,,광신보리밥,광신보리밥,광주광역시 북구 두리봉길 2-1 (두암동),062-264-1811,,
restaurant,,한마음,한마음,광주광역시 북구 밤실로 201 (두암동),062-511-9943,,
restaurant,,싱싱회포장마차,싱싱회포장마차,광주광역시 북구 저불로69번길 6 (용봉동),062-525-3792,,
restaurant,,빛고을왕족발,빛고을왕족발,광주광역시 북구 서하로274번길 8 (오치동),062-263-9242,,
restaurant,,향촌국밥,향촌국밥,광주광역시 북구 서방로107번길 102 (두암동),062-263-5420,,korean
restaurant,,뽀글이와둘둘이,뽀글이와둘둘이,광주광역시 북구 설죽로202번길 98 (용봉동),062-511-3787,,
restaurant,,맛쪼은,맛쪼은,"광주광역시 북구 서림로 31, 1층 (임동)",062-522-2358,,
restaurant,,투다리,투다리,광주광역시 북구 탁영로 6 (두암동),062-261-8929,,
restaurant,,장원흑돼지숯불갈비,장원흑돼지숯불갈비,"광주광역시 북구 밤실로 197-1 (두암동,외1필지)",062-268-3150,,
restaurant,,원조,원조,광주광역시 북구 서방로73번길 9-1 (우산동),062-268-3159,,
restaurant,,고향맛식당,고향맛식당,광주광역시 북구 중흥로 151-4 (중흥동),062-523-9084,,
restaurant,,일송정,일송정,광주광역시 북구 금남로132번길 12-9 (누문동),062-525-9977,,
restaurant,,올리브,올리브,광주광역시 북구 설죽로217번길 3 (용봉동),062-525-2344,,
restaurant,,가보세,가보세,광주광역시 북구 운용로95번길 5-7 (용봉동),062-514-0339,,
restaurant,,남일회관,남일회관,광주광역시 북구 고운로5번길 10-6 (용봉동),,,
restaurant,,사람과나무,사람과나무,"광주광역시 북구 추암로 278 (월출동,외1필지)",062-571-3066,,
restaurant,,녹동남해바다,녹동남해바다,광주광역시 북구 동문대로134번길 18 (두암동),062-529-8950,,
restaurant,,실내포장마차,실내포장마차,광주광역시 북구 두리봉길 2 (두암동),,,
restaurant,,뷰이,뷰이,"광주광역시 북구 자미로 66 (신안동,외1필지)",062-525-2471,,
restaurant,,금탑소머리국밥,금탑소머리국밥,광주광역시 북구 용주로 2 (용봉동),062-523-2055,,korean
restaurant,,대왕찜갈비,대왕찜갈비,"광주광역시 북구 천지인로 121, 1층 (오치동)",,,
restaurant,,금상첨화,금상첨화,광주광역시,062-512-9934,,
restaurant,,비비큐치킨 양산.용두점,비비큐치킨 양산.용두점,"광주광역시 북구 양산로 66 (양산동,(지상1층))",062-574-2030,,chicken
restaurant,,예술영양돌솥,예술영양돌솥,광주광역시 북구 서방로107번길 86 (두암동),062-266-5566,,
restaurant,,황금식당,황금식당,광주광역시 북구 경양로87번길 24 (신안동),,,
restaurant,,우리김밥우동,우리김밥우동,광주광역시 북구 일곡마을로 39 (일곡동),062-572-5077,,
,convenience,미니스톱,미니스톱,광주광역시 북구 중흥로 96 (신안동),062-521-3599,미니스톱,
restaurant,,아청춘을적신다,아청춘을적신다,광주광역시 북구 호동로 51 (문흥동),062-263-4113,,
restaurant,,옛날전통순대,옛날전통순대,광주광역시 북구 송월로 16 (오치동),062-262-1466,,
restaurant,,우정식당,우정식당,"광주광역시 북구 서방로63번길 21 (우산동, 1층)",062-269-0498,,
restaurant,,무등왕김밥,무등왕김밥,광주광역시 북구 서방로 45 (중흥동),062-263-8252,,
restaurant,,와와생삼겹,와와생삼겹,광주광역시 북구 일곡로49번길 15 (일곡동),062-574-6010,,
restaurant,,그때그집,그때그집,광주광역시,062-572-0031,,
restaurant,,유달식당,유달식당,광주광역시 북구 서림로 94-3 (임동),062-525-8271,,
restaurant,,대촌식당,대촌식당,광주광역시 북구 삼소로 169 (대촌동),,,
restaurant,,한바다,한바다,광주광역시 북구 북문대로 2-1 (운암동),062-524-6683,,
restaurant,,예송,예송,광주광역시 북구 신흥로 26-1 (중흥동),,,
restaurant,,멕시카나,멕시카나,광주광역시,062-417-9292,,
restaurant,,영심이,영심이,"광주광역시 북구 당뫼로4번길 22 (중흥동,해광맨션상가101호)",062-523-3097,,
restaurant,,남해포구,남해포구,광주광역시 북구 중흥로 103 (신안동),062-528-8608,,
restaurant,,행복식당,행복식당,"광주광역시 북구 서양로 55-2 (중흥동, 1층 )",,,
restaurant,,투다리,투다리,광주광역시,,,
restaurant,,큰엄마연탄구이,큰엄마연탄구이,광주광역시 북구 일곡로 39 (일곡동),062-574-6566,,
restaurant,,제주청정생구이촌,제주청정생구이촌,광주광역시 북구 용전마을길 35 (용전동),,,
restaurant,,김밥공주,김밥공주,광주광역시 북구 용두택지로 6 (양산동),062-571-1144,,
restaurant,,고향국밥,고향국밥,광주광역시 북구 대천로 140-8 (문흥동),,,korean
restaurant,,다정한미가,다정한미가,광주광역시 북구 송해로 20 (삼각동),062-573-1072,,
restaurant,,밀림식당,밀림식당,"광주광역시 북구 비엔날레로4번길 16 (운암동,00건축)",062-524-6731,,
restaurant,,투다리,투다리,광주광역시 북구 삼정로 85 (두암동),062-524-9490,,
restaurant,,다미,다미,광주광역시 북구 독립로 416 (우산동),062-525-6815,,
restaurant,,소안도,소안도,광주광역시 북구 북문대로103번길 28-3 (운암동),062-514-8200,,
restaurant,,무궁화정,무궁화정,광주광역시 북구 경열사길 20-7 (망월동),062-269-3000,,
restaurant,,향토정,향토정,"광주광역시 북구 천지인로 99 (오치동,(지상1층))",062-265-1772,,
restaurant,,유림,유림,광주광역시 북구 경양로 184 (중흥동),062-523-1336,,
restaurant,,김밥나라,김밥나라,"광주광역시 북구 동문대로 157 (두암동,외1필지)",,,
restaurant,,대복회세꼬시,대복회세꼬시,"광주광역시 북구 서방로 150-1, 1층 (두암동)",,,
restaurant,,파랑새,파랑새,광주광역시 북구 서방로 48-1 (중흥동),062-514-8682,,
restaurant,,대왕김밥,대왕김밥,광주광역시 북구 자미로 55 (신안동),,,
restaurant,,동키치킨,동키치킨,광주광역시,062-574-5222,,chicken
restaurant,,물레방아,물레방아,"광주광역시 북구 참판로 76 (두암동, 1층)",,,
restaurant,,전주식당,전주식당,광주광역시 북구 자미로6번길 30-1 (신안동),"06251194,5",,
restaurant,,21세기소주방,21세기소주방,"광주광역시 북구 하서로423번길 12 (용두동,(1층))",062-571-5578,,
restaurant,,별미칼국수,별미칼국수,광주광역시 북구 문화소통로 238 (우산동),062-267-7825,,
restaurant,,불티나팥죽,불티나팥죽,"광주광역시 북구 평교로29번길 7-26, 1층 (문흥동)",,,
restaurant,,표주박,표주박,광주광역시 북구 설죽로202번길 31 (용봉동),,,
restaurant,,사랑방하우스,사랑방하우스,광주광역시 북구 우치로126번길 14 (용봉동),062-226-3700,,
restaurant,,전라도탕,전라도탕,광주광역시 북구 금남로132번길 10 (누문동),062-269-1087,,
restaurant,,피자에꿈,피자에꿈,광주광역시 북구 우치로264번길 19 (오치동),062-268-5400,,pizza
restaurant,,옛날국밥,옛날국밥,광주광역시,062-265-2367,,korean
restaurant,,은혜왕김밥,은혜왕김밥,광주광역시 북구 대자로 103 (운암동),062-527-0038,,
restaurant,,양동통닭,양동통닭,광주광역시,,,chicken
restaurant,,고가창평국밥,고가창평국밥,광주광역시 북구 북문대로 6 (운암동),062-526-6078,,korean
restaurant,,국현옥궁중팥죽,국현옥궁중팥죽,"광주광역시 북구 서강로74번길 32 (운암동, 1층)",062-514-5284,,
restaurant,,카스타운,카스타운,광주광역시 북구 서양로 41 (신안동),062-527-0846,,
restaurant,,고흥장어마을,고흥장어마을,광주광역시 북구 설죽로320번길 26 (오치동),062-266-6200,,
restaurant,,신자유회관,신자유회관,"광주광역시 북구 설죽로455번길 8-2 (삼각동,(1층))",062-573-7370,,
restaurant,,왕개미분식,왕개미분식,"광주광역시 북구 참판로 38 (풍향동,1층)",,,
restaurant,,만다린,만다린,광주광역시,062-521-5282,,
restaurant,,김밥나라,김밥나라,"광주광역시 북구 비엔날레로 97 (용봉동,외 3필지 1층)",,,
