위도,경도,name,cuisine,opening_hours,addr:full,지번주소,phone,,,dog,leisure,takeaway
34.41641893,126.5887943,월송한우촌,korean,Mo-Su 9:00-22:00,전라남도 해남군 현산면 시등리길 42,전라남도 해남군 현산면 월송리 274-1,,,,no,playground,no
34.41261847,126.5836479,매화식당,korean,Mo-Su 7:00-21:00,전라남도 해남군 현산면 달마로 876,전라남도 해남군 현산면 월송리 204-7,061-536-9595,,,yes,,yes
34.66379475,126.3265965,미가,korean,Mo-Su 10:00-22:00,전라남도 해남군 화원면 신덕호길 25,전라남도 해남군 화원면 신덕리 181-5,061-533-6022,,,no,,yes
34.57886265,126.5914301,수남숯불구이,korean,Mo-Su 17:00-22:00,전라남도 해남군 해남읍 구교3길 29,전라남도 해남군 해남읍 구교리 590-4,061-537-9192,,,no,,yes
34.57503765,126.5966603,고기생각,korean,,전라남도 해남군 해남읍 북부순환로 141-1,전라남도 해남군 해남읍 수성리 207,061-537-1661,,,no,,no
34.5734466,126.6033456,신화한우장터,korean,Mo-Su 10:00-22:00,전라남도 해남군 해남읍 북부순환로 78,전라남도 해남군 해남읍 해리 529-4,061-535-4561,,,no,,yes
34.57265581,126.5980516,농장의아침,korean,,전라남도 해남군 해남읍 군청길 9,전라남도 해남군 해남읍 성내리 40-1,061-537-6160,,,no,,no
34.57062659,126.6074248,한우일번지,korean,Mo-Su 10:00-21:00,전라남도 해남군 해남읍 해남로 2,전라남도 해남군 해남읍 해리 405-10,061-536-4481,,,no,,no
34.5665743,126.5951896,산화,korean,Mo-Su 08:00-21:00,전라남도 해남군 해남읍 중앙2로 135-1,전라남도 해남군 해남읍 고도리 401-19,061-536-4561,,,no,,no
34.56859729,126.6010183,수미정육식당,korean,,전라남도 해남군 해남읍 행운길 2,전라남도 해남군 해남읍 해리 622-13,061-536-4382,,,no,,no
34.56575716,126.605697,오대감한우직판장식육식당,korean,,전라남도 해남군 해남읍 영빈로 49,전라남도 해남군 해남읍 해리 296-8,061-536-2700,,,no,,yes
34.56118151,126.5794042,해초한우정,korean,,전라남도 해남군 해남읍 납부순환로 42,전라남도 해남군 해남읍 해리 343,061-536-3554,,,no,,yes
34.57131686,126.6007767,한우마당,korean,Mo-Su 11:00-20:00,전라남도 해남군 해남읍 천변2길 35,전라남도 해남군 해남읍 읍내리 6-15,061-533-7667,,,no,,yes
34.5660496,126.6052563,고기나라,korean,Mo-Su 10:00-22:00,전라남도 해남군 해남읍 남부순환로 59,전라남도 해남군 해남읍 해리 298-3,061-536-2223,,,no,,yes
34.49677671,126.6182232,호남식당,korean,Mo-Su 08:00-22:00,전라남도 해남군 삼산면 대흥사길 143,전라남도 해남군 삼산면 구림리 146-5,061-534-5500,,,no,,yes
34.49748221,126.6200299,해남식당,korean,Mo-Su 08:00-20:00,전라남도 해남군 삼산면 대흥사길 98-2,전라남도 해남군 삼산면 구림리 146-17,061-534-5584,,,no,,no
