위도(WGS84좌표),경도(WGS84좌표),시도명,시군구명,name,업종,cuisine,주요메뉴,operator,phone,addr:full,소재지지번주소,website,capacity,opening_hours,휴무일,주차장보유여부,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
37.57961,128.196039,강원도,횡성군,윤가이가,일반음식점,한식,"더덕한정식, 취나물밥",윤옥자, 033-343 -1208,,강원도 횡성군 청일면 고시리 209,,50,11:00~20:00,,Y,2019-09-20,,큰고시길,41,청일면,,,
37.45276,128.075212,강원도,횡성군,축협횡성한우프라자,일반음식점,한식,"갈비살, 불고기",엄경익, 033-342-6680,,강원도 횡성군 우천면 우항리 167  ,,100,10:00~21:30,,Y,2019-09-20,,한우로,1401,우천면,,,
37.487316,128.002465,강원도,횡성군,토토기사식당,일반음식점,한식,한식뷔페,박명옥, 033-342-5858,,강원도 횡성군 횡성읍 마산리 639,,64,06:00~20:00,,Y,2019-09-20,,한우로,455,횡성읍,,,
37.498951,127.98914,강원도,횡성군,함밭식당,일반음식점,한식,"한우등심, 갈비살, 육회",김남규, 033-343-2549,,강원도 횡성군 횡성읍 북천리 205 - 9  ,,130,10:00~21:30,둘째주 넷째주 화요일,Y,2019-09-20,,섬강로,88,횡성읍,,,
37.493397,127.988985,강원도,횡성군,향토추어탕,일반음식점,기타,"추어탕, 튀김, 숙회",박우경, 033-345-0067,,강원도 횡성군 횡성읍 읍상리 374 - 3  ,,70,09:00~21:00,매주 일요일,Y,2019-09-20,,화성로,27-1,횡성읍,,,
37.463071,128.134671,강원도,횡성군,회성반상야미레스토,일반음식점,한식,"횡성한우국밥, 더덕스테이크",박종화, 033-343-4231,,강원도 횡성군 안흥면 소사리 1530-1 ,,160,24시간,,Y,2019-09-20,,영동고속도로,154,안흥면,,,
37.464919,128.13505,강원도,횡성군,횡성(상)휴게소 한식양식,일반음식점,한식,"한우국밥, 산채비빔밥",이문자, 033-342-4200,,강원도 횡성군 안흥면 소사리 1511  ,,150,24시간,,Y,2019-09-20,,영동고속도로,153,안흥면,,,
37.51554,128.011777,강원도,횡성군,횡성송어횟집,일반음식점,회집,"송어회, 오리훈제",최창성, 033-343-5353,,강원도 횡성군 횡성읍 내지리 27  ,,36,11:30~21:00,매주 일요일,Y,2019-09-20,,섬강로388번길,75,횡성읍,,,
37.490481,127.989263,강원도,횡성군,횡성족발,일반음식점,기타,"족발, 보쌈",박덕식, 033-343-8384,,강원도 횡성군 횡성읍 읍상리 324 - 2  ,,50,10:00~23:00,,Y,2019-09-20,,문정로55번길,24,횡성읍,,,
37.459958,128.063706,강원도,횡성군,횡성축협한우프라자,일반음식점,한식,"한우등심, 육회, 살치살",엄경익, 033-345-6160,,강원도 횡성군 우천면 우항리 583 - 5  ,http://www.hsplaza.co.kr/,130,10:30~21:30,,Y,2019-09-20,,우항3길,6,우천면,,,
37.484022,127.981563,강원도,횡성군,횡성축협한우프라자본점,일반음식점,한식,"한우구이, 갈비탕",엄경익, 033-343-9908,,강원도 횡성군 횡성읍 교항리 34,http://www.hsplaza.co.kr/dnb/resource/main/index.php,224,10:00~21:00,,Y,2019-09-20,,횡성로,337,횡성읍,,,
37.489725,127.984102,강원도,횡성군,횡성토종한우프라자,일반음식점,한식,한우등심,최옥선, 033-344-2626,,강원도 횡성군 횡성읍 읍하리 556-1  ,http://tojonghanwoo.com/,130,09:30~21:00,,Y,2019-09-20,,한우로,272,횡성읍,,,
37.49542,127.98738,강원도,횡성군,횡성한우국밥,일반음식점,한식 ,"한우국밥,콩나물해장국",손창숙, 033-343-4959 ,,강원도 횡성군 횡성읍 읍하리 509-6,,68,06:30~19:00,매주 목요일,Y,2019-09-20,,문화체육로,46,횡성읍,,,
37.459687,128.064223,강원도,횡성군,횡성한우마을,일반음식점,한식,"꽃등심, 육회비빔밥",송순영, 033-343-6005,,강원도 횡성군 우천면 우항리 583 - 27  ,http://www.hanuvil.com/cs/index.php,64,10:00~21:30,,Y,2019-09-20,,수남로,348,우천면,,,
37.511335,128.221915,강원도,횡성군,횡성한우피아,일반음식점,한식,"한우등심, 안창살, 갈비살",이인영, 033-342-4231,,강원도 횡성군 자포곡리 425-1  ,,200,10:30~22:00,,Y,2019-09-20,,고원로,141,둔내면,,,
