위도,경도,cuisine,name,소재지(도로명),주취급음식,phone,source:date,amenity
37.5512509,127.0760697,중국식,샹그라,서울특별시 광진구 능동로 237 (군자동),자장면,+82 2 464 8088,2021-01-29,restaurant
37.5558218,127.0804375,한식,소야지,서울특별시 광진구 능동로36길 24 (능동),비빔밥,+82 2 446 7645,2021-01-29,restaurant
37.5387443,127.0665517,중국식,송화양꼬치,서울특별시 광진구 동일로18길 70 (자양4동),양꼬치,+82 2 462 7826,2021-01-29,restaurant
37.5402789,127.0828938,한식,신선설농탕,서울특별시 광진구 자양로 139 (자양1동),설렁탕,+82 2 454 7944,2021-01-29,restaurant
37.5608602,127.0852777,한식,심마니유황오리,서울특별시 광진구 긴고랑로 85 (중곡2동),오리구이,+82 2 452 1610,2021-01-29,restaurant
37.5398604,127.0932221,일식,영덕물회&생태,"서울특별시 광진구 아차산로 461 (구의3동,1층)",생태탕,+82 2 454 3396,2021-01-29,restaurant
37.5363359,127.0852153,한식,영산강,서울특별시 광진구 자양로16길 24 (자양2동),홍삼합,+82 2 452 2119,2021-01-29,restaurant
37.5424794,127.0652128,한식,예담밥상,서울특별시 광진구 동일로22길 13 (화양동),한정식,+82 2 469 0072,2021-01-29,restaurant
37.5545639,127.0968977,한식,옹기생삼겹살,서울특별시 광진구 영화사로 97 (구의2동),삼겹살,+82 2 447 3492,2021-01-29,restaurant
37.5673562,127.0864933,한식,유일설렁탕,서울특별시 광진구 용마산로 154 (중곡4동),설렁탕,+82 2 452 5860,2021-01-29,restaurant
37.5474829,127.1074896,한식,중일가든,서울특별시 광진구 아차산로76가길 4 (광장동),꽃등심,+82 2 447 4111,2021-01-29,restaurant
37.5582095,127.0792729,한식,지담정,서울특별시 광진구 능동로37길 10-3 (중곡1동),"낙지전골,갈비전골",+82 2 2205 3777,2021-01-29,restaurant
37.5331659,127.0762135,한식,찜집,서울특별시 광진구 자양번영로 44(자양1동),꽃게찜아구찜,+82 2 446 1149,2021-01-29,restaurant
37.5633567,127.0872224,한식,채선당,서울특별시 광진구 용마산로 110 (중곡4동),샤브샤브,+82 2 452 5200,2021-01-29,restaurant
37.5382075,127.0912914,한식,천년의섬 명품 광어,서울특별시 광진구 아차산로 438 (구의3동),생고기,+82 2 457 9706,2021-01-29,restaurant
37.5394861,127.0924708,한식,춘향골남원추어탕,서울특별시 광진구 아차산로 453-1 (구의3동),추어탕,+82 2 446 4005,2021-01-29,restaurant
37.5424128,127.0936563,경양식,팀스쿡,"서울특별시 광진구 광나루로50길 10, 1층2층(구의3동)","파자,파스타,스테이크",+82 2 447 0880,2021-01-29,restaurant
37.5520304,127.07642,중국식,하이난,"서울특별시 광진구 능동로 243-1, 지하 (군자동)",자장면,+82 2 466 0832,2021-01-29,restaurant
37.5477372,127.1095417,한식,한강옥,서울특별시 광진구 아차산로78길 147 (광장동),한우생고기,+82 2 456 0091,2021-01-29,restaurant
37.545067,127.0797571,한식,함흥본가면옥,서울특별시 광진구 광나루로 456 (화양동),냉면,+82 2 447 8806,2021-01-29,restaurant
37.5476428,127.0715491,한식,황금어장,서울특별시 광진구 광나루로 376 (화양동),생선회,+82 2 467 4414,2021-01-29,restaurant
37.5316603,127.0792916,한식,장원닭한마리,서울특별시 광진구 뚝섬로52길 8 (자양2동),닭한마리,+82 2 446 9662,2021-01-29,restaurant
37.5434818,127.0699485,한식,민벅,서울특별시 광진구 능동로13길 39(화양동),,+82 2 446 9662,2021-01-29,restaurant
37.5414436,127.0692519,한식,주식회사 돕,서울특별시 광진구 아차산로31길 9(화양동),,+82 2 446 9662,2021-01-29,restaurant
37.5559236,127.0797402,한식,홍천화로숯불구이,서울특별시 광진구 천호대로110길 27(능동),,+82 2 446 9662,2021-01-29,restaurant
37.547004,127.072799,한식,숨비소리,서울특별시 광진구 화양동 112-16,고등어회,+82 2 466 5892,2021-01-29,restaurant
37.538368,127.090389,한식,콩이랑두부랑,서울특별시 광진구 구의동 244-62,순두부,+82 2 3425 3800,2021-01-29,restaurant
37.557005,127.078257,한식,태평양수산회세꼬시,서울특별시 군자로 183,광어,+82 2 499 9192,2021-01-29,restaurant
37.552881,127.07686,한식,한촌설렁탕군자점,서울특별시 광진구 군자동 242번지 1층,설렁탕,+82 2 468 4200,2021-01-29,restaurant
