위도,경도,cuisine,행정읍면동,name,addr:full,소재지지번주소,phone,주차여부,opening_hours,주메뉴,source:date
37.30837,126.85235,한식,사동,신촌설렁탕,"경기도 안산시 상록구 광덕1로 386, 110호 (이동)",경기도 안산시 상록구 이동 716-12 캠퍼스타운 110호,031-406-2561,공영주차장(주차권 제공),"매일 00:00 ~ 23:59, 연중 무휴","설렁탕,곰탕",2019-07-05
37.319088,126.829743,중국식,이동,아리원중화요리,경기도 안산시 단원구 광덕대로 251 3층(고잔동),경기도 안산시 단원구 고잔동 525-1 3층,031-485-3100,주차 완비,,"짜장면,탕수육",2019-07-05
37.311205,126.830776,일식,본오동,아미가일식,"경기도 안산시 단원구 광덕대로 168, 501호 (고잔동)",경기도 안산시 단원구 고잔동 771 신화타운 501호,031-483-2331,주차 완비,"매일 10:00 ~ 22:00, 명절 휴무",생선회,2019-07-05
37.30684,126.816021,한식,고잔동,"아바이마을명태고추조림,생선구이","경기도 안산시 단원구 초지2로 67-7 (초지동, 734-5 한양타워 1층 118,119호)","경기도 안산시 단원구 초지동 734-5 한양타워 1층 118,119호",031-411-0056,가능,매일 11:00~ 22:30,속초 명태 고추조림,2019-07-05
37.328922,126.845212,한식,사동,안동국밥(월피점),경기도 안산시 상록구 예술광장로 11(월피동),경기도 안산시 상록구 월피동 445-10,031-439-2324,10대 가능,매일 00:00 ~ 23:59,안동국밥(점),2019-07-05
37.363861,126.881961,한식,대부북동,약수터손두부,"경기도 안산시 상록구 수암3길 28, 1층 (수암동)",경기도 안산시 상록구 수암동 483-2 1층,031-482-7952,5대,,손두부,2019-07-05
37.349277,126.821265,한식,건건동,어가아구찜전문,경기도 안산시 단원구 쑥개길 13 (화정동),경기도 안산시 단원구 화정동 316-1,031-411-6866,주차 완비,매일 10:00 ~ 22:00,"아구찜,해물찜",2019-07-05
37.294177,126.843965,한식,사동,어담추어매운탕,경기도 안산시 상록구 댕이길 67-1 (사동),경기도 안산시 상록구 사동 1350,031-408-7789,,,"추어매운탕,빙어도리뱅뱅이",2019-07-05
37.314648,126.831163,일식,본오동,어화일식,"경기도 안산시 단원구 광덕대로 206, 210호 (고잔동)",경기도 안산시 단원구 고잔동 724 골든오피스텔 210호,031-402-2271,주차 완비,매일 10:00 ~ 22:00,생선회,2019-07-05
37.358361,126.822045,한식,본오동,여울쌈밥,경기도 안산시 단원구 꽃우물1길 16-5 (화정동),경기도 안산시 단원구 화정동 555,031-316-3838,주차 완비,"매일 11:00 ~ 23:00, 연중무휴",쌈밥,2019-07-05
37.269952,126.571043,한식,대부북동,여정농원바지락칼국수,경기도 안산시 단원구 대선로 13(대부북동),경기도 안산시 단원구 대부북동 1837-10,032-880-9674,200평,"월~토 09:00 ~ 21:00, 일요일 휴무",바지락칼국수,2019-07-05
37.302315,126.852486,한식,사동,연안생태찌개,경기도 안산시 상록구 서암로3길 23,경기도 안산시 상록구 사동 1208-10,031-406-1104,,,생태찌개,2019-07-05
37.303727,126.843663,한식,이동,영덕해물탕,경기도 안산시 상록구 항가울로 262 (사동),경기도 안산시 상록구 사동 1552-3,031-415-7776,주차 완비,매일 10:00 ~ 23:59,"해물탕,해물찜,아귀찜",2019-07-05
37.311205,126.830776,회집,초지동,오대양참치,"경기도 안산시 단원구 광덕대로 168, 117호 (고잔동)",경기도 안산시 단원구 고잔동 771 신화타운 117호,031-401-3977,발렛파킹 서비스,"매일11:30 ~ 익일 01:00, 연중무휴",참치회,2019-07-05
37.335947,126.850207,한식,화정동,오양순추어탕,경기도 안산시 상록구 안산천동로 256 1층(월피동),경기도 안산시 상록구 월피동 458-14 1층,031-401-1778,가능,매일 07:30 ~ 10:00,우렁추어탕,2019-07-05
37.347559,126.870679,한식,부곡동,옹골찬설악추어탕,경기도 안산시 상록구 수인로 1836 (장상동),경기도 안산시 상록구 장상동 437-1,031-405-9933,40대 주차 가능,"매일 11:00 ~ 23:00, 연중무휴",추어탕,2019-07-05
37.29395,126.843356,한식,사동,용대리황태촌,경기도 안산시 상록구 댕이길 9 1층(사동),경기도 안산시 상록구 사동 1349-14 1층,031-407-2196,무료주차,매일 10:00 ~ 22:00,황태해장국,2019-07-05
37.335921,126.807689,한식,이동,용추골미궁순대,"경기도 안산시 단원구 선부광장1로 22, 108호 (선부동)",경기도 안산시 단원구 선부동 1070-13 한우리크리닉센타 108호,031-486-0205,주차 완비,"매일 00:00 ~ 23:59, 명절휴무",순대국밥,2019-07-05
37.329228,126.844963,한식,대부북동,우가네사또왕족발,"경기도 안산시 상록구 예술광장1로 22, 108호(월피동)",경기도 안산시 상록구 월피동 445-6 108호,031-419-7866,지하 20대,"매일 13:00 ~ 23:59, 일요일 휴무",족발,2019-07-05
37.314422,126.824632,한식,고잔동,우리복집,경기도 안산시 단원구 다리간2길 52,경기도 안산시 단원구 고잔동 686-1,031-403-8211,,,"복어탕,복어찜",2019-07-05
37.294006,126.844495,한식,사동,우리옥 (목포뻘낙지),경기도 안산시 상록구 댕이길 19 (사동),경기도 안산시 상록구 사동 1350-6,031-437-0021,10대 무료주차 가능,"매일 10:00 ~ 22:00, 연중무휴","연포탕,낙지덮밥",2019-07-05
37.312396,126.837711,한식,화정동,웅가네추어탕,"경기도 안산시 단원구 이삭2길 59 (고잔동, 743-7 102호)",경기도 안산시 단원구 고잔동 743-7 102호,031-475-1225,가능,매일 10:00~ 22:00,추어탕,2019-07-05
37.3325,126.79383,한식,이동,원조게장정식,경기도 안산시 단원구 부부로3길 23 (원곡동),경기도 안산시 단원구 원곡동 752-8,031-494-7330,,,간장게장,2019-07-05
37.301286,126.865854,한식,고잔동,원할머니보쌈 상록수점,경기도 안산시 상록구 용신로 394 (본오동),경기도 안산시 상록구 본오동 873-5,031-409-4323,주차 완비,"매일 11:00 ~ 23:59, 명절 휴무",보쌈,2019-07-05
37.318593,126.836468,한식,고잔동,원할머니보쌈 중앙역점,"경기도 안산시 단원구 예술대학로 17, 211호 (고잔동)",경기도 안산시 단원구 고잔동 534-3 안산중앙노블레스 211호,031-403-6782,지하주차장,매일 11:00 ~ 23:59,"보쌈,족발",2019-07-05
37.311786,126.846635,한식,월피동,월남쌈,경기도 안산시 상록구 송호1길 11 (이동),경기도 안산시 상록구 이동 662-2,031-406-2712,주차 완비,"매일 10:00 ~ 22:00, 주일 휴무",월남쌈,2019-07-05
37.308341,126.858599,한식,이동,육덕봉,"경기도 안산시 상록구 충장로6길 22-2, 1층 (이동)",경기도 안산시 상록구 이동 597 1층,031-409-8954,주차가능,"매일 11:00 ~ 23:00, 연중무휴","소한마리,돼지한마리",2019-07-05
37.283451,126.569162,한식,대부북동,윤숙이네손칼국수,경기도 안산시 단원구 대부황금로 1425 (대부북동),경기도 안산시 단원구 대부북동 1851-1,032-882-1947,주차 완비,"매일 10:00 ~ 23:59, 연중무휴",손칼국수,2019-07-05
37.282458,126.846989,한식,사동,이천영양돌솥밥,경기도 안산시 상록구 항가울로 7 (사동),경기도 안산시 상록구 사동 1431-9,031-408-2008,30평의 넓은 주차장,,"영양돌솥밥,갈비,보쌈정식",2019-07-05
37.312863,126.79702,한식,원시동,자매네찌개전문점,"경기도 안산시 단원구 동산로 60 (원시동, 777-6 반월종합상가 2층 220호)",경기도 안산시 단원구 원시동 777-6 반월종합상가 2층 220호,031-406-5252,가능,매일 10:00 ~ 21:00,"대구탕,동태찌개,생태찌개",2019-07-05
37.332555,126.810405,한식,고잔동,장군부대찌개,"경기도 안산시 단원구 선부광장로 77, 108호 (선부동)",경기도 안산시 단원구 선부동 1077-15 늘봄스위트빌2 108호,031-480-3392,지하주차장,"매일 00:00 ~ 23:59, 연중무휴",부대찌개,2019-07-05
37.311094,126.828464,일식,초지동,정통일식 다래,"경기도 안산시 단원구 광덕2로 163-15, 301호 (고잔동)",경기도 안산시 단원구 고잔동 709 보성프라자 301호,031-403-4399,주차가능,매일 10:00 ~ 22:00,일식,2019-07-05
37.326615,126.845329,한식,고잔동,제주오겹살깡통구이,"경기도 안산시 상록구 예술광장로 63, 107호 (성포동)",경기도 안산시 상록구 성포동 593-6 성포프라자 107호,031-402-9594,주차 완비,,제주오겹살구이,2019-07-05
37.314343,126.838496,한식,사동,좋구먼한정식,"경기도 안산시 단원구 광덕4로 234, 207호(고잔동)",경기도 안산시 단원구 고잔동 729-3 천혜로데오프라자 207호,031-410-5577,주차 완비,"매일 10:00 ~ 22:00, 추석과 설날 휴무",참좋구먼정식,2019-07-05
37.314369,126.837966,뷔페식,고잔동,주)제이엘컨벤션,"경기도 안산시 단원구 광덕4로 230 (고잔동,중앙제일시장 501-503호)",경기도 안산시 단원구 고잔동 729-2 중앙제일시장 501동 503호,031-439-0600,,"매일 11:00 ~ 23:00, 연중무휴",뷔페,2019-07-05
37.317788,126.84088,일식,사동,지중해참치,"경기도 안산시 단원구 고잔1길 66, 101호 (고잔동)",경기도 안산시 단원구 고잔동 540-7 101호,031-482-3788,자가 및 공영 주차장,"매일 15:00 ~ 익일 03:00, 매주 일요일 휴무",참치회,2019-07-05
37.319176,126.828242,한식,월피동,진성관,"경기도 안산시 단원구 고잔로 18, 201호 (고잔동)",경기도 안산시 단원구 고잔동 524 늘봄스위트빌 201호,031-484-8704,"단원미술관 주차장 이용(낮 1시간, 저녁 2시간 무료)","매일 11:00 ~ 22:00, 명절 당일 휴무","한우꽃등심,돼지갈비",2019-07-05
37.334785,126.85777,한식,사동,眞장어탕·구이,경기도 안산시 상록구 시낭북로3길 1 (부곡동),경기도 안산시 상록구 부곡동 728-15,031-483-5482,주차 완비,매일 11:00 ~ 23:00,"장어구이,장어탕",2019-07-05
37.238735,126.61382,한식,대부북동,진짜원조소나무집,경기도 안산시 단원구 대부황금로 732,경기도 안산시 단원구 대부동동 96-10,032-886-2400,주차 완비,,"칼국수,쭈꾸미볶음",2019-07-05
37.301922,126.862322,한식,부곡동,채상궁무한리필,경기도 안산시 상록구 용신로 363 (본오동),경기도 안산시 상록구 본오동 877-9,031-437-8592,30대,,소고기샤브샤브,2019-07-05
37.319088,126.829743,한식,고잔동,천하일미,경기도 안산시 단원구 광덕대로 251,경기도 안산시 단원구 고잔동 525-1,031-485-3200,,,"한우생갈비,돼지갈비",2019-07-05
37.303148,126.811383,중국식,본오동,청궁,"경기도 안산시 단원구 원포공원1로 60, 101호 (초지동)",경기도 안산시 단원구 초지동 742-3 다인프라자 101호,031-411-2588,주차 완비,"매일 09:00 ~ 21:00, 연중무휴","전복짬뽕,소라짬뽕",2019-07-05
37.337089,126.855734,한식,사동,청정칼국수,경기도 안산시 상록구 녹지로 40 (월피동),경기도 안산시 상록구 월피동 473-7,031-485-0505,가능,,바지락칼국수,2019-07-05
37.301673,126.813518,한식,월피동,청정한돈,"경기도 안산시 단원구 원포공원2로 35, 202호 (초지동, 메가쇼핑타운)",경기도 안산시 단원구 초지동 742-9 메가쇼핑타운 202호,031-413-9253,50대,매일 11:00 ~ 23:00,삼겹살구이,2019-07-05
37.318565,126.835543,한식,사동,코돈부르,"경기도 안산시 단원구 고잔1길 17, 204-1호 (고잔동)",경기도 안산시 단원구 고잔동 534-1 204-1호,031-485-3330,,매일 11:00 ~ 22:30,돈까스,2019-07-05
37.341033,126.821601,한식,고잔동,코리안왕돈까스,경기도 안산시 단원구 와동공원로 106 (와동),경기도 안산시 단원구 와동 759-11,031-403-3228,주차완비,"매일 10:30 ~ 21:30, 명절당일 휴무","왕돈까스,카레돈까스",2019-07-05
37.317871,126.835601,뷔페식,사사동,쿠우쿠우,"경기도 안산시 단원구 고잔2길 41, 207호 (고잔동)",경기도 안산시 단원구 고잔동 535-1 신양복합빌딩 207호,031-405-6274,주차 완비,,뷔페,2019-07-05
