위도,경도,office,name,addr:full,phone,fax,source:date
33.2548554026,126.5678523844,architect,건축사사무소 지인건축,제주특별자치도 서귀포시 일주동로 8614,064-762-4578,064-763-6260,2020-03-31
33.2530910639,126.5620449952,architect,건축사사무소 미루,제주특별자치도 서귀포시 일주동로 8671,064-767-4441,064-767-4443,2020-03-31
33.2507749456,126.5615044453,architect,건축사사무소 웅지,제주특별자치도 서귀포시 중앙로 70,064-762-4285,064-732-4285,2020-03-31
33.253651757,126.5606560455,architect,오제호 건축사사무소,제주특별자치도 서귀포시 중앙로101번길 1,064-733-3553,064-763-3663,2020-03-31
33.255456616,126.506922571,architect,위드에이 건축사사무소,제주특별자치도 서귀포시 신서로52번길 24,064-739-9663,064-739-9664,2020-03-31
33.2524785027,126.5582483892,architect,건축사사무소 도원,제주특별자치도 서귀포시 일주동로8707,064-733-0517,064-763-0578,2020-03-31
33.2589844073,126.5685253356,architect,건축사사무소 이오공간,제주특별자치도 서귀포시 동홍로 116,064-748-3009,064-757-3009,2020-03-31
33.2590007501,126.5722378439,architect,건축사사무소 생활공간,제주특별자치도 서귀포시 동홍중앙로 94,064-805-0007,064-805-0009,2020-03-31
33.2538534244,126.5630282525,architect,건축사사무소 휘,제주특별자치도 서귀포시 일주동로 8660,064-767-0904,064-733-0904,2020-03-31
33.2513712058,126.5567011928,architect,건축사사무소 부건축,제주특별자치도 서귀포시 서문로38번길 23-1,064-762-5222,064-762-5223,2020-03-31
33.2481191687,126.561548505,architect,건축사사무소 나우,제주특별자치도 서귀포시 중앙로 39,064-763-2555,064-763-5580,2020-03-31
33.2553693462,126.5718447408,architect,건축사사무소 이현건축 ,제주특별자치도 서귀포시 동홍중앙로51번길 2,064-762-3142,064-762-3143,2020-03-31
33.2554384813,126.5765789059,architect,조은 건축사사무소 ,제주특별자치도 서귀포시 동홍중앙로 52번길 41,064-732-5484,064-732-5485,2020-03-31
33.2558394736,126.57542634,architect,피아이 건축사사무소,제주특별자치도 서귀포시 동홍중앙로66번길 30-7,064-902-1922,064-900-7021,2020-03-31
33.2488167938,126.5694814016,architect,삼 건축사사무소,제주특별자치도 서귀포시 중정로 123,064-733-0656,064-733-0657,2020-03-31
33.2497519189,126.5680119611,architect,한성일 건축사사무소,제주특별자치도 서귀포시 동홍로 12번길 1,064-763-0801,064-763-1802,2020-03-31
33.2492467878,126.2837967448,architect,한별 건축사사무소,제주특별자치도 서귀포시 대정읍 일주서로 2193-17,064-792-3739,064-792-3740,2020-03-31
