위도,경도,amenity,operator:type,government,office,name,phone,addr:full,addr:postcode,source:date
35.230192,129.092041,fire_station,government,,,금정 세무서,051-580-6200,부산광역시 금정구 중앙대로 1636 ,,2020-10-01
35.243942,129.092577,fire_station,government,,,금정 소방서,051-760-4713,부산광역시 금정구 중앙대로 1789 ,,2020-10-01
35.243942,129.092577,fire_station,government,,,부곡119 안전센터,051-760-6711,부산광역시 금정구 중앙대로 1789 ,,2020-10-01
35.209032,129.103305,fire_station,government,,,서동119 안전센터,051-760-6721,부산광역시 동래구 반송로 331 ,,2020-10-01
35.261425,129.086883,fire_station,government,,,남산119 안전센터,051-760-6731,부산광역시 금정구 두실로 46 ,,2020-10-01
35.251053,129.050911,fire_station,government,,,산성119 안전센터,051-760-6751,부산광역시 금정구 산성로 396,,2020-10-01
35.243942,129.092577,police,government,,,금정 구조대,051-760-6701,부산광역시 금정구 중앙대로 1789 ,,2020-10-01
35.246888,129.091749,police,government,,,금정 경찰서,051-510-0324,부산광역시 금정구 중앙대로 1819 ,,2020-10-01
35.251655,129.096785,police,government,,,범어지구대,051-508-5501,부산광역시 금정구 팔송로39길 56 ,46221,2020-10-01
35.251655,129.096785,police,government,,,구서1치안센터,051-514-8502,부산광역시 금정구 금강로415길 8 ,46245,2020-10-01
35.251655,129.096785,police,government,,,구서2치안센터,051-515-3171,부산광역시 금정구 금강로565길 23 ,46231,2020-10-01
35.228007,129.092291,police,government,,,부곡지구대,051-514-8505,부산광역시 금정구 부곡로 136 ,46271,2020-10-01
35.221599,129.091206,police,government,,,부곡1치안센터,051-514-8504,부산광역시 금정구 서동로 9-1 ,46308,2020-10-01
35.241572,129.094451,police,government,,,부곡3치안센터,051-514-8503,부산광역시 금정구 오륜대로 17-1 ,46253,2020-10-01
35.229074,129.085967,police,government,,,장전지구대,051-514-8508,부산광역시 금정구 금정로 49 ,46293,2020-10-01
35.237087,129.087953,police,government,,,장전1치안센터,051-514-8506,부산광역시 금정구 금정로 140 ,46284,2020-10-01
35.226366,129.078285,police,government,,,장전2치안센터,051-514-8507,부산광역시 금정구 금샘로 4 ,46296,2020-10-01
35.216095,129.116482,police,government,,,서금지구대,051-522-4787,부산광역시 금정구 반송로 482-1 ,46334,2020-10-01
35.21809102,129.096453,police,government,,,서1치안센터,051-523-4887,부산광역시 금정구 동현로 126 ,46319,2020-10-01
35.213114,129.106403,police,government,,,서2치안센터,051-523-1035,부산광역시 금정구 서동로194번길 32 ,46328,2020-10-01
35.2152902,129.102127,police,government,,,서3치안센터,051-522-4786,부산광역시 금정구 서동로 141 ,46320,2020-10-01
35.226642,129.117418,police,government,,,회동치안센터,051-523-7166,부산광역시 금정구 금사로 173-1 ,46260,2020-10-01
35.272339,129.093118,police,government,,,팔송파출소,051-515-3170,부산광역시 금정구 중앙대로 2106 ,46214,2020-10-01
35.244315,129.092198,post_office,government,,,금정 우체국,051-519-6114,부산광역시 금정구 중앙대로1793번길 20 ,46274,2020-10-01
35.249664,129.087764,post_office,government,,,구서동 우체국,051-512-0101,부산광역시 금정구 금강로 473 ,46232,2020-10-01
35.229729,129.084477,post_office,government,,,장전동 우체국,051-582-2005,부산광역시 금정구 금강로 241-1 ,46288,2020-10-01
35.270773,129.090882,post_office,government,,,남산동 우체국,051-514-0608,부산광역시 금정구 범어천로52번길 28 ,46219,2020-10-01
35.222742,129.090601,post_office,government,,,부곡동 우체국,051-517-0572,부산광역시 금정구 부곡로 75 ,46306,2020-10-01
35.21546,129.103398,post_office,government,,,서동 우체국,051-522-2998,부산광역시 금정구 서동로149번길 13 ,46320,2020-10-01
35.216216,129.11146,,government,,government,고용노동부 부산동부지청,051-559-3700,부산광역시 금정구 공단서로 12,,2020-10-01
35.242024,129.091442,,government,,government,안전보건공단 부산지역본부,051-520-0510,부산광역시 금정구 중앙대로1763번길 26 ,,2020-10-01
35.242024,129.091442,,government,,government,근로복지공단 부산동부지사,1588-0075,부산광역시 금정구 중앙대로1763번길 26 ,,2020-10-01
35.223327,129.08973,,government,,government,금정구 선거관리위원회,051-514-1960,부산광역시 금정구 동현로 12,46306,2020-10-01
