위도,경도,name,phone,addr:full,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door,amenity
33.2641749,126.5512758,서홍주유소,+82 64 733 0111,,2020-06-15,,서홍로,184,서홍동,,,,fuel
33.2479105,126.5126731,법환주유소,+82 64 739 6051,,2020-06-15,,일주동로,9173,법환동,,,,fuel
33.2664605,126.5764048,환영주유소,+82 64 732 5177,,2020-06-15,,중산간동로,7862,동홍동,,,,fuel
33.2556124,126.4139321,한신주유소,+82 64 739 4942,,2020-06-15,,천제연로,77,색달동,,,,fuel
33.252647,126.4495211,㈜금영 대포주유소,+82 64 738 0833,,2020-06-15,,일주서로,559,대포동,,,,fuel
33.416346,126.889907,희진주유소,+82 64 783 0115,,2020-06-15,,일주동로,5160,성산읍,,,,fuel
33.416346,126.889907,삼남석유㈜ 해맞이주유소,+82 64 784 2201,,2020-06-15,,일주동로,4501,성산읍,,,,fuel
33.255487,126.5686054,혁신도시주유소,+82 64 739 5233,,2020-06-15,,일주동로,9144,,,,,fuel
33.2634511,126.6165149,효돈농협주유소,+82 64 767 0395,,2020-06-15,,효돈로,166,하효동,,,,fuel
33.3039456,126.6708275,신례주유소,+82 64 767 3001,,2020-06-15,,중산간동로,7097,남원읍,,,,fuel
33.2402708,126.2507128,모슬포행운주유소,+82 64 794 1629,,2020-06-15,,일주서로,2419,대정읍,,,,fuel
33.2291548,126.2604596,반석주유소,+82 64 794 5544,,2020-06-15,,대한로88번길,155,대정읍,,,,fuel
33.2603089,126.5990318,효돈주유소,+82 64 767 3030,,2020-06-15,,일주동로,8314,신효동,,,,fuel
33.2647289,126.3900636,예래주유소,+82 64 738 7708,,2020-06-15,,일주서로,1156-2,상예동,,,,fuel
33.2502071,126.49352,염돈주유소,+82 64 739 5400,,2020-06-15,,일주서로,136,강정동,,,,fuel
33.2615253,126.5261329,반도주유소,+82 64 739 5151,,2020-06-15,,중산간동로,8338,호근동,,,,fuel
33.2455735,126.5256947,서귀포농협서부주유소,+82 64 739 5003,,2020-06-15,,태평로,22,서호동,,,,fuel
33.264464,126.5590015,한진주유소,+82 64 733 5949,,2020-06-15,,중산간동로,8028,서홍동,,,,fuel
33.2668972,126.5826699,토평주유소(주),+82 64 733 7220,,2020-06-15,,중산간동로,7801,토평동,,,,fuel
33.4143696,126.8999778,난산입구주유소,+82 64 784 0084,,2020-06-15,,일주동로,5058,성산읍,,,,fuel
33.2511499,126.4310161,중문주유소,+82 64 738 0502,,2020-06-15,,천제연로,246,중문동,,,,fuel
33.2797413,126.7222059,(주)한라석유 남원주유소,+82 64 764 1986,,2020-06-15,,태위로,710,남원읍,,,,fuel
33.3245085,126.8318969,표선농협주유소,+82 64 787 2331,,2020-06-15,,표선동서로,229,표선면,,,,fuel
33.4469587,126.9146684,동남주유소,+82 64 782 1425,,2020-06-15,,고성오조로,35,성산읍,,,,fuel
33.4537335,126.9132245,오성주유소,+82 64 782 2201,,2020-06-15,,고성오조로,113,성산읍,,,,fuel
33.2473974,126.5606315,칠십리주유소,+82 64 732 5188,,2020-06-15,,중정로,40,서귀동,,,,fuel
33.2548983,126.5788534,에이스주유소,+82 64 732 5145,,2020-06-15,,일주동로,8513,토평동,,,,fuel
33.222652,126.2478109,산방주유소,+82 64 794 2314,,2020-06-15,,신영로,34,대정읍,,,,fuel
33.25307,126.54247,성산일출봉농협주유소,+82 64 780 3135,,2020-06-15,,일주동로,4521,성산읍,,,,fuel
