도로안전표지일련번호,도로종류,도로노선번호,도로노선명,도로노선방향,도로형태,차로수,도로폭,소재지도로명주소,소재지지번주소,위도,경도,도로안전표지구분,도로안전표지종별일련번호,주행제한속도,도로안전표지설명,지주형식,제2외국어표기여부,설치일자,관리기관명,관리기관전화번호,데이터기준일자
17,,,,,,,,,경상남도 통영시 북신동 334-7,34.8543928,128.425607,2,224,50,최고속도제한,,N,,경상남도 통영시,055-650-5332,2021-01-21
18,,,,,,,,,경상남도 통영시 북신동 333-17,34.8546676,128.4255936,1,117,,내려막경사(13%),,N,,경상남도 통영시,055-650-5332,2021-01-21
19,,,,,,,,,경상남도 통영시 북신동 333-17,34.8547279,128.4255728,2,218,,"정차,주자금지",,N,,경상남도 통영시,055-650-5332,2021-01-21
20,,,,,,,,,경상남도 통영시 북신동 333-17,34.8547279,128.4255728,4,428,,견인지역,,N,,경상남도 통영시,055-650-5332,2021-01-21
21,,,,,,,,,경상남도 통영시 북신동 333-17,34.8549103,128.4255949,2,236,,서행,,N,,경상남도 통영시,055-650-5332,2021-01-21
22,,,,,,,,,경상남도 통영시 북신동 555-14,34.8557937,128.4257414,2,214,,좌회전금지,,N,,경상남도 통영시,055-650-5332,2021-01-21
23,,,,,,,,,경상남도 통영시 북신동 559-9,34.8558463,128.4255932,2,221,,차높이제한(4.5m),,N,,경상남도 통영시,055-650-5332,2021-01-21
24,,,,,,,,,경상남도 통영시 북신동 710,34.8561778,128.4257233,2,218,,"정차,주자금지",,N,,경상남도 통영시,055-650-5332,2021-01-21
25,,,,,,,,,경상남도 통영시 북신동 710,34.8561778,128.4257233,4,428,,견인지역,,N,,경상남도 통영시,055-650-5332,2021-01-21
26,,,,,,,,,경상남도 통영시 북신동 688,34.8563726,128.4257894,2,214,,좌회전금지,,N,,경상남도 통영시,055-650-5332,2021-01-21
27,,,,,,,,,경상남도 통영시 북신동 703,34.8565525,128.4257954,3,322,,횡단보도,,N,,경상남도 통영시,055-650-5332,2021-01-21
28,,,,,,,,,경상남도 통영시 북신동 684,34.8567567,128.4259262,2,214,,좌회전금지,,N,,경상남도 통영시,055-650-5332,2021-01-21
29,,,,,,,,,경상남도 통영시 북신동 684,34.8567567,128.4259262,4,414,,"차량한정(15인승이상승합차, 차체2.5t이상화물차)",,N,,경상남도 통영시,055-650-5332,2021-01-21
30,,,,,,,,,경상남도 통영시 북신동 679,34.8573644,128.4260241,2,213,,우회전금지,,N,,경상남도 통영시,055-650-5332,2021-01-21
31,,,,,,,,,경상남도 통영시 북신동 679,34.8573644,128.4260241,4,141,,"차량한정(25인승이상승합차, 차체5t이상 화물차)",,N,,경상남도 통영시,055-650-5332,2021-01-21
32,,,,,,,,,경상남도 통영시 북신동 679,34.8573884,128.4258574,4,141,,차량한정(25인승이상승합차),,N,,경상남도 통영시,055-650-5332,2021-01-21
33,,,,,,,,,경상남도 통영시 북신동 680,34.8573884,128.4258574,4,141,,차량한정(차체5t이상화물차),,N,,경상남도 통영시,055-650-5332,2021-01-21
34,,,,,,,,,경상남도 통영시 북신동 682,34.8571019,128.4257786,2,225,40,최고속도제한,,N,,경상남도 통영시,055-650-5332,2021-01-21
35,,,,,,,,,경상남도 통영시 북신동 682,34.8571019,128.4257786,2,218,,"정차,주자금지",,N,,경상남도 통영시,055-650-5332,2021-01-21
36,,,,,,,,,경상남도 통영시 북신동 682,34.8571019,128.4257786,4,428,,견인지역,,N,,경상남도 통영시,055-650-5332,2021-01-21
37,,,,,,,,,경상남도 통영시 북신동 682,34.8568871,128.425734,1,116,,오르막경사(13%),,N,,경상남도 통영시,055-650-5332,2021-01-21
38,,,,,,,,,경상남도 통영시 북신동 682,34.856695,128.4256975,2,213,,우회전금지,,N,,경상남도 통영시,055-650-5332,2021-01-21
39,,,,,,,,,경상남도 통영시 북신동 682,34.856695,128.4256975,4,141,,"차량한정(25인승이상승합차, 차체5t이상 화물차)",,N,,경상남도 통영시,055-650-5332,2021-01-21
40,,,,,,,,,경상남도 통영시 북신동 702,34.8564857,128.4255651,2,214,,좌회전금지,,N,,경상남도 통영시,055-650-5332,2021-01-21
41,,,,,,,,,경상남도 통영시 북신동 682,34.8562568,128.4255677,1,116,,오르막경사(13%),,N,,경상남도 통영시,055-650-5332,2021-01-21
42,,,,,,,,,경상남도 통영시 북신동 555-9,34.8559442,128.4255349,2,214,,좌회전금지,,N,,경상남도 통영시,055-650-5332,2021-01-21
43,,,,,,,,,경상남도 통영시 북신동 555-9,34.8551321,128.4254705,1,125,,신호기,,N,,경상남도 통영시,055-650-5332,2021-01-21
44,,,,,,,,,경상남도 통영시 북신동 333-17,34.8547075,128.4254809,2,203,,화물자동차통행금지,,N,,경상남도 통영시,055-650-5332,2021-01-21
45,,,,,,,,,경상남도 통영시 북신동 333-17,34.8547075,128.4254809,2,204,,승합자동차통행금지,,N,,경상남도 통영시,055-650-5332,2021-01-21
46,,,,,,,,,경상남도 통영시 북신동 333-17,34.8543141,128.4254189,2,224,50,최고속도제한,,N,,경상남도 통영시,055-650-5332,2021-01-21
47,,,,,,,,,경상남도 통영시 북신동 333-17,34.8543141,128.4254189,2,228,,양보,,N,,경상남도 통영시,055-650-5332,2021-01-21
48,,,,,,,,,경상남도 통영시 북신동 335-20,34.8545562,128.4252472,2,228,,양보,,N,,경상남도 통영시,055-650-5332,2021-01-21
49,,,,,,,,,경상남도 통영시 북신동 335-21,34.8544082,128.4252077,2,227,,일시정지,,N,,경상남도 통영시,055-650-5332,2021-01-21
50,,,,,,,,,경상남도 통영시 북신동 548-17,34.8547246,128.4248208,2,224,50,최고속도제한,,N,,경상남도 통영시,055-650-5332,2021-01-21
51,,,,,,,,,경상남도 통영시 북신동 548-17,34.8547246,128.4248208,1,132,,횡단보도,,N,,경상남도 통영시,055-650-5332,2021-01-21
52,,,,,,,,,경상남도 통영시 북신동 548-17,34.8547246,128.4248208,4,401,,거리(35m),,N,,경상남도 통영시,055-650-5332,2021-01-21
53,,,,,,,,,경상남도 통영시 북신동 546-56,34.8548322,128.4246142,3,322,,횡단보도,,N,,경상남도 통영시,055-650-5332,2021-01-21
54,,,,,,,,,경상남도 통영시 북신동 546-55,34.8549684,128.4243058,1,132,,횡단보도,,N,,경상남도 통영시,055-650-5332,2021-01-21
55,,,,,,,,,경상남도 통영시 북신동 546-55,34.8549684,128.4243058,1,104,,ㅏ자형교차로,,N,,경상남도 통영시,055-650-5332,2021-01-21
56,,,,,,,,,경상남도 통영시 북신동 546-55,34.8549684,128.4243058,4,401,,거리(30m),,N,,경상남도 통영시,055-650-5332,2021-01-21
57,,,,,,,,,경상남도 통영시 북신동 650,34.8554471,128.4240349,1,132,,횡단보도,,N,,경상남도 통영시,055-650-5332,2021-01-21
58,,,,,,,,,경상남도 통영시 북신동 565-8,34.8557833,128.4238324,3,322,,횡단보도,,N,,경상남도 통영시,055-650-5332,2021-01-21
59,,,,,,,,,경상남도 통영시 북신동 571-2,34.856027,128.4238495,3,322,,횡단보도,,N,,경상남도 통영시,055-650-5332,2021-01-21
60,,,,,,,,,경상남도 통영시 북신동 572-12,34.8559723,128.4235712,2,224,50,최고속도제한,,N,,경상남도 통영시,055-650-5332,2021-01-21
61,,,,,,,,,경상남도 통영시 북신동 572-12,34.8560689,128.4235578,3,322,,횡단보도,,N,,경상남도 통영시,055-650-5332,2021-01-21
62,,,,,,,,,경상남도 통영시 북신동 572-2,34.8564873,128.4232295,1,132,,횡단보도,,N,,경상남도 통영시,055-650-5332,2021-01-21
63,,,,,,,,,경상남도 통영시 북신동 572-2,34.8564873,128.4232295,1,105,,ㅓ자형교차로,,N,,경상남도 통영시,055-650-5332,2021-01-21
64,,,,,,,,,경상남도 통영시 북신동 572-2,34.8564873,128.4232295,4,401,,거리(30m),,N,,경상남도 통영시,055-650-5332,2021-01-21
65,,,,,,,,,경상남도 통영시 북신동 582-3,34.8568816,128.4232979,2,224,50,최고속도제한,,N,,경상남도 통영시,055-650-5332,2021-01-21
66,,,,,,,,,경상남도 통영시 북신동 582-3,34.8568816,128.4232979,1,125,,신호기,,N,,경상남도 통영시,055-650-5332,2021-01-21
67,,,,,,,,,경상남도 통영시 북신동 582-3,34.8568816,128.4232979,4,401,,거리(150m),,N,,경상남도 통영시,055-650-5332,2021-01-21
68,,,,,,,,,경상남도 통영시 북신동 700,34.8577402,128.4228641,2,224,60,최고속도제한,,N,,경상남도 통영시,055-650-5332,2021-01-21
69,,,,,,,,,경상남도 통영시 북신동 700,34.8577402,128.4228641,4,427,50,해제,,N,,경상남도 통영시,055-650-5332,2021-01-21
70,,,,,,,,,경상남도 통영시 북신동 597-4,34.8579092,128.4221794,2,224,50,최고속도제한,,N,,경상남도 통영시,055-650-5332,2021-01-21
71,,,,,,,,,경상남도 통영시 북신동 597-4,34.8579092,128.4221794,3,329,,비보호좌회전,,N,,경상남도 통영시,055-650-5332,2021-01-21
72,,,,,,,,,경상남도 통영시 북신동 691,34.8581251,128.4223655,2,224,50,최고속도제한,,N,,경상남도 통영시,055-650-5332,2021-01-21
73,,,,,,,,,경상남도 통영시 무전동 273-5,34.854293,128.435319,3,329,,비보호좌회전,,,,경상남도 통영시,055-650-5332,2021-01-21
74,,,,,,,,,경상남도 통영시 무전동 273-5,34.854293,129.435319,2,214,,좌회전금지,,,,경상남도 통영시,055-650-5332,2021-01-21
75,,,,,,,,,경상남도 통영시 무전동 279-29,34.854066,128.434306,3,327,,일방통행,,,,경상남도 통영시,055-650-5332,2021-01-21
76,,,,,,,,,경상남도 통영시 무전동 338,34.853624,128.433725,2,218,,"정차,주차금지",,,,경상남도 통영시,055-650-5332,2021-01-21
77,,,,,,,,,경상남도 통영시 무전동 338,34.853624,128.433725,4,428,,견인지역,,,,경상남도 통영시,055-650-5332,2021-01-21
78,,,,,,,,,경상남도 통영시 무전동 335,34.853489,128.433802,2,226,,서행,,,,경상남도 통영시,055-650-5332,2021-01-21
79,,,,,,,,,경상남도 통영시 무전동 335,34.853489,128.433802,2,227,,일시정지,,,,경상남도 통영시,055-650-5332,2021-01-21
80,,,,,,,,,경상남도 통영시 무전동 343,34.853411,128.433437,2,213,,우회전금지,,,,경상남도 통영시,055-650-5332,2021-01-21
81,,,,,,,,,경상남도 통영시 무전동 343,34.853411,128.433437,2,226,,서행,,,,경상남도 통영시,055-650-5332,2021-01-21
82,,,,,,,,,경상남도 통영시 무전동 343,34.85343,128.433377,2,211,,진입금지,,,,경상남도 통영시,055-650-5332,2021-01-21
83,,,,,,,,,경상남도 통영시 무전동 356-147,34.853832,128.4329,2,214,,좌회전금지,,,,경상남도 통영시,055-650-5332,2021-01-21
84,,,,,,,,,경상남도 통영시 무전동 356-132,34.853969,128.432703,2,214,,좌회전금지,,,,경상남도 통영시,055-650-5332,2021-01-21
85,,,,,,,,,경상남도 통영시 무전동 356-145,34.854095,128.432554,2,214,,좌회전금지,,,,경상남도 통영시,055-650-5332,2021-01-21
86,,,,,,,,,경상남도 통영시 무전동 356-129,34.854285,128.43227,2,211,,진입금지,,,,경상남도 통영시,055-650-5332,2021-01-21
87,,,,,,,,,경상남도 통영시 무전동 356-131,34.854578,128.431988,2,218,,"정차,주차금지",,,,경상남도 통영시,055-650-5332,2021-01-21
88,,,,,,,,,경상남도 통영시 무전동 356-131,35.854578,129.431988,4,428,,견인지역,,,,경상남도 통영시,055-650-5332,2021-01-21
89,,,,,,,,,경상남도 통영시 북신동 12,34.855303,128.431188,2,226,,서행,,,,경상남도 통영시,055-650-5332,2021-01-21
90,,,,,,,,,경상남도 통영시 북신동 12,34.855778,128.430653,2,226,,서행,,,,경상남도 통영시,055-650-5332,2021-01-21
91,,,,,,,,,경상남도 통영시 무전동 374-38,34.856661,128.430427,2,213,,우회전금지,,,,경상남도 통영시,055-650-5332,2021-01-21
92,,,,,,,,,경상남도 통영시 무전동 381,34.856784,128.430594,2,211,,진입금지,,,,경상남도 통영시,055-650-5332,2021-01-21
93,,,,,,,,,경상남도 통영시 무전동 375-34,34.856988,128.4306,2,219,,주차금지,,,,경상남도 통영시,055-650-5332,2021-01-21
94,,,,,,,,,경상남도 통영시 무전동 375-34,35.856988,129.4306,4,428,,견인지역,,,,경상남도 통영시,055-650-5332,2021-01-21
95,,,,,,,,,경상남도 통영시 무전동 375-34,34.856836,128.430657,2,219,,주차금지,,,,경상남도 통영시,055-650-5332,2021-01-21
96,,,,,,,,,경상남도 통영시 무전동 375-34,35.856836,129.430657,2,226,,서행,,,,경상남도 통영시,055-650-5332,2021-01-21
97,,,,,,,,,경상남도 통영시 무전동 375-38,35.856565,128.430954,2,219,,주차금지,,,,경상남도 통영시,055-650-5332,2021-01-21
98,,,,,,,,,경상남도 통영시 무전동 381,34.856143,128.431327,2,226,,서행,,,,경상남도 통영시,055-650-5332,2021-01-21
99,,,,,,,,,경상남도 통영시 무전동 382,34.856083,128.431312,2,228,,양보,,,,경상남도 통영시,055-650-5332,2021-01-21
100,,,,,,,,,경상남도 통영시 무전동 378-6,34.85604,128.431525,2,226,,서행,,,,경상남도 통영시,055-650-5332,2021-01-21
101,,,,,,,,,경상남도 통영시 무전동 382,34.855788,128.431843,2,219,,주차금지,,,,경상남도 통영시,055-650-5332,2021-01-21
102,,,,,,,,,경상남도 통영시 무전동 382,35.855788,129.431843,2,226,,서행,,,,경상남도 통영시,055-650-5332,2021-01-21
103,,,,,,,,,경상남도 통영시 무전동 165-17,34.854917,128.432748,2,214,,좌회전금지,,,,경상남도 통영시,055-650-5332,2021-01-21
104,,,,,,,,,경상남도 통영시 무전동 357,34.854815,128.432869,3,326,,일방통행,,,,경상남도 통영시,055-650-5332,2021-01-21
105,,,,,,,,,경상남도 통영시 무전동 356-27,34.854932,128.432945,2,219,,주차금지,,,,경상남도 통영시,055-650-5332,2021-01-21
106,,,,,,,,,경상남도 통영시 무전동 356-27,35.854932,129.432945,4,428,,견인지역,,,,경상남도 통영시,055-650-5332,2021-01-21
107,,,,,,,,,경상남도 통영시 무전동 165-17,34.854856,128.433012,2,211,,진입금지,,,,경상남도 통영시,055-650-5332,2021-01-21
108,,,,,,,,,경상남도 통영시 무전동 165-17,35.854856,129.433012,2,218,,"정차,주차금지",,,,경상남도 통영시,055-650-5332,2021-01-21
109,,,,,,,,,경상남도 통영시 무전동 167-6,35.854785,129.433376,2,218,,"정차,주차금지",,,,경상남도 통영시,055-650-5332,2021-01-21
110,,,,,,,,,경상남도 통영시 무전동 278-2,34.854673,128.434099,2,214,,좌회전금지,,,,경상남도 통영시,055-650-5332,2021-01-21
111,,,,,,,,,경상남도 통영시 무전동 222-19,34.854581,128.43532,1,126,,미끄러운도로,,,,경상남도 통영시,055-650-5332,2021-01-21
112,,,,,,,,,경상남도 통영시 무전동 214-10,34.854665,128.435337,3,322,,횡단보도,,N,,경상남도 통영시,055-650-5332,2021-01-21
113,,,,,,,,,경상남도 통영시 무전동 214-10,34.854758,128.43534,1,102,,T자형교차로,,,,경상남도 통영시,055-650-5332,2021-01-21
114,,,,,,,,,경상남도 통영시 무전동 215-1,34.854881,128.435319,1,132,,횡단보도,,N,,경상남도 통영시,055-650-5332,2021-01-21
115,,,,,,,,,경상남도 통영시 무전동 244-18,34.855534,128.435418,1,132,,횡단보도,,N,,경상남도 통영시,055-650-5332,2021-01-21
116,,,,,,,,,경상남도 통영시 무전동 235-4,34.855785,128.435394,3,322,,횡단보도,,N,,경상남도 통영시,055-650-5332,2021-01-21
117,,,,,,,,,경상남도 통영시 무전동 236-6,34.855991,128.435382,2,218,,"정차,주차금지",,,,경상남도 통영시,055-650-5332,2021-01-21
118,,,,,,,,,경상남도 통영시 무전동 236-6,34.855991,128.435382,4,428,,견인지역,,,,경상남도 통영시,055-650-5332,2021-01-21
119,,,,,,,,,경상남도 통영시 무전동 236-6,34.855991,128.435382,1,112,,좌로굽은도로,,,,경상남도 통영시,055-650-5332,2021-01-21
120,,,,,,,,,경상남도 통영시 무전동 199-8,34.856142,128.435352,3,322,,횡단보도,,N,,경상남도 통영시,055-650-5332,2021-01-21
121,,,,,,,,,경상남도 통영시 무전동 979-73,34.856293,128.435101,3,322,,횡단보도,,N,,경상남도 통영시,055-650-5332,2021-01-21
122,,,,,,,,,경상남도 통영시 무전동 979-73,34.856293,128.435101,2,218,,"정차,주차금지",,,,경상남도 통영시,055-650-5332,2021-01-21
123,,,,,,,,,경상남도 통영시 무전동 977-22,34.856496,128.435025,2,218,,"정차,주차금지",,,,경상남도 통영시,055-650-5332,2021-01-21
124,,,,,,,,,경상남도 통영시 무전동 977-22,34.856496,128.435025,2,224,30,최고속도제한,,,,경상남도 통영시,055-650-5332,2021-01-21
125,,,,,,,,,경상남도 통영시 무전동 977-22,34.856487,128.435023,4,427,,해제(어린이보호),,,,경상남도 통영시,055-650-5332,2021-01-21
126,,,,,,,,,경상남도 통영시 무전동 977-20,34.756657,128.434708,1,129,,과속방지턱,,,,경상남도 통영시,055-650-5332,2021-01-21
127,,,,,,,,,경상남도 통영시 무전동 977-19,34.85676,128.434488,2,218,,"정차,주차금지",,,,경상남도 통영시,055-650-5332,2021-01-21
128,,,,,,,,,경상남도 통영시 무전동 977-19,34.85676,128.434488,4,428,,견인지역,,,,경상남도 통영시,055-650-5332,2021-01-21
129,,,,,,,,,경상남도 통영시 무전동 977-17,34.856954,128.434069,2,218,,"정차,주차금지",,,,경상남도 통영시,055-650-5332,2021-01-21
130,,,,,,,,,경상남도 통영시 무전동 977-17,34.856954,128.434069,4,428,,견인지역,,,,경상남도 통영시,055-650-5332,2021-01-21
131,,,,,,,,,경상남도 통영시 무전동 977-17,34.856954,128.434069,1,133,,어린이보호,,,,경상남도 통영시,055-650-5332,2021-01-21
132,,,,,,,,,경상남도 통영시 무전동 977-17,34.856954,128.434069,2,224,30,최고속도제한,,,,경상남도 통영시,055-650-5332,2021-01-21
133,,,,,,,,,경상남도 통영시 무전동 977-15,34.857073,128.433739,2,218,,"정차,주차금지",,,,경상남도 통영시,055-650-5332,2021-01-21
134,,,,,,,,,경상남도 통영시 무전동 977-15,34.857073,128.433739,4,428,,견인지역,,,,경상남도 통영시,055-650-5332,2021-01-21
135,,,,,,,,,경상남도 통영시 무전동 977-15,34.857073,128.433739,1,102,,T자형교차로,,,,경상남도 통영시,055-650-5332,2021-01-21
136,,,,,,,,,경상남도 통영시 무전동 977-15,34.857015,128.4333706,1,129,,과속방지턱,,,,경상남도 통영시,055-650-5332,2021-01-21
137,,,,,,,,,경상남도 통영시 무전동 977-15,34.857015,128.4333706,4,401,,거리(30m),,,,경상남도 통영시,055-650-5332,2021-01-21
138,,,,,,,,,경상남도 통영시 무전동 979-2,34.857071,128.433397,2,218,,"정차,주차금지",,,,경상남도 통영시,055-650-5332,2021-01-21
139,,,,,,,,,경상남도 통영시 무전동 979-2,34.857071,128.433397,2,224,30,최고속도제한,,,,경상남도 통영시,055-650-5332,2021-01-21
140,,,,,,,,,경상남도 통영시 무전동 977-35,34.857293,128.433268,3,324,,어린이보호,,,,경상남도 통영시,055-650-5332,2021-01-21
141,,,,,,,,,경상남도 통영시 무전동 979-72,34.857152,128.433098,3,324,,어린이보호,,,,경상남도 통영시,055-650-5332,2021-01-21
142,,,,,,,,,경상남도 통영시 북신동 32-14,34.853278,128.427461,3,329,,비보호,,,,경상남도 통영시,055-650-5332,2021-01-21
143,,,,,,,,,경상남도 통영시 북신동 32-14,34.853278,128.427461,2,218,,정차.주차 금지,,,,경상남도 통영시,055-650-5332,2021-01-21
144,,,,,,,,,경상남도 통영시 북신동 32-14,34.853278,128.427461,4,428,,견인 지역,,,,경상남도 통영시,055-650-5332,2021-01-21
145,,,,,,,,,경상남도 통영시 북신동 696,34.856657,128.427819,2,218,,정차.주차 금지,,,,경상남도 통영시,055-650-5332,2021-01-21
146,,,,,,,,,경상남도 통영시 북신동 696,34.856657,128.427819,4,428,,견인 지역,,,,경상남도 통영시,055-650-5332,2021-01-21
147,,,,,,,,,경상남도 통영시 북신동 696,34.857061,128.42793,1,140,,위험,,,,경상남도 통영시,055-650-5332,2021-01-21
148,,,,,,,,,경상남도 통영시 북신동 696,34.857061,128.42793,2,228,,양보,,,,경상남도 통영시,055-650-5332,2021-01-21
149,,,,,,,,,경상남도 통영시 북신동 683,34.856948,128.427825,2,218,,정차.주차 금지,,,,경상남도 통영시,055-650-5332,2021-01-21
150,,,,,,,,,경상남도 통영시 북신동 683,34.856948,128.427825,4,428,,견인 지역,,,,경상남도 통영시,055-650-5332,2021-01-21
151,,,,,,,,,경상남도 통영시 북신동 50-26,34.85345,128.429549,3,309,,직진 및 좌회전,,,,경상남도 통영시,055-650-5332,2021-01-21
152,,,,,,,,,경상남도 통영시 북신동 50-26,34.85345,128.429549,1,105,,ㅓ자형교차로,,,,경상남도 통영시,055-650-5332,2021-01-21
153,,,,,,,,,경상남도 통영시 북신동 56-143,34.853841,128.430226,3,328,,일방통행,,,,경상남도 통영시,055-650-5332,2021-01-21
154,,,,,,,,,경상남도 통영시 북신동 56-143,34.853853,128.43019,3,308,,직진 및 우회전,,,,경상남도 통영시,055-650-5332,2021-01-21
155,,,,,,,,,경상남도 통영시 북신동 56-143,34.853853,128.43019,1,104,,ㅏ자형교차로,,,,경상남도 통영시,055-650-5332,2021-01-21
156,,,,,,,,,경상남도 통영시 북신동 50-4,34.853809,128.429929,1,117,,내리막 경사(17%),,,,경상남도 통영시,055-650-5332,2021-01-21
157,,,,,,,,,경상남도 통영시 북신동 50-4,34.853809,128.429929,3,328,,일방통행,,,,경상남도 통영시,055-650-5332,2021-01-21
158,,,,,,,,,경상남도 통영시 북신동 50-4,34.853809,128.429929,2,214,,좌회전 금지 ,,,,경상남도 통영시,055-650-5332,2021-01-21
159,,,,,,,,,경상남도 통영시 북신동 56-23,34.853856,128.430395,2,214,,좌회전 금지 ,,,,경상남도 통영시,055-650-5332,2021-01-21
160,,,,,,,,,경상남도 통영시 북신동 56-23,34.853856,128.430395,1,102,,ㅜ자형교차로,,,,경상남도 통영시,055-650-5332,2021-01-21
161,,,,,,,,,경상남도 통영시 북신동 56-23,34.853906,128.430395,3,322,,횡단보도,,N,,경상남도 통영시,055-650-5332,2021-01-21
162,,,,,,,,,경상남도 통영시 북신동 56-138,34.85436,128.430917,3,322,,횡단보도,,N,,경상남도 통영시,055-650-5332,2021-01-21
163,,,,,,,,,경상남도 통영시 무전동 356-79,34.854342,128.431022,1,102,,ㅜ자형교차로,,,,경상남도 통영시,055-650-5332,2021-01-21
164,,,,,,,,,경상남도 통영시 무전동 356-79,34.854342,128.431022,3,310,,좌우회전,,,,경상남도 통영시,055-650-5332,2021-01-21
165,,,,,,,,,경상남도 통영시 무전동 356-79,34.854326,128.43103,2,211,,진입금지,,,,경상남도 통영시,055-650-5332,2021-01-21
166,,,,,,,,,경상남도 통영시 북신동 56-135,34.854461,128.430892,1,118,,도로폭이 좁아짐,,,,경상남도 통영시,055-650-5332,2021-01-21
167,,,,,,,,,경상남도 통영시 북신동 56-135,34.854461,128.430892,2,213,,우회전금지,,,,경상남도 통영시,055-650-5332,2021-01-21
168,,,,,,,,,경상남도 통영시 무전동 356-79,34.854278,128.431071,2,214,,좌회전금지,,,,경상남도 통영시,055-650-5332,2021-01-21
169,,,,,,,,,경상남도 통영시 북신동59-15,34.852851,128.430714,1,132,,횡단보도,,N,,경상남도 통영시,055-650-5332,2021-01-21
170,,,,,,,,,경상남도 통영시 북신동59-15,34.852851,128.430714,2,218,,정차.주차 금지,,,,경상남도 통영시,055-650-5332,2021-01-21
171,,,,,,,,,경상남도 통영시 북신동59-15,34.852851,128.430714,1,102,,ㅜ자형교차로,,,,경상남도 통영시,055-650-5332,2021-01-21
172,,,,,,,,,경상남도 통영시 북신동 54-2,34.852588,128.430462,3,322,,횡단보도,,N,,경상남도 통영시,055-650-5332,2021-01-21
173,,,,,,,,,경상남도 통영시 북신동 54-21,34.852524,128.430343,3,322,,횡단보도,,N,,경상남도 통영시,055-650-5332,2021-01-21
174,,,,,,,,,경상남도 통영시 북신동 67-6,34.852428,128.430422,2,218,,정차.주차 금지,,,,경상남도 통영시,055-650-5332,2021-01-21
175,,,,,,,,,경상남도 통영시 북신동 67-6,34.852428,128.430422,4,428,,견인지역,,,,경상남도 통영시,055-650-5332,2021-01-21
176,,,,,,,,,경상남도 통영시 북신동 66-1,34.852595,128.430008,3,322,,횡단보도,,N,,경상남도 통영시,055-650-5332,2021-01-21
177,,,,,,,,,경상남도 통영시 북신동 38-18,34.852791,128.429327,2,218,,정차.주차 금지,,,,경상남도 통영시,055-650-5332,2021-01-21
178,,,,,,,,,경상남도 통영시 북신동 38-18,34.852791,128.429327,4,428,,견인지역,,,,경상남도 통영시,055-650-5332,2021-01-21
179,,,,,,,,,경상남도 통영시 북신동 38-18,34.852791,128.429327,2,224,40,최고속도제한(40),,,,경상남도 통영시,055-650-5332,2021-01-21
180,,,,,,,,,경상남도 통영시 문화동 4-22,34.850342,128.424042,3,315,,"진행방향별통행구분(세병관,케이블카)",,,,경상남도 통영시,055-650-5332,2021-01-21
