위도,경도,name,cuisine,opening_hours,addr:full,amenity,phone,source,dog,leisure,takeaway,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
34.55254371,126.6042612,호산정,korean,Mo-Su 11:00-21:00,,restaurant,+82 61 534 8844,공공데이터포털,yes,,yes,,고산로,140,해남읍,,,
34.54080131,126.6124748,장수통닭,korean,Mo-Su 11:00-21:00,,restaurant,+82 61 536 4410,공공데이터포털,no,,yes,,고산로,295,해남읍,,,
34.57060541,126.5992629,천일관,korean,,,restaurant,+82 61 535 1001,공공데이터포털,yes,playground,yes,,읍내길,20-8,해남읍,,,
34.29833249,126.5286603,어부횟집,korean,Mo-Su 08:00-20:00,,restaurant,+82 61 535 4779,공공데이터포털,no,,yes,,땅끝마을길,70,송지면,,,
34.37028914,126.5206098,중앙식당,korean,Mo-Su 09:00-20:00,,restaurant,+82 61 533 2146,공공데이터포털,no,,no,,산정1길,69-1,송지면,,,
34.45971518,126.5540028,현산,korean,Mo-Su 11:00-20:00,,restaurant,+82 61 532 7540,공공데이터포털,no,,yes,,현산북평로,87,현산면,,,
34.5753994,126.5951938,명송횟집,korean,Mo-Su 11:00-22:00,,restaurant,+82 61 534 1073,공공데이터포털,no,,yes,,북부순환로,155,해남읍,,,
34.57219373,126.6002062,이심전심,korean,Mo-Su 5:00-23:00,,restaurant,+82 61 537 2727,공공데이터포털,no,,yes,,수성4길,22,해남읍,,,
34.57193586,126.6005157,만장일치,korean,Mo-Su 10:00-22:00,,restaurant,+82 61 533 0118,공공데이터포털,no,,yes,,수성4길,21,해남읍,,,
34.57131199,126.6003517,영일만,korean,Mo-Su 2:00-23:00,,restaurant,+82 61 536 9588,공공데이터포털,no,,yes,,읍내길,39,해남읍,,,
34.57468288,126.5987369,선비골,korean,Mo-Su 15:00-24:00,,restaurant,+82 61 534 2633,공공데이터포털,no,,yes,,군청길,31-1,해남읍,,,
34.56912495,126.607755,하마식당,korean,Mo-Su 12:00-23:00,,restaurant,+82 61 537 1963,공공데이터포털,no,,yes,,교육청길,16-8,해남읍,,,
34.56683996,126.6081635,어부밥상,korean,,,restaurant,+82 61 535 2115,공공데이터포털,no,,no,,교육청길,77,해남읍,,,
34.5696114,126.606145,은혜식당,korean,Mo-Su 10:00-22:00,,restaurant,+82 61 532 8877,공공데이터포털,no,,yes,,남부순환로,18-2,해남읍,,,
34.57354835,126.6012079,청솔복집,korean,Mo-Su 10:00-22:00,,restaurant,+82 61 535 0186,공공데이터포털,no,,yes,,북부순환로,97,해남읍,,,
34.56873127,126.6064321,유락횟집,korean,,,restaurant,+82 61 534 1449,공공데이터포털,no,,yes,,남부순환로,25,해남읍,,,
34.57308751,126.6026869,이학식당,korean,Mo-Su 12:00-22:00,,restaurant,+82 61 532 0203,공공데이터포털,no,,yes,,북부순환로,83,해남읍,,,
34.29932484,126.52722,바다동산,korean,Mo-Su 9:00-21:00,,restaurant,+82 61 532 3004,공공데이터포털,no,,yes,,땅끝마을길,52,송지면,,,
34.29750816,126.528327,맴섬횟집,korean,Mo-Su 9:00-20:00,,restaurant,+82 61 533 3561,공공데이터포털,no,,yes,,땅끝마을길,60-18,송지면,,,
34.66719643,126.3281646,산호촌닭오리,korean,Mo-Su 10:00-22:00,,restaurant,,공공데이터포털,no,,yes,,청용길,18,화원면,,,
34.50528155,126.6114298,태양정,korean,Mo-Su 9:00-21:00,,restaurant,+82 61 535 4751,공공데이터포털,yes,,yes,,매정길,53,삼산면,,,
34.49523371,126.6172905,태웅,korean,Mo-Su 11:00-21:00,,restaurant,+82 61 533 5848,공공데이터포털,no,,yes,,대흥사길,174-2,삼산면,,,
34.49562941,126.6172078,논두렁쌈밥집,korean,Mo-Su 08:00-20:00,,restaurant,+82 61 533 0346,공공데이터포털,no,,no,,대흥사길,170-2,삼산면,,,
34.49676305,126.6170149,물레방아,korean,Mo-Su 10:00-20:00,,restaurant,+82 61 536 3708,공공데이터포털,no,,no,,대흥사길,158-3,삼산면,,,
34.49647464,126.6170196,별미쌈밥,korean,Mo-Su 11:00-21:00,,restaurant,+82 61 535 2688,공공데이터포털,no,,no,,대흥사길,158-6,삼산면,,,
34.49699776,126.6170437,한오백년,korean,Mo-Su 07:00-20:00,,restaurant,+82 61 534 5633,공공데이터포털,no,,no,,대흥사길,158,삼산면,,,
34.49692553,126.617034,보리향기,korean,Mo-Su 11:00-20:00,,restaurant,+82 61 534 3376,공공데이터포털,no,,no,,대흥사길,158-1,삼산면,,,
34.50927197,126.6103727,달동네보리밥,korean,Mo-Su 9:00-21:00,,restaurant,+82 61 532 3667,공공데이터포털,yes,playground,yes,,고산로,656,삼산면,,,
34.29864522,126.5276772,전라도한정식,korean,,,restaurant,+82 61 535 3814,공공데이터포털,no,,yes,,땅끝마을길,58,송지면,,,
34.58076597,126.5814147,진일관,korean,Mo-Su 11:00-21:00,,restaurant,+82 61 535 5500,공공데이터포털,no,,no,,명량로,3009,해남읍,,,
34.57403697,126.5935167,한성정,korean,Mo-Su 00:00-14:00,,restaurant,+82 61 533 1060,공공데이터포털,no,,no,,서림길,8,해남읍,,,
34.57401123,126.591283,땅끝기와집,korean,Mo-Su 11:00-21:00,,restaurant,+82 61 534 2322,공공데이터포털,no,,no,,법원길,33,해남읍,,,
34.57114315,126.599777,거빈식당,korean,Mo-Su 11:00-20:00,,restaurant,+82 61 536 6655,공공데이터포털,no,,no,,읍내길,26,해남읍,,,
34.57769936,126.3079978,현대식당,korean,,,restaurant,+82 61 532 1344,공공데이터포털,yes,,yes,,관광레저로,85-41,문내면,,,
34.56541005,126.5966366,장성한우촌,korean,Mo-Su 9:00-21:00,,restaurant,+82 61 535 9393,공공데이터포털,no,,yes,,남부순환로,140,해남읍,,,
34.57570608,126.5975645,성내식당,korean,,,restaurant,+82 61 533 4774,공공데이터포털,no,,yes,,명문길,19-1,해남읍,,,
34.40553316,126.6280004,진미,korean,Mo-Su 9:00-20:00,,restaurant,+82 61 533 0818,공공데이터포털,no,,yes,,볼무당길,1,북평면,,,
34.40920771,126.6244817,새오복식당,korean,Mo-Su 9:00-21:00,,restaurant,+82 61 535 3024,공공데이터포털,no,,no,,현산북평로,1129-1,북평면,,,
34.57527137,126.6493928,송학정,korean,,,restaurant,+82 61 532 9245,공공데이터포털,no,,no,,송운길,7,옥천면,,,
34.41641893,126.5887943,월송한우촌,korean,Mo-Su 9:00-22:00,,restaurant,,공공데이터포털,no,playground,no,,시등리길,42,현산면,,,
34.41261847,126.5836479,매화식당,korean,Mo-Su 7:00-21:00,,restaurant,+82 61 536 9595,공공데이터포털,yes,,yes,,달마로,876,현산면,,,
34.66379475,126.3265965,미가,korean,Mo-Su 10:00-22:00,,restaurant,+82 61 533 6022,공공데이터포털,no,,yes,,신덕호길,25,화원면,,,
34.57886265,126.5914301,수남숯불구이,korean,Mo-Su 17:00-22:00,,restaurant,+82 61 537 9192,공공데이터포털,no,,yes,,구교3길,29,해남읍,,,
34.57503765,126.5966603,고기생각,korean,,,restaurant,+82 61 537 1661,공공데이터포털,no,,no,,북부순환로,141-1,해남읍,,,
34.5734466,126.6033456,신화한우장터,korean,Mo-Su 10:00-22:00,,restaurant,+82 61 535 4561,공공데이터포털,no,,yes,,북부순환로,78,해남읍,,,
34.57265581,126.5980516,농장의아침,korean,,,restaurant,+82 61 537 6160,공공데이터포털,no,,no,,군청길,9,해남읍,,,
34.57062659,126.6074248,한우일번지,korean,Mo-Su 10:00-21:00,,restaurant,+82 61 536 4481,공공데이터포털,no,,no,,해남로,2,해남읍,,,
34.5665743,126.5951896,산화,korean,Mo-Su 08:00-21:00,,restaurant,+82 61 536 4561,공공데이터포털,no,,no,,중앙2로,135-1,해남읍,,,
34.56859729,126.6010183,수미정육식당,korean,,,restaurant,+82 61 536 4382,공공데이터포털,no,,no,,행운길,2,해남읍,,,
34.56575716,126.605697,오대감한우직판장식육식당,korean,,,restaurant,+82 61 536 2700,공공데이터포털,no,,yes,,영빈로,49,해남읍,,,
34.56118151,126.5794042,해초한우정,korean,,,restaurant,+82 61 536 3554,공공데이터포털,no,,yes,,납부순환로,42,해남읍,,,
34.57131686,126.6007767,한우마당,korean,Mo-Su 11:00-20:00,,restaurant,+82 61 533 7667,공공데이터포털,no,,yes,,천변2길,35,해남읍,,,
34.5660496,126.6052563,고기나라,korean,Mo-Su 10:00-22:00,,restaurant,+82 61 536 2223,공공데이터포털,no,,yes,,남부순환로,59,해남읍,,,
34.49677671,126.6182232,호남식당,korean,Mo-Su 08:00-22:00,,restaurant,+82 61 534 5500,공공데이터포털,no,,yes,,대흥사길,143,삼산면,,,
34.49748221,126.6200299,해남식당,korean,Mo-Su 08:00-20:00,,restaurant,+82 61 534 5584,공공데이터포털,no,,no,,대흥사길,98-2,삼산면,,,
