식당위도,식당경도,name,cuisine,takeaway,reservation,phone,addr:full,amenity,capacity,internet_access,access:disabled,website,source,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
34.7654764,127.655407,닭익는마을 전남여천점,chicken,yes,yes,+82 61 691 8844,,restaurant,15,wlan,,https://chickenplace.modoo.at/,공공데이터포털,2020-10-18 20:33,,선원3길,6,,,,
34.6470571,126.783875,청자골종가집,korean,no,yes,+82 61 433 1100,,restaurant,200,wlan,,http://www.foodsidae.com/chungjagol,공공데이터포털,2020-11-04 17:42,,종합운동장길,106-11,군동면,,,
34.7142358,126.8155433,수인관,meat,yes,yes,+82 61 432 1027,,restaurant,,wlan,yes,,공공데이터포털,2020-11-17 14:46,,병영성로,107-10,병영면,,,
34.576273,126.5948533,청석골,korean,yes,yes,+82 61 536 0039,,restaurant,80,wlan,,,공공데이터포털,2020-10-26 10:56,,북부순환로,166,해남읍,청석골냉,,
34.3041228,126.7174186,만남의광장,chicken,yes,yes,+82 61 554 3153,,restaurant,90,wlan,,,공공데이터포털,2020-11-16 9:46,,청해진서로,414,완도읍,,,
34.315422,126.7593019,사오정 식당,fish,yes,yes,+82 61 553 4050,,restaurant,46,wlan,,,공공데이터포털,2020-11-16 9:38,,장보고대로,315,완도읍,,,
34.3255504,126.74916,동서지간,korean,yes,yes,+82 61 555 9999,,restaurant,30,wlan,,,공공데이터포털,2020-11-09 14:56,,해변공원로124번길,15,완도읍,,,
34.5430332,126.6107875,진솔통닭,chicken,yes,yes,+82 61 536 4643,,restaurant,150,wlan,,,공공데이터포털,2020-10-26 10:15,,고산로,262,해남읍,,,
34.96675,127.757247,나루터횟집,fish,yes,yes,+82 61 772 2217,,restaurant,24,wlan,,,공공데이터포털,2020-10-19 14:21,,망덕길,143,진월면,,,
34.8895737,126.692675,신월착한고기,meat,yes,yes,+82 61 472 9039,,restaurant,80,wlan,yes,,공공데이터포털,2020-10-14 18:40,,간은정로,24,신북면,,,
34.3140305,126.7578395,한국관,korean,yes,yes,+82 61 552 1215,,restaurant,68,wlan,,,공공데이터포털,2020-11-16 9:33,,군내3번길,24-6,완도읍,,,
34.323218,126.7477719,대복횟집,fish,yes,yes,+82 61 554 3341,,restaurant,60,wlan,,http://daebock.modoo.at,공공데이터포털,2020-11-10 9:29,,해변공원로,109-1,완도읍,,,
34.9372896,127.7021983,소문한정식,korean,no,yes,+82 61 794 5667,,restaurant,,wlan,,,공공데이터포털,2020-10-19 14:28,,눈소1길,52-1,,,,
34.7437319,127.7504924,연화정,korean,no,yes,+82 61 663 8888,,restaurant,,wlan,,,공공데이터포털,2020-10-14 13:13,,오동도로,61-20,,,,
34.639117,126.767235,해태식당,korean,no,yes,+82 61 434 2486,,restaurant,100,wlan,,,공공데이터포털,2020-10-20 18:13,,서성안길,6,강진읍,,,
34.495829,126.61717,전주식당,korean,no,yes,+82 61 532 7696,,restaurant,60,wlan,yes,,공공데이터포털,2020-10-26 11:26,,대흥사길,170,삼산면,,,
34.7128587,126.8168645,설성식당,korean,yes,yes,+82 61 433 1282,,restaurant,80,no,,,공공데이터포털,2020-11-12 17:26,,병영성로,92,병영면,,,
34.9692245,127.5795446,시내식당,meat,yes,yes,+82 61 763 0360,,restaurant,48,wlan,yes,,공공데이터포털,2020-10-12 21:49,,서천1길,38,광양읍,,,
34.7387761,127.7320581,구백식당,fish,yes,yes,+82 61 662 0900,,restaurant,,no,,,공공데이터포털,2020-10-28 22:34,,여객선터미널길,18,,,,
34.3169804,126.7521906,추섬활어회식당,fish,yes,yes,+82 61 554 9431,,restaurant,88,wlan,,,공공데이터포털,2020-11-16 9:54,,해변공원로,27,완도읍,,,
34.7433881,127.7491738,삼학집,fish,yes,yes,+82 61 662 0261,,restaurant,,wlan,,https://www.instagram.com/samhak_yeosu/,공공데이터포털,2020-11-03 10:46,,오동도로,66,,,,
34.9621542,127.7248152,중앙칡냉면&왕솥뚜껑삼겹살,korean,yes,yes,+82 61 793 7938,,restaurant,28,wlan,,,공공데이터포털,2020-11-13 13:42,,광영로,36,,,,
34.7725606,127.6428443,킹콩부대찌개 여수여천점,korean,yes,yes,+82 61 692 7070,,restaurant,,wlan,,http://kingkongbudae.co.kr/,공공데이터포털,2020-11-18 16:05,,화산로,39-1,,,1,
34.9768604,127.579914,꿀돼지,meat,no,yes,+82 61 763 3233,,restaurant,36,wlan,,http://0617633233.tshome.co.kr/,공공데이터포털,2020-10-12 21:26,,매천로,764,광양읍,,,
34.7405837,127.7334473,일조오리탕,meat,yes,yes,+82 61 666 1780,,restaurant,16,no,,,공공데이터포털,2020-10-28 9:20,,통제영2길,8-12,,,,
34.6385184,126.7637686,한국관,korean,yes,yes,+82 61 434 8400,,restaurant,93,wlan,,,공공데이터포털,2020-10-21 11:22,,탐진로,63,강진읍,,,
34.9761113,127.5856524,대한식당,meat,yes,yes,+82 61 763 0095,,restaurant,8,wlan,,,공공데이터포털,2020-11-03 14:02,,매일시장길,12-15,광양읍,,,
34.9096467,127.3389455,녹수식당,korean,no,yes,+82 61 754 6504,,restaurant,,wlan,,,공공데이터포털,2020-11-24 17:21,,읍성로,406,낙안면,,,
34.7576858,127.657182,환희,fish,yes,yes,+82 61 691 2724,,restaurant,80,no,,,공공데이터포털,2020-11-09 12:37,,시청서3길,21-1,,,,
34.566033,126.5958221,정성한우촌,meat,yes,yes,+82 61 535 9393,,restaurant,,wlan,,,공공데이터포털,2020-10-26 9:37,,남부순환로,146-7,해남읍,,,
35.0690952,127.5035135,산수정산장,chicken,yes,yes,+82 61 755 9933,,restaurant,280,wlan,,,공공데이터포털,2020-11-19 22:23,,청소길,442,서면,,,
34.9203591,127.4819037,벽오동,korean,no,yes,+82 61 743 5569,,restaurant,,wlan,,,공공데이터포털,2020-10-15 18:10,,상사호길,73,,,,
34.3163653,126.7503313,개성순두부전문점,korean,yes,yes,+82 61 554 8484,,restaurant,150,wlan,,,공공데이터포털,2020-10-29 10:06,,개포로,19,완도읍,,,
34.773629,127.7459568,유자가든,korean,yes,yes,+82 61 654 5100,,restaurant,24,wlan,,,공공데이터포털,2020-10-29 12:39,,망양로,208,,,,
34.5512866,126.6093809,고수골가든,chicken,no,yes,+82 61 536 3525,,restaurant,60,wlan,,,공공데이터포털,2020-10-28 10:46,,고산로,159-41,해남읍,,,
34.7924206,127.6469297,삼대농원,chicken,yes,yes,+82 61 683 8879,,restaurant,100,wlan,yes,,공공데이터포털,2020-11-18 9:26,,오산길,18,,,,
34.7396461,127.7341051,복춘식당,korean,no,yes,+82 61 662 5260,,restaurant,18,wlan,,,공공데이터포털,2020-11-13 18:43,,교동남1길,5-8,,,,
34.7739501,127.6477256,여수초밥,sushi,yes,yes,+82 61 686 1502,,restaurant,,wlan,,,공공데이터포털,2020-11-08 22:31,,화산로,88,,,,
34.9598304,127.7240814,울금오리,meat,yes,yes,,,restaurant,,no,,,공공데이터포털,2020-10-14 15:13,,금영로,50-1,,,,
34.6390997,126.7736317,모란한정식,korean,no,yes,+82 61 433 2211,,restaurant,36,wlan,yes,http://www.instagram.com/moran_kr.food_/,공공데이터포털,2020-10-19 9:23,,오감길,2,강진읍,,,9
34.9354888,127.7231413,새터코다리,korean,yes,yes,+82 61 795 1300,,restaurant,36,wlan,,,공공데이터포털,2020-10-19 10:54,,금호로,26,,,,
34.7328879,126.7113095,범바위삼계탕,korean,yes,yes,+82 61 434 1911,,restaurant,12,no,,,공공데이터포털,2020-11-06 14:53,,백운로,1-30,성전면,,,
35.0560886,127.4969269,한솔가든,meat,yes,yes,+82 61 755 3785,,restaurant,320,wlan,,,공공데이터포털,2020-11-20 17:06,,청소길,387,서면,,,
34.5761948,126.5945381,소망식당,korean,yes,yes,+82 61 533 3456,,restaurant,,wlan,,http://blog.naver.com/kate6412/220376760650,공공데이터포털,2020-10-14 16:17,,구교2길,2,해남읍,,,
34.8517654,127.4914875,전망대가든,fish,yes,yes,+82 61 742 9496,,restaurant,60,no,,,공공데이터포털,2020-11-24 18:50,,일출길,261,별량면,,,
34.8273108,127.6855553,그집소머리곰탕,korean,yes,yes,+82 61 685 1052,,restaurant,,no,,,공공데이터포털,2020-11-11 12:55,,중흥3로,25-17,,,,
34.540968,126.6121856,해물밭에 노는 닭,korean,yes,yes,+82 61 533 5311,,restaurant,80,wlan,yes,,공공데이터포털,2020-10-20 13:37,,고산로,291,해남읍,,,
34.7775899,127.6505135,여수부부횟집,fish,yes,yes,+82 61 685 1900,,restaurant,12,wlan,,http://www.ok114.co.kr/0616851900,공공데이터포털,2020-10-30 22:01,,무선로,203,,,,
34.5759743,126.5894486,만재가든,korean,no,yes,+82 61 533 6222,,restaurant,100,wlan,yes,,공공데이터포털,2020-10-26 10:43,,중앙1로,356,해남읍,,,
34.9623528,127.4849457,남가참숯불구이,meat,yes,yes,+82 61 752 2654,,restaurant,24,no,,,공공데이터포털,2020-11-12 16:11,,북문길,137,나동,,1,
34.9698245,127.5890804,유정가든,korean,yes,yes,+82 61 763 1716,,restaurant,44,no,,,공공데이터포털,2020-10-12 21:57,,인서중앙길,66,광양읍,,,
34.7718274,127.63895,국가대표 무선점,korean,yes,yes,+82 61 681 1191,,restaurant,,wlan,,http://gukgaa.cityfood.co.kr/,공공데이터포털,2020-10-25 20:31,,덕양로,144,,,,
34.7419275,127.7322047,만나흑돼지,korean,yes,yes,+82 61 665 3399,,restaurant,,wlan,,,공공데이터포털,2020-12-29 15:46,,충무오거리길,13-1,,,,
34.7731397,127.6456835,일성정,korean,yes,yes,+82 61 683 9831,,restaurant,36,wlan,,,공공데이터포털,2020-11-09 0:28,,화산로,68,,,,
34.5684155,126.6240143,소띳기,korean,yes,yes,+82 61 533 5580,,restaurant,,wlan,yes,,공공데이터포털,2020-10-30 16:58,,해남로,160-12,해남읍,,,
34.7462505,127.672411,통뼈마루감자탕 부대찌개,korean,yes,yes,+82 61 684 4200,,restaurant,40,wlan,,,공공데이터포털,2020-11-02 16:10,,예울마루로,35-42,,,2,
34.6943166,126.3628054,가마솥나주곰탕,korean,yes,yes,+82 61 537 5205,,restaurant,40,no,,,공공데이터포털,2020-10-19 10:58,,관광레저로,1737,산이면,,,
34.7609942,127.6607619,섬마을장어구이,fish,yes,yes,+82 61 682 9223,,restaurant,,wlan,yes,,공공데이터포털,2020-11-12 12:56,,도원로,268,학동,,,
34.9623005,127.5784702,백운뜰,korean,yes,yes,+82 61 763 9292,,restaurant,,wlan,yes,,공공데이터포털,2020-11-11 16:53,,인덕로,877,광양읍,,,
34.963654,127.57637,미송,meat,yes,yes,+82 61 763 7932,,restaurant,64,wlan,,,공공데이터포털,2020-11-12 15:51,,회암길,21-11,광양읍,,,
34.7415532,127.7316431,물망초설렁탕,korean,yes,yes,+82 61 662 5233,,restaurant,,wlan,,,공공데이터포털,2020-11-12 9:19,,충무로,54-7,,,,
34.6446583,126.8137139,방가방가든 군동식당,korean,yes,yes,+82 61 434 1794,,restaurant,60,wlan,,,공공데이터포털,2020-11-04 18:35,,진흥로,303,군동면,,,
34.7580548,127.6719252,콩시루 전국본점,korean,yes,yes,+82 80 691 6005,,restaurant,12,wlan,yes,http://www.kongsiru.co.kr/,공공데이터포털,2020-10-15 9:07,,망마로,85-1,,,,
34.957525,127.52037,향토정,korean,yes,yes,+82 61 726 6692,,restaurant,,wlan,,http://www.xn--2y5bn8ogkd.com/,공공데이터포털,2020-10-14 16:48,,남신월4길,13-26,,,,
34.3179022,126.7503564,달해도,fish,yes,yes,+82 61 554 7053,,restaurant,80,wlan,,,공공데이터포털,2020-11-05 18:09,,해변공원로,45-1,완도읍,,,
34.757793,127.666787,담소정,beef,yes,yes,+82 61 681 1551,,restaurant,12,wlan,,,공공데이터포털,2020-11-02 14:59,,선소로,57,,,,
34.7397641,127.7348731,풍산식당,fish,yes,yes,+82 61 662 8697,,restaurant,,wlan,,,공공데이터포털,2020-10-18 17:22,,중앙로,72-26,,,,
34.5525666,126.6042607,호산정,korean,no,yes,+82 61 534 8844,,restaurant,56,wlan,,,공공데이터포털,2020-10-26 11:31,,고산로,140,해남읍,,,
34.9518486,127.5166307,해담국,korean,yes,yes,+82 61 724 5512,,restaurant,,wlan,,,공공데이터포털,2020-11-16 14:33,,충효로,148,,,1,
34.9466472,127.5245996,시모노세키참치,fish,yes,yes,+82 61 721 7937,,restaurant,,wlan,,https://djawl6134.wixsite.com/061-721-7937,공공데이터포털,2020-12-29 15:38,,하대석길,47,,,,
34.759144,127.6612941,남경전복,fish,yes,yes,+82 61 686 6653,,restaurant,,wlan,yes,,공공데이터포털,2020-11-09 11:00,,시청서4길,54,,,,
34.76045,127.660173,진미꽃게탕,korean,yes,yes,+82 61 684 1747,,restaurant,,wlan,,,공공데이터포털,2020-11-11 12:47,,시청서1길,8-12,,,,
34.9470625,127.5265279,제주갈치고등어전문점,fish,yes,yes,+82 61 722 2767,,restaurant,48,wlan,,,공공데이터포털,2020-11-16 15:12,,대석3길,36,,,,
34.7456379,127.6543791,항도횟집,fish,no,yes,+82 61 684 0649,,restaurant,16,wlan,yes,,공공데이터포털,2020-11-11 9:55,,소호로,488-1,,,,
34.5167732,126.7211131,다산기사식당,korean,yes,yes,+82 61 433 3383,,restaurant,,wlan,,,공공데이터포털,2020-11-10 18:00,,백도로,1575,신전면,,,
34.946675,127.5255389,최가네흑두부,korean,yes,yes,+82 61 724 5123,,restaurant,24,wlan,,,공공데이터포털,2020-10-21 12:26,,대석3길,9,,,,
34.7369407,127.7329181,자매식당,korean,yes,yes,+82 61 644 7338,,restaurant,56,wlan,,http://6447338.modoo.at,공공데이터포털,2020-10-29 9:27,,남산로,60-31,,,2,
34.7525871,127.7029278,금수산,beef,no,yes,+82 61 651 8127,,restaurant,24,wlan,,http://www.ok114.co.kr/0616518127,공공데이터포털,2020-10-14 11:23,,여문문화길,43,,,,
34.9348456,127.7001254,모던차이나,chinese,yes,yes,+82 61 793 5995,,restaurant,,wlan,yes,,공공데이터포털,2020-10-12 12:56,,발섬6길,32-1,,,1,
34.7516416,127.7080069,텃골수육국밥 본점,korean,yes,no,+82 61 654 0310,,restaurant,24,wlan,,,공공데이터포털,2020-10-23 14:22,,여서동2길,9-1,,,,
34.9775672,127.5871079,금목서,meat,yes,yes,+82 61 761 3300,,restaurant,,wlan,yes,http://www.kummokseo.modoo.at,공공데이터포털,2020-11-05 14:36,,읍성길,199,광양읍,,,
34.991974,127.3428949,수정식당,korean,yes,yes,+82 61 753 7100,,restaurant,,wlan,,,공공데이터포털,2020-11-23 17:58,,승암교길,17,승주읍,,,
34.9830563,127.5180524,순천IC한우촌,beef,yes,yes,+82 61 755 4201,,restaurant,180,wlan,,,공공데이터포털,2020-11-23 17:13,,백강로,574,서면,,,
34.9702492,127.5790042,광양삼대불고기집,beef,yes,yes,+82 61 762 9250,,restaurant,16,no,yes,,공공데이터포털,2020-10-12 17:27,,서천1길,52,광양읍,,,
34.3167034,126.7485042,외갓집밥상,korean,yes,yes,+82 61 555 6500,,restaurant,20,wlan,,,공공데이터포털,2020-11-17 9:48,,장보고대로,212,완도읍,,,
34.9387987,127.708668,강부자추어탕,korean,yes,yes,+82 61 792 1230,,restaurant,,wlan,,,공공데이터포털,2020-11-09 15:23,,눈소로,77,,,,
34.9296669,127.4901273,청향당자연밥상,korean,no,yes,+82 61 743 5445,,restaurant,20,wlan,yes,,공공데이터포털,2020-10-15 18:01,,우석로,7,,,,
34.9229846,127.49655,명품관순천만점,beef,yes,yes,+82 61 751 3700,,restaurant,64,wlan,yes,,공공데이터포털,2020-10-16 17:50,,순천만길,67,,,,
34.6387769,126.770518,강남회관,korean,yes,yes,+82 61 433 1088,,restaurant,140,wlan,,http://www.ctjournal.kr/home/gangnam/,공공데이터포털,2020-10-30 11:58,,보은로2길,23,강진읍,,,
34.8926288,127.5089321,강변장어,fish,yes,yes,+82 61 742 4233,,restaurant,68,wlan,,,공공데이터포털,2020-11-21 13:00,,순천만길,436,,,,
34.9403897,127.4969964,싱싱오리,meat,yes,yes,+82 61 741 5001,,restaurant,12,no,,,공공데이터포털,2020-10-08 15:57,,풍덕1길,14,,,,
34.6390208,126.7726396,암되야지식육식당,meat,yes,yes,+82 61 434 9944,,restaurant,,wlan,,,공공데이터포털,2020-10-16 17:40,,보은로4길,6,강진읍,,,
34.6399084,126.7712129,하나로식당,meat,yes,yes,+82 61 434 0078,,restaurant,50,wlan,,,공공데이터포털,2020-10-21 16:50,,보은로3길,29,강진읍,,,
34.6394427,126.7745496,예향,korean,no,yes,+82 61 433 5777,,restaurant,130,wlan,yes,http://yehyang.modoo.at/,공공데이터포털,2020-11-18 10:36,,오감길,2,강진읍,,,
34.6861639,126.7135144,시골마당,korean,yes,yes,+82 61 433 9955,,restaurant,,wlan,,,공공데이터포털,2020-11-05 17:39,,송계로,829,성전면,,,
34.7517657,127.7011105,조선제일국밥 여문점,korean,yes,yes,+82 61 654 9797,,restaurant,,wlan,,,공공데이터포털,2020-10-14 13:14,,여문문화길,62,,,,
34.9306763,127.6977375,원할머니 보쌈족발 광양중마점,korean,yes,yes,+82 61 792 5355,,restaurant,,wlan,,http://bossam.co.kr/,공공데이터포털,2020-10-28 14:47,,중마중앙로,5,,,1,
34.7565392,127.7024182,다다한정식,korean,yes,yes,+82 61 652 0061,,restaurant,60,wlan,,http://www.dadaseafood.com,공공데이터포털,2020-10-15 10:32,,여문1로,89,,,,
34.7714747,127.7038384,계동선어전문,fish,yes,yes,+82 61 654 8134,,restaurant,72,wlan,,,공공데이터포털,2020-11-03 14:10,,양지3길,12,,,,
34.7720444,127.7028381,뚝밥,korean,yes,yes,+82 61 651 0820,,restaurant,,wlan,,,공공데이터포털,2020-10-23 15:47,,대학로,24,,,,
34.7603958,127.6612795,스시명가 경복궁,sushi,yes,yes,+82 61 683 5604,,restaurant,,wlan,yes,http://www.gyeong.co.kr/,공공데이터포털,2020-11-12 12:48,,시청서1길,10,,,,
34.977743,127.4660566,어우림,korean,no,yes,+82 61 752 3480,,restaurant,,wlan,,http://cafe.daum.net/ourimgarden,공공데이터포털,2020-10-19 13:05,,조비1길,7,,,,
34.9494527,127.4900678,효동회관,beef,yes,yes,+82 61 745 5559,,restaurant,12,wlan,,,공공데이터포털,2020-10-19 16:54,,장천2길,20-14,,,,
34.638243,126.7697451,등뼈감자탕,korean,yes,yes,+82 61 434 9991,,restaurant,90,wlan,,http://www.thegamjatang.co.kr/,공공데이터포털,2020-10-21 16:05,,보은로1길,22,강진읍,,,
34.7760083,127.650775,향촌한우,beef,yes,yes,+82 61 685 8243,,restaurant,40,wlan,yes,,공공데이터포털,2020-10-18 21:04,,무선6길,42-6,,,,
34.9674166,127.4846172,맘스터치 순천대점,chicken,yes,yes,+82 61 754 9282,,restaurant,,wlan,,http://momstouch.co.kr/,공공데이터포털,2020-11-17 14:47,,중앙로,242-1,,,2,
34.9372515,127.7017488,진국밥2호점,korean,yes,yes,+82 61 794 0080,,restaurant,16,wlan,,,공공데이터포털,2020-10-14 14:07,,눈소1길,56,,,,
34.8889349,127.5685003,율촌정육식당,meat,yes,yes,+82 61 725 3477,,restaurant,,wlan,,http://www.instagram.com/eunsug342,공공데이터포털,2020-10-16 17:16,,율촌로,223,해룡면,,,
34.9513299,127.51579,조선화로집 순천점,meat,yes,yes,+82 61 741 7733,,restaurant,,wlan,,,공공데이터포털,2020-11-06 10:55,,충효로,139,,,,
34.9743691,127.4951473,봉화숯불갈비&구이,meat,yes,yes,+82 61 755 9266,,restaurant,28,wlan,,,공공데이터포털,2020-11-18 11:41,,삼산로,117,,,,
34.5793529,126.6480037,청수민물장어(해남점),fish,yes,yes,+82 61 534 8484,,restaurant,20,no,,,공공데이터포털,2020-10-23 16:31,,해남로,542,옥천면,,,
34.9262028,127.6989997,화스시,japanese,yes,yes,+82 61 795 7979,,restaurant,,wlan,yes,,공공데이터포털,2020-10-27 16:59,,항만13로,23-1,,,1,
