위도,경도,amenity,cuisine,name,phone,addr:full,description,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door,name:en,name:ko,addr:housename,diet:halal,source
37.53695027,127.0115182,restaurant,american,매덕스피자한남점,+82 2 790 2420,,뉴욕스타일의 조각피자,,독서당로29길,5-6,,G,2,202,,,리플레이스 한남,,공공데이터포털
37.53713401,126.9877893,restaurant,american,빌리스팬케이크,+82 2 790 3315,,맛있는 팬케이크와 루프탑이 있는 경리단 대표카페,,녹사평대로46길,16-4,,,2,,,,,,공공데이터포털
37.53726011,126.9874137,restaurant,dessert,도쿄빙수경리단길점,+82 70 7812 9584,,지구상에서 가장 맛있는 빙수가 있는 도쿄빙수,,녹사평대로46길,10,,,1,,,,,,공공데이터포털
37.53745125,126.9886492,restaurant,chinese,누랑즈뉘,+82 2 797 0709,,"칠석, 견우직녀가 일년에 한번 만나는 뜻깊고 소중한 시간인 만큼, 누랑즈뉘에서 인연과 낭만을 공유할 수 있는 여유로운 시간이 되기를 기원합니다.",,녹사평대로46길,34-2,,,1,,,,,,공공데이터포털
37.53230503,126.9924288,restaurant,american,로코스핑크솔트,+82 2 792 3235,,고기가 듬뿍 들어있는 미국식 수제버거 맛집,,녹사평대로26가길,14,,,1,,,,,,공공데이터포털
37.53369994,126.9954472,restaurant,indian,타지펠리스,+82 2 790 5786,,,,우사단로,39,,,,,,,,,공공데이터포털
37.54011499,126.9938492,restaurant,italian,비스테까 토레엔,+82 2 797 7746,,서울에서 N타워가 가장 아름답게 보이는 torre N,,회나무로,66,,,3,,,,,,공공데이터포털
37.53707697,127.0013804,restaurant,italian,골든불,+82 2 794 7073,,steak가 맛있는 집,,이태원로42길,60,,,,,,,,,공공데이터포털
37.53386563,126.9934514,restaurant,thai,부아,+82 2 792 3340,,미슐랭 빕구르망에서 선정된 고전타이 음식점 부아,,보광로59길,9,,,,,,,,,공공데이터포털
37.53386563,126.9934514,restaurant,thai,낭낭,+82 2 792 3340,,국내에서 처음 선보이는 태국북부지방 국수 전문점,,보광로59길,9,,,,,,,,,공공데이터포털
37.53751306,126.9999004,restaurant,chinese,우육미엔 이태원점,+82 2 798 5556,,대만현지 30년 경력의 Tony Kang쉐프와 국내 3인이 모여 대만 본토보다 맛있는 우육면을 만들자는 각오로 오랫동안 연구하고 대만을 넘나들며 합작하여 만들었습니다.,,이태원로55가길,26-8,,,,,,,,,공공데이터포털
37.53919195,126.9884,restaurant,chinese,완차이야,+82 2 798 5556,,홍콩의 분위기와 맛을 그대로 재현해 드립니다.,,녹사평대로54길,19,,,,,,,,,공공데이터포털
37.53666612,126.9990948,restaurant,italian,파스타 프레스카,+82 2 795 6004,,생면파스타와 이탈리안 가정식요리를 드실 수 있는 곳,,이태원로55나길,6,,,,,,,,,공공데이터포털
37.54011499,126.9938492,restaurant,vietnamese,베트남고향식당3호점,+82 2 796 7436,,"베트남 현지의 맛, 고향의 맛을 느껴보세요.",,회나무로,66,,,,,,,,,공공데이터포털
37.53558131,126.9994162,restaurant,japanese,유다 야키토리,+82 2 388 5081,,최고의 야끼도리 전문점,,이태원로,230-2,,,,,,,,,공공데이터포털
37.53562096,127.0006653,restaurant,japanese,도쿄쟁반,+82 2 3785 0913,,식물들과 함께하는 도쿄가정식,,이태원로54길,58-9,,,,,,,,,공공데이터포털
37.53520608,127.0099204,restaurant,thai,소이연남 한남점,+82 2 792 5130,,한국에서 가장 핫한 태국음식점,,한남대로20길,47-10,,,,,,,,,공공데이터포털
37.53622282,127.0011948,restaurant,japanese,하나마치,+82 505 1440 8556,,꽃길 그대와 함께 하겠습니다.,,이태원로54길,52,,,,,,,,,공공데이터포털
37.53695027,127.0115182,restaurant,mexican,감성타코 한남점,+82 2 798 8889,,멋진 공간에서 멕시코요리를 즐길 수 있는 곳,,독서당로29길,5-6,,G,3,301,,,리플레이스 한남,,공공데이터포털
37.53461123,126.9880296,restaurant,japanese,노리테이블,+82 2 792 4427,,캐쥬얼 일식 및 사케바,,녹사평대로40나길,1,,,-1,,,,,,공공데이터포털
37.53472705,126.9947819,restaurant,pakistani,더 할랄 가이즈,+82 2 794 8308,,뉴욕 최고의 스트릿 푸드,,이태원로,187,,,2,,,,,only,공공데이터포털
37.54011499,126.9938492,restaurant,vietnamese,반미리,+82 70 8289 4190,,베트남 샌드위치 전문점,,회나무로,66,,,1,,,,,,공공데이터포털
37.53343651,126.9900346,restaurant,american,이태원 더 버거,+82 2 797 8940,,숯불에 구워 육즙이 풍부하고 스모크향의 맛을 느낄 수 있는 수제버거,,녹사평대로32길,22,,,1,,,,,,공공데이터포털
37.53496086,126.988455,restaurant,japanese,토키바야마,+82 2 797 1028,,도쿄의 '토키바야마' 한국 분점,,녹사평대로40다길,2,,,2,,,,그린빌라트,,공공데이터포털
37.53416845,126.9951711,restaurant,indian,알라딘,+82 2 797 1028,,,,보광로60길,17,,,1,,,,,,공공데이터포털
37.53445277,126.9892832,restaurant,american,플라잉볼 익스프레스 이태원점,+82 2 790 0511,,최고의 맛은 번으로 결정된다.,,녹사평대로40길,59-2,,,2,,,,,,공공데이터포털
37.53962103,126.9905995,restaurant,dessert,크리에잇쿠키,+82 2 792 8890,,유기농 밀로 만든 미국식 쿠키 전문점,,회나무로,36,,,1,,,,,,공공데이터포털
37.53680307,127.0000181,restaurant,italian,덥스텝 비,+82 2 796 7015,,"외국의 다양한 국적 분들도 무난하게 식사를 즐기실수 있는 메뉴들로 구성되어 있습니다. 깔끔하고 정갈한 내부 인테리어와 예쁜 테라스가 있는 dubstep B는 Dining & Pub이지만, 조만간 커피도 됩니다.  ^ ^;;  `dubstep B`는 연인들의 데이트 코스로  `성지`와도 같은 곳입니다.",,이태원로,243,,,1,,dubstep B ,덥스텝 비,,,공공데이터포털
37.54126082,126.9902554,restaurant,italian,알레딴떼,+82 2 792 1881,,"나폴리 스테파노 페라리 화덕, 100%장작, 유럽 현지 경험 셰프",,회나무로13나길,8,,,-1; 1; 2; 3,,,,,,공공데이터포털
37.53979415,126.9923782,restaurant,italian,스윗비,+82 2 792 0749,,프리미엄 이탈리안 아이스크림 전문점,,회나무로32길,2-1,,,1,,,,,,공공데이터포털
37.53566032,126.991831,restaurant,french,르푸도레,+82 2 797 8893,,아담하고 이쁜 프렌치 빵 전문점,,이태원로23길,34,,,1,,,,,,공공데이터포털
37.53734296,126.9870652,restaurant,italian,그린내,+82 2 794 8793,,윤현찬 셰프의 이탈리아 파스타 전문점,,녹사평대로,222,,,2,,,,,,공공데이터포털
37.53597055,126.9999728,restaurant,russian,마트료시카,+82 70 7591 1112,,한남동 러시아 음식 전문점,,이태원로,238,,,2,,,,,,공공데이터포털
37.53446021,127.0078747,restaurant,japanese,스시고코로,+82 2 790 1182,,즐겁게 맛있는 시스릴 즐길 수 있는 곳,,한남대로,60,,D,1,108,,,금호리첸시아,,공공데이터포털
37.53724997,126.9997149,restaurant,italian,포카사,+82 2 2038 2488,,정통 이탈리안 델리 카페,,이태원로49길,14-2,,,1; 2,,,,,,공공데이터포털
37.53726438,126.9995881,restaurant,german,스톤그라운드,+82 2 790 8906,,갓 구운 독일식 빵과 건강 샌드위치,,이태원로49길,14-3,,,1; 2,,,,,,공공데이터포털
37.53588045,127.0003937,restaurant,american,다운타우너,+82 70 8820 3696,,한남동 수제버거,,이태원로42길,28-4,,,1; 2,,,,,,공공데이터포털
37.53397352,127.0098297,restaurant,italian,오만지아,+82 2 749 2900,,시칠리아 스타일의 이태리 정통레스토랑,,유엔빌리지길,14,,,,,,,,,공공데이터포털
37.53294317,126.9980676,restaurant,egyptian,카이로 바베큐,+82 2 798 1253,,이집트 음식 전문점,,우사단로10길,45,,,1; 2,,,,,,공공데이터포털
37.53726438,126.9998009,restaurant,italian,핏제리아디부자 1호점,+82 2 794 9474,,PIZZERIA D’BUZZA(부자피자)는 최상급에 식재료를 사용하여 만드는 이탈리아 정통방식의 레스토랑입니다. 정통 화덕피자를 누구나 캐쥬얼하고 편하게 즐길 수 있도록 만들었으며 보다 합리적인 가격에 제공해드리고자 합니다.,,이태원로55가길,28,,,,,,,,,공공데이터포털
37.5338367,127.0081461,restaurant,vietnamese,사이공그릴,+82 2 749 7783,,베트남 및 동남아시아요리의 수준급 요리를 맛볼수 있습니다.,,독서당로,67,,,2,,,,이춘근치과의원,,공공데이터포털
37.54036368,126.9941162,restaurant,italian,더 젤 ,+82 2 797 6846,,미국 타임지가 선정한 한국 대표 와인다이닝레스토랑. 아름다운 남산 전망과 한우 스테이크를 와인과 함께 즐길 수 있고 경리단길 24년 역사와 전통을 자랑하는 한국 와인 문화의 성지,,회나무로,67,,,1; 2,,,,,,공공데이터포털
37.53495049,126.9945692,restaurant,australian,더플라잉팬블루,+82 2 793 5285,,여러나라의 다양한 음식문화를 더플라잉팬블루의 감각으로 세련되고 모던하게 재해석하여 선보이고자 합니다,,이태원로27가길,13,,,-1,,,,,,공공데이터포털
37.53074831,127.0028782,restaurant,american,유피피,+82 2 793 5285,,남산을 볼 수 있는 공간 UPP입니다. 편안한 분위기를 즐겨보세요,,장문로49길,104,,,3,,,,,,공공데이터포털
37.53516312,126.9944198,restaurant,american,래미스,+82 2 6237 2020,,"New American Plates, Small Plates",,이태원로27가길,16,,,-1; 1; 2,,Ramie`s,래미스,,,공공데이터포털
37.5351559,126.9942705,restaurant,italian,나인티모,+82 2 790 4285,,한국인 입맛에 맞춘 맛있는 이탈리안 레스토랑,,이태원로27가길,18,,,-1,,,,,,공공데이터포털
37.53505492,126.9929897,restaurant,italian,(주)마이첼시,+82 2 749 1373,,"빈티지한 분위기 피자, 파스타 맛집으로 유명한 레스토랑",,이태원로27가길,40,,,1; 2,,,,,,공공데이터포털
37.53482786,126.9928992,restaurant,greek,산토리니,+82 2 790 3474,,정통 웰빙 지중해 식단,,이태원로27가길,43,,,2; 3,,,,,,공공데이터포털
37.53506931,126.9925552,restaurant,american,팻앨버트,+82 2 749 3336,,"이태원 초창기의 펍, 외국인들 사이에서 알려짐, 저렴하고 맛있는 음식과 술",,이태원로27가길,50,,,1; 2,,,,,,공공데이터포털
37.53496491,126.9947819,restaurant,chinese,쟈니덤플링2호점,+82 2 790 8839,,만두 귀신들의 성지,,이태원로27가길,9,,,1; 2,,,,,,공공데이터포털
37.53581197,126.999828,restaurant,american,호머,+82 2 790 8839,,매일 구워내는 수제피자를 조각으로 맥주&진토닉과 즐길 수 있는 곳,,이태원로42길,19,,,2,,,,,,공공데이터포털
37.53660843,126.9978186,restaurant,american,인더랩,+82 70 7718 0190,,"IN THE LAB : 요리연구소. 다양한 요리를 연구, 접목시켜 새로운 요리를 만들어내는 Mix & Match Restaurant ",,이태원로45길,34,,,2,,In The Lab,인더랩,,,공공데이터포털
37.5361976,126.9993438,restaurant,japanese,타베모노,+82 2 790 2023,,신선한 초밥과 롤을 맛있게 드실 수 있는 음식점,,이태원로45길,4,,,-1,,,,,,공공데이터포털
37.53719951,127.0001312,restaurant,italian,(주)마렘마트라토리아,+82 2 790 2023,,가정식 이탈리안,,이태원로49길,8,,,1,,,,,,공공데이터포털
37.53772928,127.0021769,restaurant,french,루틴,+82 2 790 6686,,프랑스 가정식,,이태원로54길,13,,,1,,,,,,공공데이터포털
37.53772928,127.0021769,restaurant,thai,스파이시바이트,+82 70 4028 8011,,동남1 퓨전식당,,이태원로54길,13,,,,,Spicy Bite,스파이시바이트,,,공공데이터포털
37.53643906,127.0013804,restaurant,japanese,라운드 어바웃,+82 70 5055 2258,,카레전문점으로 카레를 제외한 요일별로 다른 일본가정석을 즐길 수 있는 매장입니다,,이태원로54길,46,,,1,,ROUND ABOUT,라운드 어바웃,,,공공데이터포털
37.53627327,127.0014437,restaurant,italian,알밤,+82 70 8773 8479,,한국식재료를 이용해 편안한 가정에서 즐길 수있는 가정식 양식 레스토랑,,이태원로54길,47,,,1,,ALBAM,알밤,,,공공데이터포털
37.53600658,127.0012898,restaurant,american,스모키러버스,+82 2 792 1772,,스모키러버는 아메리칸 바비큐 다이닝입니다,,이태원로54길,53,,,1,,,,,,공공데이터포털
37.53802841,127.0022041,restaurant,chinese,자리,+82 70 8278 2947,,밀가루를 사용하지 않는 건강한 중국요리 드시러 오세요,,이태원로54길,5-5,,,1,,,,,,공공데이터포털
37.53766803,127.0004978,restaurant,italian,아방뮤제,+82 2 790 7392,,컨템퍼쳐리 계절식재료를 이용한 트렌드한 음식과 분위기를 제공,,이태원로55가길,13,,,1,,,,스카이빌,,공공데이터포털
37.53489987,126.9917361,restaurant,czech ,펍앤그릴 프라하,+82 2 796 2181,,체코스타일의 슈니첼과 직접 수입한 체코 생맥주를 즐길 수 있는 곳,,이태원로19길,9,,,1,,,,,,공공데이터포털
37.53371778,126.9921571,restaurant,italian,만조네,+82 2 6095 3757,,이탈리아 가정식 레스토랑입니다,,이태원로20길,13,,,-1,,Mangione,만조네,,,공공데이터포털
37.53403849,126.9915008,restaurant,american,길티플레져,+82 2 794 4332,,Traditional American Classic Style,,이태원로20길,2-10,,,1,,Guilty Pleasure,길티플레져,,,공공데이터포털
37.53393038,126.9915235,restaurant,chinese,시옹,+82 2 794 4332,,맛있는 중국요리와 술이있는 집,,이태원로20길,2-12,,,2,,,,,,공공데이터포털
37.5332817,126.9922431,restaurant,japanese,스시원,+82 2 798 8588,,이자카야,,이태원로20길,24,,,1,,Sushi one,스시원,,,공공데이터포털
37.53374652,127.0091825,restaurant,british,더블린나나스트리트,+82 2 749 9553,,"생 대구를 사용해서 신선한 음식점, 버거도 한우를 사용",,독서당로20길,5,,,1,,,,,,공공데이터포털
37.53359876,127.0091463,restaurant,french,도르프,+82 2 797 7870,,프랑스 가정식 요리를 맛볼 수 있는 음식점,,독서당로20길,9,,,1,,,,,,공공데이터포털
37.53695027,127.0115182,restaurant,international,아벡누,+82 2 749 7303,,유러피안 키친,,독서당로29길,5-6,,,2,,,,,,공공데이터포털
37.53695027,127.0115182,restaurant,italian,스티키팟한남점,+82 2 795 6255,,"이색 치킨(새롭게 선보이는 이색스타일 치킨, 부띠크 치킨과 펍의 조화)",,독서당로29길,5-6,,,2,,,,,,공공데이터포털
37.53477753,126.9952978,restaurant,turkish,미스터케밥 본점,+82 70 7758 1997,,다양한 터키 케밥과 할랄 음식의 대표적 음식점,,이태원로,191,,,1; 2,,,,,,공공데이터포털
37.53395223,126.995764,restaurant,turkish,미스터케밥 2호점,+82 70 7532 1997,,다양한 터키 케밥과 할랄 음식의 대표적 음식점,,우사단로,42,,,,,,,,,공공데이터포털
37.53402424,126.9942253,restaurant,turkish,술탄베이케밥,+82 2 749 3890,,다양한 터키 케밥과 할랄 음식의 대표적 음식점,,보광로,126,,,,,,,,,공공데이터포털
37.53533596,126.9918944,restaurant,american,디트로이트,+82 2 792 1231,,담백한 시카고 피자와 파스타,,이태원로19길,20,,,1,,,,,,공공데이터포털
37.53359879,127.0086982,restaurant,italian,오마일,+82 2 796 0258,,,,독서당로,70,,,,,,,,,공공데이터포털
37.53419708,127.008386,restaurant,chinese,웨스턴차이나,+82 2 795 6751,,,,독서당로,73,,,,,,,성아맨숀,,공공데이터포털
37.53419708,127.008386,restaurant,vietnamese,굿모닝베트남,+82 2 797 3933,,수입한는 건면과 달리 저희업소는 생면을 씁니다,,독서당로,73,,,1,,,,성아맨숀,,공공데이터포털
37.53392312,127.0090739,restaurant,japanese,함바그또카레야,+82 2 793 8582,,,,독서당로,76,,,,,,,,,공공데이터포털
37.53401319,127.0094676,restaurant,italian,퀸스파크 한남점,+82 2 796 9580,,,,독서당로,80,,,1; 2,,,,,,공공데이터포털
37.53449611,127.0096849,restaurant,indian,챠크라,+82 2 796 2255,,,,독서당로,83,,,,,,,,,공공데이터포털
37.5338367,127.0081461,restaurant,italian,아날로그키친,+82 2 749 2927,,,,독서당로,67,,,,,,,,,공공데이터포털
37.5338367,127.0081461,restaurant,american,바나나그릴,+82 2 792 3088,,아메리칸 스타일의 수제버거집입니다,,독서당로,67,,,,,,,,,공공데이터포털
37.5338367,127.0081461,restaurant,vietnamese,사이공그릴,+82 2 749 7783,,,,독서당로,67,,,2,,,,,,공공데이터포털
37.53484249,127.0008599,restaurant,vietnamese,타마린드,+82 2 794 8780,,월남쌈과 베트남 파스타가 맛있는 집,,대사관로5길,12,,,1,,,,,,공공데이터포털
37.53544436,127.0003937,restaurant,american,샐러드셀러,+82 2 794 0282,,"우리는 신선한 재료로 직접 샐러드를 만들고 샐러드 드레싱과 샌드위치 스프레드, 리코타 치즈 등을 직접 만들어 사용하고 있습니다",,대사관로5길,28,,,2,,,,,,공공데이터포털
37.53641682,127.0121563,restaurant,japanese,42사이,+82 2 790 1142,,신선한 제철 식자제를 사용하는 음식점,,독서당로,116,,,-1,,,,,,공공데이터포털
37.53159508,127.0070009,restaurant,japanese,야스라기,+82 2 749 5675,,오사카 요리의 맛집,,독서당로,39,,,1,,,,신성미소시티,,공공데이터포털
37.53012828,127.0065211,restaurant,japanese,81번옥,+82 70 8119 6770,,"소유,  미소가 유명한 맛집(점보라멘)",,대사관로34길,74,,,1,,,,,,공공데이터포털
37.53034453,127.006322,restaurant,chinese,래리성,+82 2 795 1378,,오룡해삼과 양장피가 맛있는 집,,대사관로34길,66,,,2,,,,,,공공데이터포털
37.53477387,127.0058246,restaurant,peruvian,티그레,+82 2 790 4511,,페루음식입니다,,대사관로31길,31,,,1,,,,,,공공데이터포털
37.53439168,127.0085444,restaurant,american,세컨드키친 한남,+82 2 794 7435,,"다양한 국적과 연령이 찾는 뉴아메리칸 다이닝 레스토랑, 매년 1만병정도의 와인을 판매 할만큼 음식과 와인의 페어링으로 유명한 공간이다. 와인과 페어링하기 좋은 다이닝 메뉴는 물론 브런치 메뉴까지 선택의 폭이 넓다. 바닥에서 천장까지 11미터에 달하는 공간감과 시간에 따라 다르게 조명과 음악의 변화로 분위기를 다르게 연출하는 내부신도 독특하다.",,한남대로18길,22,,,1; 2,,,,,,공공데이터포털
37.53866932,126.9878615,restaurant,japanese,미카,+82 2 793 7982,,전통일본요리와 현대적인 감각의 퓨전요리,,회나무로,9,,,1,,,,,,공공데이터포털
37.53866932,126.9878615,restaurant,japanese,오지상함박스테이크,+82 70 4407 0712,,2011년 오픈하여 매일 매장에서 직접 소고기를 반죽하여 제공하는 함박스테이크 전문점입니다,,회나무로,9,,,1,,,,,,공공데이터포털
37.53958167,126.9953926,restaurant,pakistani,알사바페르시안퀸,+82 2 792 1488,,"점심메뉴(3~5시) 샐러드, 밥(or로티), 커리 제공, 1979년부터 용산에서 인도, 파키스탄 정통커리 운영",,회나무로44길,40,,,2,,,,,,공공데이터포털
37.53858638,126.9874044,restaurant,international,포르게따,+82 2 797 8808,,,,회나무로,3,,,1,,,,,,공공데이터포털
37.53858638,126.9874044,restaurant,japanese,이치더힐,+82 2 794 2664,,편안한 좌석과 좋은 서비스!,,회나무로,3,,,2,,,,,,공공데이터포털
37.53858638,126.9874044,restaurant,international,피어39,+82 2 749 0339,,,,회나무로,3,,,1,,,,,,공공데이터포털
37.53461864,126.9901929,restaurant,mexican,(주)어번그룹 바토스 이태원점,+82 2 797 8226,,"뉴욕타임즈, CNN, 월드스트리트저널에 최고의 레스토랑 소개되고 있습니다 서울 방문시 꼭 들러야하는 레스토랑입니다. 단순한 퓨전이 아니라 자연스럽게 접해온 코리안 멕시칸 서울의 독창적인 음식입니다.",,이태원로15길,1,,,,,,,,,공공데이터포털
37.53499719,126.9919805,restaurant,italian,고블앤고,+82 2 790 5390,,,,이태원로19길,12,,,,,,,,,공공데이터포털
37.53526027,126.9917315,restaurant,serbian,벨그레이드,+82 2 796 6933,,,,이태원로19길,19,,,,,Belgrade,벨그레이드,,,공공데이터포털
37.54255503,127.0024758,restaurant,italian; japanese,스탠다드키친,+82 2 795 3375,,이탈리아&일본 가정식,,한남대로,164,,,1,,,,,,공공데이터포털
37.53446021,127.0078747,restaurant,italian,두에꼬제,+82 2 795 1405,,,,한남대로,60,,,1,,,,금호리첸시아,,공공데이터포털
37.53454304,127.0086531,restaurant,mexican,도스타코스,+82 2 797 8525,,,,한남대로18길,26,,,-1,,,,,,공공데이터포털
37.53454304,127.0086531,restaurant,italian,갈로,+82 2 793 8885,,,,한남대로18길,26,,,,,Gallo,갈로,,,공공데이터포털
37.53538997,127.0088342,restaurant,italian,도마622,+82 2 793 9288,,"한남동 핫플레이스, 이탈리아 정통레스토랑 도마622",,한남대로20길,21-13,,,-1; 1; 2,,,,,,공공데이터포털
37.53484577,127.0087979,restaurant,japanese,마인드,+82 2 797 9216,,한국을 대표하는 맛집평가서 BLUE RIBBORN SURVEY에 등재된 식당입니다. 오뎅바가 유명하며 영어 메뉴판이 준비되어 있고 맛과 분위기가 검증된 식당입니다. BLUE RIBBORN SURVEY는 대한민국 대표 식당을 소개하는 곳입니다.,,한남대로20길,36,,,1,,,,,,공공데이터포털
37.53494296,127.0102326,restaurant,italian,리스퀘어,+82 2 797 7874,,국내상 최상급 숙성한우 암소 스테이크,,한남대로20길,61,,,-1,,,,,,공공데이터포털
37.53383682,127.0061639,restaurant,international,그린바스켓,+82 2 749 5055,,고객들이 골라먹는 샐러드(자기만의 샐러드),,한남대로21길,24,,,-1,,,,,,공공데이터포털
37.53810409,127.0025662,restaurant,japanese,코쿠라,+82 2 6013 8012,,"한강진역에서 가까운 한남동 일본일식주점, 식사처입니다",,한남대로27가길,32,,,1,,,,,,공공데이터포털
37.53846089,127.0020367,restaurant,italian,엘본더테이블 이태원점,+82 2 790 0700,,,,이태원로,270,,,,,,,,,공공데이터포털
37.53846089,127.0020367,restaurant,chinese,챠이(Chai)797이태원점,+82 2 749 7972,,,,이태원로,270,,,,,,,,,공공데이터포털
37.53871317,127.0020774,restaurant,italian,베라나폴리,+82 2 796 7223,,,,이태원로,272,,,,,,,,,공공데이터포털
37.53871317,127.0020774,restaurant,italian,패션5라뜰리에,+82 2 2071 9507,,,,이태원로,272,,,,,,,,,공공데이터포털
37.53467985,126.9895231,restaurant,american,아피아,+82 2 6497 1100,,,,이태원로,143-10,,,,,,,,,공공데이터포털
37.53458978,126.9899077,restaurant,italian,스매싱펍,+82 2 797 2231,,,,이태원로,145,,,,,,,,,공공데이터포털
37.53448173,126.9907224,restaurant,thai,왕타이,+82 2 749 2746~7,,,,이태원로,151,,,,,,,,,공공데이터포털
37.53459708,126.9909894,restaurant,indian,아그라,+82 70 8230 4230,,,,이태원로,153,,,,,Agra,아그라,,,공공데이터포털
37.53459708,126.9909894,restaurant,american,(주)오리지널팬케이크하우스(이태원점),+82 2 795 7481,,,,이태원로,153,,,,,,,,,공공데이터포털
37.53453947,126.9918131,restaurant,brazilian,따봉브라질,+82 2 797 3363,,7가지 고기와 파인애플을 무제한으로 즐길 수 있습니다. 고기는 항상 옳아요.,,이태원로,161,,,,,TABOMBRAZIL,따봉브라질,,,공공데이터포털
37.5348135,126.9937364,restaurant,american,에이치엘씨,+82 2 793 0802,,,,이태원로,179,,,,,,에이치엘씨,,,공공데이터포털
37.53472705,126.9947819,restaurant,american,라일리스탭하우스,+82 2 792 6590,,,,이태원로,187,,,,,,라일리스탭하우스,,,공공데이터포털
37.53482082,126.9966193,restaurant,turkish,알리바바,+82 2 790 7754,,,,이태원로,203,,,,,,,,,공공데이터포털
37.53498662,126.9972755,restaurant,mexican,온더보더 이태원점,+82 2 792 0682,,신선한 재료와 홈메이드 방식을 추구하는 정통 멕시칸 레스토랑 온더보더(ON THE BORDER)입니다.  서울 속 작은 멕시코로 여러분을 초대합니다,,이태원로,211,,,,,,,,,공공데이터포털
37.53547318,126.9985337,restaurant,thai,(주)타이가든,+82 2 792 8836,,"20년 전통의 태국전문 음식점, 태국보다 더 태국적인 맛을 자랑하는 음식점 ",,이태원로,223,,,,,,,,,공공데이터포털
37.53563537,126.998855,restaurant,vietnamese,포호아이태원점,+82 2 792 8866,,,,이태원로,227,,,,,,,,,공공데이터포털
37.53597055,126.9999728,restaurant,thai,어메이징타이,+82 2 796 7377,,,,이태원로,238,,,,,,,,,공공데이터포털
37.53625887,127.000344,restaurant,american,도미니크,+82 2 790 7588,,,,이태원로,242,,,,,dominic,도미니크,,,공공데이터포털
37.5369184,127.000258,restaurant,italian,트레비아,+82 2 795 6004,,,,이태원로,247,,,,,Trevia,트레비아,,,공공데이터포털
37.53722834,127.0011767,restaurant,italian,시화담그릴,+82 2 793 7272,,모던 한식과 와인의 만남,,이태원로,254,,,,,,,,,공공데이터포털
37.53750584,127.0013713,restaurant,japanese,라멘81,+82 2 749 6848,,,,이태원로,258,,,,,,,,,공공데이터포털
37.53849695,127.0011315,restaurant,italian,핏제리아디부자 2호점,+82 2 795 9474,,PIZZERIA D’BUZZA(부자피자)는 최상급에 식재료를 사용하여 만드는 이탈리아 정통방식의 레스토랑입니다. 정통 화덕피자를 누구나 캐쥬얼하고 편하게 즐길 수 있도록 만들었으며 보다 합리적인 가격에 제공해드리고자 합니다.,,이태원로,267,,,3,,,,르베르지,,공공데이터포털
