위도,경도,cuisine,name,addr:full,phone,opening_hours,source:date,addr:subdistrict,amenity,source
37.349195,126.820521,korean,금강산가든,경기도 안산시 단원구 쑥개길 6 (화정동),031-482-9595,Mo-Su 10:00-22:00 ,2019-07-05,고잔동,restaurant,공공데이터포털
37.320336,126.833102,korean,김가네낙지전문점,"경기도 안산시 단원구 당곡로 33, 125~126호 (고잔동, 프라움시티)",031-402-0552,Mo-Su 10:00-22:00 ,2019-07-05,본오동,restaurant,공공데이터포털
37.333945,126.848688,korean,김흥관힘센낙지 (빨간낙지마당),경기도 안산시 상록구 안산천동로2길 1 (월피동),031-410-3660,Mo-Su 10:30-22:30,2019-07-05,본오동,restaurant,공공데이터포털
37.317836,126.836074,korean,낙원타코 안산중앙점,경기도 안산시 단원구 고잔2길 45,031-401-0725,,2019-07-05,고잔동,restaurant,공공데이터포털
37.318676,126.837573,korean,니뽕내뽕(안산중앙점),"경기도 안산시 단원구 고잔로 102, 201호 (고잔동)",031-475-4555,"Mo-Su 11:30-15:30, 16:30-21:30",2019-07-05,사동,restaurant,공공데이터포털
37.329229,126.846103,chinese,단야 중화요리,경기도 안산시 상록구 예술광장로 19 성포타운 1층 105호~107호,031-414-0064,,2019-07-05,성포동,restaurant,공공데이터포털
37.35009,126.822414,korean,단원,경기도 안산시 단원구 너비울길 15 (화정동),031-486-9233,Mo-Su 10:00-22:00 SH o,2019-07-05,선부동,restaurant,공공데이터포털
37.319088,126.829743,korean,단원한정식,경기도 안산시 단원구 광덕대로 251 (고잔동),031-401-3500,,2019-07-05,고잔동,restaurant,공공데이터포털
37.268621,126.569247,korean,대부맛집 청미,경기도 안산시 단원구 대선로 36 (대부북동),032-887-1108,Mo-Su 09:00-21:00,2019-07-05,대부북동,restaurant,공공데이터포털
37.294177,126.844269,korean,대부흑염소,경기도 안산시 상록구 댕이길 65 (사동),031-438-1021,,2019-07-05,사동,restaurant,공공데이터포털
37.313146,126.846384,japanese,대포항별미집,"경기도 안산시 상록구 송호3길 18, 1층 (이동)",031-409-2791,Mo-Sa 12:00-22:00; Su off,2019-07-05,고잔동,restaurant,공공데이터포털
37.294732,126.862685,korean,대호식당,"경기도 안산시 상록구 샘골로 123, 104~105호 (본오동)",031-408-6460,,2019-07-05,초지동,restaurant,공공데이터포털
37.293978,126.843988,korean,댕이골낙지마을,경기도 안산시 상록구 댕이길 15 (사동),031-407-7631,Mo-Su 11:00-01:00,2019-07-05,사동,restaurant,공공데이터포털
37.308566,126.85121,korean,도둑고기 안산한대역점,경기도 안산시 상록구 광덕1로 379,031-417-3892,,2019-07-05,이동,restaurant,공공데이터포털
37.331589,126.792964,korean,독일미,"경기도 안산시 단원구 부부로2길 22-1 (원곡동, 749-3 1층)",031-493-8666,Mo-Su 10:00-01:00,2019-07-05,원곡동,restaurant,공공데이터포털
37.31076,126.827912,chinese,동방명주,경기도 안산시 단원구 광덕2로 155-12,031-411-8595,,2019-07-05,고잔동,restaurant,공공데이터포털
37.287699,126.575159,japanese,동원횟집,"경기도 안산시 단원구 대부황금로 1497, 209호 (대부북동)",031-881-8811,Mo-Su 10:00-24:00,2019-07-05,대부북동,restaurant,공공데이터포털
37.313784,126.831605,korean,동천게장,"경기도 안산시 단원구 광덕3로 167-16, 109호 (고잔동)",031-413-0660,Mo-Su 10:00-22:00,2019-07-05,부곡동,restaurant,공공데이터포털
37.313428,126.848076,korean,뜨락,경기도 안산시 상록구 송호1길 69 (이동),031-418-2082,,2019-07-05,사동,restaurant,공공데이터포털
37.309455,126.828941,korean,마루야끼,"경기도 안산시 단원구 광덕대로 145, 205호 (고잔동)",031-480-3010,,2019-07-05,사동,restaurant,공공데이터포털
37.344115,126.821605,korean,마포네숯불갈비,경기도 안산시 단원구 와동공원로 142 (와동),031-405-9282,Mo-Su 11:00-03:00,2019-07-05,사동,restaurant,공공데이터포털
37.287791,126.845828,korean,마포숯불화로이야기,"경기도 안산시 상록구 항가울로 70, 1층 (사동)",031-416-3070,Mo-Su 10:30-22:30,2019-07-05,사동,restaurant,공공데이터포털
37.326834,126.752776,korean,만해추어탕,"경기도 안산시 단원구 황새바위길 3 (신길동, 294-2 1층)",031-492-7070,Mo-Su 10:30-21:30,2019-07-05,신길동,restaurant,공공데이터포털
37.306258,126.849658,korean,맛수원왕갈비,"경기도 안산시 상록구중보1길 18, 1층 (이동)",031-417-6635,Mo-Su 10:30-22:30,2019-07-05,선부동,restaurant,공공데이터포털
37.351665,126.82144,korean,먹쇠장어,"경기도 안산시 단원구 꽃우물길 12 (화정동, 431 1층)",031-485-5289,Mo-Su 10:00-22:00,2019-07-05,사동,restaurant,공공데이터포털
37.306235,126.845688,korean,명옥부대찌개,"경기도 안산시 상록구 천문4길 15, 1층",031-417-8686,,2019-07-05,사동,restaurant,공공데이터포털
37.306373,126.848293,korean,명장한우,"경기도 안산시 상록구 광덕1로 346, 301호 (이동)",031-415-0068,Mo-Su 11:00-23:00,2019-07-05,선부동,restaurant,공공데이터포털
37.335455,126.843005,korean,명태본가,경기도 안산시 상록구 광덕산1로 3-3,031-405-1063,Mo-Su 11:00-22:00,2019-07-05,월피동,restaurant,공공데이터포털
37.309031,126.828908,chinese,몽차우,경기도 안산시 단원구 광덕대로 141,031-487-0085,,2019-07-05,고잔동,restaurant,공공데이터포털
37.29368,126.84294,korean,무교뻘낙지,경기도 안산시 상록구 댕이길 6 (사동),031-419-5900,,2019-07-05,사동,restaurant,공공데이터포털
37.318814,126.827352,korean,묵은지찌개마을,"경기도 안산시 단원구 원고잔로 15, 지층 101호 (고잔동, 반월빌딩)",031-401-5555,Mo-Su 10:00-22:00,2019-07-05,고잔동,restaurant,공공데이터포털
37.276788,126.560552,japanese,바다회집(북동),경기도 안산시 단원구 구봉길 102-22 (대부북동),032-886-3164,Mo-Su 10:00-22:00,2019-07-05,대부북동,restaurant,공공데이터포털
37.275504,126.569106,korean,백합칼국수,경기도 안산시 단원구 대부황금로 1337 (대부북동),032-886-1002,Mo-Su 10:00-22:00,2019-07-05,대부북동,restaurant,공공데이터포털
37.293761,126.843379,korean,별장보쌈칼국수,경기도 안산시 상록구 댕이길 10 (사동),031-419-5900,"Mo-Fr 11:30-15:00, 17:0-21:00; Sa 11:30-16:00; Su off 11:30 ~ 21:00",2019-07-05,고잔동,restaurant,공공데이터포털
37.318814,126.827352,korean,복요리전문점복청(안산중앙점),"경기도 안산시 단원구 원고잔로 15 (고잔동, 지층 일부)",031-410-3588,Mo-Su 10:00-22:00,2019-07-05,고잔동,restaurant,공공데이터포털
37.314287,126.797242,korean,복전문점복청,"경기도 안산시 단원구 동산로 63, B2층 201호(원시동)",031-491-0086,Mo-Su 10:00-22:00,2019-07-05,본오동,restaurant,공공데이터포털
37.335198,126.849543,chinese,북경대반점,경기도 안산시 상록구 안산천동로4길 1 (월피동),031-401-1283,Mo-Su 10:30-22:00,2019-07-05,사동,restaurant,공공데이터포털
37.311622,126.831914,japanese,사조회참치,"경기도 안산시 단원구 광덕2로 193-19, 176호 (고잔동)",031-439-1315,Mo-Su 11:30-02:30,2019-07-05,이동,restaurant,공공데이터포털
37.293763,126.844327,korean,산골송어,경기도 안산시 상록구 댕이길 18 (사동),031-419-3735,,2019-07-05,사동,restaurant,공공데이터포털
37.302784,126.915739,korean,산촌쌈밥,경기도 안산시 상록구 서해로 2813 (사사동),031-416-7370,Mo-Su 09:00-22:00,2019-07-05,사동,restaurant,공공데이터포털
37.290787,126.829853,korean,상록한정식,경기도 안산시 상록구 해안로 705 (사동),031-500-4455,Mo-Su 11:30-22:00,2019-07-05,고잔동,restaurant,공공데이터포털
37.31259,126.84819,korean,새벽순댓국,경기도 안산시 상록구 송호로 12-1,031-502-4575,,2019-07-05,이동,restaurant,공공데이터포털
37.260424,126.570016,korean,샤브랑버섯소고기샤브,"경기도 안산시 단원구 대선로 131, 1층 (대부북동)",032-886-6755,Mo-Su 10:00-22:00,2019-07-05,대부북동,restaurant,공공데이터포털
37.295869,126.872157,korean,서가네우렁쌈밥,경기도 안산시 상록구 본이로1안길 38 (본오동),031-406-4685,Mo-Su 10:00-22:00,2019-07-05,초지동,restaurant,공공데이터포털
37.238071,126.617351,korean,서래가든,경기도 안산시 단원구 대부황금로 700 (대부동동),032-886-4842,Mo-Su 06:00-21:00,2019-07-05,대부동동,restaurant,공공데이터포털
37.30779,126.850016,korean,서울깍두기,"경기도 안산시 상록구 광덕1로 365, 105,106호",031-416-0506,,2019-07-05,이동,restaurant,공공데이터포털
37.320007,126.829831,korean,소담한식부페,"경기도 안산시 단원구 광덕대로 263, 111호 (고잔동)",031-439-3829,Mo-Su 17:00-22:00,2019-07-05,이동,restaurant,공공데이터포털
37.318593,126.836468,korean,솔밭낙지마당,"경기도 안산시 단원구 예술대학로 17, 212호 (고잔동)",031-484-4024,Mo-Su 10:00-22:00,2019-07-05,사동,restaurant,공공데이터포털
37.330842,126.860407,korean,송담추어탕,"경기도 안산시 상록구 태마당로 4, 1층 (부곡동)",031-406-7988,Mo-Su 05:00-21:00,2019-07-05,부곡동,restaurant,공공데이터포털
37.301004,126.811772,korean,송탄나여사부대찌개,경기도 안산시 단원구 원포공원2로 24(초지동),031-403-2325,Mo-Su 09:30-21:00,2019-07-05,사사동,restaurant,공공데이터포털
37.332555,126.810405,korean,수지동태탕,"경기도 안산시 단원구 선부광장로 77, 104~107호 (선부동,늘봄스위트빌)",031-482-3307,Mo-Su 10:00-22:00,2019-07-05,선부동,restaurant,공공데이터포털
37.307118,126.815106,korean,시골통돼지생삼겹살,"경기도 안산시 단원구 초지로 94, 206호 (초지동, 한솔프라자)",031-439-3392,Mo-Su 12:00-24:00,2019-07-05,대부북동,restaurant,공공데이터포털
37.303506,126.846742,korean,신라샤브칼국수,경기도 안산시 상록구 용신로 219 (사동),031-418-6014,,2019-07-05,이동,restaurant,공공데이터포털
37.297985,126.863412,korean,신석기숯불이야기,"경기도 안산시 상록구 샘골로 160, 101호 (본오동)",031-437-3366,Mo-Su 10:30-22:30,2019-07-05,이동,restaurant,공공데이터포털
37.30837,126.85235,korean,신촌설렁탕,"경기도 안산시 상록구 광덕1로 386, 110호 (이동)",031-406-2561,24/7,2019-07-05,사동,restaurant,공공데이터포털
37.319088,126.829743,chinese,아리원중화요리,경기도 안산시 단원구 광덕대로 251 3층(고잔동),031-485-3100,,2019-07-05,이동,restaurant,공공데이터포털
37.311205,126.830776,japanese,아미가일식,"경기도 안산시 단원구 광덕대로 168, 501호 (고잔동)",031-483-2331,Mo-Su 10:00-22:00,2019-07-05,본오동,restaurant,공공데이터포털
37.30684,126.816021,korean,"아바이마을명태고추조림,생선구이","경기도 안산시 단원구 초지2로 67-7 (초지동, 734-5 한양타워 1층 118,119호)",031-411-0056,Mo-Su 11:00-22:30,2019-07-05,고잔동,restaurant,공공데이터포털
37.328922,126.845212,korean,안동국밥(월피점),경기도 안산시 상록구 예술광장로 11(월피동),031-439-2324,24/7,2019-07-05,사동,restaurant,공공데이터포털
37.363861,126.881961,korean,약수터손두부,"경기도 안산시 상록구 수암3길 28, 1층 (수암동)",031-482-7952,,2019-07-05,대부북동,restaurant,공공데이터포털
37.349277,126.821265,korean,어가아구찜전문,경기도 안산시 단원구 쑥개길 13 (화정동),031-411-6866,Mo-Su 10:00-22:00,2019-07-05,건건동,restaurant,공공데이터포털
37.294177,126.843965,korean,어담추어매운탕,경기도 안산시 상록구 댕이길 67-1 (사동),031-408-7789,,2019-07-05,사동,restaurant,공공데이터포털
37.314648,126.831163,japanese,어화일식,"경기도 안산시 단원구 광덕대로 206, 210호 (고잔동)",031-402-2271,Mo-Su 10:00-22:00,2019-07-05,본오동,restaurant,공공데이터포털
37.358361,126.822045,korean,여울쌈밥,경기도 안산시 단원구 꽃우물1길 16-5 (화정동),031-316-3838,Mo-Su 11:00-23:00,2019-07-05,본오동,restaurant,공공데이터포털
37.269952,126.571043,korean,여정농원바지락칼국수,경기도 안산시 단원구 대선로 13(대부북동),032-880-9674,Mo-Sa 19:00-21:00; Su off,2019-07-05,대부북동,restaurant,공공데이터포털
37.302315,126.852486,korean,연안생태찌개,경기도 안산시 상록구 서암로3길 23,031-406-1104,,2019-07-05,사동,restaurant,공공데이터포털
37.303727,126.843663,korean,영덕해물탕,경기도 안산시 상록구 항가울로 262 (사동),031-415-7776,Mo-Su 10:00-24:00,2019-07-05,이동,restaurant,공공데이터포털
37.311205,126.830776,fish,오대양참치,"경기도 안산시 단원구 광덕대로 168, 117호 (고잔동)",031-401-3977,Mo-Su 11:30-01:00,2019-07-05,초지동,restaurant,공공데이터포털
37.335947,126.850207,korean,오양순추어탕,경기도 안산시 상록구 안산천동로 256 1층(월피동),031-401-1778,Mo-Su 07:30-22:00,2019-07-05,화정동,restaurant,공공데이터포털
37.347559,126.870679,korean,옹골찬설악추어탕,경기도 안산시 상록구 수인로 1836 (장상동),031-405-9933,Mo-Su 11:00-23:00,2019-07-05,부곡동,restaurant,공공데이터포털
37.29395,126.843356,korean,용대리황태촌,경기도 안산시 상록구 댕이길 9 1층(사동),031-407-2196,Mo-Su 10:00-21:00,2019-07-05,사동,restaurant,공공데이터포털
37.335921,126.807689,korean,용추골미궁순대,"경기도 안산시 단원구 선부광장1로 22, 108호 (선부동)",031-486-0205,24/7,2019-07-05,이동,restaurant,공공데이터포털
37.329228,126.844963,korean,우가네사또왕족발,"경기도 안산시 상록구 예술광장1로 22, 108호(월피동)",031-419-7866,Mo-Su 13:00-24:00,2019-07-05,대부북동,restaurant,공공데이터포털
37.314422,126.824632,korean,우리복집,경기도 안산시 단원구 다리간2길 52,031-403-8211,,2019-07-05,고잔동,restaurant,공공데이터포털
37.294006,126.844495,korean,우리옥 (목포뻘낙지),경기도 안산시 상록구 댕이길 19 (사동),031-437-0021,Mo-Su 10:00-22:00,2019-07-05,사동,restaurant,공공데이터포털
37.312396,126.837711,korean,웅가네추어탕,"경기도 안산시 단원구 이삭2길 59 (고잔동, 743-7 102호)",031-475-1225,Mo-Su 10:00-22:00,2019-07-05,화정동,restaurant,공공데이터포털
37.3325,126.79383,korean,원조게장정식,경기도 안산시 단원구 부부로3길 23 (원곡동),031-494-7330,,2019-07-05,이동,restaurant,공공데이터포털
37.301286,126.865854,korean,원할머니보쌈 상록수점,경기도 안산시 상록구 용신로 394 (본오동),031-409-4323,Mo-Su 11:00-24:00,2019-07-05,고잔동,restaurant,공공데이터포털
37.318593,126.836468,korean,원할머니보쌈 중앙역점,"경기도 안산시 단원구 예술대학로 17, 211호 (고잔동)",031-403-6782,Mo-Su 11:00-24:00,2019-07-05,고잔동,restaurant,공공데이터포털
37.311786,126.846635,korean,월남쌈,경기도 안산시 상록구 송호1길 11 (이동),031-406-2712,Mo-Su 10:00-22:00,2019-07-05,월피동,restaurant,공공데이터포털
37.308341,126.858599,korean,육덕봉,"경기도 안산시 상록구 충장로6길 22-2, 1층 (이동)",031-409-8954,Mo-Su 11:00-23:00,2019-07-05,이동,restaurant,공공데이터포털
37.283451,126.569162,korean,윤숙이네손칼국수,경기도 안산시 단원구 대부황금로 1425 (대부북동),032-882-1947,Mo-Su 10:00-24:00,2019-07-05,대부북동,restaurant,공공데이터포털
37.282458,126.846989,korean,이천영양돌솥밥,경기도 안산시 상록구 항가울로 7 (사동),031-408-2008,,2019-07-05,사동,restaurant,공공데이터포털
37.312863,126.79702,korean,자매네찌개전문점,"경기도 안산시 단원구 동산로 60 (원시동, 777-6 반월종합상가 2층 220호)",031-406-5252,Mo-Su 10:00-21:00,2019-07-05,원시동,restaurant,공공데이터포털
37.332555,126.810405,korean,장군부대찌개,"경기도 안산시 단원구 선부광장로 77, 108호 (선부동)",031-480-3392,24/7,2019-07-05,고잔동,restaurant,공공데이터포털
37.311094,126.828464,japanese,정통일식 다래,"경기도 안산시 단원구 광덕2로 163-15, 301호 (고잔동)",031-403-4399,Mo-Su 10:00-22:00,2019-07-05,초지동,restaurant,공공데이터포털
37.326615,126.845329,korean,제주오겹살깡통구이,"경기도 안산시 상록구 예술광장로 63, 107호 (성포동)",031-402-9594,,2019-07-05,고잔동,restaurant,공공데이터포털
37.314343,126.838496,korean,좋구먼한정식,"경기도 안산시 단원구 광덕4로 234, 207호(고잔동)",031-410-5577,Mo-Su 10:00-22:00,2019-07-05,사동,restaurant,공공데이터포털
37.314369,126.837966,international,주)제이엘컨벤션,"경기도 안산시 단원구 광덕4로 230 (고잔동,중앙제일시장 501-503호)",031-439-0600,Mo-Su 11:00-23:00,2019-07-05,고잔동,restaurant,공공데이터포털
37.317788,126.84088,japanese,지중해참치,"경기도 안산시 단원구 고잔1길 66, 101호 (고잔동)",031-482-3788,Mo-Su 15:00-03:00,2019-07-05,사동,restaurant,공공데이터포털
37.319176,126.828242,korean,진성관,"경기도 안산시 단원구 고잔로 18, 201호 (고잔동)",031-484-8704,Mo-Su 11:00-22:00,2019-07-05,월피동,restaurant,공공데이터포털
37.334785,126.85777,korean,眞장어탕·구이,경기도 안산시 상록구 시낭북로3길 1 (부곡동),031-483-5482,Mo-Su 11:00-23:00,2019-07-05,사동,restaurant,공공데이터포털
37.238735,126.61382,korean,진짜원조소나무집,경기도 안산시 단원구 대부황금로 732,032-886-2400,,2019-07-05,대부북동,restaurant,공공데이터포털
37.301922,126.862322,korean,채상궁무한리필,경기도 안산시 상록구 용신로 363 (본오동),031-437-8592,,2019-07-05,부곡동,restaurant,공공데이터포털
37.319088,126.829743,korean,천하일미,경기도 안산시 단원구 광덕대로 251,031-485-3200,,2019-07-05,고잔동,restaurant,공공데이터포털
37.303148,126.811383,chinese,청궁,"경기도 안산시 단원구 원포공원1로 60, 101호 (초지동)",031-411-2588,Mo-Su 09:00-21:00,2019-07-05,본오동,restaurant,공공데이터포털
37.337089,126.855734,korean,청정칼국수,경기도 안산시 상록구 녹지로 40 (월피동),031-485-0505,,2019-07-05,사동,restaurant,공공데이터포털
37.301673,126.813518,korean,청정한돈,"경기도 안산시 단원구 원포공원2로 35, 202호 (초지동, 메가쇼핑타운)",031-413-9253,Mo-Su 11:00-23:00,2019-07-05,월피동,restaurant,공공데이터포털
37.318565,126.835543,korean,코돈부르,"경기도 안산시 단원구 고잔1길 17, 204-1호 (고잔동)",031-485-3330,Mo-Su 11:00-22:30,2019-07-05,사동,restaurant,공공데이터포털
37.341033,126.821601,korean,코리안왕돈까스,경기도 안산시 단원구 와동공원로 106 (와동),031-403-3228,Mo-Su 10:30-21:30,2019-07-05,고잔동,restaurant,공공데이터포털
37.317871,126.835601,international,쿠우쿠우,"경기도 안산시 단원구 고잔2길 41, 207호 (고잔동)",031-405-6274,,2019-07-05,사사동,restaurant,공공데이터포털
37.294094,126.842634,korean,통돼지볶음찌개,경기도 안산시 상록구 댕이길 79-1 (사동),031-408-2292,,2019-07-05,사동,restaurant,공공데이터포털
37.336201,126.80841,korean,통돼지잡는집,"경기도 안산시 단원구 선부광장1로 30, 112호 (선부동)",031-402-5683,Mo-Su 10:30-23:00,2019-07-05,이동,restaurant,공공데이터포털
37.314287,126.797242,korean,통일칼국수,"경기도 안산시 단원구 동산로 63, 502호(원시동)",031-495-5904,Mo-Sa 12:00-16:00; Su off,2019-07-05,사동,restaurant,공공데이터포털
37.336951,126.804436,korean,한라산도야지,경기도 안산시 단원구 지곡로 23 (선부동),031-486-7572,Mo-Su 10:00-22:00,2019-07-05,고잔동,restaurant,공공데이터포털
37.311699,126.848598,korean,한양복국시,경기도 안산시 상록구 송호1길 93,031-502-0221,,2019-07-05,이동,restaurant,공공데이터포털
37.310147,126.869289,korean,한우촌숯불갈비,경기도 안산시 상록구 일동로 23 (일동),031-501-7326,Mo-Su 11:00-24:00,2019-07-05,고잔동,restaurant,공공데이터포털
37.332944,126.811352,korean,해미청,경기도 안산시 단원구 선부광장로 67,031-402-1700,Mo-Su 11:00-23:00,2019-07-05,선부동,restaurant,공공데이터포털
37.293707,126.872239,korean,해미청,경기도 안산시 상록구 각골로 47 (본오동),031-438-7789,,2019-07-05,고잔동,restaurant,공공데이터포털
37.326615,126.845329,korean,현죽,"경기도 안산시 상록구 예술광장로 63, 110호 (성포동)",031-413-8218,Mo-Su 10:00-21:00,2019-07-05,성포동,restaurant,공공데이터포털
37.315062,126.824721,international,홍록기파티하우스,경기도 안산시 단원구 광덕4로 112 (고잔동),031-487-6868,24/7,2019-07-05,고잔동,restaurant,공공데이터포털
37.312122,126.845905,korean,홍익궁중전통육개장(안산이동점본관),"경기도 안산시 상록구 송호3길 3, 1층(이동)",031-409-6669,Mo-Su 08:00-22:00,2019-07-05,고잔동,restaurant,공공데이터포털
37.306812,126.815073,korean,홍천감자탕,경기도 안산시 단원구 초지로 90,031-410-8116,,2019-07-05,초지동,restaurant,공공데이터포털
37.308282,126.827771,korean,홍천덤바우록계탕,"경기도 안산시 단원구 광덕1로 163, 101호 (고잔동)",031-475-3988,,2019-07-05,월피동,restaurant,공공데이터포털
37.308643,126.828244,chinese,홍푸,"경기도 안산시 단원구 광덕2로 164-12 (고잔동, 716-5 금바다프라자 2층)",031-403-3885,Mo-Su 11:00-21:00,2019-07-05,고잔동,restaurant,공공데이터포털
37.358612,126.821627,korean,화정동 메밀꽃필무렵,경기도 안산시 단원구 꽃우물1길 20 (화정동),031-403-0621,Mo-Su 10:00-21:30,2019-07-05,사동,restaurant,공공데이터포털
37.349027,126.822327,korean,화정동낙지마을,경기도 안산시 단원구 쑥개길 23 (화정동 ),031-487-5857,Mo-Su 10:00-22:00,2019-07-05,사동,restaurant,공공데이터포털
37.306425,126.815525,korean,소가네,"경기도 안산시 단원구 초지2로 59, 2층",031-483-9295,,2019-07-05,초지동,restaurant,공공데이터포털
37.307706,126.816605,korean,엉클짱왕해물찜,"경기도 안산시 단원구 초지동로 45(초지동 201,202,203)",031-402-8420,,2019-07-05,초지동,restaurant,공공데이터포털
37.349421,126.820746,korean,콩밭,경기도 안산시 단원구 쑥개길 7(화정동),031-475-3434,,2019-07-05,화정동,restaurant,공공데이터포털
37.332555,126.810405,korean,조선갈비(안산선부점),경기도 안산시 단원구 선부광장로 77(선부동 201호일부),031-483-2020,,2019-07-05,선부동,restaurant,공공데이터포털
37.283948,126.569486,korean,전통우리밀칼국수전문,"경기도 안산시 단원구 대부황금로 1435, 1층(대부북동)",032-886-2993,,2019-07-05,대부북동,restaurant,공공데이터포털
