업종명,업소명,소재지(도로명),소재지(지번),소재지전화,영업자시작일,데이터기준일자
일반음식점,조아회관,광주광역시 북구 자산로 93 (신안동),광주광역시 북구 신안동 495-9 ,062-528-0055,1991-12-12,2020-12-09
일반음식점,용전식당,,광주광역시 북구 용전동 833-1 ,062-571-8071,1992-02-08,2020-12-09
일반음식점,천수반점,광주광역시 북구 제봉로 295 (중흥동),광주광역시 북구 중흥동 711-5 ,062-529-0162,1992-02-18,2020-12-09
일반음식점,영광산장,광주광역시 북구 무등로 1550 (금곡동),광주광역시 북구 금곡동 산 209-24 ,062-261-0317,1992-05-15,2020-12-09
일반음식점,나주곰탕,광주광역시 북구 금남로 139 (북동),광주광역시 북구 북동 283 ,062-528-9676,1992-07-25,2020-12-09
일반음식점,광주해장국,광주광역시 북구 동문대로 238 (각화동),광주광역시 북구 각화동 480-55 ,062-266-3719,1992-09-16,2020-12-09
일반음식점,신성,광주광역시 북구 자미로 26 (신안동),광주광역시 북구 신안동 240-1 ,062-524-4480,1992-09-18,2020-12-09
일반음식점,용현반점,광주광역시 북구 금재로29번길 7 (유동),광주광역시 북구 유동 10-36 ,062-512-2560,1994-05-21,2020-12-09
일반음식점,무등국밥,광주광역시 북구 서하로 202-2 (오치동),광주광역시 북구 오치동 551-7 ,062-265-6276,1994-06-02,2020-12-09
일반음식점,오리촌돈이네,"광주광역시 북구 대자로106번길 1 (운암동,(1층))",광주광역시 북구 운암동 451-1 (1층) ,062-526-3180,1994-06-16,2020-12-09
일반음식점,월산가든,광주광역시 북구 석곡로 574 (망월동),광주광역시 북구 망월동 749-4 ,062-266-2817,1994-06-22,2020-12-09
일반음식점,전통시장국밥,광주광역시 북구 서방로73번길 5 (우산동),광주광역시 북구 우산동 186-14 ,062-267-6917,1994-07-13,2020-12-09
일반음식점,평화식당,광주광역시 북구 중흥로83번길 18-9 (신안동),광주광역시 북구 신안동 139-9 ,062-527-1518,1994-08-23,2020-12-09
일반음식점,무등골금호식당,,광주광역시 북구 용봉동 1252-15 ,062-526-3488,1994-10-31,2020-12-09
일반음식점,원조할머니두부집,광주광역시 북구 송강로 385 (충효동),광주광역시 북구 충효동 888-1 ,,1995-03-17,2020-12-09
일반음식점,죽향골,광주광역시 북구 능안로 24 (문흥동),광주광역시 북구 문흥동 947-6 ,062-266-2007,1995-04-18,2020-12-09
일반음식점,국일관,광주광역시 북구 대자로 54 (운암동),광주광역시 북구 운암동 442-16 ,062-528-3156,1995-04-21,2020-12-09
일반음식점,열린식당,광주광역시 북구 중가로51번길 29-5 (유동),광주광역시 북구 유동 103-25 ,062-529-2818,1995-05-17,2020-12-09
일반음식점,천치식당,광주광역시 북구 운신남길 124 (운암동),광주광역시 북구 운암동 1444-1 ,062-521-3640,1995-06-24,2020-12-09
일반음식점,포도원식당,광주광역시 북구 군왕로 272 (각화동),광주광역시 북구 각화동 363-1 ,062-268-4465,1995-07-25,2020-12-09
일반음식점,송빈,광주광역시 북구 서방로 165 (두암동),광주광역시 북구 두암동 871-22 ,062-262-3216,1996-04-08,2020-12-09
일반음식점,하이트타운,광주광역시 북구 호동로75번길 42 (문흥동),광주광역시 북구 문흥동 945-5 ,062-262-2744,1996-05-01,2020-12-09
일반음식점,죽림정,광주광역시 북구 문산로92번길 28 (문흥동),광주광역시 북구 문흥동 984-2 ,062-269-0660,1996-06-14,2020-12-09
일반음식점,자연산횟집,광주광역시 북구 면앙로121번길 92 (문흥동),광주광역시 북구 문흥동 185-9 ,062-264-6477,1996-07-03,2020-12-09
일반음식점,제일식당,"광주광역시 북구 대자로 87, 1층 아-1,2호 (운암동)","광주광역시 북구 운암동 94-7 1층 아-1,2호 ",062-523-0471,1996-07-09,2020-12-09
일반음식점,우리식육식당,광주광역시 북구 향토문화로2번길 5 (중흥동),광주광역시 북구 중흥동 580-1 ,062-527-1635,1996-07-18,2020-12-09
일반음식점,청송회관,광주광역시 북구 밤실로169번길 2 (두암동),광주광역시 북구 두암동 277-11 ,062-263-1571,1996-07-26,2020-12-09
일반음식점,대림나주곰탕,,광주광역시 북구 누문동 154-8 ,062-522-6644,1996-08-29,2020-12-09
일반음식점,청옥골계곡가든,,광주광역시 북구 망월동 1154-115 ,062-266-6450,1996-10-19,2020-12-09
일반음식점,현대반점,,광주광역시 북구 운암동 965 현대APT2층2호 ,062-523-2758,1996-10-28,2020-12-09
일반음식점,빅토리아통닭,"광주광역시 북구 문산로 7-1, 1층 102,104호 (문흥동, 라인상가)","광주광역시 북구 문흥동 1010-6 라인상가1층 102,104호 ",062-267-9925,1997-02-27,2020-12-09
일반음식점,맛띠네,광주광역시 북구 안산로 15 (오치동),광주광역시 북구 오치동 578-12 ,062-268-3131,1997-03-06,2020-12-09
일반음식점,간이음식점,광주광역시 북구 동문대로 260 (각화동),광주광역시 북구 각화동 437-3 ,062-264-7574,1997-04-19,2020-12-09
일반음식점,바우정,광주광역시 북구 삼소로 157-4 (대촌동),광주광역시 북구 대촌동 880 ,062-971-3003,1997-04-24,2020-12-09
일반음식점,페리카나치킨,"광주광역시 북구 군왕로207번길 16, 각화 영구임대아파트 1층 107호 (각화동)",광주광역시 북구 각화동 202 각화 영구임대아파트 ,062-264-8529,1997-05-06,2020-12-09
일반음식점,중화관,광주광역시 북구 대천로157번길 6 (문흥동),광주광역시 북구 문흥동 963-11 ,062-237-5011,1997-05-08,2020-12-09
일반음식점,세상살이,광주광역시 북구 면앙로121번길 84 (문흥동),광주광역시 북구 문흥동 186-1 ,062-265-6009,1997-05-15,2020-12-09
일반음식점,모밀하우스,,광주광역시 북구 용봉동 476-1 외1필지 ,062-573-7033,1997-05-22,2020-12-09
일반음식점,해송,광주광역시 북구 서양로41번길 9 (신안동),광주광역시 북구 신안동 212-21 ,062-523-0204,1997-05-31,2020-12-09
일반음식점,성화식당,광주광역시 북구 경양로147번길 3 (중흥동),광주광역시 북구 중흥동 709-3 ,062-522-9667,1997-07-03,2020-12-09
일반음식점,청죽골한우,광주광역시 북구 반룡로27번길 20 (용봉동),광주광역시 북구 용봉동 1234-1 ,062-511-5566,1997-07-28,2020-12-09
일반음식점,까치밥홍시,광주광역시 북구 자미로 61 (신안동),광주광역시 북구 신안동 477-26 ,062-527-4778,1997-09-19,2020-12-09
일반음식점,두암골설렁탕,광주광역시 북구 서방로107번길 88 (두암동),광주광역시 북구 두암동 843-10 ,062-262-0786,1997-10-07,2020-12-09
일반음식점,아주커치킨,광주광역시 북구 면앙로121번길 81 (문흥동),광주광역시 북구 문흥동 187-1 ,062-263-5961,1997-11-12,2020-12-09
일반음식점,한우방,광주광역시 북구 금호로 55 (운암동),광주광역시 북구 운암동 494-6 ,062-525-9631,1997-11-19,2020-12-09
일반음식점,나주식당,광주광역시 북구 서림로100번길 16 (임동),광주광역시 북구 임동 97-77 ,062-521-9597,1997-12-10,2020-12-09
일반음식점,전남도교육청구내식당,광주광역시 북구 서하로 48 (매곡동),광주광역시 북구 매곡동 385 ,062-571-6092,1997-12-17,2020-12-09
일반음식점,청해정,광주광역시 북구 장운길 6 (문흥동),광주광역시 북구 문흥동 11-12 ,062-267-6606,1998-01-10,2020-12-09
일반음식점,원조보양탕,광주광역시 북구 동운로213번길 26 (운암동),광주광역시 북구 운암동 867 ,062-529-8068,1998-01-31,2020-12-09
일반음식점,담양식당,광주광역시 북구 면앙로165번길 51 (두암동),광주광역시 북구 두암동 574-31 ,062-261-3020,1998-03-07,2020-12-09
일반음식점,제주통도야지,"광주광역시 북구 서하로214번길 25 (오치동, 1층)",광주광역시 북구 오치동 974-11 1층 ,062-262-7237,1998-03-09,2020-12-09
일반음식점,에덴식당,광주광역시 북구 용봉로 42 (신안동),광주광역시 북구 신안동 476-1 ,062-522-7608,1998-04-10,2020-12-09
일반음식점,비비큐치킨,"광주광역시 북구 자미로66번길 8 (신안동, 1층)",광주광역시 북구 신안동 210-19 1층 ,062-513-1166,1998-04-16,2020-12-09
일반음식점,구구통닭,광주광역시 북구 자미로66번길 8-10 (신안동),광주광역시 북구 신안동 210-14 ,062-514-8892,1998-05-08,2020-12-09
일반음식점,전통순대,광주광역시 북구 우치로27번길 54 (중흥동),광주광역시 북구 중흥동 331-22 ,062-525-7627,1998-05-08,2020-12-09
일반음식점,아서원,광주광역시 북구 동운로 185 (운암동),광주광역시 북구 운암동 794-13 ,062-521-4781,1998-05-15,2020-12-09
일반음식점,가마솥나주곰탕,광주광역시 북구 서방로 82 (우산동),광주광역시 북구 우산동 188-6 ,062-525-7096,1998-05-22,2020-12-09
일반음식점,양지식당,광주광역시 북구 하서로 374 (양산동),광주광역시 북구 양산동 269-1 ,062-571-6373,1998-05-25,2020-12-09
일반음식점,고향옛날순대,"광주광역시 북구 서방로 152 (두암동,(1층))",광주광역시 북구 두암동 893-46 (1층) ,062-524-9097,1998-06-17,2020-12-09
일반음식점,오룡,광주광역시 북구 우치로238번길 10 (오치동),광주광역시 북구 오치동 968-21 ,062-269-1182,1998-06-18,2020-12-09
일반음식점,함평천지,,"광주광역시 북구 용두동 330,308-5,309-3 양산타운102호 ",062-571-1865,1998-06-23,2020-12-09
일반음식점,여수한방오리구이,"광주광역시 북구 본촌택지로 6, 1층 (본촌동)",광주광역시 북구 본촌동 3031 ,062-366-3090,1998-06-30,2020-12-09
일반음식점,엄마손맛,광주광역시 북구 삼정로3번길 53 (두암동),광주광역시 북구 두암동 298-9 ,062-267-0825,1998-07-28,2020-12-09
일반음식점,멕시카나치킨,"광주광역시 북구 신임로 3, 1층 (임동)",광주광역시 북구 임동 186-20 ,062-525-6361,1998-09-09,2020-12-09
일반음식점,초유지,광주광역시 북구 하서로523번길 11 (용두동),광주광역시 북구 용두동 1047-11 ,062-571-1137,1998-11-06,2020-12-09
일반음식점,제주토담도야지,광주광역시 북구 서하로 249-7 (오치동),광주광역시 북구 오치동 957-19 ,062-261-6024,1998-11-28,2020-12-09
일반음식점,자금성,"광주광역시 북구 운신남길 156-1 (운암동,(1층))",광주광역시 북구 운암동 411-21 (1층) ,062-529-8950,1998-12-10,2020-12-09
일반음식점,다도댐메기탕,광주광역시 북구 서림로 24-3 (임동),광주광역시 북구 임동 100-45 ,062-511-5949,1998-12-11,2020-12-09
일반음식점,무전여행,광주광역시 북구 북문대로 105 (운암동),광주광역시 북구 운암동 357-8 ,062-252-8011,1999-01-28,2020-12-09
일반음식점,옛날짜장,광주광역시 북구 양일로343번길 26 (일곡동),광주광역시 북구 일곡동 837-3 ,062-572-9283,1999-03-08,2020-12-09
일반음식점,대촌국밥,광주광역시 북구 서방로 73 (우산동),광주광역시 북구 우산동 189-52 ,062-268-3350,1999-03-09,2020-12-09
일반음식점,곱창마당,광주광역시 북구 서하로194번길 3 (오치동),광주광역시 북구 오치동 776-14 ,062-268-9242,1999-03-12,2020-12-09
일반음식점,옴팡골콩나물국밥,광주광역시 북구 호동로 9-7 (용봉동),광주광역시 북구 용봉동 161-45 ,062-262-9885,1999-03-20,2020-12-09
일반음식점,한국별관,광주광역시 북구 중흥로 82 (신안동),광주광역시 북구 신안동 142-3 ,062-522-1477,1999-05-26,2020-12-09
일반음식점,해피데이,광주광역시 북구 연양로 36 (양산동),광주광역시 북구 양산동 283-48 ,062-571-4755,1999-07-16,2020-12-09
일반음식점,터,광주광역시 북구 중가로 77 (중흥동),광주광역시 북구 중흥동 717-42 ,062-527-0124,1999-07-29,2020-12-09
일반음식점,운암골숯불갈비,광주광역시 북구 서강로 127 (운암동),광주광역시 북구 운암동 1054-31 ,062-526-3149,1999-08-03,2020-12-09
일반음식점,청솔가든,"광주광역시 북구 석곡로 578 (망월동,1층)",광주광역시 북구 망월동 763-1 1층 ,,1999-08-26,2020-12-09
일반음식점,솔밭식당,광주광역시 북구 송해로39번길 18-17 (삼각동),광주광역시 북구 삼각동 801-2 ,062-575-3382,1999-09-30,2020-12-09
일반음식점,무등기사식당,광주광역시 북구 월동로 71 (각화동),광주광역시 북구 각화동 184-6 ,062-266-9328,1999-10-05,2020-12-09
일반음식점,문예식당,"광주광역시 북구 북문대로33번길 14-9, 1층 (운암동)",광주광역시 북구 운암동 91-9 (1층) ,062-524-9495,1999-10-08,2020-12-09
일반음식점,남원추어탕,광주광역시 북구 송해로 68 (일곡동),광주광역시 북구 일곡동 834-16 ,062-575-3577,1999-10-11,2020-12-09
일반음식점,용호가든,광주광역시 북구 배재길 64 (금곡동),광주광역시 북구 금곡동 901 ,062-265-5325,1999-11-03,2020-12-09
일반음식점,스마일 김서방네,광주광역시 북구 천변우로257번길 20 (누문동),광주광역시 북구 누문동 174-25 ,062-529-9555,1999-12-07,2020-12-09
일반음식점,시골집,광주광역시 북구 하백로29번길 7 (매곡동),광주광역시 북구 매곡동 320-3 ,062-266-4416,1999-12-24,2020-12-09
일반음식점,무등산장,"광주광역시 북구 무등로 1550 (금곡동,제4동 5호, 4호)","광주광역시 북구 금곡동 산 209-24 제4동 5호, 4호 ",062-265-1494,2000-02-11,2020-12-09
일반음식점,반야산장,,광주광역시 북구 금곡동 산 209-244동1호 ,062-266-3034,2000-02-11,2020-12-09
일반음식점,만평산장,,광주광역시 북구 금곡동 산 209-181호 ,062-266-4477,2000-02-11,2020-12-09
일반음식점,송도산장,,광주광역시 북구 금곡동 산 209-183호 ,062-266-7513,2000-02-25,2020-12-09
일반음식점,홍보석중화요리,광주광역시 북구 설죽로320번길 18 (오치동),광주광역시 북구 오치동 862-29 ,062-251-9111,2000-03-06,2020-12-09
일반음식점,그때그산장,"광주광역시 북구 무등로 1550 (금곡동,제4동 2호, 3호)","광주광역시 북구 금곡동 산 209-24 제4동 2호, 3호 ",062-266-4181,2000-03-06,2020-12-09
일반음식점,전주영양돌솥밥,광주광역시 북구 설죽로 517-6 (일곡동),광주광역시 북구 일곡동 847-5 ,062-571-8998,2000-03-09,2020-12-09
일반음식점,수원회관,광주광역시 북구 중가로51번길 23-1 (유동),광주광역시 북구 유동 103-26 ,062-514-2580,2000-03-16,2020-12-09
일반음식점,자매아구찜,광주광역시 북구 동문대로112번길 37 (두암동),광주광역시 북구 두암동 843-4 ,062-251-5677,2000-04-06,2020-12-09
일반음식점,우산칼국수식당,광주광역시 북구 문화소통로 256-1 (우산동),광주광역시 북구 우산동 596-5 ,062-267-5444,2000-04-24,2020-12-09
일반음식점,다도바다,광주광역시 북구 중흥로 183 (중흥동),광주광역시 북구 중흥동 655-5 ,062-522-7372,2000-05-24,2020-12-09
일반음식점,에디슨치킨,광주광역시 북구 북문대로49번길 13-4 (운암동),광주광역시 북구 운암동 91-14 ,062-529-0432,2000-06-03,2020-12-09
일반음식점,금성칡냉면,광주광역시 북구 송해로 77 (일곡동),광주광역시 북구 일곡동 828-3 ,062-574-2354,2000-06-12,2020-12-09
일반음식점,홍주식당,광주광역시 북구 참판로 236-2 (각화동),광주광역시 북구 각화동 183-1 ,062-269-3247,2000-06-21,2020-12-09
일반음식점,본가왕손반점,광주광역시 북구 자미로 68-6 (신안동),광주광역시 북구 신안동 225-11 ,062-522-9452,2000-07-06,2020-12-09
일반음식점,투다리(경신점),광주광역시 북구 금호로 47-2 (운암동),광주광역시 북구 운암동 496-34 ,062-512-6098,2000-08-10,2020-12-09
일반음식점,영양왕족발,광주광역시 북구 설죽로202번길 53 (용봉동),광주광역시 북구 용봉동 1254-29 ,062-524-9989,2000-09-08,2020-12-09
일반음식점,호수짱뚱어탕,"광주광역시 북구 자미로66번길 17-1, 1층 (중흥동)",광주광역시 북구 중흥동 354-9 ,062-521-1622,2000-09-16,2020-12-09
일반음식점,광은식당,광주광역시 북구 금재로9번길 3 (유동),광주광역시 북구 유동 113-10 ,062-512-3555,2000-09-29,2020-12-09
일반음식점,통일각,광주광역시 북구 서방로 157 (두암동),광주광역시 북구 두암동 874-15 ,062-527-2924,2000-10-23,2020-12-09
일반음식점,나폴리&자연애임실,광주광역시 북구 서방로 42-1 (중흥동),광주광역시 북구 중흥동 288-3 ,062-512-8488,2000-10-24,2020-12-09
일반음식점,운암골낙지골,,광주광역시 북구 운암동 1054-21 ,062-525-1903,2000-11-01,2020-12-09
일반음식점,전어랑숭어랑,광주광역시 북구 경열로 166 (유동),광주광역시 북구 유동 57-33 ,062-514-3208,2000-11-06,2020-12-09
일반음식점,버섯농장칼국수수제비잔치,광주광역시 북구 북문대로232번길 9-5 (동림동),광주광역시 북구 동림동 1154-2 ,062-513-0867,2000-11-13,2020-12-09
일반음식점,갯마을,"광주광역시 북구 참판로 95 (두암동,1층)",광주광역시 북구 두암동 908-31 1층 ,062-251-2937,2000-12-11,2020-12-09
일반음식점,장승골,광주광역시 북구 반룡로 21 (용봉동),광주광역시 북구 용봉동 1238-14 ,062-523-7326,2000-12-20,2020-12-09
일반음식점,까동,광주광역시 북구 설죽로214번길 129 (용봉동),광주광역시 북구 용봉동 375-4 ,062-523-9050,2001-01-18,2020-12-09
일반음식점,삼정솥뚜껑삼겹살,,광주광역시 북구 용봉동 1361-2 ,062-524-6977,2001-04-06,2020-12-09
일반음식점,황제호프,광주광역시 북구 금호로40번길 2 (운암동),광주광역시 북구 운암동 110-56 ,062-521-5766,2001-04-16,2020-12-09
일반음식점,차이나궁,광주광역시 북구 호동로43번길 45 (용봉동),광주광역시 북구 용봉동 159-6 ,062-267-9771,2001-05-07,2020-12-09
일반음식점,천하왕족발보쌈,"광주광역시 북구 면앙로139번길 31 (우산동,(1층))",광주광역시 북구 우산동 4-7 (1층) ,062-251-9904,2001-05-11,2020-12-09
일반음식점,길목,광주광역시 북구 안산로 21 (오치동),광주광역시 북구 오치동 578-3 ,062-263-0816,2001-05-14,2020-12-09
일반음식점,각화식당,광주광역시 북구 군왕로208번길 16 (각화동),광주광역시 북구 각화동 181-3 ,062-262-5594,2001-05-21,2020-12-09
일반음식점,한국,광주광역시 북구 반룡로28번길 27 (용봉동),광주광역시 북구 용봉동 1251-20 ,062-527-5595,2001-05-26,2020-12-09
일반음식점,하래회관,광주광역시 북구 양일로343번길 30 (일곡동),광주광역시 북구 일곡동 837-1 ,062-572-7878,2001-05-31,2020-12-09
일반음식점,장군,"광주광역시 북구 청계로 81, 1층 (용봉동)",광주광역시 북구 용봉동 1360-3 1층 ,062-575-8885,2001-05-31,2020-12-09
일반음식점,자연정,광주광역시 북구 석곡로529번길 21-12 (망월동),광주광역시 북구 망월동 854 ,062-266-3575,2001-06-29,2020-12-09
일반음식점,연화식당,"광주광역시 북구 천변우로257번길 28 (누문동,(1층))",광주광역시 북구 누문동 174-5 (1층) ,062-526-0894,2001-08-04,2020-12-09
일반음식점,두리둥실보리밥,"광주광역시 북구 대자로 87 (운암동, 1층 라동2호  )",광주광역시 북구 운암동 94-7 1층 라동2호 ,,2001-08-22,2020-12-09
일반음식점,금곡정,광주광역시 북구 송강로 240 (금곡동),광주광역시 북구 금곡동 323-1 ,062-265-6402,2001-09-01,2020-12-09
일반음식점,딱한잔만,광주광역시 북구 호동로75번길 16 (문흥동),광주광역시 북구 문흥동 942-4 ,062-267-3578,2001-09-03,2020-12-09
일반음식점,두림낙지,광주광역시 북구 북문대로 96-1 (운암동),광주광역시 북구 운암동 66-2 ,062-514-6868,2001-09-13,2020-12-09
일반음식점,민속마당,광주광역시 북구 서하로 213-5 (오치동),광주광역시 북구 오치동 949-16 ,062-262-6237,2001-09-18,2020-12-09
일반음식점,무진장,광주광역시 북구 대천로 15 (오치동),광주광역시 북구 오치동 990-7 ,062-267-1782,2001-09-29,2020-12-09
일반음식점,현대반점,"광주광역시 북구 청계로 81 (용봉동,1동)",광주광역시 북구 용봉동 1360-3 1동 ,062-252-2081,2001-10-09,2020-12-09
일반음식점,전통만두,"광주광역시 북구 참판로 223, 1층 (두암동)",광주광역시 북구 두암동 594-12 ,062-514-0527,2001-10-12,2020-12-09
일반음식점,월출가든,,광주광역시 북구 월출동 65-02 ,062-571-5967,2001-10-15,2020-12-09
일반음식점,수현식당,광주광역시 북구 중가로65번길 2 (중흥동),광주광역시 북구 중흥동 720-18 ,,2001-10-20,2020-12-09
일반음식점,수현식당,"광주광역시 북구 무등로80번길 31 (임동,1층)",광주광역시 북구 임동 153-27 1층 ,062-524-8751,2001-10-25,2020-12-09
일반음식점,엄마손분식,,광주광역시 북구 일곡동 849-1 한일아파트 상가동 104호,062-571-1609,2001-11-09,2020-12-09
일반음식점,우리네만두,광주광역시 북구 우치로228번길 5 (오치동),광주광역시 북구 오치동 977-22 ,,2001-11-09,2020-12-09
일반음식점,참숯통갈비,광주광역시 북구 군왕로 185-1 (두암동),광주광역시 북구 두암동 593-21 ,062-263-1281,2001-11-29,2020-12-09
일반음식점,일신김밥,광주광역시 북구 북문대로 159 (운암동),광주광역시 북구 운암동 1040-9 ,,2001-12-14,2020-12-09
일반음식점,매일팥죽,"광주광역시 북구 동문대로85번길 49 (우산동,(1층))",광주광역시 북구 우산동 186-8 (1층) ,062-266-0911,2001-12-18,2020-12-09
일반음식점,골목대장,광주광역시 북구 호동로 9-10 (용봉동),광주광역시 북구 용봉동 161-8 ,062-265-7136,2002-01-17,2020-12-09
일반음식점,마포주먹구이,광주광역시 북구 서하로 215-1 (오치동),광주광역시 북구 오치동 950-11 ,062-262-6466,2002-01-21,2020-12-09
일반음식점,오비(OB)스카이,광주광역시 북구 북문대로 92 (운암동),광주광역시 북구 운암동 66-3 ,062-527-4435,2002-02-02,2020-12-09
일반음식점,연지분식,광주광역시 북구 당뫼로 9 (중흥동),광주광역시 북구 중흥동 804-15 ,062-512-0395,2002-02-25,2020-12-09
일반음식점,자금성,광주광역시 북구 북문대로 246 (동림동),광주광역시 북구 동림동 1149-1 ,062-513-2993,2002-03-04,2020-12-09
일반음식점,첫사랑,"광주광역시 북구 서암대로315번길 29, 1층 (우산동)",광주광역시 북구 우산동 556-8 1층 ,,2002-03-12,2020-12-09
일반음식점,24시통닭생맥주나라,광주광역시 북구 독립로 403-1 (우산동),광주광역시 북구 우산동 518-56 ,062-528-5963,2002-03-15,2020-12-09
일반음식점,이가아구찜,광주광역시 북구 비엔날레로 1 (운암동),광주광역시 북구 운암동 488-25 ,062-523-3367,2002-03-19,2020-12-09
일반음식점,우정식당,광주광역시 북구 중문로84번길 16 (우산동),광주광역시 북구 우산동 605-6 ,062-265-8868,2002-03-25,2020-12-09
일반음식점,고향국밥,광주광역시 북구 천지인로 127 (오치동),광주광역시 북구 오치동 1050-5 ,062-268-5688,2002-04-10,2020-12-09
일반음식점,메밀꽃,"광주광역시 북구 평교로18번길 53-1 (우산동, 1층)",광주광역시 북구 우산동 3-20 1층 ,,2002-04-19,2020-12-09
일반음식점,운암통닭,광주광역시 북구 동운로201번길 57-3 (운암동),광주광역시 북구 운암동 841-9 ,062-525-6519,2002-04-22,2020-12-09
일반음식점,왕자관,,광주광역시 북구 각화동 508-6외2필지 ,062-264-7070,2002-05-01,2020-12-09
일반음식점,청진동국밥,"광주광역시 북구 신임로 12-1 (임동,(1층))",광주광역시 북구 임동 188-4 (1층) ,,2002-05-02,2020-12-09
일반음식점,무등식당,광주광역시 북구 버들로 26 (중흥동),광주광역시 북구 중흥동 723-2 ,,2002-05-17,2020-12-09
일반음식점,풍성식당,"광주광역시 북구 무등로 55 (운암동, 2층)",광주광역시 북구 운암동 424-17 2층 ,062-522-2347,2002-05-25,2020-12-09
일반음식점,비비큐치킨,"광주광역시 북구 서강로 100 (운암동,(지상1층))",광주광역시 북구 운암동 959-2 (지상1층) ,062-524-8292,2002-05-31,2020-12-09
일반음식점,더조은,"광주광역시 북구 북문대로 101-9 (운암동,외1필지)",광주광역시 북구 운암동 352-42 외1필지 ,062-529-4521,2002-05-31,2020-12-09
일반음식점,처갓집양념치킨(일곡점),"광주광역시 북구 설죽로 585-1 (일곡동, 쌍용아파트 상가동 B04호)",광주광역시 북구 일곡동 814-4 쌍용아파트 상가동 B04호,,2002-06-12,2020-12-09
일반음식점,대명가든,광주광역시 북구 독립로255번길 19 (북동),광주광역시 북구 북동 272 ,062-525-2728,2002-07-05,2020-12-09
일반음식점,풀코스,광주광역시 북구 동문대로134번길 7 (두암동),광주광역시 북구 두암동 840-13 ,,2002-07-19,2020-12-09
일반음식점,가정식백반,"광주광역시 북구 천변우로257번길 25 (유동,외1필지)",광주광역시 북구 유동 54-5 외1필지 ,062-526-5234,2002-07-26,2020-12-09
일반음식점,다모아치킨엔피자비엔나,광주광역시 북구 상촌로31번길 13 (양산동),광주광역시 북구 양산동 209-45 ,062-571-6112,2002-08-23,2020-12-09
