위도,경도,tourism,amenity,bath:type,name,addr:full,operator,phone,website,,,,,rooms
35.301542,127.966908,motel,,,서울모텔,경상남도 산청군 신안면 원지강변로 39,최미용,055-973-1492,,,,,,20
35.300975,127.968813,motel,,,헤라모텔,경상남도 산청군 신안면 원지강변로 49,최동복,055-973-3242,,,,,,18
35.300709,127.968952,motel,,,이(e) 편한모텔,경상남도 산청군 신안면 원지강변로 51,정숙희,055-974-0560,,,,,,11
35.301105,127.969212,motel,,,씨에프(CF)모텔,경상남도 산청군 신안면 원지강변로61번길 10,임은주,055-972-2299,,,,,,24
35.300854,127.96907,motel,,,랑데뷰모텔,경상남도 산청군 신안면 원지강변로61번길 7,김민경,055-973-8345,,,,,,11
35.301102,127.968915,motel,,,프라하,경상남도 산청군 신안면 원지강변로61번길 9,심재숙 외 1명,055-973-7680,,,,,,18
35.312505,127.983367,motel,,,사파리모텔,경상남도 산청군 신안면 지리산대로 3645,이범용,055-972-5586,,,,,,14
35.314217,127.983691,motel,,,호텔홍천궁,경상남도 산청군 신안면 지리산대로 3657-13,이성근,055-972-0399,,,,,,15
35.320295,127.974063,motel,,,엘리제모텔,경상남도 산청군 신안면 지리산대로 3677,안영희,055-973-5432,,,,,,12
35.315261,127.987909,motel,,,부엉이모텔,경상남도 산청군 신안면 지리산대로 3694,김숙희,055-974-3353,,,,,,19
35.334134,127.894296,motel,,,라움펜션,경상남도 산청군 단성면 호암로701번길 155-14,이미연,,,,,,,10
35.413174,127.882949,,public_bath,thermal,삼정㈜산청온천,경상남도 산청군 산청읍 꽃봉산로162번길 14,김정식,055-972-8233,http://www.sjtown.co.kr,,,,,
35.265788,127.931522,,public_bath,thermal,예담참숯굴랜드_찜질방,경상남도 산청군 단성면 지리산대로 2850-69,남상현,055-973-5959,http://www.iyedam.co.kr,,,,,
35.402794,127.884157,,public_bath,thermal,산청한방리조트_찜질방,경상남도 산청군 산청읍 웅석봉로151번길 68,권일현,055-972-9989,http://www.sancheongresort.com,,,,,
35.442256,127.828787,,public_bath,thermal,덕진동의보감약초탕,경상남도 산청군 금서면 동의보감로555번길 58,곽기업,055-972-2828,http://okqr.kr/6054,,,,,
35.438712,127.827708,hostel,,,산청한방가족호텔,경상남도 산청군 금서면 동의보감로479번길 43,심재범,055-972-7000,,,,,,108
35.394246,127.844842,hostel,,,지리산리조트,경상남도 산청군 금서면 친환경로 1715,최상근,055-973-8890,,,,,,62
