위도,경도,tourism,name,addr:full,지번주소,rooms,phone,source:date
33.3024603,126.294308,hotel,글래드호텔앤리조트㈜제주항공우주호텔,제주특별자치도 서귀포시 안덕면 녹차분재로 216,제주특별자치도 서귀포시 서광리 산39,110,064-798-5500,2020-06-30
33.3036151,126.3148095,hotel,제주신화월드 호텔 앤 리조트,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,제주특별자치도 서귀포시 안덕면 서광리 산24,1326,064-908-6000,2020-06-30
33.2917697,126.3482597,hotel,호텔 테디밸리,제주특별자치도 서귀포시 안덕면 한창로 365,제주특별자치도 서귀포시 안덕면  상창리 2892,72,064-793-1000,2020-06-30
33.2338874,126.3704451,hotel,호텔 스카브로,제주특별자치도 서귀포시 예래해안로 15,제주특별자치도 서귀포시 하예동 1796-1 ,41,064-739-0027,2020-06-30
33.25507,126.402394,hotel,히든클리프호텔&네이쳐,제주특별자치도 서귀포시 예래해안로 542,제주특별자치도 서귀포시 상예동 625,250,064-752-7777,2020-06-30
33.2441957,126.521955,hotel,골드윈호텔&스위트,제주특별자치도 서귀포시 이어도로 1032,제주특별자치도 서귀포시 서호동 115,51,064-801-5000,2020-06-30
33.240469,126.493008,hotel,오션블루호텔,제주특별자치도 서귀포시 이어도로 67,제주특별자치도 서귀포시 대포동 2538,30,064-722-9991,2020-06-30
33.242548,126.4233506,hotel,제주 부영호텔 & 리조트,제주특별자치도 서귀포시 중문관광로 222,제주특별자치도 서귀포시 중문동 2700-2,262,064-731-5500,2020-06-30
33.256118,126.414906,hotel,아리아호텔,제주특별자치도 서귀포시 중문관광로 23-1,제주특별자치도 서귀포시 색달동 2508,51,064-738-8981,2020-06-30
33.2455761,126.4055533,hotel,하얏트리젠시 제주,제주특별자치도 서귀포시 중문관광로72번길 114 ,제주특별자치도 서귀포시 색달동 3039-1,224,064-733-1234,2020-06-30
33.248573,126.41056,hotel,㈜호텔롯데 롯데호텔 제주,제주특별자치도 서귀포시 중문관광로72번길 35 ,제주특별자치도 서귀포시 색달동 2812-4,500,064-731-1000,2020-06-30
33.2498991,126.4082883,hotel,(주)호텔하나,제주특별자치도 서귀포시 중문관광로72번길 53,제주특별자치도 서귀포시 색달동 2812-2,85,064-738-7001,2020-06-30
33.2520261,126.40774,hotel,켄싱턴 제주호텔,제주특별자치도 서귀포시 중문관광로72번길 60,제주특별자치도 서귀포시 색달동 2785,221,064-735-8900,2020-06-30
33.2493324,126.4083941,hotel,㈜교원 스위트호텔 제주,제주특별자치도 서귀포시 중문관광로72번길 67 ,제주특별자치도 서귀포시 색달동 2812-10,90,064-738-3800,2020-06-30
33.2475582,126.4081161,hotel,(주)호텔신라 제주신라,제주특별자치도 서귀포시 중문관광로72번길 75 ,제주특별자치도 서귀포시 색달동 3039-3,429,064-735-5114,2020-06-30
33.2473021,126.5581662,hotel,주식회사 호텔크리스탈,제주특별자치도 서귀포시 중정로 16,제주특별자치도 서귀포시 서귀동 316-4,72,064-732-8311,2020-06-30
33.2521468,126.4220672,hotel,베니키아 중문호텔,제주특별자치도 서귀포시 천제연로 166,제주특별자치도 서귀포시 중문동 2115-1,45,064-802-8888,2020-06-30
33.2503716,126.4236375,hotel,유어스호텔,제주특별자치도 서귀포시 천제연로 178번길 21,제주특별자치도 서귀포시 중문동 2129-2,83,064-733-7500,2020-06-30
33.2460024,126.5810125,hotel,서귀포KAL호텔,제주특별자치도 서귀포시 칠십리로 242 ,제주특별자치도 서귀포시 토평동 486-3,225,064-733-2001,2020-06-30
33.240498,126.5651589,hotel,호텔화인,제주특별자치도 서귀포시 칠십리로 87,제주특별자치도 서귀포시 서귀동 782-3,96,064-801-8888,2020-06-30
33.2411078,126.5643,hotel,비케이호텔인제주,제주특별자치도 서귀포시 칠십리로91번길 12),제주특별자치도 서귀포시 서귀동 777-1,55,064-763-0779,2020-06-30
33.2467908,126.5581542,hotel,호텔일구칠사,제주특별자치도 서귀포시 태평로 347 ,제주특별자치도 서귀포시 서귀동 314-1,108,064-733-2121,2020-06-30
33.2464235,126.5602247,hotel,헤이서귀포,제주특별자치도 서귀포시 태평로 363 ,제주특별자치도 서귀포시 서귀동 820-1,134,064-732-5678,2020-06-30
33.2467996,126.5659291,hotel,호텔굿인 서귀포,제주특별자치도 서귀포시 태평로439번길 14 ,제주특별자치도 서귀포시 서귀동 411-13 ,41,064-767-9600,2020-06-30
33.3234478,126.8447796,hotel,해비치호텔,제주특별자치도 서귀포시 표선면 민속해안로 537,제주특별자치도 서귀포시 표선면 표선리 40-76,288,064-780-8000,2020-06-30
33.3247649,126.8331191,hotel,제주리시온관광호텔,제주특별자치도 서귀포시 표선면 표선동서로 263 ,제주특별자치도 서귀포시 표선면 표선리 591-1  ,77,064-787-8841,2020-06-30
33.2198172,126.2471552,hotel,HOTEL 52,제주특별자치도 서귀포시 대정읍 신영로36번길 35,제주특별자치도 서귀포시 대정읍 하모리 1089-23,20,064-794-1831,2020-06-30
33.2178071,126.2521152,hotel,모슬포1호텔 ,제주특별자치도 서귀포시 대정읍 최남단해안로30번길 11,제주특별자치도 서귀포시 대정읍 하모리 2129-1,24,064-792-4723,2020-06-30
33.2178071,126.2521152,hotel,모슬포2호텔,제주특별자치도 서귀포시 대정읍 최남단해안로30번길 13,제주특별자치도 서귀포시 대정읍 하모리 2129-2,24,064-792-4723,2020-06-30
33.2178071,126.2521152,hotel,모슬포3호텔,제주특별자치도 서귀포시 대정읍 최남단해안로30번길 15,제주특별자치도 서귀포시 대정읍 하모리 2129-3,24,064-792-4723,2020-06-30
33.2429044,126.4204352,hotel,씨에스개발㈜ 씨에스호텔앤리조트,제주특별자치도 서귀포시 중문관광로 198 ,제주특별자치도 서귀포시 중문동 2563-1 ,26,064-735-3000,2020-06-30
