명칭,전화번호,주소,위도,경도,데이터기준일자
(주)호텔롯데제주급식소,064-731-4144,제주특별자치도 서귀포시 중문관광로72번길 35,33.2485994262,126.4103287885,2020-08-20
한국관광공사제주지사구내식당,-,제주특별자치도 서귀포시 중문관광로72번길 60,33.2500183121,126.4061042485,2020-08-20
호텔신라제주호텔구내식당,064-733-7170,제주특별자치도 서귀포시 중문관광로72번길 75,33.2467884970,126.4071948302,2020-08-20
(주)부영주택 제주부영청소년수련원,064-760-5700,제주특별자치도 서귀포시 중문상로17번길 52-17,33.2505050645,126.4182867863,2020-08-20
슬기샘어린이집급식소,064-738-0585,제주특별자치도 서귀포시 중문상로69번길 8,33.2544956949,126.4256691894,2020-08-20
샘터어린이집급식소,064-733-8188,제주특별자치도 서귀포시 중산간동로 8178,33.2629631193,126.5429137056,2020-08-20
해달별어린이집급식소,064-733-6535,제주특별자치도 서귀포시 중산간동로7920번길 14,33.2665569497,126.5696797664,2020-08-20
예일어린이집급식소,064-739-9876,제주특별자치도 서귀포시 중산간서로 20,33.2614462467,126.5083211269,2020-08-20
서귀포시청직장어린이집,064-760-3456,제주특별자치도 서귀포시 중앙로 105,33.2539133065,126.5596071511,2020-08-20
서귀포시청제1청사구내식당,064-730-1427,제주특별자치도 서귀포시 중앙로 105,33.2539133065,126.5596071511,2020-08-20
서귀중앙여자중학교급식소,064-733-5674,제주특별자치도 서귀포시 중앙로 120,33.2547745660,126.5624745434,2020-08-20
서귀고등학교집단급식소,064-733-7816,제주특별자치도 서귀포시 중앙로 140,33.2571765088,126.5635013958,2020-08-20
서귀포고등학교기숙사집단급식소,064-733-7816,제주특별자치도 서귀포시 중앙로 140,33.2571765088,126.5635013958,2020-08-20
서귀북초등학교급식소,064-763-2303,제주특별자치도 서귀포시 중앙로 175,33.2597026211,126.5588311596,2020-08-20
홈플러스(주)서귀포점,064-731-8000,제주특별자치도 서귀포시 중앙로 180,33.2604855388,126.5599347729,2020-08-20
명성어린이집급식소,064-732-9949,제주특별자치도 서귀포시 중앙로 233,33.2652063133,126.5578590192,2020-08-20
해성유치원,-,제주특별자치도 서귀포시 중앙로150번길 17,33.2603629094,126.5609527858,2020-08-20
사랑가득어린이집,-,제주특별자치도 서귀포시 중앙로207번길 24,33.2631847126,126.5562979830,2020-08-20
서귀어린이집급식소,064-762-6012,제주특별자치도 서귀포시 중앙로41번길 10,33.2481824425,126.5605973542,2020-08-20
중문초등학교집단급식소,064-738-0078,제주특별자치도 서귀포시 천제연로 231,33.2529954261,126.4295936945,2020-08-20
사랑어린이집,064-738-6452,제주특별자치도 서귀포시 천제연로 239-31,33.2539388959,126.4300683208,2020-08-20
초록사과어린이집,064-738-6224,제주특별자치도 서귀포시 천제연로207번길 21,33.2534665055,126.4269421942,2020-08-20
중문중학교급식소,064-738-6696,제주특별자치도 서귀포시 천제연로232번길 10,33.2502943847,126.4288557998,2020-08-20
예국어린이집 집단급식소,064-733-0114,제주특별자치도 서귀포시 칠십리로 199,33.2468222189,126.5739098514,2020-08-20
서귀포칼호텔집단급식소,064-767-1198,제주특별자치도 서귀포시 칠십리로 242,33.2443246489,126.5807935232,2020-08-20
서귀중학교집단급식소,064-762-4411,제주특별자치도 서귀포시 태평로 474,33.2477461453,126.5699093257,2020-08-20
서귀포여자고등학교급식소,064-739-8807,제주특별자치도 서귀포시 태평로 80,33.2439147108,126.5316047130,2020-08-20
(주)비지에프푸드제주,-,제주특별자치도 서귀포시 토평공단로155번길 45,33.2921951735,126.5779709367,2020-08-20
토평초등학교집단급식소,064-732-4191,제주특별자치도 서귀포시 토평남로 86,33.2660866494,126.5895162093,2020-08-20
경천전문요양원,064-732-9009,제주특별자치도 서귀포시 토평로 170,33.2810778949,126.5892055987,2020-08-20
평안어린이집급식소,064-732-8881,제주특별자치도 서귀포시 토평로 172,33.2812784081,126.5887666868,2020-08-20
평안전문요양원,064-733-9005,제주특별자치도 서귀포시 토평로 172,33.2812784081,126.5887666868,2020-08-20
(주)대한항공정석비행장,064-780-0376,제주특별자치도 서귀포시 표선면 녹산로 679-11,33.4030539920,126.7175933596,2020-08-20
해비치리조트식당,064-780-8211,제주특별자치도 서귀포시 표선면 민속해안로 537,33.3228717542,126.8449556046,2020-08-20
남영산업(주),064-780-2051,제주특별자치도 서귀포시 표선면 번영로 2300,33.4152857536,126.7506285963,2020-08-20
예담노인전문요양원,064-787-9492,제주특별자치도 서귀포시 표선면 번영로3428번길 107,33.3418965546,126.8162102950,2020-08-20
성읍어린이집,064-787-2510,제주특별자치도 서귀포시 표선면 성읍민속로 55-18,33.3809098748,126.7988342988,2020-08-20
성읍초등학교,064-787-7094,제주특별자치도 서귀포시 표선면 성읍민속로 65,33.3838694131,126.7979848957,2020-08-20
가마어린이집,064-787-4840,제주특별자치도 서귀포시 표선면 세화로26번길 31,33.3072215715,126.8008849408,2020-08-20
대명호텔앤리조트제주,064-780-7014,제주특별자치도 서귀포시 표선면 일주동로 6347-17,33.3060111460,126.7928945218,2020-08-20
가마초등학교,064-787-0479,제주특별자치도 서귀포시 표선면 일주동로6285번길 8,33.3058888786,126.7997111153,2020-08-20
토산초등학교,064-787-1847,제주특별자치도 서귀포시 표선면 토산중앙로 68-9,33.3124115838,126.7776306966,2020-08-20
표선어린이집,064-787-3003,제주특별자치도 서귀포시 표선면 표선관정로 16,33.3288410143,126.8236830529,2020-08-20
표선원광어린이집,064-787-3270,제주특별자치도 서귀포시 표선면 표선관정로 81-8,33.3259677988,126.8296947535,2020-08-20
표선초등학교,064-787-1011,제주특별자치도 서귀포시 표선면 표선동서로 293,33.3289787363,126.8346639234,2020-08-20
표선고등학교,064-787-3805,제주특별자치도 서귀포시 표선면 표선중앙로 22-15,33.3311730104,126.8278157224,2020-08-20
표선중학교,064-787-0631,제주특별자치도 서귀포시 표선면 표선중앙로 31,33.3306688426,126.8309830922,2020-08-20
표선신협어린이집,064-787-5007,제주특별자치도 서귀포시 표선면 표선중앙로 65,33.3273269271,126.8319561768,2020-08-20
한마음초등학교,064-787-6214,제주특별자치도 서귀포시 표선면 한마음초등로 408,33.3523565485,126.8145553165,2020-08-20
토담어린이집급식소,064-733-6875,제주특별자치도 서귀포시 하논로 11,33.2536803331,126.5479499158,2020-08-20
연화어린이집급식소,064-738-7744,제주특별자치도 서귀포시 하원북로35번길 15-29,33.2654801014,126.4584089944,2020-08-20
서호초등학교급식소,064-739-8562,제주특별자치도 서귀포시 호근남로 40,33.2537848795,126.5285129745,2020-08-20
숲속어린이집,064-739-1925,제주특별자치도 서귀포시 호근북로 84,33.2639004197,126.5311846780,2020-08-20
호텔신라 제주 생활관 구내식당,064-735-5725,제주특별자치도 서귀포시 홍중로 35,33.2552405469,126.5565742324,2020-08-20
효돈초등학교집단급식소,064-767-0711,제주특별자치도 서귀포시 효돈로 161,33.2642292282,126.6154418426,2020-08-20
효돈중학교급식소,064-767-2147,제주특별자치도 서귀포시 효돈로 207,33.2645149162,126.6215710438,2020-08-20
